word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
number,0.015908,5.3e-05,-0.483675,0.160977,-0.196093,0.291571,-0.179963,-0.354213,0.634292,-0.561381,0.935546,-0.287409,-1.196459,-0.071504,-0.078125,0.54337,-0.000944,0.046541,-0.169309,0.074834,-0.12757,0.241366,-0.508945,0.240335,0.425155,0.021588,0.349947,-0.350019,-0.085061,0.541728,-0.17649,0.160322,0.245855,0.250624,-0.051523,-0.39723,0.267181,-0.588631,-0.62936,-0.838873,0.140703,0.059249,-0.402484,0.4599,-0.145437,0.041657,-0.098888,0.096546,0.491532,0.291424,-0.469754,-0.473943,-0.159557,0.149527,0.153017,-0.233089,0.253321,0.16273,0.302971,0.11117,-0.693257,-0.1409,-0.201141,-0.323233,0.211491,-1.61345,0.037068,-0.359173,-0.383521,0.50752,0.173209,-0.116546,0.800304,0.614227,0.441205,-0.843582,0.601867,0.377576,-0.367702,-0.554991,0.230353,0.189399,-0.02181,0.089222,-0.356267,0.087413,-0.07259,-0.451738,-0.227895,-0.475542,-0.3699,-0.161893,-0.182615,0.014516,0.167254,-0.222358,-0.004085,-0.127848,0.244135,0.438754
function,-0.695174,-0.175277,-0.22245,-0.133788,0.623535,0.201415,0.034658,0.724256,0.685044,-0.609147,0.459318,-0.300257,-1.532249,0.635412,-0.462906,0.855247,0.077753,0.344653,-0.368001,-0.222471,-0.555532,0.076376,-0.65486,0.270579,0.035243,-0.83834,0.537116,-0.556193,-1.14066,0.166237,0.484646,-0.003541,0.440171,0.202479,-0.302666,-0.767905,-0.148858,-0.016007,-0.399479,-0.697483,-0.409039,-0.051596,-0.489965,0.515346,0.646407,0.356699,0.889162,0.131875,-0.350872,0.330217,-1.029786,0.28203,-0.016484,0.557533,0.599632,-0.062057,-0.606387,0.945776,0.736728,0.943559,0.086304,0.383144,-0.384544,-0.19924,-0.242375,-1.366969,0.712183,-0.351099,0.023976,0.260923,0.125787,1.417774,0.214131,-0.311109,-1.032328,-0.176327,0.025912,-0.172525,-0.189389,0.185206,-0.177261,-0.04196,0.462811,-0.840733,-0.008629,-0.298732,0.465879,-0.213372,0.099653,0.443114,0.615103,0.027851,-0.975193,1.098558,0.387248,-0.007854,0.144617,0.270108,1.035164,-0.153598
one,-0.299203,-0.018749,0.150373,0.073602,-0.291873,0.256775,-0.147053,-0.142902,0.112308,-0.339146,0.297136,-0.226218,-0.915047,-0.070373,-0.173809,0.192713,0.084055,0.077735,0.154244,-0.331148,-0.178321,0.179973,-0.05276,-0.117098,0.333989,-0.062559,0.500511,0.127082,-0.173768,0.446077,-0.274527,-0.090682,0.226046,-0.227117,-0.068366,-0.313299,-0.045352,-0.360295,-0.071751,-0.245876,0.236792,0.146405,-0.192164,-0.208253,0.103937,0.470457,0.222584,-0.052374,0.499716,-0.00571,-0.270241,-0.085063,0.315475,-0.027737,0.195016,0.067979,0.98717,0.334226,-0.054019,0.033807,-0.568175,-0.21519,-0.285973,-0.445739,0.352779,-0.575543,-0.579711,-0.066981,-0.279283,0.172958,0.220943,-0.007653,0.59526,0.164631,-0.082489,-0.521215,0.277792,-0.248973,-0.13067,-0.221465,0.181002,-0.319586,0.026293,-0.194507,-0.151143,-0.227442,0.046445,-0.122214,-0.53388,-0.551125,0.037929,-0.155599,-0.218325,0.264445,-0.125479,-0.027429,0.314389,0.138568,0.154802,0.171945
set,0.334742,0.135301,-0.477496,0.008958,-0.0939,0.134199,-0.0954,-0.380765,0.30114,-0.314955,0.414011,-0.409669,-1.356776,-0.073104,0.126902,0.925714,0.008019,0.367995,-0.169612,0.286509,0.257075,0.557037,-0.519245,0.248745,0.106389,-0.148058,0.958767,-0.234213,0.262483,0.256087,-0.093393,-0.043767,0.418654,-0.099632,-0.016721,-0.081702,-0.034121,-0.648957,-0.086346,-0.630107,0.062925,0.206175,-0.160641,0.200667,0.131222,0.031794,0.240911,-0.012529,0.054871,0.016612,-0.213377,0.213921,0.248326,0.321573,0.16594,-0.547359,1.084418,0.661755,0.154058,0.214652,-0.560857,0.194295,-0.076762,-0.605857,0.251195,0.056017,0.237593,-0.548462,-0.290613,-0.164778,-0.162722,0.443357,0.047093,0.274924,-0.108875,-0.391729,-0.126851,0.027672,0.16162,-0.296454,0.057304,-0.00855,-0.011517,-0.033028,0.067976,-0.231667,0.253975,0.07327,-0.183934,-0.628416,-0.042345,-0.215948,-0.152681,0.27506,-0.166484,-0.319339,0.290037,-0.110358,0.271496,-0.155825
group,-0.578787,-0.285645,0.581557,0.169088,-0.736182,0.184757,-0.02621,-0.405191,-0.064446,-0.306797,0.113034,-0.295151,-0.811675,0.522913,-0.258431,0.015671,-0.446022,0.095295,-0.708665,0.175137,-0.159095,0.746319,0.221692,0.092578,0.049364,0.333009,0.416096,0.501362,-0.074827,0.064576,-0.255952,0.253452,0.464434,0.105921,-0.114407,-0.648746,0.319211,-0.551727,-0.184274,-0.097318,-0.270938,0.066003,0.966106,0.169959,-0.504532,-0.026655,0.118189,0.265834,0.604341,-0.037696,0.297348,-0.305134,-0.085417,-0.326106,0.330875,-0.022165,-0.208238,-0.072406,0.347083,-0.219272,-1.047523,-0.428519,-1.139671,-0.272024,0.812167,-0.462644,-0.288681,0.024868,-0.067883,0.420201,-0.247576,0.635925,0.563328,0.560629,-0.196355,-0.730758,0.514299,0.421218,0.347219,0.166282,0.847064,0.473843,0.148671,-0.638063,0.034383,-0.057216,0.20641,-0.162704,0.061453,0.35356,-0.393558,-0.01107,-0.12222,0.374241,0.27362,0.375001,0.699079,-0.409034,0.817882,-0.302051
space,-0.298326,-0.363203,-0.086104,0.006803,-0.717011,-0.188911,-0.51939,0.27246,0.334537,-1.264142,0.442814,-0.396075,-1.737898,0.038724,0.275518,0.905109,0.289989,0.005103,-0.319012,0.070944,0.674191,0.009383,-0.576271,0.978076,0.581631,0.188501,0.458301,-0.117085,-0.452579,0.268168,0.467394,0.197663,0.500872,0.18722,0.586259,-0.189329,0.395304,-0.419439,0.072091,-0.489601,0.035333,0.499803,-0.067141,-0.336518,0.507446,0.356507,0.480663,0.033054,0.108052,-0.07955,0.028278,-0.837137,0.217224,-0.140116,-0.040137,0.022579,0.469626,0.514407,0.641589,-0.362029,-0.779961,-0.113461,-0.592108,-0.236642,-0.314805,0.094845,0.949926,-0.066481,-0.206862,-0.598042,-0.045006,0.754274,0.009035,-0.303191,-0.742698,-0.424813,0.441172,-0.143601,-0.044,-0.341113,-0.195798,0.521636,0.075477,-0.401694,0.209566,-0.714997,0.141103,0.777341,1.40392,0.101087,0.38412,0.488267,-0.414845,0.880106,0.118949,0.200446,0.654709,-0.085254,0.929158,0.684109
two,-0.126173,-0.044205,-0.175679,0.245867,-0.477351,0.222391,-0.279969,-0.259698,0.100596,-0.402332,0.307268,-0.375,-0.527488,-0.058943,-0.380094,0.229012,-0.0589,0.04814,-0.094707,-0.211004,0.132946,0.36321,0.118963,-0.163146,0.260874,-0.233644,0.652959,0.010729,-0.073535,0.402849,-0.405064,-0.25872,0.320822,-0.216169,-0.07142,-0.264384,0.127227,-0.302008,-0.212585,-0.119433,0.314384,0.176967,0.024056,-0.3964,0.146557,0.718582,0.272879,0.082557,0.380045,-0.086284,-0.218719,-0.421241,-0.013527,0.015425,0.370123,0.015226,1.47715,0.383124,-0.116329,-0.074509,-0.676117,-0.196635,-0.258187,-0.772354,0.044812,-0.567021,-0.561269,-0.221903,0.141889,0.3752,-0.006436,0.0383,0.67216,0.233247,0.128855,-0.744951,0.221955,-0.27673,0.191009,-0.268723,-0.26807,-0.64759,0.156238,-0.179023,-0.074208,-0.219918,0.064723,-0.013416,-0.39766,-0.219428,-0.084913,-0.225872,-0.094602,0.399852,-0.246692,0.028595,0.513883,0.0569,0.029999,-0.035817
theory,0.00608,-0.68878,-0.025764,-0.626568,-0.165097,0.573326,0.838803,0.110857,-0.411966,-0.483265,-0.44365,0.250709,-1.640553,0.131312,0.106166,1.413702,-0.312877,-0.17492,0.302338,0.124183,0.334209,0.154559,0.118999,0.683728,0.143441,0.409378,-0.136976,0.421225,-1.549796,0.468092,0.999313,0.001142,0.647844,0.613365,-0.649163,-0.684521,-0.519101,0.098719,-0.206599,-0.792095,1.033946,0.536924,0.306132,0.697019,0.084765,-0.712894,-0.019222,0.084645,-0.058294,0.734727,-0.390725,-0.248752,-0.059091,-0.11207,-0.088973,-0.414634,-0.795448,0.352084,0.109893,0.167543,0.511621,-0.47516,0.292557,-0.524041,-0.235358,0.433738,0.325324,1.205723,-0.595709,0.67272,0.227654,0.228179,0.758726,-0.25088,-0.184144,-0.420978,0.007728,-0.013947,0.267029,-0.264635,0.112785,0.161311,-0.658271,-0.863064,0.525878,-0.164609,-0.392283,-0.550353,0.399007,-0.134409,0.307946,0.048467,-1.103156,0.73386,-0.226367,-0.352648,0.563361,0.384899,1.681254,-0.098477
point,-0.476176,0.128499,-0.084756,-0.202659,-0.405144,-0.357574,0.122335,-0.373567,0.177621,-0.433618,0.3803,-0.325199,-0.666928,-0.147932,-0.348105,0.248547,-0.149265,0.535316,0.246112,-0.124023,-0.056515,0.303517,-0.352767,0.860612,0.286884,-0.381756,0.103483,-0.218841,-1.015867,0.097288,0.009505,-0.339955,0.965952,0.042967,-0.485223,-0.396084,-0.334636,-0.140886,0.064881,0.039962,0.487536,0.372982,0.183228,0.342654,0.464959,0.53942,-0.163971,0.025879,0.79131,-0.326557,0.098155,0.354954,-0.231456,0.305199,-0.073336,0.167009,1.201201,0.584216,-0.368534,-0.098377,-0.060539,-0.506049,0.222232,-0.67127,0.421174,-0.773637,-0.422201,-0.359093,-0.48709,-0.027753,0.192312,-0.583599,0.141377,0.394854,0.233553,-0.540763,0.065827,0.084143,-0.187779,-0.197601,-0.662154,-0.740829,0.356708,0.318264,0.353108,-0.212084,-0.011424,-0.081481,0.061342,-0.254373,-0.145863,0.225421,0.32541,0.522421,0.070016,-0.097935,-0.484795,0.040296,0.35694,-0.165633
theorem,-0.248414,-1.065867,0.014748,-0.753785,-0.312712,-0.268492,1.034802,1.122107,0.566907,-1.028577,-0.172043,0.394667,-0.669026,0.41037,0.140654,1.989583,-0.434698,0.462023,0.580044,0.887942,0.473042,0.192749,-0.864453,0.312251,0.657262,-0.943532,-0.194108,-0.277736,-1.337577,1.504415,0.656032,-0.459204,0.337014,0.373404,-1.057726,0.004443,0.146072,-0.650547,-1.037111,-0.610432,0.792578,0.976961,-0.088222,1.364858,-0.379375,-0.1273,-0.023914,-0.135993,-1.248371,0.925316,-0.206654,-0.387911,-0.145004,0.679734,0.176045,-1.214213,-0.408118,1.177451,0.150451,-0.893053,2.072735,-0.016102,0.305084,-0.705073,0.372972,0.252273,1.054666,-0.143172,-0.721068,0.117276,0.33859,0.963821,-0.71872,-0.139605,0.518081,-0.548858,-0.000758,0.173255,0.159271,-1.543034,-0.260692,-0.234643,0.434931,-1.171404,0.193496,-0.2572,-0.404972,0.005559,-0.27237,-0.055969,0.275803,0.245152,-0.786122,1.116809,0.219472,0.060257,-0.044806,0.499218,1.754899,0.277345
