word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
number,-0.203449,0.815655,-0.146237,-0.300763,-0.544943,0.700869,-0.320393,-0.394947,-0.819185,-0.01263,0.337849,-1.664469,0.068696,0.556032,-0.477162,-0.13683,-0.37666,0.464944,-0.702732,0.776135,0.356322,-0.057697,1.158554,-0.375675,-1.258701,-0.033425,0.805186,0.013156,0.011752,0.318747,-0.77487,-0.003582,-1.449823,-0.526667,-1.05508,0.113593,0.764398,-0.081147,0.584786,-0.047941,0.36679,0.097815,-0.495534,0.503084,0.712219,0.108639,-0.223172,-0.908735,0.287282,-0.040723,-0.886267,0.419282,-1.169577,1.146631,-0.497899,-0.349487,0.363438,0.370288,0.020492,-0.386002,-0.682319,-1.654185,-0.551243,-0.335045,0.564875,-0.024292,0.612391,0.057721,-0.169313,0.278996,-0.199146,-0.278025,-0.122042,0.627693,0.537803,-0.933257,-1.676398,0.506855,1.859589,0.438634,-1.119899,-0.426774,-0.739452,-0.473794,-0.142275,0.06217,-1.149299,-0.200724,0.586762,0.501285,-1.592029,0.519914,-0.139102,-0.069833,-0.052367,-1.11228,-0.087629,-0.45404,0.861298,-1.338621
function,0.807506,1.643412,-1.057515,0.814627,-0.644053,0.023048,-0.299599,0.16355,-0.040256,0.556393,-0.035741,-1.183808,-0.056266,0.727064,-1.041403,0.011696,0.249748,0.63131,0.331785,0.21508,-0.746513,1.098351,0.21984,-0.63667,0.703059,0.743529,0.483112,-0.878597,-0.021539,0.290593,-0.89415,0.666368,-1.674467,0.284174,-0.952948,1.217419,-0.360721,0.742344,0.259088,0.191345,0.766516,0.10342,0.440998,-0.501888,-0.578801,0.359233,0.426411,0.188133,-0.128656,-0.558282,-0.630512,0.575927,-1.931012,0.513961,-0.416582,0.365928,-0.263808,1.070838,-0.095112,-1.022961,-1.89842,-0.783925,-1.050698,0.552355,-0.631375,1.385179,-0.529188,0.549664,0.765015,0.527429,-0.292403,-0.030823,0.687648,0.086417,-0.532961,-0.82006,-1.831547,-0.616504,1.244171,0.859652,-0.325962,0.183626,-1.2209,-1.353595,-0.664728,-0.268491,-0.318864,0.798197,-0.327868,0.264285,0.374076,0.308759,0.055213,-0.290732,0.111934,-0.326253,0.498876,-0.134717,-0.082336,-1.069666
one,0.226236,0.131159,-0.491452,0.254715,0.188448,0.251104,0.2363,-0.575911,-1.107235,0.196438,-0.51822,-1.000018,0.042563,0.543096,-0.150664,0.487989,0.180545,0.834486,0.526895,0.108455,-0.418123,-0.027657,0.801718,-0.703573,-0.150629,-1.101847,0.902228,-0.410773,0.32427,0.439344,-0.287961,-0.13892,-0.954921,-0.194873,-1.224401,0.169729,-0.029246,-0.374503,0.214047,-0.194543,0.466357,0.144178,0.260827,-0.527041,0.4814,0.188768,-0.923423,-0.896172,0.421824,0.223192,-0.302528,0.282346,-0.969323,-0.285984,-0.410989,-0.076966,0.571792,0.119594,-0.613992,-0.477474,-0.824622,-0.263599,-1.03881,-0.42809,0.275939,-0.022548,0.118104,0.129245,0.562823,-0.634588,0.473339,0.109234,0.708833,0.274223,-0.239544,-0.554427,-1.352614,-0.601211,0.550498,0.637964,-0.983734,-0.367882,-0.125754,-0.800433,0.019256,-0.464976,-1.023733,-0.014941,-0.013254,0.300053,-0.33912,0.471517,-0.505915,0.049218,0.137191,-0.574812,-0.63739,0.896469,0.062959,-1.441754
set,0.76372,0.103836,-0.460431,0.082346,-0.2112,0.874045,0.863081,-0.499478,0.138077,0.126504,-0.459484,-1.152284,0.097161,0.707019,-0.94851,-0.449928,0.075623,1.282069,-0.361373,1.210215,-0.223055,0.888779,0.9716,0.865582,-0.483052,-0.066376,0.914853,-0.550914,-0.898324,0.004489,-0.008477,1.212553,-1.65202,0.071955,-1.822669,0.312688,0.178169,0.172543,0.529451,-0.696357,0.763328,-0.710927,0.38844,-0.385664,0.407711,0.123841,-0.486146,-0.961891,0.524301,-0.265294,0.122586,0.147527,-1.966838,0.424641,-0.40621,0.145104,0.600589,-0.1501,-0.56597,-0.650421,-0.22619,-0.339879,-0.897619,-0.076934,-0.042345,0.391894,-0.738643,0.595949,0.203776,0.070705,0.738697,-0.274879,-0.122771,1.549471,-0.235031,-0.022501,-1.16477,-0.280314,0.472249,1.565017,-0.598805,-0.147842,-0.625262,-1.318807,0.550745,-0.041875,-1.048143,0.328583,0.575815,-0.301436,-0.294058,-0.037754,-0.5303,-0.280153,0.091538,-0.372839,-0.573022,0.113604,-0.291068,-0.774337
group,1.086713,0.418702,0.854946,1.015458,-0.730295,-0.543446,-0.652025,-0.106003,-0.188231,1.571313,-0.004503,0.005891,0.313557,1.394333,-0.630487,0.286743,-0.212837,0.330242,-0.804072,-0.082331,-1.086707,-1.151283,0.790802,-0.056478,-0.401108,-0.470688,0.654454,-0.411102,-0.502642,0.451601,0.411201,-0.170269,-1.219193,-0.410015,-1.376512,-0.219858,0.203169,1.46987,0.703419,0.484534,0.167258,-0.515654,0.386661,-0.397187,0.230339,-0.124818,-1.353537,-0.09055,-0.726397,0.987563,0.684223,0.621319,-1.165858,-0.716744,0.086505,-0.566862,-0.101233,-0.21743,-0.843412,-0.08454,-0.806505,-0.568377,0.139916,-0.409977,0.563714,0.525317,0.343664,-0.729188,0.56922,0.216246,1.037545,-1.11339,0.168323,-0.574243,0.402516,0.71669,-0.782152,-0.481916,1.461565,-0.267233,-1.791264,-0.487757,0.548127,-0.123457,-0.632955,-0.547494,-1.918786,0.914136,-0.013151,-0.530755,-1.392058,-0.126342,0.462505,-0.316924,0.401503,0.530616,-1.121948,0.567086,0.146801,-1.460289
space,0.465369,-0.031538,-0.761642,1.087065,0.214023,-0.759203,-0.058396,-0.37345,-0.473025,0.919554,-0.253209,-0.641826,0.122233,0.746372,-0.81454,0.210054,0.459108,0.495339,-0.389113,-0.184233,-0.967802,0.265,2.251594,-0.162247,-0.882199,-0.622269,1.09981,-0.393909,0.245993,-0.390811,0.743354,-0.301767,-1.123464,0.070128,-1.447408,0.549532,-0.049274,0.490806,0.263333,-0.190196,0.272637,0.089676,-0.127186,0.089736,0.559874,-0.112778,-0.481111,-0.38351,-1.340308,-0.014034,0.383076,1.044634,-1.995548,0.531385,0.412186,0.258468,0.832601,0.509279,0.769118,-1.036707,-1.098231,0.257141,-1.122463,-0.153711,0.307362,0.184055,-0.718529,0.252328,-0.637895,-0.051597,1.070269,-0.005426,-0.363337,0.137059,-0.908249,0.456268,-0.357966,-0.591605,0.56245,0.432534,-0.498072,-0.292368,0.841671,-0.642671,-0.059479,-0.896694,-0.502027,0.467599,-1.081701,0.068505,-0.931088,0.34777,-1.43104,0.261543,0.257957,0.280302,0.140068,0.214878,-1.151011,-1.590057
two,0.481465,0.158136,-0.693951,0.824879,0.006856,0.166928,0.183296,-0.27427,-1.229685,0.111863,-0.363244,-0.962073,-0.553806,0.570866,-0.411155,-0.12484,-0.000829,1.332837,0.065994,0.028546,-0.539599,-0.047376,0.589832,-1.078783,0.080234,-1.11765,0.47306,-0.423073,0.348269,0.124913,-0.787332,-0.212342,-0.905922,0.100253,-1.326393,-0.351863,-0.089866,0.030355,0.544983,-0.563743,0.083206,-0.05942,-0.319606,-0.547013,0.451851,-0.166042,-0.463601,-1.051246,0.584391,0.291301,-0.177196,0.491813,-1.353163,-0.0621,-0.376983,-0.546609,0.606728,-0.144089,-0.316493,-0.020936,-0.767194,-0.057885,-0.872874,-0.420517,0.647819,-0.485497,-0.427099,-0.441014,0.050734,-0.901763,0.546026,-0.386787,0.690569,0.821434,-0.148936,-0.355935,-1.137397,-0.516208,0.691619,0.570891,-1.00697,-0.443228,-0.353998,-0.027628,-0.150289,-0.351258,-0.969204,-0.15738,-0.185156,0.653311,0.125333,0.453106,-0.301,0.221757,0.128324,-0.133356,-0.596436,0.849533,-0.044371,-1.584431
theory,0.744863,-0.431702,-0.502818,0.02538,0.234994,0.055197,0.458696,-0.935104,-0.39854,0.928647,-0.125279,0.622871,0.481643,1.14406,-0.338992,-0.19268,-0.305194,-0.015952,-0.965011,0.29146,-0.187918,-0.794555,1.199381,0.022116,-0.539225,0.291046,1.427683,0.171277,-0.873984,0.474283,-0.433296,0.494267,-1.040012,0.128537,-0.96014,0.271082,0.416574,0.305993,1.177727,-1.099061,0.926053,0.332939,1.05363,-0.25524,-0.437538,0.30324,-0.121149,-0.216139,0.136104,-0.571484,0.648022,0.880336,-1.815635,-0.710313,-0.572908,-0.68685,-0.619499,0.138517,-0.183246,0.195237,-0.790127,-0.885707,-0.780165,0.442822,-0.602413,0.772984,-0.225569,0.608805,-0.000769,-0.102203,0.758128,0.022783,0.773514,0.937711,-0.340094,-0.302297,-1.230885,-0.490601,0.878584,-0.0081,-1.420634,0.005376,0.029722,-1.968277,0.208925,-0.259742,-1.099191,0.577079,-0.315185,-0.275176,-0.14814,-0.295775,-0.361274,-0.006298,0.076273,-1.488388,-0.409189,0.422846,0.816,-0.323451
point,0.547139,0.371693,-0.985119,0.602758,-0.186303,0.233358,-0.65142,0.146457,-0.498449,0.195258,-0.144114,-1.138084,0.522161,0.356713,0.196504,-0.638141,-0.224397,1.255101,0.919882,-0.263773,-0.805688,-0.808554,0.640334,0.107295,1.078003,-0.556525,1.388523,-0.836964,0.488918,-0.077213,0.048887,-0.586512,-1.556774,0.201911,-0.873437,-0.886938,-0.249796,-0.022317,0.663237,-0.45954,0.225569,-0.102178,0.118519,-0.761987,0.486176,-0.136286,-0.231628,-1.213024,-0.462297,-0.117724,-0.184156,1.163383,-1.707571,0.231154,-0.503692,0.740391,0.419596,1.14044,0.008467,-1.20865,-0.378021,0.35393,-0.179161,0.63783,0.617831,0.054445,-0.036609,-0.357613,-0.272415,0.344009,0.330065,-0.822547,-0.658175,1.567907,0.727352,0.177134,-0.791695,-0.526278,-0.443346,1.233507,-1.077564,-0.44165,-0.745763,-0.769807,0.160162,0.195939,-0.753346,0.246656,0.208275,1.045976,-0.646,0.2826,-0.776839,-0.133011,-0.338069,-0.131882,-0.614053,0.398446,0.186551,-1.501068
theorem,0.094409,-0.001502,-0.436392,0.169441,0.562191,0.644292,-0.432357,-0.198232,-0.585493,0.016578,-0.870424,0.242232,-0.289778,0.434428,0.254928,0.620882,-0.250125,-0.591022,0.176561,0.328109,-0.055605,-0.245332,1.295908,-0.510188,-0.428795,0.261055,0.610473,-1.356653,0.18295,0.086451,-0.417066,0.056872,-2.258419,0.02319,0.018712,0.365367,0.614139,0.458094,0.773578,-1.551694,0.12861,0.887906,-0.730885,-0.427275,-0.07342,-0.316334,-0.194797,-0.02582,-0.249318,0.291642,-0.175734,1.359195,-2.293059,-0.468954,-0.185829,-0.688165,0.622873,1.215245,-1.385217,-1.054512,-0.492742,1.02258,-0.184996,0.443823,1.06628,0.579764,-0.017666,0.103122,0.300189,1.061039,0.615051,0.587138,0.622649,0.351049,-0.442828,0.112137,-0.647114,0.808818,0.609152,0.065855,-1.561895,-0.180731,0.358792,-1.102262,-0.99352,0.196977,-0.873243,0.425554,-0.116831,-0.417439,-0.188155,0.045511,-0.09167,-0.727281,-0.582862,-1.36566,0.021885,1.152567,0.599793,-1.245583
