word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
number,-0.504548,-0.709936,-0.46848,-0.150949,-0.65128,0.315852,-0.269915,-0.011767,0.629607,-0.613322,-0.294275,0.469585,0.052765,-0.098063,-0.512874,0.228159,-0.692504,0.259864,-0.615381,-0.054166,0.054369,-0.454335,-0.11367,0.448092,-0.276064,-0.286885,0.357408,0.330652,-0.251865,0.22211,-0.011562,0.123544,-0.151858,-0.513969,0.281499,-0.215408,0.010052,0.052211,0.011901,0.120834,-0.44694,0.59652,-0.441643,-0.199553,0.151226,-0.057317,-0.61611,-0.063821,0.140165,-0.157848,0.37323,0.309608,-0.967857,-0.230192,0.811047,-0.117226,-0.071976,-0.081089,-0.6646,-0.90104,0.35596,0.191366,0.093317,-0.042914,0.013004,0.303693,-0.363366,0.056387,-0.409712,-0.842697,0.062472,-0.198291,-0.281876,-0.131302,-0.62784,-0.587879,0.552843,0.315239,0.110156,-0.868339,0.514592,0.238644,-0.859894,0.519102,-0.216818,-0.822382,0.135035,-0.036742,0.413424,0.215884,0.080292,0.105345,0.27491,-0.024767,0.137874,0.609595,-0.056811,-0.230983,-0.154668,0.190339
function,-0.292037,0.822513,-0.331823,-0.031647,-0.35375,0.393686,0.057,-0.883827,-0.383508,0.07072,-0.459138,0.861531,0.057906,-0.234904,-0.471454,0.135837,-0.676944,-0.417795,-0.139477,-0.958998,-0.840707,-0.403672,-1.114323,0.468105,-0.222804,-0.172005,0.345433,-0.151996,0.2858,0.356235,-0.088088,-0.124266,-0.1891,-0.617471,-0.229037,-0.330357,-0.30178,-0.188277,0.276539,-0.337011,-0.174136,-0.617533,-0.495542,-0.67222,-0.133665,0.13412,-0.759495,0.294366,0.177639,-0.202699,0.292057,-0.135212,0.43764,-0.177294,1.112683,-0.322114,0.517814,0.678791,0.128224,-0.047792,1.014795,0.092777,-0.474056,-0.227853,0.283727,0.229648,0.023885,-0.012083,-0.615585,-0.450569,0.029558,0.889525,-0.075982,-0.262464,0.197224,-0.562365,0.178047,0.043127,0.002976,-0.075579,0.319784,0.240525,-0.817508,-0.269094,-0.079204,-0.355899,-0.408737,-1.053289,0.581225,-0.627302,0.11475,-0.475439,-0.084311,0.569547,0.558753,2.41196,0.528224,0.230369,-0.247112,-0.647615
one,-0.252165,0.088485,-0.544133,-0.18453,-0.24566,-0.043768,0.278252,-0.052985,0.269266,-0.156064,0.068732,0.153004,0.149293,-0.135572,-0.206248,0.00944,-0.138375,0.08812,-0.189703,-0.191312,-0.143445,-0.10955,0.161861,0.028295,-0.101884,-0.644629,-0.121395,0.128093,-0.166111,0.122782,0.093672,0.571319,0.310052,-0.456097,0.034981,-0.206655,0.353896,-0.022192,0.171623,0.029014,0.014087,0.254364,-0.50289,-0.175544,-0.403275,0.23267,-0.895109,0.080704,0.17712,-0.431425,0.275067,0.29677,-0.379559,-0.157231,0.111806,0.34516,0.049826,-0.092346,-0.307643,-0.392657,0.145064,-0.141688,-0.082848,0.112927,0.19,0.041171,-0.652676,0.088803,-0.411278,-0.701587,0.042098,0.063959,-0.327148,-0.242817,-0.218995,-0.512019,-0.026807,0.00522,-0.177381,-0.420441,0.336557,0.102804,-0.358233,0.438123,-0.295263,-0.802292,0.026736,-0.052576,-0.043462,-0.288969,-0.173281,-0.000851,0.011147,-0.489938,0.098039,0.035339,-0.12211,0.206897,-0.144438,-0.356607
set,0.096674,-0.304739,-0.581488,-0.171989,-0.42689,0.143942,0.11149,-0.330774,0.25084,-0.309573,-0.207411,0.081045,0.614243,-0.137838,-0.804394,-0.084273,-0.029949,0.168192,-0.242678,-0.129531,-0.096774,-0.144118,-0.143092,-0.147654,0.100922,-0.509754,-0.085101,0.375183,-0.081022,0.182663,-0.127562,0.564794,-0.174553,0.07781,-0.109454,-1.065288,0.190806,-0.110655,0.085392,-0.101687,0.019185,0.47798,-0.099963,-0.089885,-0.225186,0.181256,-0.580933,0.283554,0.688748,-0.48523,0.243798,-0.302904,-0.272591,-0.319239,0.492973,0.171914,0.286274,-0.323937,-0.073899,0.074548,0.278825,-0.275768,-0.029511,0.171132,-0.05656,0.021799,-0.670268,-0.679743,-0.275886,-0.649715,-0.035239,-0.26848,-0.177333,-0.096774,-0.231656,-0.112357,-0.176292,-0.029403,0.103311,-0.173366,0.51762,0.083655,-0.643802,0.211944,-0.085942,-0.21558,0.14147,-0.235615,-0.126264,0.062603,-0.193521,0.139448,0.092722,-0.150134,0.097846,0.526048,-0.216443,-0.254046,0.411235,-0.292617
group,-0.393059,0.074666,0.201229,-0.149424,-0.43849,-0.144207,0.297523,0.228008,0.375199,0.486699,-0.30757,0.184296,0.38365,-0.25032,0.69855,0.298633,-0.260109,0.053285,-0.152862,0.022192,-0.422496,-0.040324,-0.382336,0.754602,0.001786,0.251761,0.201189,-0.217286,-0.627773,0.150221,0.517945,0.422843,0.629148,-0.127881,-0.897368,0.281139,-0.364301,0.487215,0.589534,-0.286541,0.058324,0.104451,-0.343409,-0.016198,-0.058704,0.325394,0.096818,0.175171,0.631269,0.065882,0.713782,0.833715,-0.442015,-0.209353,0.22599,0.323866,-0.061304,-0.509037,-0.178878,0.216458,1.023888,-0.107417,0.258208,0.024135,0.177993,0.140568,-0.353816,-0.137517,0.113746,-0.795908,0.622167,0.054534,-0.391872,0.373225,-0.355277,-0.382282,0.543423,0.130304,0.028432,-0.584512,0.539151,-0.312124,-0.407333,0.333692,0.054816,-0.737657,0.289053,-0.31354,0.532066,0.003819,0.450372,0.104264,-0.528146,-0.59316,0.433942,0.102289,0.053507,-0.561907,-0.253131,-0.225417
space,0.017484,0.121222,-0.153595,-0.124993,-0.225547,-0.120934,-0.019446,-0.369467,-0.303758,0.264224,-0.09695,0.7204,0.910212,0.152483,-1.337679,-0.256313,0.888246,-0.183089,0.087949,-0.147047,-0.854343,-0.378301,-0.373215,-0.136212,-0.342066,-0.860637,-0.168706,0.213348,-0.330153,-0.386068,0.558341,-0.07586,0.232494,-0.119153,-0.520159,0.016555,-0.454678,-0.240707,-0.15195,0.208897,0.399488,-0.038054,-0.820895,-0.482659,-0.093162,-0.214027,-1.352649,0.503975,0.448431,0.245591,0.143101,0.047424,-0.197507,-0.045899,0.584995,0.201416,0.014806,-0.702679,0.06018,0.260576,0.020483,0.856479,-0.347612,0.336936,0.728305,-0.127553,-0.320291,-0.708886,-0.287213,-0.914783,0.503254,0.0575,0.215778,0.031161,-0.53513,0.842884,-0.027765,0.166958,0.150887,-0.620138,0.215778,0.121631,-0.883736,0.095933,0.169474,0.30166,0.317683,-0.613976,0.400177,-0.075703,0.573028,-0.556547,-0.2007,-0.276573,0.169867,1.432629,0.435822,0.114016,0.091009,0.09394
two,-0.266022,0.201595,-0.469202,-0.178329,-0.248676,-0.289455,0.070864,-0.312796,0.219791,-0.167552,0.040741,0.012158,-0.172177,-0.182393,-0.463627,0.1093,-0.374078,-0.004061,-0.152099,-0.365908,-0.374058,-0.135093,0.093393,0.194328,-0.266215,-0.675489,-0.181616,-0.022367,-0.249201,0.034449,0.076472,0.927856,0.216541,-0.217845,0.145161,-0.239228,0.055366,0.09308,0.01765,0.036192,-0.210728,0.531427,-0.253143,0.022631,-0.451334,-0.007237,-0.655453,0.005576,0.365708,-0.388309,0.560295,0.362205,-0.654498,-0.192428,-0.16048,0.29591,-0.222068,-0.21963,-0.243203,-0.162518,0.047905,-0.329123,-0.013457,0.113888,0.356949,-0.063007,-1.089516,-0.247684,-0.581354,-0.54466,0.073676,-0.01246,-0.217288,-0.26532,-0.517158,-0.482998,-0.044869,-0.10782,-0.202752,-0.492864,0.469003,-0.054903,-0.180247,0.385916,0.01471,-0.925661,-0.113791,0.002566,0.037161,-0.303332,-0.233417,-0.053478,-0.24522,-0.830877,0.142655,0.205229,-0.025256,0.271684,0.023471,-0.473409
theory,0.34616,-0.218274,-0.913949,1.174722,-0.727003,-0.690432,0.034071,-0.266433,0.460505,0.643465,0.179295,-0.703184,0.139657,0.373924,-0.822724,-0.191511,0.1977,-0.157283,0.281741,-0.509236,-0.302578,-0.415488,-0.788118,0.890503,-0.610211,1.294824,-0.097485,-0.419668,-0.463184,0.141113,0.223003,-0.530434,0.36818,-0.73543,-0.651674,0.213418,-0.406317,-0.167059,0.660991,0.326723,-0.005697,0.12165,-0.577438,-0.03025,-0.887822,0.317695,-1.621629,0.633195,0.468137,0.288312,0.495743,-0.107215,1.59673,-0.133391,0.122674,-0.717938,0.409262,0.60326,0.207535,-0.432183,1.376439,0.29999,-0.206345,-0.522437,0.547596,0.22508,0.171983,-0.096984,0.695036,0.152985,-0.86901,0.452136,0.06654,0.497272,-0.925059,0.05113,0.155043,0.592249,-0.127107,0.050381,0.393515,0.227997,-0.274043,-0.064545,-0.134619,0.097099,-0.378517,0.333477,0.171009,-0.997207,0.478164,0.098833,-0.102184,0.125207,0.488967,0.810434,0.358295,-0.746694,0.760172,-0.167281
point,0.458777,-0.033314,-0.376953,0.021884,-0.156749,-0.130209,0.35285,-0.347302,0.254562,-0.395712,0.304094,-0.317005,-0.462266,-0.036534,-0.513178,-0.063695,-0.575273,0.258311,-0.344231,-0.320994,-0.199053,-0.042009,-0.129135,-0.059575,-0.542763,-0.725815,-0.764252,0.380297,-0.363352,-0.026397,-0.244757,0.392443,-0.228781,-0.73695,0.523852,0.046874,0.031294,-0.129391,0.304921,-0.75145,0.008702,0.93494,-0.485236,0.403401,-0.511736,0.275478,-1.151734,-0.356082,0.433956,0.766333,-0.12525,0.170126,-0.623076,0.122942,-0.372833,0.143766,0.015747,0.230532,-0.183966,-0.167751,0.507352,-0.149073,0.247385,-0.417652,0.029895,-0.062502,-0.49756,0.070261,-0.372155,-0.977705,0.108521,0.136066,0.028855,-0.259699,0.168565,-0.303665,-0.091354,-0.292825,0.238784,-0.27459,0.240359,0.080184,-0.284599,0.301394,-0.378846,0.05148,0.639417,0.400538,0.278247,-0.416638,-0.500675,0.206771,-0.130306,-0.470307,-0.002283,0.345989,-0.135513,0.204985,0.606453,-0.315426
theorem,-0.029615,-0.615325,-1.041059,0.748988,-0.775214,-0.377017,-0.544579,-0.656144,0.596828,0.076431,-0.247088,0.393624,-0.717771,0.454654,-1.468424,-0.077704,-0.503648,-0.150598,-0.009987,-0.589857,-0.090637,0.427075,-1.103018,-0.015061,-0.476123,0.980362,0.056117,-0.709937,-0.116068,-0.232327,0.618846,-0.282953,0.085269,-0.414382,0.168067,-0.585311,-0.582153,-1.308336,0.592827,-0.394206,-0.070094,-0.262374,-0.682821,-0.994223,-1.055513,-0.667016,-0.084279,-0.159608,-0.018824,0.278824,0.238992,-0.454751,1.632461,0.521594,0.035321,-0.392216,1.102128,0.557764,-0.012949,-0.979745,1.281015,0.494692,0.322408,-0.544404,-0.108522,0.418178,-0.571984,0.942273,0.411659,0.188049,-0.98956,-0.316057,-0.59098,0.017632,-0.250864,0.122055,-0.152629,0.867656,-0.323233,-0.28692,0.227124,-0.293981,0.551094,-0.937538,0.110233,2.063981,0.208694,0.38345,-0.269584,-0.695398,0.099293,0.238944,0.155765,0.309911,0.221452,1.751409,0.756994,-0.087949,0.458175,-0.708995
