word,1,2,3,4,5,6,7,8,9,10
number,0.291694,1.049593,-0.013292,0.88648,-0.09428,-0.015735,0.955521,-1.092016,1.925709,-0.067866
function,0.304531,0.9168,0.313687,-0.289827,0.33314,1.622715,2.14589,-1.240076,0.85242,0.571877
one,-0.361453,0.941876,0.099936,0.10764,-0.175241,-0.041529,0.209814,-1.128314,1.875024,-1.288979
set,-0.650733,0.690077,0.786288,0.272404,0.113697,-0.219739,0.627024,-1.08473,1.477166,-0.742622
group,-0.867684,1.475072,-0.099149,-0.473022,-0.8071,0.349061,0.26064,-0.470989,1.46786,-0.158769
space,-0.510983,0.694262,1.106854,-0.648365,0.550192,0.279934,1.060975,-0.931925,1.753741,0.320175
two,-0.200634,0.835398,-0.141952,0.050802,0.004895,-0.50606,0.006757,-1.466375,1.982017,-0.767494
theory,-0.95611,0.894312,-0.254237,0.044595,1.408309,2.298065,2.27906,-0.253068,-0.276816,-0.493587
point,0.094208,0.278836,-0.376117,0.600396,-0.298245,-0.340042,0.428198,-1.216924,2.051047,-0.030322
theorem,0.225734,-0.997525,0.033958,0.173381,1.400453,1.221888,1.883848,-0.477036,-1.456712,0.733342
example,0.225512,0.99406,0.308135,-0.353737,0.468141,0.849568,1.851266,-0.810429,1.355427,-0.793545
form,0.367716,1.219222,-0.160733,-0.902598,0.532706,0.460097,0.839784,-0.814343,1.645154,-0.739503
define,0.57302,0.953917,0.100835,0.054208,0.509932,1.628638,2.209687,-0.534322,1.062587,-0.012621
graph,0.58318,-0.528398,0.710165,0.02739,1.002886,1.163286,2.329657,0.082328,-0.154744,0.963754
value,0.474519,0.64573,0.392378,0.442526,0.067013,1.727299,2.132032,-0.708103,1.444572,-0.00269
problem,-0.531771,0.312685,-0.000999,-0.089121,0.042564,1.895977,1.442991,-1.501014,0.800467,-0.295485
mathematic,-0.727153,1.443383,0.398863,0.033103,1.205846,1.66686,1.058295,0.9269,-0.449778,0.913063
order,0.217649,1.386039,-0.081053,0.656174,-0.288235,0.71095,-0.002284,-1.706916,0.827246,-0.956838
equation,0.097094,-0.562698,-0.481053,-0.055042,1.52678,1.189864,2.654551,-1.289629,-0.750454,0.982777
first,-0.923172,1.346025,0.052113,0.40034,-0.205168,-0.431793,-0.410841,-0.968248,1.400587,-0.780085
