word,1,2,3,4,5,6,7,8,9,10,11
number,0.784311,-0.609348,-0.273415,2.653192,-0.532549,3.067081,-0.086366,-0.212064,0.707972,1.812727,2.359669
function,-0.066241,-2.260815,-0.173493,1.621373,-0.069372,2.547968,1.288441,-2.047255,0.151943,2.81323,0.542754
one,-0.315894,-1.252083,0.211225,1.581193,-1.953516,2.648058,-0.126056,-0.436718,0.077947,2.039384,2.240209
set,0.792146,-2.750696,0.139507,1.153896,-0.883683,2.339754,0.036026,0.768272,-0.098418,2.444923,1.745958
group,-0.180406,-3.309703,-0.480208,0.417662,0.226319,2.934008,-0.973945,0.427987,-0.220313,0.726507,1.780621
space,-1.328117,-3.17498,0.544905,0.303905,-0.277486,2.497234,-0.053616,0.254018,-0.620709,2.280686,1.592366
two,-0.761421,-1.35957,0.335692,1.458728,-1.669034,2.550847,-0.059828,-0.289375,0.081558,1.566701,2.911722
theory,0.348086,-1.844317,0.521285,-0.304219,-0.057558,4.382095,-0.57764,-0.505969,-0.259488,1.615091,-0.048433
point,-1.752728,-1.758934,0.454877,1.3104,-1.560337,1.525059,-0.161578,-0.816924,0.418054,1.977567,2.206713
theorem,-0.766388,-0.868188,-0.418916,1.377218,0.912806,3.172824,-1.50988,-0.497967,-0.271413,2.846462,0.365079
example,-0.090362,-1.87415,-0.259803,1.46571,-1.250325,2.76983,0.117221,-0.41077,0.054546,1.559806,1.269345
form,-0.837716,-1.902333,-0.553222,1.560225,-0.574438,2.808566,0.238809,-0.702235,-0.233914,1.26749,1.867697
define,-0.528647,-2.647001,-0.53546,1.327292,-0.582369,2.161522,0.359969,-1.0037,-0.389208,2.224282,1.257827
graph,-0.989802,-1.1836,1.058732,1.198961,-0.473288,2.745878,0.208668,2.088393,0.76001,1.731976,1.323002
value,0.484807,-1.302333,0.105257,2.179528,-1.531439,1.726139,1.095242,-1.424175,0.663348,2.588058,1.267962
problem,-0.008316,-0.182448,0.790799,1.190054,-1.195587,3.743261,0.030166,0.480059,0.632573,1.973057,0.122027
mathematic,1.371519,-0.770829,1.417137,-1.124329,-0.498366,3.477858,-1.189239,-0.935111,-0.253645,1.015131,1.513202
order,0.409573,-1.751026,-0.359738,1.797914,-0.331192,2.633539,0.455109,0.275929,0.348738,1.18832,2.016595
equation,-1.273046,-1.044658,-0.085134,0.960514,-0.475597,2.822943,0.246272,-2.645481,0.389991,1.661055,-0.018034
first,0.744068,-0.487765,0.467899,1.063606,-1.119477,2.741966,-0.782092,-0.952176,0.22321,1.658631,1.854869
vector,-1.239209,-3.064448,-0.287218,0.72958,-0.848492,1.591968,1.149575,-1.713953,-0.478989,1.721978,1.494051
algebra,0.364043,-3.061455,-0.692333,-0.001347,0.584895,3.078681,-1.023754,-0.550327,-0.665956,0.654612,1.125707
$\mathbb{N}$,-0.205379,-2.46223,-0.40358,2.594774,-0.719137,1.070023,0.384515,-0.071019,1.642934,1.699566,1.845975
field,-0.325362,-2.264113,0.274143,-0.00054,-0.256232,2.894236,0.329936,-1.140867,-0.858911,1.783167,1.145893
element,0.283305,-2.627311,-0.375749,1.326631,-1.026134,1.688445,0.248401,-0.217474,0.216755,1.365877,2.199212
system,0.288959,-1.141486,0.390482,0.387491,-1.256954,3.313217,1.003721,-0.997336,-0.054807,0.696693,0.534587
matrix,-0.618497,-1.759463,-0.676799,1.681048,0.176236,2.308254,1.713697,-1.201474,0.104399,1.111677,1.144837
mathematical,1.936864,-0.484296,1.206385,-0.982988,-0.543947,4.196824,-0.558423,-1.01085,-0.007522,0.273955,0.964594
method,-0.24135,0.009358,0.302403,1.305554,-1.013448,3.695098,0.666081,-1.27905,0.827609,1.576409,-0.616036
finite,-0.072572,-2.82526,-0.264107,1.165954,-0.20451,2.67039,0.054589,0.634051,-0.132111,2.157461,1.106261
result,0.065253,-0.736913,0.015619,1.554186,-1.388542,2.611903,-0.410913,-0.670728,0.187059,2.164114,0.635642
vertex,-1.481171,-1.391687,0.791311,1.898178,-1.472337,1.440278,0.113837,1.612561,1.402792,0.768198,3.163373
term,0.14872,-1.08078,-0.440942,1.560801,-1.045783,2.363623,0.456438,-1.485353,-0.288504,1.64394,1.262549
line,-1.98456,-1.678332,0.118913,0.992435,-1.81333,1.29078,-0.512572,-0.733015,0.228444,1.13086,2.10493
model,0.180954,-1.009514,0.806016,0.352619,-1.09577,3.114152,1.255423,-0.289056,0.085064,1.442326,-0.189521
real,-0.319374,-2.234322,-0.389686,1.269598,-0.240669,2.225984,0.198211,-0.891809,-0.396796,2.036478,1.298603
property,-0.174825,-1.947139,-0.483763,1.051512,-0.818701,2.518507,0.076882,-0.111484,-0.99723,2.131115,0.895201
geometry,-1.220099,-1.240007,0.442003,-0.447875,-0.121771,3.971551,-1.347502,-0.603002,-0.213389,0.193647,1.24769
complex,-1.260713,-2.456053,-0.266116,0.485974,-0.173414,2.819061,0.013017,-0.865352,-0.304831,1.294245,1.062877
linear,-0.51558,-2.49865,0.242954,0.793154,-0.37617,3.002392,1.121344,-0.753934,0.172356,1.653014,0.260777
polynomial,0.095292,-1.199612,-0.985759,2.512128,0.596774,2.638762,0.452071,-0.610839,0.68141,2.094997,0.095681
algorithm,-0.263263,0.081819,0.719759,2.03474,-1.41046,3.252874,0.557878,0.131723,1.917018,1.683806,-1.138729
mathematician,1.071343,1.884441,1.780931,-0.949062,1.083461,3.261869,-1.305631,-1.602803,-0.209109,0.814355,2.61463
definition,0.134492,-2.025392,-0.656354,1.122441,-0.843219,2.531991,-0.262983,-0.424805,-0.699014,1.896835,0.640386
product,-0.19755,-2.284167,-0.795959,1.32443,-0.218884,1.883217,0.617071,-0.875319,-0.426444,1.250241,1.863694
state,0.592928,-1.00923,1.257782,-0.128302,-0.510806,1.798348,0.23956,-0.977935,-0.100429,2.351833,1.525601
sequence,0.241281,-1.261032,-0.412015,2.081395,0.036415,1.704517,0.38617,-0.139956,0.579694,2.056214,1.178865
distribution,-0.100384,-0.207302,0.304793,1.680638,-0.232323,1.817578,2.136508,-1.772509,0.43829,2.4705,0.476387
variable,0.961486,-1.485888,-0.168866,1.365276,-1.284575,1.731457,1.589543,-1.733065,0.016479,1.979721,0.779502
solution,-0.936855,-0.6275,0.097674,1.589513,-1.286284,2.433939,0.034384,-0.878235,0.664044,2.240938,0.168386
square,-0.986459,-0.085983,-0.429919,2.620908,-0.56853,2.158422,0.846933,-0.574697,0.93594,0.804936,2.429544
map,-1.303374,-3.249156,-0.226152,0.196087,-0.874181,1.21598,0.121899,-0.690995,-0.504761,1.674668,1.12101
class,0.55608,-2.42179,0.161702,0.413134,-0.416415,2.190009,-0.391439,0.465906,-0.280262,1.569438,1.070077
integer,0.461243,-1.519764,-0.992924,2.746993,-0.374207,2.064095,0.151915,-0.492844,0.836214,1.690886,1.592603
mean,0.098808,-1.128212,-0.037835,1.550674,-1.252999,1.500706,0.747381,-1.058613,-0.05196,2.017737,1.398095
proof,0.547727,-0.767394,-0.696701,1.379939,-0.876844,2.894146,-1.725498,-0.573585,0.138081,1.842264,-0.032809
three,-0.801726,-0.697628,0.428967,1.103804,-1.637104,2.259894,-0.664819,-0.112236,0.236733,0.868577,2.797355
dimensional,-2.026344,-2.329232,0.092302,0.742285,-0.4873,2.729163,0.366579,0.189134,0.265027,0.811417,1.600143
zero,-0.365123,-1.457693,-0.414745,1.818148,-0.935261,1.17451,0.436034,-1.286313,-0.092573,2.299689,1.789723
algebraic,-0.243894,-2.307343,-0.257739,-0.014259,0.395209,3.390977,-1.149568,-0.331089,-0.400879,0.980127,0.637286
