word,1,2,3,4,5,6,7,8,9,10,11,12
number,0.876816,0.313621,-0.861143,0.225512,0.335639,1.877238,0.960193,0.862212,0.095907,-0.478332,-0.333032,-0.941404
function,0.626033,1.301804,-0.708893,0.259367,-1.35568,2.176522,1.051193,-0.375735,0.737431,-0.152653,1.14976,-1.048994
one,0.98016,0.009137,-0.73216,0.071044,0.556124,1.973317,0.317013,0.99697,-0.875958,0.120245,-0.134129,0.23394
set,0.972477,0.345727,-0.642626,0.519509,0.772762,1.744671,0.587058,0.591322,-0.078402,0.595951,0.013693,-0.011663
group,0.921479,-0.390476,0.446974,0.016227,0.100007,1.705071,0.233005,0.457059,-1.001977,0.222363,0.453086,-0.761497
space,1.293963,0.174104,-0.815288,0.465828,-0.386776,1.452485,1.615754,0.070402,0.033369,0.734112,0.882298,-0.275445
two,0.837584,0.113081,-0.849957,0.066887,0.814253,1.464394,0.701469,1.551737,-0.927682,0.088218,0.201249,-0.045858
theory,1.236168,1.670837,0.341529,0.179689,-0.961791,2.217329,0.766547,-1.832915,0.21538,-1.029165,1.071186,0.211986
point,0.548457,0.362569,-0.357226,-0.565956,1.026643,1.626117,1.538225,1.386278,-0.046612,-0.073463,0.006582,-0.652989
theorem,0.067983,3.119584,0.47337,-0.025112,-0.546991,0.537405,1.37762,-1.114003,1.438286,-0.340188,1.298558,0.826282
example,0.943242,0.474201,-0.792483,0.480413,-1.052995,2.240677,0.604394,0.428294,0.285227,-0.381517,0.292881,0.07756
form,0.883255,0.207809,-0.459627,0.127783,-0.834469,1.709781,0.783165,1.007598,-0.910991,-0.434841,0.410197,0.185756
define,0.461704,1.031778,-0.157696,0.070365,-1.307432,2.40699,1.395795,-0.122479,0.553019,-0.566415,0.414526,-0.598677
graph,0.451959,1.844797,0.096275,-0.066993,-1.198895,0.839189,2.272505,-0.798743,1.6376,0.089627,0.344407,0.115377
value,0.106228,0.564073,-0.506114,0.281898,-0.869958,2.912141,1.043672,0.085687,0.978694,-0.483585,0.134172,-0.706014
problem,0.412236,0.883879,-0.707244,-0.366369,-0.43278,2.320725,0.187341,-0.62784,0.195189,0.212303,1.077742,-0.27649
mathematic,0.735343,1.344259,1.210726,0.750784,-0.94212,0.947234,1.551877,-1.976232,-0.545908,-0.525589,0.35777,-0.408096
order,0.253847,1.065452,-1.18398,0.081549,0.251838,1.840686,-0.424982,0.660592,-0.882158,-0.176544,-0.119771,-0.524537
equation,0.595407,2.600215,0.153984,-0.101973,-0.934234,0.974134,1.443578,-0.623975,1.481751,-0.572894,1.877916,-0.128521
first,0.915897,-0.002114,-0.258088,0.517542,1.281246,1.456857,0.100898,0.77684,-1.466288,0.09922,-0.03953,-0.256255
vector,1.000049,1.658613,-0.432749,-0.075793,-1.32099,1.22087,1.767818,-0.035614,1.731852,-0.162031,1.104306,-0.713264
algebra,0.721535,2.652741,0.707842,0.639994,-0.952062,0.66315,2.10012,-1.216296,1.450874,-0.463757,0.543586,0.012281
$\mathbb{N}$,1.315208,0.035132,0.185774,0.41853,0.323467,0.192021,0.691249,1.0298,1.476456,-0.861122,0.618083,-0.697861
field,0.753176,0.305666,-0.215112,-0.362836,0.455694,1.206927,1.517699,0.162143,-1.15286,-0.117187,1.318621,-0.673752
element,1.442637,0.942248,-0.73123,0.513241,-1.145989,1.956923,0.806538,0.446476,0.24847,0.058301,0.315831,0.252781
system,0.953971,-0.289704,-1.246795,0.689421,-1.11708,2.137274,0.747277,-0.191674,-0.426064,0.58976,1.231262,-1.818925
matrix,0.874493,1.496798,-0.12135,0.364139,-0.895282,1.093536,1.499182,0.089515,1.853958,-0.007943,1.392982,-0.280058
mathematical,0.976634,1.526006,0.923965,0.821655,-1.233692,1.203305,1.392107,-2.066212,0.142198,-0.383856,0.64824,-0.269552
method,0.689203,0.574581,-0.9757,0.401122,-1.419798,2.165835,0.569316,-0.818603,0.553646,-0.231951,1.664869,-0.256242
finite,0.628784,2.545254,-0.119769,0.330626,-1.091212,1.414998,2.150959,-0.271675,1.864809,-0.499801,0.641272,-0.244647
result,0.26232,0.50773,-0.175245,-0.75452,0.347673,2.452027,0.169305,0.920522,-0.526142,0.071167,0.913761,-0.947114
vertex,0.311033,2.095948,-0.197825,-0.286464,-0.958729,0.3193,2.776534,0.840741,1.723406,0.325913,-0.166238,0.197239
term,0.256787,0.524007,-0.356636,-0.232606,-0.461603,2.580004,0.267758,-0.249307,-0.485933,-0.551638,0.273974,-0.266161
line,0.594193,-0.00472,-1.223939,0.370988,0.362336,0.83343,1.426592,1.586627,-0.966484,0.618428,0.084447,-0.472298
model,1.037797,-0.109626,-0.399138,0.733011,-0.359315,1.433012,0.758768,-0.152469,0.446357,0.273253,1.194414,-0.820186
real,0.577629,-0.164257,0.253222,0.306953,0.52693,2.095812,0.039976,0.189345,0.178527,0.35585,0.223864,0.232689
property,-0.714903,0.407467,-1.355556,0.428325,-0.482423,1.796205,0.865073,-0.129217,-0.531089,-0.734472,0.643662,-0.493645
geometry,0.928783,1.977319,0.335457,0.838961,-1.384546,0.595059,2.023972,-0.650274,0.650041,-0.133356,1.17503,0.154395
complex,0.766991,0.010989,-0.498992,0.136562,-1.400654,1.348097,1.30532,0.509474,-0.534668,-0.147296,0.852686,-0.224584
linear,0.84333,1.120552,0.02043,0.221198,-1.126917,1.351359,2.602573,0.685779,1.807677,-0.687792,0.989259,-0.88822
polynomial,0.141943,3.198425,0.383317,-0.142035,-0.507837,1.050766,1.697944,-0.539978,2.489378,-0.374447,0.676736,0.308089
algorithm,0.483354,1.116185,-0.637942,0.291873,-0.985939,1.165815,1.26824,-1.595547,1.953489,0.570959,0.864749,-0.466952
mathematician,0.378287,1.924861,1.767293,0.398025,0.042146,-0.685223,-0.222317,-1.587342,-1.078641,-1.092628,0.404718,0.649223
definition,0.689253,1.128899,-0.101852,0.283997,-1.187957,2.53885,1.269237,-0.651118,1.013918,-0.301529,0.169838,-0.633534
product,0.167748,-1.17384,-0.804313,1.232508,-1.069378,2.053736,0.312948,0.205452,0.548165,0.54524,1.785521,-0.755214
state,0.187485,-0.151117,-0.391559,-0.504798,0.93243,2.049363,0.425437,-0.349844,-1.449201,-0.740908,-0.277309,-1.169582
sequence,1.774167,0.629952,-0.591111,-0.188003,-0.745266,1.469614,1.202872,0.294192,1.598783,-0.279166,0.716114,0.117478
distribution,0.209478,-0.652536,-0.277543,0.052181,-1.224223,1.494201,1.281658,0.444347,0.360415,-1.102268,1.049643,-0.828359
variable,0.775639,0.960909,-0.625636,-0.063486,-1.409021,1.758712,1.519156,0.424589,1.837715,-0.501022,1.06983,-0.824222
solution,0.229985,0.442416,-0.594697,0.561945,-1.280447,2.081709,0.353414,-0.429782,0.752381,0.345385,1.686576,-0.856608
square,-0.032687,-0.045288,-0.703638,0.537641,0.175771,0.299657,2.072598,1.460698,-0.30624,-0.318348,-0.836917,-0.228227
map,0.594593,0.420648,-0.867592,1.033253,-0.766953,0.72718,1.79678,0.122264,-0.466471,-0.642421,-0.082339,-0.529052
class,0.575062,0.171141,-0.356792,0.331029,0.475199,1.090136,0.758638,0.332131,-0.594753,0.063852,0.098986,-1.272841
integer,0.605577,2.389858,-0.172621,0.370752,-0.518985,1.222827,1.932133,0.092211,2.625433,-0.487077,-0.026921,-0.482925
mean,0.739909,0.122431,-0.877333,-0.296025,-0.775046,2.16076,0.213935,0.972528,-0.011141,-0.372819,-0.371464,0.326643
proof,0.158042,1.401344,-0.658414,0.281648,-0.217296,1.611812,0.439863,-0.628817,1.217872,-0.053873,0.244748,0.276056
three,0.840734,0.013829,-0.694767,0.154364,0.91827,1.38011,0.697667,1.429948,-1.072238,0.06442,0.05878,-0.088613
dimensional,1.588793,1.887106,-0.35625,0.491445,-1.455746,1.026544,2.221078,-0.226748,1.293282,0.400443,1.220442,0.522903
zero,1.142004,0.731912,-0.353288,-0.246536,0.10354,1.537049,0.630407,0.692335,1.546147,0.524402,0.585752,-0.523826
algebraic,0.622201,2.400163,0.902298,0.505853,-1.339631,0.834725,2.06117,-1.14454,1.354793,-0.383978,0.668126,0.380397
formula,0.175771,1.284165,1.032945,0.572104,0.112759,1.313406,0.614684,0.812864,1.088779,0.702389,1.071693,-0.397827
ring,1.170107,0.32129,-0.524727,-0.245981,0.090425,0.515878,0.67165,1.233911,0.421829,0.457971,0.720187,0.735028
edge,0.659051,-0.123253,-0.796988,-0.490256,-0.167254,0.719363,2.334647,1.342572,-0.262618,0.497168,0.591391,0.768097
sum,-0.140919,1.019039,-0.457157,-0.117071,0.040966,1.726888,0.608586,0.18258,1.671226,-0.278201,-0.391678,-0.461527
plane,0.851965,1.162874,-1.471834,-0.35339,-0.018406,0.399248,0.680377,1.15775,0.234107,0.663866,0.846981,-0.283684
analysis,1.23772,0.437533,-0.018601,0.308116,-1.103705,2.211118,0.789238,-1.493321,0.415959,-1.029087,1.29319,-0.862338
dimension,1.309064,1.08588,-0.416263,0.178463,-0.850514,1.333552,1.56974,0.264145,1.091824,0.079278,0.301831,-0.021403
curve,-0.089854,1.064905,-0.607388,-0.370106,-0.724407,0.645682,2.915361,0.718834,0.854296,-0.006718,0.892312,0.192117
type,1.186128,-0.036495,-1.337712,0.573667,-1.209833,1.294396,0.744387,1.123749,0.30418,-0.52521,1.185996,-0.749505
operator,0.206782,0.787424,-0.834689,0.730711,-0.082838,0.829564,0.566828,-0.218212,0.265736,1.075291,1.084709,-1.430719
prove,-0.011058,1.221234,-0.922729,-0.495863,0.225359,1.856122,-0.27786,-0.08949,0.018001,0.368269,0.427136,0.322817
probability,0.326436,1.879988,-0.02694,-0.612963,-0.813038,1.923536,1.270555,-0.643516,1.853775,-0.696683,0.903159,-0.497148
structure,0.413625,0.560093,-0.848588,0.752733,-1.60373,1.464787,1.660005,0.660822,-1.369875,-0.555192,0.89824,-0.351685
representation,0.329594,1.529743,0.469653,0.178978,-0.883235,2.030177,1.258413,-0.658577,0.085405,-0.176389,-0.298554,-0.211306
series,2.012025,-1.078915,0.037694,0.539962,1.568378,1.095277,0.413051,0.397073,0.066759,0.723431,-0.096104,0.196837
prime,0.174038,0.964398,0.516945,-0.233897,0.869335,0.994031,-1.278884,-0.233311,-0.448393,0.190825,-0.27444,-0.923436
measure,-0.049019,0.594562,-1.056821,-0.32553,-0.933987,2.309522,1.136539,0.634619,0.458264,-0.738882,1.007549,-1.212584
