word,1,2,3,4,5,6,7,8,9,10,11,12
number,0.951576,-0.137654,-0.942131,2.719362,-3.135128,-1.789316,-1.224906,0.93078,0.242129,0.690461,-0.202131,0.336331
function,0.156587,0.935449,-2.44693,1.894302,-2.197773,-2.64831,-0.67466,-1.313445,-1.314692,0.196506,-0.908901,0.341572
one,-0.047437,-0.6584,-1.666737,2.42432,-3.474892,-0.917273,-1.650966,-0.034408,-0.012903,0.120963,-0.149263,0.564967
set,-0.258493,0.112824,-2.01559,1.470141,-2.947793,-0.619772,-2.39022,1.241805,-1.257275,0.236749,-2.004213,-0.148978
group,1.47545,-1.144711,-2.852049,1.068981,-1.567282,-1.921699,-2.678784,1.06783,-0.132594,-0.833936,0.034872,-0.938057
space,0.617252,-0.821005,-3.305074,1.192511,-2.315038,-0.529763,-1.805999,0.106437,-1.710818,-0.528979,-0.594222,-0.954702
two,0.186256,-0.977484,-1.752814,2.200856,-3.307572,-0.63121,-1.701073,0.349511,-0.337379,0.202124,0.031405,1.003188
theory,-0.165836,0.944999,-2.456821,0.282525,-2.52499,-1.915794,-2.037256,0.233202,-0.685035,1.101196,0.607438,-1.875933
point,-0.174775,-1.350198,-2.438467,2.424968,-2.663951,-0.245945,-0.612662,-0.583148,-1.375437,0.310361,-0.489422,0.588979
theorem,-0.047903,1.885958,-2.226655,2.608833,-1.954659,-1.257909,-0.59598,0.626562,-1.591194,0.307271,0.631888,-1.329321
example,0.060606,-0.19,-2.118201,1.7149,-2.730456,-1.549774,-1.308408,0.119978,0.075767,0.148702,-0.602835,0.253666
form,0.316974,-0.377969,-2.783726,1.871145,-2.132976,-1.551231,-1.251512,0.419912,-0.328847,-0.111518,-0.128467,0.777522
define,-0.091716,0.277737,-2.730044,1.776259,-1.987219,-1.546724,-1.597653,-0.163702,-1.073294,-0.668863,-0.857561,0.58379
graph,1.358634,0.27959,-1.598518,0.834648,-3.624878,0.576847,-1.095683,1.701725,-1.613786,0.52466,-0.367608,-0.137935
value,0.09019,0.016311,-1.036137,2.19572,-2.920973,-2.083865,-0.927928,-1.227456,-0.380199,0.231753,-1.366839,1.112496
problem,0.696983,0.72736,-1.574451,1.231715,-3.64077,-0.633824,-0.416955,0.078717,0.184455,1.30915,0.081775,-1.269744
mathematic,-0.943253,-0.509031,-1.061571,0.283539,-2.100117,-1.720248,-2.6237,-0.266999,-0.37878,1.608769,1.086921,-1.627398
order,0.85583,-0.108375,-1.768989,1.537018,-2.332249,-1.675949,-1.669881,1.210264,-0.216785,0.187017,-0.39456,0.77028
equation,0.165453,0.367365,-2.66975,1.65797,-1.877242,-2.492703,0.083604,-1.950613,-0.610757,0.62704,0.987783,-0.184292
first,-0.34846,-0.235199,-0.666846,2.041804,-2.720902,-1.734111,-1.80031,0.144395,0.185637,0.845406,0.473035,-0.032209
vector,0.19372,-0.725136,-2.811775,1.156432,-1.635506,-1.625894,-1.500864,-1.108781,-1.156952,-0.92106,-0.605468,1.225118
algebra,0.044013,0.034755,-2.924286,0.74082,-0.734511,-2.370458,-2.71049,1.164571,-0.421109,-0.28962,0.149845,-0.803952
$\mathbb{N}$,1.592423,-1.039033,-1.220047,2.486932,-2.199393,-1.76288,-0.763335,0.512329,-0.76476,-0.140766,-1.8441,0.784691
field,0.585245,-0.258489,-2.550127,0.567065,-2.080626,-1.927634,-1.970848,-0.947632,-0.518324,-0.578887,0.541573,-0.820161
element,0.5368,-0.758701,-1.728062,1.736323,-2.050511,-1.428592,-2.033748,0.59681,-0.501039,-0.511207,-1.064328,0.82442
system,-0.312283,0.397172,-1.947775,-0.008317,-2.571665,-1.67671,-1.427667,-0.372887,0.418275,0.814756,0.102187,0.555724
