word,1,2,3,4,5,6,7,8,9,10,11,12
number,-0.640759,1.543679,-0.705736,0.474849,0.239338,0.061484,-1.241301,-0.364111,0.170874,-0.642646,-1.441747,0.175974
function,-0.489896,0.089172,-1.079598,-0.777651,0.511783,-1.629807,-1.798473,0.400207,0.767554,-1.178157,-1.347519,0.135536
one,0.068938,1.615985,-0.329608,-0.185135,0.226287,0.457503,-0.775254,-0.312052,0.535852,0.495605,-1.81372,-0.3563
set,-0.674008,1.332426,-0.505883,-0.108721,-0.201204,0.046015,-0.478497,0.147365,0.495319,0.201577,-1.584853,-0.659998
group,-0.07992,1.409131,0.587179,0.011847,0.737847,0.34503,-1.271157,0.628195,0.935478,-0.004968,-0.72758,-0.307513
space,-1.62692,0.614843,-0.983075,-0.455986,0.478891,-0.080098,-1.188536,0.965665,0.411783,0.154698,-0.911759,-0.773841
two,-0.198932,1.768766,-0.610375,-0.075886,0.714906,0.505523,-0.522204,-0.584072,0.471288,0.268042,-1.618462,-0.643741
theory,-0.552404,-0.903734,0.362934,-0.474218,-0.374229,-2.407811,-2.426353,-0.001655,0.6749,0.208592,-1.079542,-0.305766
point,-0.356196,1.507753,-1.300902,1.063471,0.433652,0.226321,-0.876673,-0.835893,0.670287,-0.019965,-0.871066,-0.153191
theorem,0.303454,-1.924974,-1.040966,-0.590415,-0.659894,-2.399928,-0.263212,-0.812056,0.683195,-0.875071,-0.034273,-0.335118
example,-0.310602,0.32288,-0.729785,-0.675398,0.101754,-0.436908,-1.880907,0.109325,0.099533,-0.34772,-1.996156,-0.17426
form,-0.127364,0.508506,-0.427791,-0.695588,1.113045,0.204577,-1.520977,-0.284237,0.302971,0.165964,-1.647442,-0.174745
define,-0.613443,-0.179393,-0.824871,0.000322,0.192198,-1.095313,-2.245905,0.042441,0.500757,-0.529365,-1.354443,0.578293
graph,-0.508618,-1.738355,-1.378575,-0.150157,-0.676668,-1.190683,-1.158883,0.016621,0.482344,-1.316474,-0.315278,0.007295
value,-0.512281,0.457881,-1.172322,-0.215842,-0.381234,-0.872043,-2.078552,-0.036043,0.688854,-1.009913,-1.530349,0.731066
problem,-0.189579,0.878927,-0.821853,-0.835525,0.085365,-1.568276,-1.743641,0.477793,0.736524,0.187823,-0.768078,0.162555
mathematic,-0.909818,-1.482306,1.186848,-0.272645,-0.135409,-1.191342,-1.33252,-0.588947,1.591909,-1.233525,-0.478213,-0.028288
order,-0.084426,1.688979,0.082508,-0.361183,0.522446,-0.708562,-0.338261,-0.139217,-0.043735,0.201984,-1.668685,0.700062
equation,-0.10538,-1.308987,-1.625746,-0.215196,0.132234,-2.924659,-1.11602,-0.813474,0.507938,-0.79901,-0.281148,-0.878526
