word,1,2,3,4,5,6,7,8,9,10,11,12,13
number,-0.991449,-0.071481,0.432799,0.719513,0.351276,1.071192,-0.776685,0.794247,0.493623,-0.396741,1.067356,1.123605,1.375254
function,-2.282075,-0.310187,0.0639,0.956332,-1.097805,0.365716,-1.722702,0.175228,0.89718,0.722263,-0.406674,2.055595,0.566544
one,-0.641115,-0.2209,0.348015,0.900356,0.23028,0.089497,-0.474766,0.875526,0.434065,-0.532929,0.338495,0.287709,2.369952
set,-1.077412,-0.447075,0.69639,1.155387,0.0801,0.165878,-0.675607,0.632635,0.157628,-0.129882,0.659301,0.186949,1.476912
group,-1.359337,-0.389558,-0.047392,0.170751,0.147361,-0.17904,0.249156,1.358422,0.41878,-0.602712,-0.469516,0.584807,1.246557
space,-1.202991,-0.961073,1.151436,0.840231,-0.915612,-0.052548,-0.321474,1.036042,0.191976,0.205437,0.789965,1.137033,0.729194
two,-0.375867,-0.114251,0.125058,1.178849,-0.021173,0.084895,-0.700543,1.242363,0.46947,-0.920036,0.779449,0.304616,1.881485
theory,-1.67216,-2.00229,0.294191,-0.563661,-1.210212,1.196387,-1.316267,0.300312,0.681585,1.756567,-0.850506,0.776986,0.897916
point,-0.551919,-0.057742,0.28479,0.618924,-0.400901,1.367925,-0.589174,1.054276,0.134898,-1.406367,0.869201,0.541683,1.33957
theorem,-0.661645,-0.859931,0.13306,0.790856,-2.111264,1.243198,-2.830382,-0.470925,0.08287,1.169921,-1.043265,0.006539,-0.822994
example,-1.045057,-0.4999,0.598486,0.520392,-0.235613,0.081158,-1.235389,0.348258,0.404992,0.848229,-0.026163,1.628383,1.701058
form,-0.362777,-0.103573,0.274466,0.592516,-0.46773,-0.025473,-0.895453,1.230255,0.88017,0.156838,-0.19688,1.336029,1.856183
define,-1.564349,-0.366133,0.553767,0.178886,-0.696759,1.135941,-1.444403,0.326315,0.736897,0.551603,-0.412954,1.908109,0.958615
graph,-0.877827,-0.064297,1.203118,1.133909,-1.55808,1.274566,-1.840837,0.078721,-0.019159,0.949559,-0.716861,1.335344,-0.74513
value,-1.942418,-0.231824,0.81902,-0.214746,-0.253306,0.946315,-1.48678,-0.237099,0.384208,0.163053,0.29991,1.840787,1.314534
problem,-1.804646,-1.05901,-0.099591,-0.056606,-1.150734,0.313254,-0.673431,-0.513123,0.521221,0.158373,0.100452,0.9913,1.46291
mathematic,-1.417894,-1.121226,0.722044,-0.290082,-0.651721,0.938378,-1.243183,1.241821,1.137795,1.405279,-1.380024,0.112909,-0.707061
order,-0.756657,-0.132081,-0.567787,0.758396,0.447344,0.077053,-0.905191,-0.024821,1.529443,-0.270684,0.428637,0.37819,1.79478
equation,-1.074139,-1.469559,-0.326864,0.441489,-2.087337,0.952548,-2.687285,0.017299,-0.090051,0.918461,-0.370413,1.08923,-0.521172
first,-0.716477,-0.446364,0.01172,0.69522,0.619607,-0.065898,-0.326844,1.445922,0.69797,-0.747916,0.43092,-0.592684,1.692195
vector,-1.380821,-0.517703,0.18944,1.356066,-1.444236,0.990758,-1.855031,0.372558,-0.011207,0.950375,-0.199156,2.23491,-0.415381
algebra,-1.127972,-0.542225,0.624747,1.063601,-1.409999,1.322757,-2.646137,0.531424,0.284092,1.701149,-1.212092,0.703655,-1.317954
$\mathbb{N}$,-0.455821,0.159562,-0.666595,0.629909,0.165124,0.761116,-0.985504,1.479781,-1.32086,0.494882,0.688393,1.034147,0.088995
field,-1.130091,-0.626291,-0.168344,0.383195,-1.400448,0.339011,-0.085028,1.810439,0.946909,-0.488096,0.307251,0.081878,0.859283
element,-0.646543,-1.341328,0.73707,0.86864,-0.391496,0.000807,-1.023384,0.398534,0.318624,0.676799,-0.042134,1.705574,1.401867
system,-2.393408,-0.679304,0.308715,0.403317,-0.475308,-0.637597,-0.199694,0.868053,1.225047,0.193078,0.880233,2.043529,0.629032
matrix,-1.356146,-0.728587,0.247094,1.302326,-1.287147,0.736248,-2.076041,0.462946,-0.602885,0.854356,-0.228654,1.541848,-0.22713
mathematical,-1.683393,-1.652031,0.792981,-0.288761,-0.922608,0.737443,-1.175641,0.910603,0.8609,1.72008,-1.096204,0.672611,-0.598611
method,-1.944333,-0.921569,0.225326,0.071298,-1.30709,-0.429941,-1.18266,-0.013957,0.455657,1.258291,0.132841,1.65043,0.977328
finite,-1.357674,-0.438613,0.716905,1.341388,-1.576058,1.544004,-2.62111,0.061307,0.069124,1.187599,-0.600874,1.658762,-0.2843
result,-1.514099,-0.486462,-0.569099,0.193826,-0.543409,0.360336,-0.657874,0.423141,0.661079,-1.440169,0.14142,0.903585,1.799688
vertex,0.044392,0.664409,1.201909,2.142625,-1.299562,1.687655,-2.018794,0.165022,-0.228231,0.213365,-0.271565,1.688627,-0.578898
term,-1.495584,-0.293079,0.100529,-0.132215,-0.401734,0.560109,-0.839626,0.107119,1.005593,0.110936,-0.37203,0.871353,1.806719
line,-0.004144,0.081091,0.831512,1.012417,-0.200325,-0.104491,-0.267357,1.310911,0.675053,-0.990761,1.446285,0.68566,1.021199
model,-1.827972,-0.746492,0.186579,0.504686,-0.501947,-0.478693,-0.633605,0.950896,-0.025099,0.453428,0.560807,0.996042,0.341292
real,-1.379094,-0.443635,0.580447,0.299272,0.265283,-0.121082,-0.451099,0.313413,-0.470824,-0.294679,-0.203377,-0.06217,1.551577
property,-1.179127,0.645552,0.243042,-0.064991,-0.846784,-0.138973,-1.231297,0.257627,1.71968,0.522369,0.719278,0.880356,1.201965
geometry,-0.650908,-1.282425,0.881552,0.696569,-1.651994,0.463514,-2.155557,0.95558,0.272786,1.378912,-0.5522,1.181466,-0.719957
complex,-0.625237,-0.0593,0.562785,0.455801,-0.899094,-0.234887,-0.600298,1.157787,0.870429,0.485959,-0.291426,1.733478,0.94897
linear,-0.981009,-0.129828,0.618154,0.332911,-1.148665,1.565965,-1.984502,1.100561,-0.538197,0.324234,0.53732,2.478327,-0.320733
polynomial,-1.019979,-0.161274,0.092459,1.530153,-1.617533,1.578121,-3.176441,-0.671505,-0.268991,1.125378,-1.074019,0.738421,-0.546728
algorithm,-2.007788,-0.461889,0.788092,1.022007,-1.427683,0.426513,-1.068348,-0.632574,-0.126947,1.41864,-0.085406,1.217949,-0.609453
mathematician,0.090484,-1.121254,-0.840103,-0.264627,-0.311863,0.316955,-1.382515,0.806326,0.935578,1.591637,-2.062974,-1.443529,-0.961882
definition,-1.937559,-0.737509,0.889567,-0.016251,-0.518871,1.256019,-1.248561,0.026219,0.409185,0.727623,-0.337764,1.685473,0.654173
product,-2.385176,0.435143,0.568405,0.175661,-0.493805,-1.719984,-0.696632,0.665041,-0.071735,0.461299,0.65308,1.709436,0.940711
state,-1.422004,0.190931,-0.328286,-0.372055,0.217053,1.009916,0.452972,0.708332,1.484914,-0.596803,0.214367,-0.088113,1.727411
sequence,-0.875952,-0.695649,0.272077,1.117252,-0.846536,0.929475,-0.949396,0.38565,-0.924991,0.944219,0.14298,1.619471,0.96148
distribution,-1.093507,0.465519,0.102747,-0.685897,-0.971287,0.17072,-0.582917,1.134912,0.214545,0.319499,0.443749,2.135926,0.692025
variable,-1.404836,-0.535051,0.219838,0.669604,-1.247523,0.930717,-1.742969,0.157844,-0.343224,0.644065,0.441037,2.588351,0.351236
solution,-2.094293,-0.59256,0.076686,0.033483,-0.943489,-0.702257,-1.112583,-0.253584,0.313624,0.515988,0.278041,1.675419,0.563088
square,0.545167,0.763902,1.302547,0.590458,0.141141,0.92989,-0.841273,1.350783,0.452321,-0.587014,1.125727,0.688206,0.486578
map,-0.185087,-0.15424,0.765694,0.248277,-0.293126,0.504485,-0.774967,1.154395,1.243125,0.817384,0.835384,1.223604,0.118909
class,-1.054531,0.015922,-0.014211,0.685373,0.066486,0.214483,-0.338124,1.12198,0.926608,-0.45508,0.563855,0.429199,0.410601
integer,-1.162661,0.135913,0.327212,1.662182,-0.637168,1.990457,-2.81404,-0.132981,-0.450416,0.944044,-0.129993,1.630346,-0.321583
mean,-0.380396,-0.079964,0.355503,0.650969,-0.006546,0.40537,-0.673324,0.034894,0.242628,-0.035767,-0.085777,1.569308,2.212375
proof,-1.136187,-0.582114,0.468792,0.391374,-0.597262,0.715359,-1.50185,-1.077268,0.030394,0.898648,0.270234,0.547445,0.563337
three,-0.295449,-0.141581,0.13691,0.997937,0.171063,0.189367,-0.470971,1.339404,0.524729,-0.894456,0.685286,0.018675,1.804375
dimensional,-0.794308,-1.481874,1.115018,1.441197,-1.755225,0.478317,-1.890923,0.585716,-0.27325,1.192011,-0.169159,1.736936,-0.026686
zero,-1.26933,-0.753448,0.103699,1.174912,-0.42198,0.755315,-0.926212,0.030865,-0.955177,-0.210435,0.509118,1.178876,0.693145
algebraic,-0.954708,-0.808409,0.780615,0.717341,-1.338987,1.159679,-2.505203,0.641303,0.196677,1.650669,-1.55608,0.888753,-0.870012
formula,-1.425285,-0.613826,0.286648,0.696684,-0.311862,-0.054722,-2.190562,0.436072,-0.78779,-0.719777,-0.324373,0.392211,-0.212605
ring,0.157407,-0.249388,-0.004349,1.620339,-0.795423,-0.120954,-0.755534,0.785129,-0.639013,-0.137187,0.132213,0.538871,1.081932
edge,0.322911,0.018707,1.180816,1.353764,-1.590432,0.265909,-0.296252,1.164714,-0.242271,-0.535344,0.440923,1.002975,1.184079
sum,-1.263136,0.462112,0.274737,0.812686,0.001074,1.109912,-1.856178,-0.70993,-0.309119,0.218121,0.087476,0.789671,0.620343
plane,0.050219,-1.096647,-0.205105,1.427566,-0.943944,0.120686,-0.522147,0.014171,0.208609,-0.618381,1.259495,1.05283,0.461192
analysis,-2.296146,-1.258577,-0.071413,-0.744574,-1.06534,0.649856,-0.583058,0.554971,0.406326,1.650639,-0.111637,1.462779,0.627754
dimension,-0.676142,-1.103908,0.900384,0.907804,-0.639718,1.024087,-1.168693,0.390477,-0.267158,0.591126,0.323182,1.470838,0.512964
