word,1,2,3,4,5,6,7,8,9,10,11,12,13
number,0.382842,-0.673488,-0.126032,-0.399653,-0.570527,-0.822696,0.109201,1.850331,0.024575,0.24278,1.294503,0.751509,0.467625
function,-1.316712,0.63003,1.02818,-0.074318,-0.449369,-0.599427,1.324465,2.104188,0.551028,-0.71726,1.301091,0.303787,0.689601
one,0.539804,-0.661189,-0.443796,-0.968482,-0.265273,-0.849878,0.860975,0.567768,-0.364184,0.25833,1.875088,0.251199,0.30219
set,0.604388,0.025166,-0.809753,-0.481148,0.081159,-0.753617,0.732367,0.910032,-0.250807,-0.004635,1.576537,0.19639,0.546452
group,0.611466,-0.75102,-0.242098,-0.872295,-0.647467,-0.94732,0.935861,0.468643,1.001836,-0.254056,0.955677,-0.578249,0.111937
space,0.268906,0.454291,-0.166348,0.124702,0.251436,-1.311453,0.914699,1.490895,0.185711,0.228857,1.038331,-1.046947,0.991545
two,0.994459,-0.588271,-0.117966,-1.007055,-0.362755,-0.833901,1.092775,0.807367,-0.583007,0.677581,1.479897,0.473056,0.269805
theory,-1.735177,-0.022421,0.432788,1.765026,-0.132913,-0.662445,1.339981,0.283391,1.322894,-0.528895,1.682358,0.171148,1.374044
point,0.560057,-0.835357,-0.076452,-0.639872,0.036816,-1.311688,0.496043,1.25009,-0.055763,1.208241,0.639424,1.230475,0.636357
theorem,-1.989219,1.75746,0.851439,1.400491,0.411271,0.389153,1.367753,0.142963,0.22016,0.014812,-0.140644,1.337252,0.629201
example,-0.900638,0.17405,0.152749,-0.055216,-0.869998,-0.93629,0.693481,1.259144,-0.23958,-0.279213,1.905037,-0.082645,0.363789
form,-0.414287,-0.502757,0.535689,-0.537533,-0.985935,-0.7933,1.227504,0.896089,-0.442307,0.409604,1.497061,-0.460734,0.393527
define,-1.657342,-0.207596,0.364932,0.374367,-0.688106,-1.016851,0.66746,1.788101,0.447205,-0.265099,1.214472,0.335337,0.760269
graph,-2.056676,1.541692,0.329214,0.674443,-0.085104,-0.21316,0.592272,1.491439,0.238464,0.005627,-0.224526,0.604055,1.370107
value,-1.412388,-0.164816,0.011907,0.306001,-0.480872,-1.520366,0.429394,2.04745,0.036365,-0.855346,1.221177,0.915538,0.220512
problem,-0.828765,-0.048288,0.62146,0.248505,0.635518,-1.35946,0.95371,0.917638,0.773858,-0.726999,1.547188,0.258471,0.210139
mathematic,-1.401914,-0.165353,-0.220651,1.050699,-0.749952,0.725412,2.029659,0.745411,1.078356,-0.680541,-0.223315,0.053965,1.701339
order,0.285348,-1.025301,0.380399,-0.503378,0.186658,0.047059,0.810754,0.981211,-0.014254,-0.197332,2.04817,0.435279,-0.554023
equation,-1.52996,1.706753,1.27204,1.785474,-0.065525,-0.67049,1.649684,0.870582,0.261772,0.385843,0.341937,1.27129,0.578232
first,1.312488,-0.907817,-0.723931,-0.757313,-0.304574,-0.279687,1.310195,0.365495,0.009737,0.076662,1.275921,0.325562,0.250877
vector,-1.179989,1.680989,1.271543,0.632287,-0.414999,-0.625378,0.49265,1.737905,0.564506,0.291709,0.401558,0.455317,1.1195
algebra,-2.096762,1.635067,0.307484,1.324615,-0.431284,0.83891,1.411444,1.088236,0.634136,0.354081,-0.492633,0.997724,1.454098
$\mathbb{N}$,1.059295,0.948995,0.424989,0.540158,-1.645931,-0.872837,-0.474349,0.833174,0.343209,0.454374,0.148758,0.764624,0.37452
field,0.822618,-0.683301,0.616116,-0.073802,0.116407,-0.940581,1.783387,0.780784,0.436491,0.300154,0.282957,-0.049254,1.127351
element,-0.935188,0.624077,0.042536,0.209315,-0.502693,-0.832759,0.877083,1.262121,0.126195,0.631685,2.175458,-0.559473,0.602881
system,-0.029851,0.206735,0.672324,-0.337103,-0.305086,-1.060213,1.422458,2.69021,0.818216,-0.840681,1.043501,-0.830637,0.535254
matrix,-0.956301,1.842511,0.82418,0.536305,-0.654986,-0.769589,0.741834,1.377539,0.358462,0.123134,0.623833,0.709211,0.966467
mathematical,-1.784143,0.686094,-0.097841,1.673463,-0.55935,0.414542,1.946293,0.767455,1.118482,-0.574433,0.253162,-0.036113,1.536347
