word,1,2,3,4,5,6,7,8,9,10,11,12,13,14
number,-0.063887,0.351387,-0.885865,1.162353,0.472252,-0.32787,2.016796,0.578957,0.05882,-0.042915,0.696027,0.645247,0.110448,-0.491713
function,0.338715,0.310598,-0.333209,2.631139,1.187623,0.78208,0.933752,-0.264581,1.155129,0.032638,1.407783,-1.067178,-0.745749,-0.821034
one,-0.542117,0.105131,-0.714837,0.648633,0.471744,-0.165046,1.347267,0.211705,-0.18641,0.832924,0.939978,1.312034,-0.866623,-0.598328
set,-0.159306,-0.174445,-0.942911,0.396439,0.873043,0.237119,1.305495,0.179707,0.552919,0.63757,1.097786,0.964131,-0.519388,-0.190848
group,-0.460385,1.012293,-0.440866,0.742418,-0.327437,0.567846,0.799171,0.589856,0.39718,0.366263,0.678259,0.715521,-1.368091,-0.146893
space,0.677934,0.087957,-0.322836,0.514942,0.990237,1.479895,1.427382,0.607878,0.887701,0.991089,1.121184,-0.11481,-0.409958,-0.292236
two,-0.385809,0.552562,-0.880618,0.357137,0.825973,-0.16301,1.715368,-0.131574,-0.355509,0.956724,0.610104,1.13761,-0.837207,-0.567686
theory,-0.683072,-1.098674,0.495189,2.07966,1.31439,1.572355,0.29162,1.214457,1.502269,-0.644471,0.241784,-0.440619,-0.863376,-1.436417
point,0.099919,0.198625,-1.545017,0.317731,0.342131,0.392341,2.329702,0.003935,-0.341885,0.17858,0.020529,0.545876,-0.352254,-0.989514
theorem,-0.424199,-1.50482,-0.3157,1.305209,2.213612,1.102614,-0.095578,-1.476189,1.154579,-0.717972,-0.49613,-1.980763,-0.710722,-0.827129
example,-0.272239,-0.473283,0.086007,2.051069,0.874243,0.142396,1.397479,0.314205,0.415295,0.56666,1.253672,0.062046,-0.636923,-0.249211
form,-0.490223,0.329954,0.261319,1.280577,0.893378,0.359607,1.527163,0.14183,-0.432231,0.788826,0.985112,0.193969,-1.125708,-0.597463
define,0.009477,-0.328571,-0.143412,2.310786,0.595611,0.89503,1.617395,0.042823,0.598066,-0.531946,1.122106,-0.750376,-0.721522,-0.893656
graph,0.106267,-1.183417,-0.537173,1.226375,1.161552,1.028198,0.898387,-0.624334,0.877436,-0.302593,0.525257,-2.416353,-0.477392,-0.486688
value,0.347887,-0.658356,-0.26756,2.401642,0.069951,-0.159081,1.926052,-0.123909,0.923587,-0.508772,1.144696,-0.110411,-0.255135,-0.671549
problem,0.637642,-0.449602,-0.123287,1.838346,0.339074,0.538919,0.5694,0.25166,0.998926,0.096852,0.487818,0.595817,-0.690175,-1.391841
mathematic,-1.130573,-0.070438,0.745363,0.449134,1.324421,0.721379,0.395654,0.808996,1.672927,-1.534368,0.664395,-1.624136,-1.224348,-0.743591
order,-0.246008,0.67043,-0.445838,1.301189,1.054866,0.145819,0.452702,-0.15168,-0.455846,-0.174754,1.157311,1.517982,-0.292714,-0.78342
equation,0.307129,-0.73029,-0.124662,2.132267,2.187173,1.550081,0.602855,-0.849927,1.479753,-0.305632,-0.826795,-1.553979,-0.566988,-0.850966
first,-0.838323,0.771134,-0.609705,-0.075968,0.681909,-0.256552,1.039551,0.393992,0.187684,0.359557,0.497675,1.643243,-0.971742,-0.387668
vector,0.537606,-0.082947,-0.873319,2.420207,1.407078,1.65759,1.069477,-0.469888,0.991735,0.411692,0.438997,-2.012863,-0.085133,-0.144394
algebra,-0.736039,-0.704052,-0.466296,1.375217,2.418001,1.448183,0.521643,-0.478828,1.392027,-1.061223,0.362247,-2.520875,-0.494939,-0.229592
$\mathbb{N}$,-0.809886,0.486855,-1.051377,1.271284,0.550797,0.63125,1.474344,0.009758,0.710572,0.930081,-0.629361,-0.80425,0.625455,0.900816
field,-0.111272,1.189478,-0.188371,0.041106,0.539936,1.055823,1.320259,0.391534,0.589318,0.536897,0.048587,0.170484,-1.065781,-1.506377
element,0.183613,-0.691805,-0.068783,1.713519,1.523233,0.94346,1.217256,0.741447,0.28963,0.759924,1.170664,-0.007405,-0.890076,0.00179
system,1.094435,1.434735,0.110408,1.620393,0.600031,0.685414,1.287047,0.66203,1.564352,0.485916,1.728555,0.182757,-0.586555,-0.480512
matrix,0.006411,-0.54302,-0.853626,1.959844,1.511447,1.29521,1.009291,-0.473285,1.297359,0.417514,0.265132,-1.63776,-0.426033,-0.079889
mathematical,-0.541765,-0.46224,0.656772,0.847152,1.45923,1.132173,0.23732,1.102273,1.798752,-1.204826,0.42375,-1.397833,-1.137531,-0.761181
method,0.603484,-0.325195,0.661907,2.276074,1.026298,0.478978,0.616487,0.233391,1.697613,0.454705,0.986009,-0.344033,-0.636644,-1.028809
finite,-0.04397,-1.058226,-0.89773,2.189504,1.861459,1.598914,1.114496,-1.011599,0.954249,-0.396558,0.629688,-2.058805,-0.41342,-0.353274
result,0.476246,0.69506,-0.939845,1.539342,0.118263,-0.085474,1.358049,-0.134074,0.061857,-0.108003,0.012804,1.107917,-1.297199,-1.252619
vertex,0.397386,-0.769739,-1.549212,0.946078,1.692363,0.81518,1.48644,-0.956499,-0.367115,-0.028461,0.457018,-2.555479,0.007986,0.001381
term,-0.403403,-0.187763,-0.009074,1.84436,0.22717,0.225994,0.968001,0.096884,0.36767,-0.351739,1.072485,0.500224,-0.960844,-1.173553
line,0.400829,0.778091,-0.472847,-0.315863,0.797213,0.236324,2.193016,-0.076937,-0.357982,0.793973,0.986171,0.781589,-0.281592,-0.233249
model,0.40473,0.516008,-0.222445,1.095512,0.728157,0.159822,1.057557,0.556281,1.810483,0.692697,0.622321,-0.150723,-0.501124,-0.080072
real,-0.446298,-0.518471,-0.7768,0.913454,-0.310677,0.660078,0.695353,-0.109275,0.867034,0.355452,0.677071,0.969526,-1.023493,0.198409
property,-0.19779,0.367564,0.750336,1.473249,0.302072,0.500625,1.370506,-1.180424,0.439882,-0.077957,1.52321,0.357004,0.187983,-1.248093
geometry,0.104713,-0.589324,0.283555,0.798491,2.43094,1.603288,0.851314,0.276211,1.198917,-0.283509,0.245734,-1.891528,-0.758347,-0.360436
complex,-0.021701,0.489287,0.480818,1.276784,0.631985,1.170161,1.363219,0.02269,0.015005,0.821403,1.192488,-0.627722,-0.97159,-0.439089
linear,0.265579,-0.272176,-0.663573,1.963424,1.135809,0.65377,2.673693,-0.218253,1.036351,0.065522,-0.097891,-2.076292,-0.07979,0.000378
polynomial,-0.335223,-1.582092,-1.09064,2.014274,1.814212,0.67769,0.464634,-1.77075,1.10219,-0.736865,-0.006584,-2.273037,-0.372283,-0.595132
algorithm,0.680596,-0.865092,-0.535201,1.53542,1.067231,1.022008,0.100991,-0.33128,1.933148,-0.091425,1.113246,-1.730175,0.060301,-0.624102
mathematician,-1.969053,0.040685,0.909921,-0.144512,1.889842,0.449329,-1.567727,0.000998,0.586369,-1.384624,-0.930905,-0.976076,-1.293136,-0.372086
definition,0.189119,-0.759682,-0.221219,2.160643,0.578576,0.757881,1.423775,0.460602,0.978136,-0.695988,1.126859,-0.80124,-0.559747,-0.650231
product,0.651893,0.577213,0.725122,1.724795,-0.353176,-0.415574,1.282109,-0.602075,1.898771,1.487033,1.48139,-0.037102,-0.74436,0.212019
state,-0.88042,1.018486,-0.452597,0.724557,-0.779247,0.473377,1.01147,0.382474,0.082825,-0.682591,0.803072,1.345916,-0.318163,-1.44741
sequence,0.034124,-0.760722,-0.883835,1.883043,1.026378,0.864675,1.341241,0.603185,0.492422,1.188686,0.243263,-0.88872,0.018102,-0.201802
distribution,0.084841,0.345135,0.799749,1.802292,-0.46805,0.470374,1.972004,-0.14156,0.613252,0.576542,0.244286,-0.753393,-0.121921,-0.486086
variable,0.862055,-0.300069,-0.348474,2.593703,1.125315,0.713833,1.882354,-0.029861,0.972918,0.568628,0.30095,-1.432945,0.019178,-0.492141
solution,0.951462,-0.0751,0.409208,2.313229,0.422514,0.747536,0.745227,-0.556157,1.747084,0.236989,0.855091,-0.108384,-0.570372,-0.368123
square,-0.295301,0.325583,-0.428718,-0.477591,0.444687,-0.046479,2.612064,-0.373582,-0.764094,0.061644,0.77887,-0.269929,0.371266,0.108079
map,-0.215523,0.54882,0.662377,0.516711,1.196026,1.476087,1.693367,0.385663,0.188261,-0.047493,1.247149,-0.399167,0.493199,-0.030571
class,-0.092145,1.092476,-0.602837,0.235431,0.63826,-0.154299,1.230147,0.390974,0.466294,-0.135339,0.629619,0.355107,-0.280989,-0.575689
integer,-0.236026,-1.022267,-1.652593,2.236997,1.716256,0.602395,1.517026,-0.916915,0.946397,-0.54661,0.484653,-2.157263,0.435289,0.035074
mean,-0.176104,-0.508901,-0.330092,1.767201,0.262383,-0.22274,1.318965,0.292697,-0.733103,0.725191,1.051792,0.512907,-0.607566,-0.381684
proof,0.293297,-1.373442,-0.44508,1.504631,1.065498,0.073235,0.338083,-0.317976,0.887516,-0.440699,0.668801,-0.152019,0.090823,-0.66384
three,-0.487028,0.628137,-0.807572,0.095583,0.747021,-0.254585,1.623718,0.119276,-0.297603,0.792533,0.507577,1.217057,-0.801886,-0.569974
dimensional,0.504381,-0.972055,-0.471488,1.555507,2.2033,1.928754,1.10126,0.204525,0.957453,0.755969,0.608129,-1.638054,-0.649649,-0.08887
zero,0.555603,-0.441303,-1.587096,1.708469,0.676033,0.950322,1.234723,-0.043117,0.778458,0.625178,0.147797,-0.097737,-0.062578,0.225042
algebraic,-0.852367,-1.009361,-0.130798,1.406874,2.119598,1.663206,0.494705,-0.447678,1.265379,-0.801394,0.296227,-2.527249,-0.96039,-0.087921
formula,0.340143,-0.323995,-1.044723,1.047898,1.090767,-0.169537,1.073453,-0.884034,1.419238,-0.265457,-0.459475,-0.447456,-1.415233,0.498307
ring,-0.041543,-0.191128,-0.881787,0.466998,1.111962,0.571515,0.800943,-0.346898,-0.287938,1.795821,-0.0109,-0.023312,-0.601412,0.16092
edge,0.426116,-0.221995,-0.503737,-0.272826,0.743292,0.857121,2.102861,-0.08811,-0.648182,1.745683,0.582852,-0.550084,-0.664597,-0.720273
sum,-0.265084,-0.841815,-1.061424,1.691623,0.50959,-0.390658,1.109563,-1.134558,0.671225,-0.385968,0.795047,-0.362612,0.190621,-0.08018
plane,1.18341,0.383537,-0.967518,0.692999,1.604399,1.573495,0.910455,0.09148,-0.261284,1.106167,0.085671,0.580213,0.184468,-0.24272
analysis,-0.087332,-0.11663,0.588144,2.297085,0.528398,0.999287,0.748766,1.17913,2.00514,-0.255491,0.42195,-0.583627,-0.404466,-1.181013
dimension,0.412476,-0.741497,-0.724223,1.30513,1.326548,0.98541,1.541733,0.679162,0.532427,0.349876,0.431709,-0.8125,-0.1484,-0.062375
curve,1.029259,-0.778997,-0.401224,0.548083,1.194167,1.216053,2.400635,-0.568458,-0.113687,0.38256,-0.034605,-1.396753,-0.009439,-1.126976
type,0.604496,0.883023,0.459835,1.889091,1.138002,-0.082686,1.718437,0.690715,0.290238,1.32982,0.592001,-0.262865,0.065103,-0.16765
operator,1.03948,1.087099,-0.688896,0.802992,0.848942,0.670883,0.414052,-0.793524,1.353625,0.147491,1.250017,0.068012,-0.077533,0.022344
prove,0.552891,-0.846996,-0.550517,1.222645,0.853698,0.151517,0.080539,-0.380334,0.175119,-0.10328,0.490241,0.985556,-0.427032,-1.198909
probability,0.560151,-1.079537,-0.66033,2.506424,0.802398,0.827531,1.194034,-0.171117,1.200152,-0.9537,-0.348294,-1.048029,-0.006774,-1.204214
structure,-0.072642,0.793472,1.17856,1.192957,1.366792,0.960004,1.911737,-0.042184,-0.134648,0.325567,1.419688,-0.428543,-0.964587,-0.603016
representation,-0.457947,-0.633096,-0.154766,1.459165,0.749733,0.877451,0.937242,0.133932,0.476838,-1.01076,1.177154,-0.792612,-1.16086,-0.539404
series,-0.508855,-0.150032,-1.341111,-0.472886,-0.0036,0.227783,0.955811,1.474503,1.155445,1.388419,0.103411,1.266547,-0.36564,0.575368
prime,-0.64163,0.855715,-1.289736,0.907559,0.094816,0.305783,-0.930373,-0.352799,0.152424,-0.955431,0.348825,1.049519,-0.811966,-0.077352
measure,1.179862,0.099367,0.069882,2.293435,0.406721,0.164742,2.06374,-0.004513,0.419304,-0.223083,0.279524,0.115049,-0.045138,-1.307911
equal,0.155158,-0.488781,-1.146644,1.637,0.44965,-0.154612,1.883992,-0.505651,0.083708,-0.906464,0.289173,-0.181084,-0.699547,-0.959476
lie,-0.534178,0.106338,0.150646,0.349769,0.469001,0.344754,1.244127,-0.080297,-1.405545,0.651064,0.560049,0.624466,0.178293,-0.594098
manifold,0.460069,-0.910749,-0.33693,1.152684,2.140174,1.304515,0.625287,-1.314987,0.826405,0.272794,0.241181,-2.199104,-0.278092,-0.242053
degree,-0.72476,0.965194,0.244597,0.581984,0.321125,0.054635,1.263409,0.376138,0.781682,-1.007639,0.584182,-0.521924,-1.156594,-1.197826
differential,0.910513,-0.225191,-0.037079,1.653153,1.816423,0.811741,0.984171,-0.454676,1.497944,-0.31277,-0.343297,-1.557021,-0.744008,-0.961369
$\mathbb{C}$,-0.662637,1.787596,-0.825478,0.967808,0.936477,0.369473,1.297488,-0.219613,0.94436,0.720689,-0.875239,-0.412923,0.818971,0.237006
regular,0.304292,0.258181,-1.453476,-0.475562,0.164419,-0.080837,1.613022,-0.046682,0.459137,-0.089373,0.291789,0.262249,-1.07059,-0.748274
second,-0.557914,0.646431,-1.504502,-0.094635,0.628271,-0.363744,1.410291,0.024376,-0.13913,0.076357,-0.12315,1.529286,-0.805236,-0.260722
triangle,0.169625,-0.409822,-0.733978,-0.184626,0.662659,1.545617,1.036809,-0.087602,-0.555907,0.623542,0.115697,-1.174514,-0.466274,-0.09041
subset,-0.003081,-0.684843,-1.053642,2.158078,0.797738,0.820204,1.250882,-0.604141,0.597011,-0.129959,1.327967,-2.245513,-0.13991,-0.107493
circle,-0.26839,-0.652248,-0.051816,-0.269299,0.892398,0.8244,0.969222,0.547115,-0.505418,0.344236,0.582993,-0.061424,-0.780113,-0.159459
relation,-0.652138,0.255003,0.266431,1.885085,0.131993,1.035882,0.096442,0.3573,0.176391,-1.313587,0.947043,0.690974,-1.108159,-0.881842
positive,-0.071996,-1.152222,-1.15491,2.147954,-0.665865,0.157097,1.062797,0.504357,1.039803,0.367974,-0.012513,0.090618,-0.859639,-0.985898
simple,0.348055,-1.434064,-0.084074,1.540801,1.353936,0.134282,1.5368,-0.047398,0.623548,1.28219,1.401897,-0.278884,-0.760774,-0.204214
topology,-0.06296,-0.8698,-0.22,1.041275,1.646198,1.594111,0.474716,-0.701462,1.130661,-0.400289,0.759541,-2.33732,-0.499116,-0.139845
category,-0.125707,0.249688,-0.430847,0.774872,-0.294959,-0.056248,1.501099,0.806255,0.759841,-0.307875,0.397799,-0.38727,-1.33003,0.005934
surface,1.536355,0.356814,0.494212,1.641583,1.316833,1.170117,2.123808,-0.136109,-0.318896,1.900548,-0.107324,-0.240167,-0.337583,-0.837035
constant,0.74147,-0.812144,-0.301611,2.123513,1.3676,0.854541,0.93757,-0.513999,0.283456,0.087208,-0.379775,0.253249,-0.239301,-0.674228
application,1.010055,0.816795,0.300357,2.015481,0.528388,0.335881,1.045799,0.153805,2.629519,0.411203,1.818944,-0.265181,-0.26698,-0.129834
