word,1,2,3,4,5,6,7,8,9,10,11,12,13,14
number,-3.183826,-0.069744,-1.320773,0.042331,-0.22786,0.362003,-0.560618,-1.036202,1.105505,0.334891,-1.503938,0.436189,-3.323532,-0.443775
function,-2.760034,-0.762306,-0.015975,2.14967,-0.009957,1.526743,-1.09403,-1.18825,-0.293504,0.033147,0.479252,0.297094,-2.995411,-1.583037
one,-3.172128,0.807426,-0.40732,1.176678,-0.446875,1.069982,0.737914,-1.411802,1.507479,-0.181334,-0.605805,0.058088,-2.174394,-0.22822
set,-2.772745,0.413097,-0.691139,1.047835,0.231872,0.437607,0.170319,-1.279617,0.152007,-0.373905,0.603079,-0.931697,-3.917919,0.94167
group,-3.566123,-0.764443,0.460869,1.99186,-1.555154,-0.456437,0.894684,0.872057,0.568966,-0.208966,-0.325176,0.301109,-2.294118,1.087176
space,-3.602193,-0.791674,-0.289397,2.233774,-0.693172,0.737143,1.206178,-0.569517,-0.440389,-1.059875,0.687353,-0.583125,-1.895844,0.933322
two,-3.391375,1.277883,-0.701658,0.9318,-0.45839,0.874478,1.100259,-0.942151,1.344293,-0.939883,-0.448973,-0.003559,-2.247461,-0.089707
theory,-2.181426,-0.912386,0.812323,1.722427,0.009751,1.958267,0.98724,-0.335927,-0.441356,0.859708,-0.53621,0.765645,-2.887176,1.593526
point,-3.305336,0.28749,-1.467157,1.523926,-0.226737,0.857338,1.328054,-1.703945,-0.045436,-1.054025,0.107425,-0.243721,-1.55262,-0.841518
theorem,-2.216216,-2.527906,-0.55774,1.076603,0.899022,2.112112,0.836662,-0.453879,0.749275,-0.144902,-0.524609,-0.989655,-2.800518,-0.083457
example,-2.848797,0.459193,-0.181146,1.426945,-0.539605,0.824132,0.360827,-0.821744,0.575911,0.49128,-0.441624,-0.162958,-2.412831,-0.159852
form,-3.371717,0.212823,-0.446399,1.725348,-0.224576,0.877517,0.445033,0.291992,0.795299,-0.214464,-0.593932,-0.125485,-2.188424,-0.482244
define,-3.001277,-0.029064,-0.022868,2.214048,-0.047883,0.744676,-0.087218,-0.504955,0.452242,-0.494662,0.562097,-0.592914,-2.564832,-0.58212
