word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
number,0.202427,-0.078045,0.027228,-0.146721,-0.266971,-0.541449,-0.186747,0.444876,-0.555846,-0.819665,-0.286904,-0.193394,-0.173906,-0.091558,-0.245789,-0.264708,0.20561,-0.523887,0.308078,0.54674,-0.00038,0.43321,0.79206,0.027803,0.240041,-0.011092,0.371503,0.083318,-0.589698,0.066809,0.450861,0.052831,0.10861,0.034019,0.069665,-0.48375,0.492253,-0.117836,-0.003991,-0.185264,-0.390725,0.098376,-0.226517,-0.041115,0.157574,0.133446,-0.062277,-0.607693,0.323313,0.454805,0.172654,-0.478398,-0.095211,0.556923,0.004047,0.031458,0.287159,-0.540564,-0.366303,0.347078,-0.380925,-0.365491,-0.287089,0.125652,-0.413804,0.191682,0.456745,-0.008659,1.118246,0.004868,0.221908,0.231821,-0.538758,-0.196542,0.527005,0.079967,0.338766,-0.290478,-0.459996,0.222763,-0.00211,1.114572,0.405143,-0.274327,-0.035756,0.149613,-0.360462,0.001742,-0.49637,-0.168404,-0.171304,0.070213,-0.200705,0.081903,-0.328771,-0.104316,0.156207,0.069461,0.173937,0.350329,-0.022665,-0.200093,-0.004027,0.158473,-0.205224,0.497964,0.091557,-0.090969,0.284891,0.284186,0.220856,-0.075178,0.152266,-0.456138,-0.049681,-0.574568,0.293391,-0.554953,-0.219335,-0.360586,-0.057409,0.482966,-0.471629,0.026645,-0.225248,0.029643,-0.41822,0.295439,-0.079724,-0.326599,0.180053,0.565151,-0.212451,-0.004992,-0.297015,-0.062902,-0.197204,-0.441968,0.074444,-0.334059,-0.499819,0.374297,0.341242,-0.761442,0.363431,-0.036101,0.369534,0.714775,-0.327959,-0.75447
function,0.465713,0.395963,0.176272,-0.740294,-0.441957,0.385867,0.811701,-0.349494,0.274801,-0.224818,-0.797486,-0.311047,0.515778,-0.368938,-0.808793,-0.155911,-0.279797,0.445354,-0.186219,-0.523727,-0.04192,0.548249,-0.405463,0.11984,0.398705,-0.221103,0.038662,-0.337774,-1.424864,0.447466,0.572756,0.996986,-0.140957,-0.369359,-0.134034,-0.031341,0.217302,-0.491348,0.542398,-0.157878,-0.430096,-0.165011,-0.068743,0.037493,-0.407546,0.263968,1.079547,-0.558513,0.376031,0.237141,-0.677313,-0.243964,-0.647679,0.499473,0.232973,0.090872,0.062235,-0.075722,-0.180947,0.846743,-0.240518,-0.329779,-0.129021,0.565012,-1.110551,0.808883,0.65926,-0.175769,0.326418,-0.004206,-0.486526,-0.317025,-0.639538,-0.008386,-0.169948,0.898288,0.62712,-0.688591,-0.046377,0.453807,-0.931195,0.195209,-0.040852,-0.802436,-0.863849,0.100774,-0.175426,-0.53472,-0.085902,0.716591,-0.310116,0.664918,0.60013,-0.447437,0.038902,0.034133,-0.351794,-0.277142,-0.654676,-0.541773,-0.258456,0.372099,0.119479,-0.140729,0.587921,0.157399,-0.104287,-0.860495,0.563211,-0.061563,-0.270531,-0.232613,0.034521,-0.740196,-0.107657,-0.26927,-0.424428,-0.557142,0.159969,-0.180632,-0.556461,0.168931,0.046868,0.253716,-0.167362,0.382223,-0.266011,0.202502,-0.397521,0.282299,0.053346,-0.187789,-0.903416,0.066399,-0.237096,-0.109215,0.482361,-0.703194,0.157495,-0.241925,-0.589361,-0.124786,0.436986,-1.343597,0.352141,0.01837,0.63016,0.44166,-0.810902,-0.149986
one,0.297859,0.000162,-0.22134,0.080988,0.009299,-0.003635,0.067673,0.254837,0.00181,-0.337983,-0.218615,-0.237302,0.054206,-0.054661,0.066125,0.016689,-0.158626,-0.401005,0.078722,-0.156037,-0.176099,0.268794,0.202991,-0.134522,0.024229,0.170018,0.796821,-0.233323,-0.23126,0.023812,0.350547,0.051758,-0.561698,-0.188468,0.057854,-0.415122,0.019857,0.018244,-0.140756,-0.216872,-0.031131,0.050863,-0.013792,-0.323473,0.146592,0.351168,0.007546,-0.214098,0.222029,-0.049266,-0.174016,-0.388299,0.59711,0.602664,0.174893,0.019039,0.2135,-0.150645,-0.151234,0.016246,-0.363342,-0.029147,-0.263934,0.112017,-0.169644,0.582669,-0.205234,-0.187385,0.494138,0.326664,0.515783,0.26714,-0.237546,-0.283305,0.226112,-0.012543,-0.164907,-0.138839,-0.166353,0.105367,-0.106937,0.280984,0.186431,-0.011259,-0.041948,0.186274,0.075832,-0.133951,-0.282152,-0.099226,0.069867,0.042849,-0.101558,0.077422,-0.214853,-0.037759,0.018835,0.014038,0.09692,0.460802,0.174767,-0.112136,-0.181893,0.352645,0.079793,0.276904,-0.210785,-0.044806,0.397671,-0.427399,-0.169213,0.023724,-0.255769,-0.190993,0.100419,-0.038576,0.158499,-0.072981,0.183575,0.00068,0.034783,0.430992,-0.013774,0.205158,-0.440411,-0.085435,0.052574,-0.220084,-0.04339,0.064877,0.050042,0.258238,0.064533,0.262403,-0.246456,0.049305,-0.249132,-0.478194,0.112367,-0.130177,-0.25573,0.176483,0.144031,-0.273029,0.334507,0.057266,0.392799,0.400778,-0.121082,-0.350887
set,0.312738,0.314245,-0.032553,0.168164,0.252491,-0.376077,0.220659,-0.102154,-0.291528,-0.396005,-0.369808,-0.503559,0.044926,-0.263076,-0.436391,0.442863,0.141078,-0.290338,-0.809466,-0.246772,-0.096931,0.362579,0.091376,0.07522,0.017413,-0.343419,0.496412,-0.046129,-0.255867,-0.138186,0.25938,-0.094684,-0.352317,-0.218205,-0.127623,0.295281,0.207766,-0.257881,0.089159,-0.41077,-0.247708,0.199185,-0.098446,0.161929,0.563721,0.131771,0.201336,-0.089384,0.599354,0.23836,-0.422921,-0.149166,0.733111,0.40196,0.262755,0.550179,0.259318,-0.145854,-0.158961,0.535744,-0.168209,0.38154,-0.102408,0.06017,-0.104655,0.177894,-0.307456,-0.128902,0.823805,-0.462422,0.200188,0.543479,-0.049993,-0.177113,-0.087992,-0.103057,-0.211993,-0.108511,0.01976,0.215182,-0.171481,0.422679,0.101978,-0.477336,-0.342598,0.501565,0.142605,-0.207038,-0.52043,0.199135,0.202813,0.292704,0.344656,0.178864,-0.203759,0.374734,-0.258975,0.083738,-0.206139,0.046512,0.098226,-0.247339,-0.32585,0.033247,-0.015405,0.063427,0.088891,-0.118136,-0.257179,-0.125868,0.070891,-0.194034,-0.267428,-0.413447,0.609346,-0.208238,0.076128,-0.094545,0.517288,-0.691027,0.141591,0.533869,-0.090142,-0.119872,-0.181571,0.274324,-0.272199,-0.102979,0.128757,-0.072118,0.173227,0.016831,-0.376631,0.472905,-0.324181,0.282844,-0.192134,-0.484239,-0.106452,-0.56584,-0.10421,0.492827,0.077532,-0.926584,-0.479881,-0.02529,0.432282,0.369007,-0.009738,-0.041711
group,0.798522,0.101196,-0.316991,-0.390019,0.224739,0.290847,-0.345352,0.511386,-0.650618,-0.678249,-0.025036,-0.723882,-0.080659,-0.076352,-0.167125,-0.172592,0.349315,-0.535668,0.209107,-0.875989,0.63109,0.026897,0.223378,0.144318,-0.015039,0.243815,-0.330782,0.153876,-0.446651,-0.266342,0.089245,-0.190524,0.195006,-0.273599,0.422344,-0.046536,0.225351,0.306761,0.028689,0.032375,-0.269575,0.269369,-0.723087,0.110476,0.133404,0.313472,-0.009191,0.025099,-0.433327,0.504219,0.238653,-0.54449,-0.626257,0.902919,0.357737,-0.288071,0.32482,-0.015815,-0.071899,-0.09297,-0.315301,-0.271301,0.002723,-0.174226,-0.372645,0.582313,-0.080913,0.06198,0.246116,-0.349837,-0.044634,-0.340542,0.089022,-0.188658,0.095912,0.014935,-0.287508,-0.164449,0.011236,0.199808,0.234256,0.745967,0.280828,-0.249601,-0.154586,0.410491,-0.3658,-0.443641,0.295702,-0.286604,0.275337,-0.136664,-0.480807,-0.604618,0.107195,-0.002238,-0.545721,-0.217526,0.102272,0.129205,0.270117,-0.690905,-0.038802,0.375748,0.178911,0.402643,-0.273509,-0.44548,0.043658,-0.500838,-0.004273,0.021703,-0.926173,-0.024521,-0.06506,-0.323478,0.63103,-0.626658,0.37267,-0.748628,-0.078158,0.033894,-0.214141,-0.011201,-0.636768,-0.346253,0.009502,0.124744,0.589325,0.074514,-0.23877,0.029504,-0.629411,-0.012006,-0.873095,0.245325,-0.080513,-0.754517,0.032827,-0.647142,-0.344726,0.439734,0.389788,0.344631,0.537732,0.002458,0.205042,-0.216047,-0.78096,-0.297829
space,0.681205,0.628742,-0.193745,0.331179,0.003802,0.462438,-0.010729,-0.260908,-0.075178,-0.704806,0.006951,-0.596677,-0.068452,-0.384483,-0.63181,-0.165859,-0.246748,-0.209372,0.400228,-0.144787,-0.18615,-0.067786,-0.379302,-0.1483,-0.166916,-0.054729,0.196224,-0.487013,-0.743725,-0.183393,-0.016897,0.186587,-0.147127,-0.03569,-0.049682,0.845691,-0.16935,-0.456027,0.225757,0.252732,-0.179738,0.331446,-0.28082,0.193583,0.156673,-0.068453,0.746206,0.402708,-0.378232,0.555936,-0.086575,-0.586086,0.192884,0.296464,0.584605,0.852339,0.001989,0.409328,0.435411,0.70968,-1.115092,0.072293,-0.64416,-0.463454,-0.772521,-0.148095,0.182432,0.163274,0.169147,-0.014397,-0.407741,-0.516085,0.263905,0.419973,0.121085,-0.052067,0.748219,-0.148963,0.268031,0.640058,-0.241907,0.363106,-0.331621,-0.691188,0.21007,0.653906,-0.147595,-0.357647,0.300394,0.144621,0.340968,0.229012,-0.42238,0.572542,0.269454,0.469764,-0.248761,-0.166216,-0.525269,-0.254041,-0.230761,-0.661277,-0.605588,0.072553,0.858308,0.244836,0.123954,0.339366,-0.008829,-0.683428,-0.238552,-0.483923,-0.488109,-0.924901,-0.286792,-0.138036,0.070908,0.068003,0.17181,-1.109137,0.271216,0.040345,-0.019825,-0.232236,-1.021495,0.731156,0.086867,-0.10247,-0.293605,-0.676034,-0.109881,-0.118405,-0.123608,0.898688,-0.072733,0.289023,-0.231604,-0.162613,0.25526,0.227107,-0.506371,0.20235,0.829094,-1.396217,0.097505,-0.090578,0.618877,0.765948,-0.575279,0.091155
two,0.158775,0.120685,-0.330085,0.307103,0.143313,0.075207,-0.04826,0.457241,-0.149238,-0.229927,-0.17999,-0.474366,-0.208327,-0.288342,0.233903,0.228882,-0.141378,-0.504431,0.062239,-0.025859,-0.258245,0.390538,0.241496,-0.33955,0.053967,0.184656,0.77688,-0.412724,-0.391984,0.021213,0.358182,-0.040634,-0.599059,-0.303656,0.098667,-0.55745,-0.117871,0.010044,-0.038717,-0.086533,-0.03201,0.267709,-0.119835,-0.212942,0.190165,0.425348,-0.150368,-0.674379,0.155757,-0.074285,-0.114721,-0.039812,0.599369,0.758062,0.293642,0.059696,0.50482,-0.226931,-0.151932,-0.036953,-0.514451,0.034985,-0.277664,0.027137,-0.133386,0.480629,-0.236434,-0.324486,0.672282,0.247731,0.358736,0.442027,-0.392206,-0.305324,0.042421,-0.117378,-0.29229,0.117656,-0.453324,0.28701,-0.276734,0.274874,0.196015,-0.134169,-0.221152,0.132404,0.121756,-0.217028,-0.428387,0.015145,0.419388,-0.056197,-0.111969,0.390615,-0.399701,0.007414,-0.313531,0.281322,0.030089,0.188697,0.204119,-0.084458,-0.103064,0.129293,0.255871,0.44727,-0.037893,0.000843,0.517685,-0.325901,-0.131409,0.003134,-0.580397,0.016679,0.071221,0.057374,0.180393,-0.059154,0.498325,-0.11255,0.268552,0.487261,0.021655,-0.083697,-0.553543,0.051468,0.160725,-0.061243,0.183401,-0.080824,0.089872,0.231855,-0.057673,0.32029,-0.423353,-0.00876,-0.479093,-0.113745,0.050959,0.047242,-0.067075,0.281533,0.082029,-0.319363,0.299201,0.006123,0.099539,0.268976,-0.066474,-0.290122
theory,0.272108,1.263147,0.116677,-0.561993,0.107202,1.354992,-0.306746,-0.890175,-0.075143,-1.24491,-0.676079,-0.471788,0.157807,0.365099,-0.469441,0.349923,-0.461388,0.094937,-0.120097,-0.684603,0.012043,0.112652,0.000979,-0.163958,-0.342996,-0.267606,0.028076,0.691651,-0.063781,0.248748,0.356103,0.742154,-0.520308,-0.210239,-0.872565,-0.327643,1.333024,-0.26406,0.202506,-0.123962,0.128005,-0.428295,-0.264502,-0.064486,0.096692,-0.227428,1.034947,-0.532751,0.277271,0.716754,0.18789,-0.381457,-1.005952,-0.322768,0.060718,-0.169967,0.245415,-0.352447,1.011271,1.162124,-0.232739,-0.418002,-0.194873,0.690615,-0.223056,-0.142476,0.202073,0.489355,-0.282456,0.025376,0.175661,-0.003003,-0.135549,-0.005832,-0.227509,0.544358,-0.412399,-0.000598,-0.385463,-0.291491,-0.692364,1.131479,-0.168835,0.147513,0.211355,0.394932,-0.222269,-0.434402,-0.081688,-0.30265,0.21532,-0.261148,-0.782901,-0.246001,0.834631,0.15531,-0.052515,-0.269803,0.193169,-0.265811,-0.193077,0.458152,-0.717807,0.03496,0.436768,0.443604,-0.018943,-0.316349,-0.15319,-1.125116,-0.649883,-0.600207,0.443262,-0.24935,0.00234,0.107165,-0.573713,-0.261032,0.609321,-0.427263,-0.405739,0.070414,0.087673,0.24366,0.719864,0.930749,-0.421712,-0.147131,-0.012179,0.156144,0.087839,0.211341,-0.928869,0.419912,-0.767431,0.830077,-0.036068,-0.660957,0.292791,0.301312,-0.327532,0.307466,0.127515,0.267677,-0.289943,0.161823,0.137461,0.548687,-0.136088,-0.030323
point,0.277354,-0.125426,-0.202158,0.385606,0.178423,0.054389,-0.017785,-0.002686,0.228126,-0.212201,0.159753,-0.091851,0.279183,0.42602,0.05536,0.176269,-0.174562,-0.214134,0.024806,0.397958,-0.254323,0.306602,0.48198,-0.105401,-0.412164,0.052566,0.115541,0.432678,-0.500917,-0.500416,0.558957,0.790393,-0.096749,-0.321245,-0.163199,-0.422167,0.157886,0.091093,0.150508,0.037089,-0.198802,0.081996,-0.225619,-0.467067,0.216975,0.607395,-0.04398,-0.263977,-0.201191,-0.644853,-0.36006,0.323911,0.759809,0.40561,0.641388,0.05953,0.289725,0.261615,-0.446408,0.515464,-0.781724,0.448642,-0.277028,0.161534,0.121139,0.4675,-0.14579,-0.086829,0.234159,-0.224307,0.143456,0.169966,-0.178844,0.072038,0.198105,-0.023051,-0.018878,0.500724,-0.170157,-0.332887,-0.718569,1.061754,0.150884,-0.019807,0.167716,-0.144036,0.078068,-0.040784,-0.551909,-0.316959,-0.187904,0.090885,0.176247,0.830396,-0.26849,0.033583,0.01175,-0.039939,0.013726,-0.031169,-0.02739,0.115315,0.131042,0.193003,-0.128701,0.437432,0.046515,0.092553,-0.120481,-0.327744,-0.130707,-0.060508,-0.505222,-0.35888,0.061983,0.023911,0.129204,-0.186387,0.092464,-0.394044,-0.273129,0.723959,0.139507,0.407179,0.062735,0.610452,-0.001372,0.166941,-0.081358,0.082911,0.351999,0.209958,0.128497,0.090225,-0.32537,0.005504,-0.325727,-0.363683,0.240558,-0.440328,0.539969,0.437534,0.291654,0.275873,0.021865,-0.089415,0.477468,0.442431,-1.206524,-0.399144
theorem,0.470795,0.268881,1.205963,0.260482,-0.207712,0.483589,-0.567137,-0.526419,-0.5543,-0.943953,-0.337093,0.42254,0.016482,0.515461,-0.384657,-0.906402,-1.231478,0.205926,0.263916,-0.725031,0.432569,1.266358,-0.321495,0.083423,-0.4072,-0.609218,-0.076754,0.678939,0.689939,-0.05487,1.400256,1.541219,-1.180816,-0.00358,-0.290809,0.121921,0.928085,-0.645489,0.12679,0.362428,-0.260265,0.005746,-0.384017,0.01446,0.747873,0.82175,0.330821,0.18249,0.40144,0.718594,-0.965493,-0.734181,-0.569439,-0.289755,0.682972,0.45959,0.214288,0.137722,1.05354,1.61676,-0.372807,0.209251,-0.391193,0.556011,-0.637715,1.265257,0.324062,-0.194487,0.392909,0.056855,-0.461233,-0.417485,-0.156082,0.349708,0.353511,0.861308,-0.276176,0.346855,-0.117143,-0.180621,-1.732001,0.840952,0.347762,0.329883,-0.357557,0.278858,-0.808314,-0.374642,-0.596017,0.387152,-0.078329,-0.017537,0.03249,0.606457,1.456677,-0.219465,-1.140959,-0.24747,0.056534,-0.670195,-0.087983,0.593084,-0.851658,-1.153245,0.443198,0.451381,-0.039057,-0.549031,0.130788,0.309482,-1.542634,-0.339848,1.428174,-0.868007,0.333871,0.148547,-0.278398,-0.274416,0.123704,-1.123498,-0.791409,-1.181819,0.551399,0.138453,0.717508,0.882875,-0.75843,-0.110435,0.034909,-0.006557,-0.086019,0.526377,-1.026707,0.386439,-0.284256,1.016111,-0.07061,-0.686195,-0.308301,0.066349,0.248477,0.370902,0.54467,-0.584333,-0.30609,-0.171474,-0.119566,0.759332,-0.132153,0.447002
