word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
number,0.023536,0.248427,0.884363,-0.615788,-0.437326,-0.312842,-0.78378,0.304872,-0.151322,0.115938,-0.754125,-0.527563,-0.134599,-1.092954,-0.000321,0.621303,0.738888,-0.311024,-0.644307,0.35328,-0.121177,-0.840548,-0.050735,0.759933,0.904046,-0.58965,0.878472,-0.467848,0.555942,-1.1711,-0.084345,-0.22891,-0.233366,-0.380194,-0.581994,0.052955,-1.193261,1.375354,-0.305457,1.533459,0.730687,0.520565,0.216247,-0.476852,-1.05836,-0.686823,0.563023,0.71201,1.144819,-0.039364,0.098697,-0.423181,-0.119725,-0.414514,0.558102,0.543964,-0.515054,0.07063,-0.088518,-0.048544,0.229666,-0.286178,-0.960476,-0.627593,-0.201345,-0.466753,-0.246752,-0.315215,-0.160393,0.076714,0.916616,-0.044626,-0.342062,-0.08456,0.08255,-0.408023,-0.615777,0.296637,-0.328692,-0.416958,-0.303177,0.494923,0.416985,-0.04074,0.139187,0.959792,0.791814,0.135192,0.066061,0.263704,0.092922,0.300514,-1.247849,0.458879,0.397538,0.632067,-1.239545,-0.671428,0.7529,-0.927305,1.005311,-0.295861,0.730222,-0.504166,-0.231354,-0.76422,0.286787,-0.284022,-0.083328,-0.001964,0.546509,-0.143707,-0.368373,-0.616864,-0.660209,0.921354,0.477578,0.547931,0.320227,-0.79456,0.334425,0.330286,0.537233,0.280317,-0.1897,0.348743,0.08856,0.452635,0.270069,0.001371,0.661504,0.025682,-0.203956,-0.339949,0.027292,0.102622,0.364624,-0.062547,0.192496,0.235305,-0.110344,-0.592239,-0.006566,-0.311666,-0.780229,-0.091508,-0.410005,0.281336,-2.639258,-0.399186
function,0.82932,0.437404,0.825023,-0.462644,-0.486488,-0.697791,0.297149,0.300407,0.32157,0.856403,-1.163755,-1.417088,0.201282,-0.671216,-0.598345,-0.092752,0.518751,-0.522281,0.645991,0.111704,-0.9383,1.034943,1.030428,0.78691,0.891744,-0.706103,-0.210494,0.110047,0.228654,-1.312804,-0.592925,-0.694752,0.141091,-0.356086,-0.182245,-1.30738,-1.37533,0.253477,-0.145905,0.301172,-0.106533,0.207293,-0.182794,0.011328,-0.294733,0.089601,-1.171522,0.537883,0.671723,-0.882795,-0.325409,-0.804545,0.381904,0.261323,0.606338,-0.871449,0.325411,0.272427,0.296663,-0.615195,0.024149,-0.429208,-0.149369,-0.770179,-0.002866,-0.741127,-0.797633,0.528967,-1.173388,-0.325571,-0.258379,-0.03761,0.013976,-0.497807,-0.646335,-0.479728,-1.041655,0.252884,0.787664,0.772294,-0.658293,0.27672,0.474023,-0.172639,0.843496,0.669935,-0.096508,0.426721,0.810664,0.40562,0.02386,0.705224,-1.725057,0.246696,-0.036946,0.314953,0.518156,-0.353979,0.035984,0.540376,-0.263652,0.009034,0.184253,-0.031952,-1.092133,-0.303138,0.858305,-0.394304,0.181968,0.465284,0.508353,0.450198,0.32089,-0.331656,-1.458016,0.4728,0.155858,-0.475833,0.958119,0.053428,0.511486,0.960939,0.463716,0.900851,-0.705644,-0.205205,-0.646382,-0.012171,-0.039587,-0.221102,0.337164,-0.551195,0.336399,0.499933,0.071225,0.189324,0.191587,0.592561,-0.421213,0.40084,-0.89252,-0.007049,-0.666112,-0.176792,-0.113003,-0.042522,-0.802457,-0.27935,-2.117483,-0.315596
one,-0.267941,0.208739,0.815203,-0.27015,-0.138911,-0.287259,0.16535,-0.428403,0.844199,0.670031,-0.230471,-0.71422,-0.166485,-0.389864,0.778589,0.285773,0.572031,-0.676825,-0.575664,0.228837,-0.32735,0.458861,0.41096,0.579477,0.338305,-0.464334,-0.190765,0.15166,0.623833,-1.402929,0.063193,-0.40974,-0.117585,-0.198902,-0.634125,-0.048788,0.304364,0.224841,-0.004349,-0.175091,0.809196,-0.131565,-0.154245,0.238376,-0.460019,-0.252785,0.17711,-0.273593,0.199611,-0.333346,-0.405589,-0.385062,0.33441,-0.322062,0.404772,-0.018617,0.15845,0.316241,0.005556,-1.051465,0.137143,0.226127,-0.969289,-0.612103,0.102037,-0.33563,-0.3239,-0.018475,0.169891,0.188828,0.158656,-0.364072,-0.15514,-0.435768,-0.554818,-0.299616,0.223732,-0.387972,0.18751,-0.298663,-0.220992,0.716397,0.252297,0.426386,-0.327759,0.527957,0.281832,0.12857,-0.748101,0.204808,0.035457,0.614883,-1.509184,0.343355,0.183545,0.485173,-0.563987,0.052745,0.095327,-0.050057,0.458995,-0.328364,0.372856,-0.319843,-0.157764,-0.320787,0.548391,-0.728109,-0.305755,0.509618,0.120315,0.300915,-0.054305,-0.584942,-0.38954,0.688985,-0.024225,0.137771,0.013289,0.66638,0.464157,-0.412933,0.249659,0.031001,-0.18751,0.083365,-0.324361,-0.570584,-0.219434,-0.53706,0.199493,-0.202712,-0.15753,0.189087,-0.110287,-0.669117,0.391181,0.476295,0.11654,-0.214412,0.290481,-0.892164,-0.324913,-0.076875,0.081173,0.041557,-0.109521,0.846513,-2.575743,-0.449989
set,-0.751693,0.237519,0.940926,-0.305319,-0.251069,-0.271844,-0.387182,0.547662,0.367648,0.207889,-0.080822,-0.881273,-0.454096,-1.006911,0.13902,-0.42842,0.504825,0.049457,-0.672004,0.768809,-0.544417,0.408441,0.799309,0.251113,0.186373,-0.369793,-0.76387,0.36044,0.25055,-0.751418,-0.082389,-1.170933,-0.065297,-0.045683,-0.301891,-0.875073,-0.081001,0.581764,-0.166839,0.056505,0.915983,-0.304915,0.242862,-0.727844,-0.20948,-0.17144,-0.181547,0.19012,0.948125,-0.235031,-0.187749,-0.931332,0.033693,-0.847762,0.116087,-0.152248,-0.696122,-0.140754,-0.160263,-0.354182,-0.269014,-0.073438,-0.60597,-0.963994,-0.103129,-0.263756,-0.517975,0.018794,0.405334,-0.489451,-0.045578,0.251122,0.122192,0.06532,-0.683976,-0.441164,-0.942454,-0.042421,0.639559,0.564088,-0.602452,0.977171,0.315505,0.221199,0.870345,1.252613,-0.709791,0.24206,-0.079747,0.109148,1.072716,1.261437,-2.338198,-0.458787,-0.034065,0.104257,-0.367764,-0.039158,-0.491711,0.046333,0.074097,-0.676058,0.264547,-1.278625,-0.230141,-0.343343,0.662104,-0.81183,0.185204,0.465813,0.223363,-0.484659,0.144919,-0.421188,-0.257983,0.048664,0.147581,-1.134218,0.655945,-0.009285,0.372391,-0.599809,-0.078334,0.154037,-0.323974,0.445791,-0.045411,-0.430313,0.683232,-0.0335,-0.332615,-1.074838,-0.602165,-0.124638,0.340131,0.788997,-0.222132,-0.316966,-0.132077,0.577609,0.101914,-0.259863,0.872697,0.128041,-0.113937,0.173189,-0.062077,0.616338,-1.963817,0.046921
group,-0.038352,-0.205411,0.867456,0.016611,0.180325,0.286519,0.226827,-0.155813,0.498196,0.233477,0.350956,-0.370131,-0.143585,-1.431816,1.521083,0.327539,0.637312,-0.400885,-0.208708,-0.115068,-0.220149,-0.273425,-0.931063,0.25827,0.655335,0.087948,0.352068,-0.16571,0.34147,-1.004816,-0.738518,-1.905546,-0.490485,-0.50701,0.068756,-0.76223,-0.411221,0.306716,0.621259,-0.00182,0.953378,-0.686238,0.492643,0.555839,-0.604949,-1.27656,0.24564,-0.395589,0.852556,-0.590946,0.765772,-0.06707,-0.083394,-0.427206,0.060298,-0.394011,0.654384,0.141332,-0.418888,-1.142084,-0.427989,0.809257,-0.397088,-1.847895,0.485339,-0.62143,-0.391705,-1.028482,0.858581,-0.008146,0.074867,0.17961,1.016103,-0.350753,0.232404,-0.77181,0.183218,-0.836369,-0.909474,0.216641,-0.797353,0.809306,0.071594,-1.413493,1.46524,-0.009257,0.662588,-0.075605,-0.960585,0.462958,0.572485,0.593943,-1.029375,0.21439,-0.076176,-0.418804,-0.541593,-0.751374,0.117325,0.203171,0.013508,0.999848,0.984337,-0.936309,0.405684,-0.05977,0.000992,-0.773081,0.32187,0.976129,0.258153,0.050152,0.28958,-0.065048,-0.718953,0.567809,0.080588,0.78912,0.9703,-0.054901,0.717875,1.035887,-0.125356,-0.077679,-1.129558,0.499589,-0.545134,-0.355339,0.594188,-0.321404,-0.540456,1.336294,0.68654,0.020133,0.084808,-0.04022,0.120947,-0.109335,0.606708,0.38143,-0.198805,-0.982092,0.048265,-0.292152,0.643686,-0.161289,0.448152,-1.092682,-1.371248,-0.867973
space,-0.724691,1.530789,0.377372,0.561548,-0.549899,-0.09818,-0.628669,0.03102,1.351481,-0.172026,-0.068411,-1.344756,0.602527,0.043705,-0.165944,0.16076,1.677618,0.081292,0.075723,0.648548,-0.536829,-0.275038,0.187437,-0.015699,-0.104944,0.286474,0.039871,0.165996,-0.14478,-1.041308,-1.253834,-1.554744,0.375061,0.584075,0.120407,-0.020411,-0.662859,0.260347,-0.137932,-0.711437,0.642062,-0.954536,0.111266,0.629604,-0.439569,-0.128005,0.50008,-0.291355,0.362129,-0.239815,-0.244526,-0.504852,0.074262,-0.51274,0.462186,0.11349,-0.287766,-0.335028,0.25519,-1.3175,-0.070103,0.391741,-0.540702,-0.295419,-0.031201,-0.398716,-0.678042,-0.566211,-0.065018,0.356357,-0.15402,-0.657117,0.595435,-0.502418,-0.035361,-0.572158,-0.506323,-0.104816,0.237728,-0.041101,-0.534037,0.308691,0.020857,-0.196554,0.733458,0.716113,0.252336,-0.159543,-0.008378,0.221076,1.220449,0.686314,-1.605914,-0.127348,-0.628133,-0.593438,0.440409,-0.117643,0.712437,1.055853,1.08164,0.075709,-0.342103,-0.582164,-0.267582,-0.548286,0.262263,0.252701,0.613162,0.576016,-0.432967,-0.045039,0.637371,0.237547,0.03566,0.821795,-1.260488,-0.583415,0.833571,-0.262866,0.398658,0.56462,-0.202384,0.218687,0.660317,0.842839,-0.405721,-0.076882,0.228667,-0.429303,0.417102,-0.088506,-0.116747,0.282574,-1.096694,-0.474595,0.275893,1.009729,0.765538,0.072105,0.085989,-0.636394,-0.056175,-0.45721,0.297859,-0.214468,0.609926,-0.21292,-2.360934,-0.073106
two,-0.27621,0.257163,0.710174,0.298368,-0.578814,-0.469673,0.057837,-0.380631,0.875877,0.442469,0.336062,-0.285528,-0.240664,-0.2644,0.590779,-0.250715,0.61829,-0.542044,-0.662762,0.603284,-0.168836,0.000278,0.319442,0.560404,0.553209,-0.387829,0.209445,-0.042783,0.193815,-1.157143,-0.395117,-0.714566,-0.501693,-0.601015,-0.570351,-0.313271,0.118683,0.24844,-0.125597,0.104515,0.665968,-0.0467,-0.309519,0.301106,-0.479531,-0.323382,-0.060139,-0.144387,0.599431,-0.630298,-0.851985,-0.143496,0.23348,-0.63047,0.402968,0.651897,-0.328037,0.495782,0.322233,-0.871829,0.288418,0.37637,-0.667204,-0.502453,0.068042,-0.674882,-0.54035,-0.142404,-0.087559,-0.035902,0.251827,0.06185,0.060137,-0.238382,-0.682106,-0.398509,0.272287,-0.357646,-0.139726,0.098428,-0.589339,0.625459,-0.098102,0.621119,-0.366057,0.50227,-0.279234,0.358479,-0.190257,0.295107,-0.286908,0.502252,-1.728172,-0.245595,0.144966,0.261329,-0.12873,0.324032,0.324257,-0.181992,0.556291,-0.108459,0.677972,-0.404685,-0.026873,-0.22326,0.230734,-0.840819,-0.447623,0.542851,0.056871,0.291149,-0.113746,-0.702047,-0.232312,0.450866,-0.717534,0.222437,-0.300304,0.089325,0.881926,0.006292,0.428083,-0.107435,-0.717672,-0.235955,-0.393111,0.09565,-0.299005,-0.347337,-0.314949,0.19346,0.136736,0.186487,-0.359758,-0.287384,-0.094413,0.33489,0.733738,-0.217547,0.254641,-0.777816,0.145794,0.071639,0.199512,-0.115606,-0.502842,0.953579,-2.548303,-0.020083
theory,-0.284969,-0.74543,1.533349,-0.687662,0.2707,0.265415,-0.451594,0.040832,0.424579,-0.373103,-0.484092,-0.619403,-0.062509,-0.310188,0.667846,-0.296632,0.115453,-0.204704,-0.604302,0.179816,-0.488184,0.806289,-0.082608,0.274714,0.352117,0.065129,-0.082383,-0.29693,-0.178206,-0.673211,-0.596852,-1.669109,-0.587414,0.042903,-0.282561,-0.862392,-0.672658,0.248106,0.133187,-0.186982,0.293046,-0.323605,-0.068351,-0.509034,-0.195988,-1.191711,-0.131861,0.112209,0.563093,0.101622,0.194864,-0.082439,0.597715,0.608954,-0.119847,-0.050602,0.110901,0.499468,-0.02896,-0.494972,0.588721,-0.355228,-0.594604,-1.215722,0.263553,-0.313649,-0.14082,-0.707067,-0.754012,-0.658988,0.552585,0.193985,0.522698,0.13245,0.056021,-1.901787,-0.949901,0.326032,0.195142,-0.330032,-0.579359,1.175896,0.060704,0.08479,0.885103,0.502681,0.13546,-0.308507,-0.042154,0.270732,0.37629,0.595652,-1.503873,0.138264,0.345963,0.785149,0.152247,-0.01752,-0.119286,0.082246,-0.311008,-0.489868,0.461615,-1.149945,-0.359443,-0.96373,0.044289,0.196791,0.534091,-0.150322,0.74639,0.023765,0.258826,-0.359563,0.768053,0.699482,-0.068838,-0.124906,0.573344,0.475776,0.402602,-0.478558,0.225259,0.643816,-0.620661,1.10583,-0.757874,-0.126793,0.830982,-0.345633,0.909508,-0.416348,-0.472959,-0.776216,0.711683,0.541151,0.269652,0.594659,-0.108879,0.595013,0.232529,-1.048197,0.105286,0.357634,0.294409,-0.473559,-0.267813,-0.095614,-1.630011,-0.060989
point,-0.982412,-0.267839,1.290386,0.113469,-0.091436,-0.907048,-0.127528,-0.138182,0.328999,0.790319,-0.292927,-1.184237,0.144099,-1.423157,-0.077417,0.123707,0.295462,-0.125563,-0.949242,0.506486,0.079243,0.492859,0.607413,0.335623,0.346347,-0.287246,0.524704,0.449283,-0.100539,-0.916621,0.015038,-1.026183,-0.020418,0.061578,-0.271999,0.220466,-0.78358,0.442561,0.344792,-0.737489,0.798848,-0.870745,-0.286358,-0.326761,-0.612303,-0.426497,-0.276208,0.064068,1.345874,-0.99255,0.083337,-0.778999,-0.713572,-0.532637,0.046639,0.414102,-0.179872,-0.351527,0.201048,-0.769786,0.028284,0.766805,-0.90656,-0.685564,0.006658,-0.362584,0.376674,0.142561,0.564661,-0.169903,0.48247,0.054157,-1.005724,-0.441771,-0.58311,0.087914,0.585051,-0.916268,0.729118,0.367324,-0.509074,0.626079,0.167278,0.327497,-0.183426,0.564439,-0.584736,-0.075961,-0.045406,-0.047905,0.033646,1.085049,-1.359429,0.21908,-0.368519,-0.125113,0.0768,-0.025568,1.041685,0.336344,0.112839,-0.928361,-0.336475,0.250537,0.49407,-0.665138,1.206469,0.12454,-0.206718,0.152364,-0.32264,-0.20632,0.04786,-0.433583,-0.565945,0.65456,-0.219697,-0.137149,-0.164456,0.648428,0.576027,0.051964,-0.261524,-0.38886,-0.45895,-0.759481,-0.957321,-0.632223,-0.351474,-0.110533,0.547799,0.05817,1.713178,-0.10959,-1.012386,0.369848,0.302331,0.491978,0.017832,0.160299,-0.102124,0.065973,0.257237,0.040701,-0.124665,-0.08174,0.209243,0.417148,-2.547929,-0.008447
theorem,-0.660663,0.101813,1.261133,-0.385401,-0.251875,-0.837769,-0.110149,0.531484,1.110047,0.54821,-0.644944,-0.332701,0.894547,-0.531996,-0.057077,0.150154,1.083188,0.318045,0.223048,0.123806,-0.127288,0.756247,-0.221684,0.456025,0.594897,-0.256863,0.561727,0.051719,0.834134,-0.488441,0.327744,-0.126732,0.034026,0.043839,-0.443632,-0.62626,-1.336084,0.392049,0.097727,-0.6549,1.057319,-0.00653,1.128775,0.075668,-0.334074,-0.939965,0.238073,0.440148,0.945591,-0.379698,0.736342,-0.131577,-0.306744,1.069519,0.562595,0.655227,-0.144769,0.790515,0.542982,-1.44415,-0.506884,-0.159114,0.222808,-0.546471,-0.253023,-0.294484,0.615387,-1.005805,0.60542,-0.652993,0.639606,0.043644,1.144695,-0.077673,-0.18249,-0.503594,-0.635432,0.182362,-0.207661,-0.290536,-0.271851,-0.101227,-0.4389,0.444728,0.733139,0.364102,-0.691265,-0.01192,-0.114579,0.256615,-0.657268,0.073903,-1.609037,-0.102698,0.329297,0.288627,-0.615527,0.471697,0.14679,0.084057,0.193017,-0.745945,-0.171037,0.051552,-0.576479,-0.619446,-0.182595,0.378044,0.835813,-0.780143,0.922038,0.293362,0.551639,-0.161416,-0.558526,0.341266,-0.471153,0.592151,0.191227,1.318265,0.438594,-0.155397,0.29093,0.567524,-0.926879,-0.148402,-1.218085,-0.66898,0.226975,0.599176,-0.077892,-0.608703,-0.721874,-1.296631,-1.420104,0.48103,0.127839,0.296326,0.569588,-0.069609,0.615316,-0.302528,-0.613941,0.20412,0.354378,-0.070531,-0.801825,-0.627255,-1.726226,-0.53178
