word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
number,0.097109,-0.043548,0.309565,0.302298,-0.079559,0.065448,-0.116467,-0.022438,-0.064799,0.093849,-0.913647,-0.48438,0.078856,-0.153417,0.136227,-0.659815,0.436471,0.314562,0.002364,-0.249175,-0.13517,0.043568,-0.325107,0.282524,-0.135952,0.152891,-0.016461,-0.082839,0.370041,0.82696,0.238366,0.371991,0.140511,0.110239,-0.470765,0.027017,-0.044993,0.011805,0.198063,0.354375,0.120831,0.378078,0.152804,-0.656113,-1.7e-05,-0.262102,0.365271,0.372458,-0.671417,-0.924626,-0.214068,-0.235892,0.076859,-0.145241,0.095879,0.198611,0.292694,0.243511,0.111797,-0.577649,-0.149662,-0.474451,-0.489795,0.156916,0.297371,-0.017461,0.280189,-0.198078,0.02224,0.520228,0.068967,-1.330468,-0.493276,0.248709,-0.596595,-0.056062,0.38229,0.160857,0.271732,-0.757254,-0.378302,-0.381511,-0.089314,0.135351,0.452634,0.882172,-0.149856,-0.034636,0.289244,0.090213,0.066498,-0.045802,0.155357,-0.036316,0.317854,-0.421866,0.028685,-0.200096,0.239807,0.241268,-0.063116,-0.652749,-0.275467,-0.522334,0.051006,-0.226645,0.184568,-0.079196,0.126192,0.071986,0.018492,0.224542,0.126815,0.217988,0.028376,0.111146,0.27511,0.019661,0.176349,0.451689,0.05536,-0.033662,-0.290464,-0.389018,0.001523,-0.284917,-0.008143,0.213738,-0.502048,0.061392,-0.595372,0.428213,0.252084,0.011968,0.05138,0.223562,0.164106,-0.206927,0.114769,0.427551,-0.141218,0.111231,0.034629,-0.107299,-0.172311,0.118736,-1.248048,0.239732,-0.019525,0.391387
function,-0.406132,0.397219,-0.040843,0.220548,-1.092012,-0.203722,0.761514,-0.075236,0.085824,-0.248453,-0.364213,-0.455553,-0.08784,-0.35377,0.006215,-1.018235,0.011714,0.051764,-0.233776,0.734187,-0.056061,-0.118305,-0.0719,-0.025585,-0.184251,-0.027775,0.58931,-0.484542,0.249899,0.189156,0.702904,0.394983,-0.251562,-0.062184,-1.347161,-0.129711,-0.113054,-0.478624,-0.039844,0.42675,-0.778053,-0.202904,-0.587887,-0.606987,-0.384924,-0.084515,-0.349694,0.34622,-1.300921,0.179287,0.041727,-0.286554,0.166145,-0.248084,-0.443502,0.040944,-0.11957,0.485159,0.228055,-0.293842,0.019234,-0.094001,-0.025068,0.000967,-0.256671,-0.103353,-0.243359,0.17915,-0.350948,0.274425,-0.081707,-0.687335,-0.05906,-0.14448,-0.474147,0.267052,0.46581,0.75797,0.229158,0.221635,-0.082766,0.348683,-0.054926,0.251175,0.530834,-0.094745,0.365281,0.026785,-0.643332,-0.281937,-0.307236,-0.570302,-0.317138,0.020886,-0.674014,0.234695,0.189178,0.304121,0.36751,-0.282386,0.598882,-0.426644,-0.439504,-1.728129,0.169094,-0.026074,-0.043565,-0.146833,0.510068,0.195489,-0.512987,-0.261785,0.090921,-0.235414,0.497948,-0.513423,0.17747,-0.108093,-0.007485,-0.154633,0.422549,0.953468,0.341333,0.203179,0.816531,-0.363959,0.356495,-0.09035,-0.416872,0.449959,-0.631343,0.086714,0.65723,0.192113,-0.25457,-0.021308,-0.749407,-0.207429,-0.704047,-0.183093,0.394341,-0.332885,0.24128,0.671911,-0.319996,0.445458,-0.559647,-0.060347,-0.129531,0.657754
one,0.187824,-0.048056,0.093188,0.026163,-0.091854,0.043713,0.002038,-0.220037,0.039411,0.140544,-0.518153,-0.274665,-0.003244,-0.149699,0.230512,-0.033127,0.004781,0.319706,-0.16338,0.040027,-0.187924,0.304287,-0.358168,0.433432,0.396892,0.188798,0.031605,0.275151,0.315939,0.314201,0.120578,0.19535,0.025743,-0.005806,-0.568897,-0.003799,0.288529,0.30181,0.32993,0.024624,0.244671,0.050794,0.469339,-0.010573,-0.094799,-0.127351,-0.121246,-0.128753,-0.577611,-0.577705,-0.191154,0.030071,0.420397,-0.082035,0.240327,0.22156,0.229976,0.011593,-0.097747,-0.107518,-0.19077,-0.307747,0.009791,0.322706,0.125728,0.099411,0.200147,0.266345,-0.098021,0.488461,0.006995,-0.959303,0.023648,-0.011142,-0.225166,-0.083553,0.094283,0.493421,0.209137,-0.338662,-0.297453,-0.096948,-0.280094,-0.043504,0.486322,0.506546,0.093231,0.155297,-0.130603,-0.246862,0.167956,-0.3276,-0.164752,-0.096109,-0.102685,0.115047,0.335438,-0.339809,-0.370086,0.280577,-0.168141,-0.014571,0.026783,-0.205244,-0.22027,-0.262301,0.154476,-0.017706,0.102408,-0.087412,-0.367983,0.246073,-0.163584,0.104331,-0.264412,0.028752,0.526105,-0.005011,0.394671,0.094666,-0.104666,0.201771,-0.24081,0.165454,-0.238714,0.198995,0.300797,0.322515,-0.302726,-0.008713,-0.093858,0.222405,-0.252433,-0.000821,0.310536,0.109143,0.233577,0.014226,0.120033,0.011541,0.144322,0.018495,0.230963,0.416479,0.069394,0.10073,-0.273917,-0.181766,0.193456,0.35443
set,-0.103396,-0.022123,0.033413,0.043878,-0.504545,-0.068381,-0.467673,0.381934,-0.047868,-0.222905,-0.21438,0.288901,-0.098345,-0.104399,-0.312169,-0.306162,0.001285,0.192726,-0.085129,0.352264,-0.397153,0.090385,-0.034206,0.122464,0.483081,0.188736,0.058596,0.204547,0.459759,0.108432,-0.083799,-0.059153,0.318232,0.14931,-0.626967,-0.086135,0.425246,0.377632,-0.106598,0.437215,0.201368,0.267686,0.527681,0.284815,0.147334,-0.225972,-0.092282,0.228574,-0.370907,-0.034747,-0.094772,0.044634,0.045325,-0.40863,-0.139598,0.225429,0.23529,0.354264,0.087086,-0.124743,-0.311195,0.206433,-0.252082,0.268764,0.232128,0.119012,-0.158471,0.072805,-0.084635,0.086727,0.076636,-1.371175,-0.482811,0.353995,-0.253442,-0.279423,0.303086,-0.238868,0.587863,-0.595109,0.298089,-0.315509,0.049234,-0.030059,-0.01589,0.415584,-0.045187,-0.301142,-0.222944,-0.068456,0.396881,0.072221,0.314731,0.196539,-0.341245,0.244737,0.364771,-0.009891,-0.079115,0.098776,0.265745,-0.151176,0.281655,-0.066117,0.047607,-0.23489,0.314867,0.014422,0.066198,0.164921,-0.346584,0.354904,0.389743,0.109235,-0.249943,-0.202563,-0.031915,-0.435567,0.529265,-0.052747,0.173982,0.475658,0.123601,-0.048491,0.123483,-0.158376,0.470618,0.457503,-0.076834,-0.020659,-0.148271,0.163282,0.155405,0.19392,0.132244,-0.139229,0.360244,0.094201,-0.106304,-0.152699,0.212449,-0.284511,-0.051544,0.259024,-0.169515,0.311837,-0.313563,-0.094879,-0.105058,0.125848
group,-0.019939,-0.113863,0.258376,-0.198748,0.143832,0.295779,-0.240909,0.015757,-0.019203,0.414756,-0.49893,-0.064668,-0.124586,0.068283,0.281036,-0.135603,0.093509,0.490412,-0.03662,-0.481143,0.104937,0.34316,0.059711,0.192972,0.197984,0.071598,-0.385941,0.021019,0.292215,-0.126018,0.18945,0.280324,-0.073756,0.167301,-0.460132,0.044575,0.366308,0.743059,0.459445,0.361914,-0.410829,0.362433,-0.246036,-0.213212,0.837333,-0.078092,-0.240981,0.171625,-1.217305,-0.163579,0.27738,0.103407,-0.149183,0.51073,0.236666,0.07301,0.051013,0.69842,-0.353764,-0.026733,0.06363,-0.031071,-0.403379,0.645109,0.013651,-0.028288,-0.29226,0.179254,-0.215316,0.214208,-0.586049,-0.715325,0.270627,0.271801,-0.173828,-0.180689,-0.403812,0.069032,-0.383589,-0.410272,-0.793722,-0.175474,-0.289539,0.053839,0.256062,0.075968,-0.640364,0.257323,0.245982,0.025163,-0.694088,0.438818,-0.028757,0.11329,-0.548812,-0.089383,-0.148821,-0.273061,-0.220542,0.394259,-0.170972,-0.077922,0.053555,-0.347942,-0.524263,-0.342734,0.178569,-0.405084,-0.029392,-0.199651,0.097103,0.146251,0.080864,-0.009528,0.106627,-0.170037,0.698089,0.369202,-0.028993,-0.029087,0.225555,-0.435435,-0.18304,-0.156344,0.109137,-0.27164,0.10684,0.350809,-0.250116,0.086786,-0.59227,0.245315,0.550558,-0.265126,-0.17442,-0.203854,-0.909887,0.132631,-0.353266,0.12986,0.495509,0.390951,-0.223641,-0.229665,-0.17768,0.065557,-0.282002,-0.560959,0.494581,1.040079
space,-0.052153,-0.056307,0.45319,-0.015418,-0.703724,-0.063976,0.57766,0.081854,0.230877,0.745886,-0.118407,-0.01585,0.02507,-0.428551,0.064155,-1.323726,-0.222827,0.595329,-0.541556,0.148601,-0.819683,0.148696,-0.065136,0.393993,0.303957,-0.520392,0.009567,0.294638,0.434001,0.011608,0.441578,-0.460434,-0.118458,-0.182212,-0.540041,-0.000329,0.297842,-0.148688,-0.083812,0.104337,-0.545036,-0.431144,-0.302291,-0.170197,0.103221,-0.698398,-0.355634,0.10761,-0.54404,0.413563,-0.272769,-0.010935,0.439673,-0.26328,0.357822,-0.173866,0.407607,-0.120659,0.364737,-0.828719,-0.582448,0.824601,-0.687943,0.242995,0.139007,-0.544257,-0.508341,0.190302,0.711193,0.139146,-0.050527,-1.527369,0.008002,-0.106127,-0.213972,-0.25163,-0.223854,-0.012019,0.359454,-0.022282,-0.141396,-0.545809,-0.362601,0.17388,0.211757,0.06689,0.110257,-0.248916,-0.049118,-0.864584,0.070695,0.525732,-0.130364,0.04259,-0.52725,0.342509,0.104972,0.101022,0.081097,-0.235045,0.458268,-0.117856,0.082193,-0.78684,-0.087738,-0.252524,-0.063969,-0.130855,-0.0403,-0.17081,0.031558,0.313204,0.336748,0.261847,-0.363491,-0.141926,-0.104499,0.007589,-0.008852,-0.124689,0.802071,0.203006,1.03301,-0.510334,0.309143,-0.004205,0.17724,0.097234,-0.112019,0.584112,-0.75913,-0.132094,-0.900541,0.272953,-0.214914,0.258949,0.069474,0.51747,-0.115168,0.290092,0.217771,0.143179,0.256084,0.214264,-0.018112,0.507135,-0.113976,-0.001832,0.492365,0.024442
two,0.345262,0.06101,-0.150167,-0.169513,0.027069,0.170759,0.011866,-0.198547,0.108585,0.133251,-0.507609,-0.00257,-0.028396,-0.083779,-0.028222,-0.284004,0.155764,0.30286,-0.305286,-0.211979,-0.375703,0.08906,-0.314403,0.511113,0.47179,0.063529,0.013103,0.188132,0.290071,0.344387,-0.023562,0.402864,0.20523,0.082512,-0.691305,0.123229,0.428641,0.41879,0.468555,0.120056,0.247918,-0.023092,0.848369,-0.110597,-0.048127,-0.058085,-0.087473,-0.058563,0.008378,-0.36939,-0.243784,0.001741,0.40057,-0.015837,0.409039,0.359317,-0.001844,-0.094654,-0.029544,0.043184,-0.374392,-0.351223,-0.400135,0.522177,0.154829,0.142842,0.262,0.306957,-0.228091,0.457559,0.069161,-1.073256,0.067363,0.039883,0.01319,-0.049678,0.279191,0.096827,0.351649,-0.094781,-0.190116,-0.222342,-0.303219,-0.160425,0.522723,0.370934,-0.129557,-0.045778,-0.211971,-0.430866,0.428615,-0.11234,-0.050082,0.013024,-0.301537,-0.107629,0.260621,-0.422012,-0.423156,0.243079,0.065072,-0.187421,-0.044542,-0.606031,-0.135788,-0.543705,0.256189,0.192529,-0.170542,0.056524,-0.338673,0.230396,-0.18158,-0.154852,-0.243222,0.278708,0.771461,0.115951,0.431888,0.041527,0.071095,0.231888,-0.361412,0.150519,-0.446924,-0.11113,0.460366,0.287986,-0.521968,-0.1217,-0.1103,0.287252,-0.088625,-0.125352,0.396538,-0.011699,0.235659,0.314632,0.251404,-0.023169,0.259565,-0.074043,0.315741,0.341107,-0.129416,0.342096,-0.270707,-0.313236,0.157942,0.539107
theory,-0.359943,-0.75119,-0.413139,0.08175,-0.478062,-0.255233,0.201708,-0.368469,-0.245765,-0.055689,0.164007,-0.056957,-0.68201,-0.475861,0.830108,-0.303385,-0.226874,0.061174,0.041522,0.404587,-0.222069,-0.702005,-0.097869,-0.162096,-0.624176,0.559298,-0.265859,0.070682,0.665471,-0.159608,-0.424621,0.131752,-0.754743,-0.401595,-1.516283,0.753685,-0.427998,0.210063,0.179667,-0.29314,0.310999,-0.024022,-0.571215,0.235243,0.371784,-0.945689,0.062721,0.540376,-1.640043,0.593912,0.269915,-0.28222,-0.036533,-0.359842,-0.479741,-0.390975,0.107184,0.209121,0.550561,-0.285621,-0.330148,0.22531,0.798749,-0.52045,0.436495,0.164383,-0.508426,0.449576,0.162777,0.297727,0.764543,-1.664462,0.03783,-0.178783,-0.115054,0.232199,0.527305,0.67267,0.498438,-0.003313,-0.318276,0.151891,-0.174599,-0.81092,0.092129,-0.478789,-0.401011,0.29386,-0.486863,-0.549974,-0.12336,-0.369013,-0.361213,0.487341,-0.437424,-0.231277,0.02954,0.049454,-0.184717,-0.877019,0.085198,-0.295353,-0.506747,-0.191824,0.14058,0.069063,0.212373,0.02271,-0.337852,0.069122,0.716667,0.086745,-0.449153,-0.769113,0.020032,-0.339812,0.582205,0.144188,-0.702459,0.169768,-0.645278,-0.982023,0.771803,0.045819,0.542985,-0.435785,-0.038766,-0.346089,-0.483849,0.84527,-0.114921,0.298358,0.42907,0.373488,-0.071062,-0.16765,-0.557109,0.156579,-0.39376,-0.53119,-0.152434,0.062002,0.503022,0.615531,0.112378,0.006009,0.038766,0.045549,0.446875,-0.252383
point,-0.097418,-0.104339,-0.288814,0.373902,-0.792486,0.137352,0.070378,0.371985,-0.613583,-0.466059,-0.111963,-0.092718,-0.100574,0.109694,0.21463,0.180222,-0.436312,0.947907,-0.14659,0.307386,-0.100446,0.030878,0.061652,0.092038,0.29441,-0.006774,-0.629846,0.244487,0.385188,0.561175,-0.112556,-0.004727,-0.107796,0.303003,-0.344297,0.130751,-0.279521,-0.109109,0.276866,0.195227,0.211101,0.244516,0.074955,0.449725,-0.182105,-0.070377,-0.144053,-0.260776,0.209204,-0.505905,0.147244,-0.136597,0.11349,0.313599,0.065485,0.858639,0.249685,0.216477,-0.110233,0.045954,-0.152524,-0.102219,-0.188732,0.335549,-0.04359,-0.097239,0.208526,0.191877,-0.462085,0.109887,-0.022607,-1.245112,-0.021916,0.239494,0.123166,0.267262,0.364427,0.178473,0.51239,-0.129463,0.087913,0.161221,-0.313585,-0.137973,0.022549,0.518467,-0.114956,-0.036324,-0.043611,-0.035084,-0.01285,0.01238,-0.303653,0.354648,0.134457,-0.3298,0.254471,-0.264172,-0.798258,-0.517832,0.122919,0.216662,-0.2392,-0.31228,-0.004954,-0.081508,0.248397,0.061121,0.009753,-0.028428,0.029048,0.27088,0.037739,0.087102,-0.362159,-0.437435,0.764141,-0.499486,0.321091,-0.11209,0.625119,0.174463,-0.537574,0.104404,0.137985,-0.221051,0.162852,0.142904,-0.183703,0.130902,0.03331,0.0826,-0.763111,-0.041772,0.148394,-0.520635,0.630657,0.065229,0.519629,-0.08203,-0.222431,0.56756,-0.14726,0.970839,0.374634,0.061104,-1.160225,0.120656,0.05212,0.438421
theorem,-0.467894,0.225986,-0.511479,0.025832,-0.536173,-0.130637,0.754006,-0.380598,-0.115349,0.095856,0.105539,0.025728,-0.523851,-0.060374,0.180476,-0.116836,-1.028585,-0.013288,-0.320704,0.302494,0.163589,-0.476617,-0.00581,0.157286,-0.984145,0.111983,0.189581,-0.46273,0.793857,-0.407821,-1.01433,0.137154,-1.498812,-0.953135,-0.785294,0.834069,-0.051022,0.10323,-0.025906,0.467401,0.564721,-0.639861,-0.452202,-0.044182,-0.024619,-0.312286,-0.328913,0.14362,-0.334819,0.001171,0.308654,-0.505195,0.612366,-1.00429,-0.611666,-0.040609,-0.087226,0.777592,0.885981,-0.075007,0.004761,0.184236,0.291429,-0.173872,0.460477,0.538429,0.545051,0.08989,0.364028,0.111509,1.689679,-0.280612,-1.28768,-0.639602,0.767836,-0.112276,0.717388,0.838623,0.906547,-0.361532,0.426856,0.48375,-0.243861,-0.905748,-0.082819,-0.521521,0.555495,-0.841169,-0.923151,0.161238,-0.456723,-0.295201,-0.780215,-0.475489,-0.392509,-0.592434,-0.684022,-0.129752,0.181915,-1.436062,0.209773,-0.718732,-0.351671,-0.065666,0.468604,0.912075,0.287692,-0.413811,0.072333,-0.3071,-0.405579,-0.029638,0.575902,-0.968858,-0.789585,-0.957336,0.228924,0.486625,-0.388773,-0.068808,0.586166,-0.050643,0.904023,0.161035,1.262314,0.159379,-0.514106,-1.033021,-0.842874,0.956671,-0.07117,1.370486,0.126927,0.159261,-0.690259,-0.231052,-0.314299,-0.005819,-0.477443,0.046078,0.346325,0.266012,0.447964,0.27005,0.813195,0.475024,-0.867209,-0.054522,-0.165058,0.167612
