word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
number,-0.299857,-1.755638,-0.510372,0.567555,0.044202,1.449973,0.484385,1.07249,0.576045,-0.335116,-0.413651,-0.189595,0.294314,0.521102,-0.813375
function,-0.588246,-2.334632,0.840361,-0.196147,-1.344404,1.640238,0.202759,0.158461,-0.329283,0.082117,-0.806002,1.779116,0.893303,0.979903,-0.152942
one,0.200126,-1.992815,-0.831873,0.087313,-0.218559,0.682076,-0.398039,0.58175,-0.245024,-0.885326,-0.438708,-0.998332,0.170242,0.588966,-0.206719
set,-0.153167,-1.603027,-1.008722,-0.096173,-0.865908,1.146708,0.017173,0.502363,0.045845,-0.46527,-0.060905,-0.564021,0.462783,0.696243,0.241002
group,0.208713,-1.687671,-0.459951,-0.908987,0.44398,0.849509,0.062072,0.093297,-0.069219,-0.562627,-1.184202,-0.098813,-0.196832,0.094205,0.545408
space,-0.857226,-1.225759,-0.797868,-0.561002,-0.773214,1.80657,-0.686399,0.734807,-0.675401,-0.843094,0.107108,0.967199,0.21438,0.588432,0.455691
two,-0.413483,-1.749422,-0.717663,0.099238,0.042248,0.66888,-0.543124,0.868767,0.04948,-1.120588,-0.627735,-1.042321,0.551483,0.673827,-0.226987
theory,-0.239286,-1.106028,-0.386343,0.173042,-0.667261,1.929629,0.778069,-1.387146,-1.844266,0.714518,-0.59293,1.682127,0.209694,1.557152,-0.264039
point,-0.358936,-1.290427,-0.920367,0.86529,0.588017,1.103168,-0.72989,1.242117,0.782282,-0.551315,-0.74745,-0.242675,0.284687,1.406919,-0.15088
theorem,-1.414179,-0.3488,0.903051,0.812027,-2.019949,0.49905,0.199427,-1.270048,-0.73346,1.29098,-0.760786,1.200719,1.156482,2.348291,0.663167
example,-0.35185,-2.066742,0.101119,0.392307,-1.232211,1.378554,0.509125,0.457168,-0.684022,-0.382379,-0.472474,0.459235,-0.180757,0.512389,-0.425387
form,-0.719591,-2.106589,0.187949,-0.065956,-0.325527,0.764111,-0.19005,0.408177,-0.78684,-0.895762,-0.745963,-0.00986,-0.39535,0.87546,-0.288462
define,-0.613734,-2.178409,0.320764,0.477881,-0.778396,1.756703,0.577383,0.291853,-0.307614,0.482498,-0.652227,1.451123,-0.259666,1.374391,0.025327
graph,-1.430612,-0.722886,0.608101,0.270732,-1.90271,1.165755,0.111481,0.050041,0.183287,1.063695,-0.620505,1.435987,-0.267826,1.787236,0.294619
value,-0.147008,-2.364249,-0.115903,1.192488,-0.865432,1.658553,0.729067,0.412581,0.321432,0.309306,-0.406387,1.32698,-0.156287,0.302773,-0.368567
