word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
number,-0.300273,-0.504469,-1.176067,0.700483,-0.802863,3.459608,2.980997,-0.500568,-0.565062,1.274344,-0.725202,-0.234768,-0.066508,-0.96849,-0.137444
function,0.152126,0.434868,-2.531114,1.151676,-0.014143,3.736934,0.689156,-1.823075,0.211143,0.004375,0.303726,-1.167706,0.630113,-1.449013,-0.393321
one,-0.072872,1.281838,-0.630361,0.112001,-1.862474,3.300844,2.337436,-1.054015,0.391475,1.167453,0.143428,-0.107394,-0.134455,-0.725541,0.248109
set,-1.175538,1.163915,-1.299711,0.990588,-0.824016,3.318064,1.948567,-0.558012,1.262545,1.24892,-0.673314,-1.754283,-0.024409,0.411569,-0.212688
group,1.768807,1.31465,-1.750201,-0.658804,-1.146947,2.748516,1.976957,-0.387719,0.195188,0.150385,-1.66621,-1.178586,-0.569684,0.643281,1.299843
space,0.701314,2.158043,-1.808975,1.34462,-1.619144,3.440904,0.532084,0.250429,1.55384,-0.015981,-0.749629,-1.541172,0.193995,-0.343724,1.0525
two,-0.256484,1.587839,-0.388796,-0.066299,-1.77993,2.741551,2.715944,-0.875101,0.507321,1.327696,-0.190167,-0.435401,-0.035785,-1.021209,0.538896
theory,1.736516,1.061928,-1.887884,0.792073,-0.750479,2.734358,1.689852,0.647781,-0.366902,0.84176,0.661339,-2.402733,0.095457,0.911222,-0.637762
point,-0.022709,1.884367,-0.10191,0.474057,-1.660586,2.755946,0.86035,-1.29453,0.71517,1.518212,-0.47945,-0.801686,0.616519,-1.874802,0.324402
theorem,1.040542,-0.298769,-0.419526,-0.662198,0.014148,3.937402,1.578729,0.609922,0.965956,0.548707,0.777036,-2.11038,0.796185,-0.719756,-0.530518
example,0.069056,1.189323,-1.095668,0.620879,-0.728317,3.267852,1.73365,-0.812963,0.16388,0.771368,-0.206241,-0.379483,-0.170421,-0.514076,-0.07649
