word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
number,-0.268142,0.896596,0.523118,-0.772115,-0.554252,-0.402329,-1.228636,1.117768,-0.319767,0.903993,0.405033,-0.410611,0.138288,-0.99764,-0.783675
function,0.176445,0.351961,1.592781,-0.118274,-1.418756,1.341959,0.734109,1.480727,-0.569305,1.821952,1.072584,-0.332387,-0.280708,0.015142,-1.022916
one,-0.128472,1.557582,-0.101921,0.289494,-0.301263,0.221982,-1.021741,1.081689,0.005563,1.278572,-0.276349,0.169036,0.243783,-0.953399,-0.201724
set,-0.400021,1.682067,0.18139,-0.293905,-0.319676,0.394074,-0.534192,1.272465,0.268228,0.617038,-0.144935,-0.190384,-0.056844,-0.764906,-0.069406
group,0.439159,0.569331,-0.511326,-0.155171,0.792497,0.922463,-0.707902,1.10582,-0.210543,1.149956,0.016783,-0.60034,0.053069,-0.723728,-0.658093
space,-0.241023,0.753533,0.60928,-0.975869,0.049465,0.654764,0.677592,2.161564,0.148443,1.093427,-0.134012,0.11565,-0.379905,-0.872299,0.20657
two,0.241446,1.371389,-0.089859,0.157682,-0.46514,-0.119744,-1.114864,1.435415,-0.540265,1.055411,-0.320699,0.225244,0.015886,-0.942995,0.004081
theory,-1.528806,0.221727,1.105566,-0.93889,-0.204414,2.507756,0.651683,0.451422,-1.027182,1.326587,1.024933,0.593936,0.745814,0.382837,-0.567702
point,-0.154732,0.511766,-0.09168,-0.519384,-0.977914,-0.201762,-1.453031,1.926916,-0.553522,0.492544,-0.375551,0.243247,0.574253,-0.280048,-0.216106
theorem,-0.498996,-0.150107,1.637969,0.012934,-1.742647,1.612163,1.00827,0.01037,-0.963557,-0.121119,0.477797,0.118868,0.542213,1.948982,0.372607
example,-0.586307,1.084732,1.156061,-0.015542,-0.348957,0.509501,-0.337247,0.930895,-0.128367,2.003121,0.992958,-0.387117,-0.22385,-0.16,-0.261771
form,-0.138169,0.904514,0.15009,0.277792,-0.232199,0.300443,-0.407373,1.287049,-0.823542,2.026673,0.703583,0.145285,-0.291505,-0.308078,0.154571
define,-0.888154,-0.024089,0.796104,-0.606773,-0.901598,0.923286,-0.193441,1.384277,-0.617005,1.887958,1.169174,-0.521598,0.007379,0.439805,-0.825467
graph,-0.629313,-0.504101,1.300259,-0.377472,-1.467528,0.99137,0.837248,0.986007,-0.210924,0.40253,1.325668,-0.630429,-0.033041,1.194771,0.504186
value,-1.029746,0.366681,1.369067,-0.646592,-1.162985,0.391146,-0.57746,0.930864,0.012375,1.841751,0.539355,-1.222069,0.111482,0.295657,-1.004545
problem,-0.339035,0.609867,1.058823,-0.773995,-0.219111,1.077123,0.230554,0.819515,-0.054935,1.681275,-0.251662,0.289073,0.8177,0.172635,-1.175615
mathematic,-0.736819,-0.236433,0.10744,-0.574595,-0.829234,1.821025,1.585515,-0.037113,-1.715497,0.453344,1.170384,-0.693618,0.983724,-0.777394,0.270112
order,0.0032,1.610945,-0.11062,0.291733,-0.310328,0.149147,-0.383196,0.67807,-0.501983,1.008871,0.242128,0.395134,-0.315251,-0.422607,-1.721667
equation,-0.604082,-0.179347,2.345699,-0.215733,-1.491323,1.768033,0.761681,1.043384,-1.612027,0.315865,0.283099,0.48103,0.072611,1.64257,0.274911
