word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
number,-1.169134,0.32973,-1.38742,-0.237057,-1.167419,-0.770485,-0.101018,-0.04007,0.754574,1.092569,0.75976,-0.624876,-0.263829,-0.336161,0.201776,-0.557541
function,-0.16515,-0.944621,-3.139368,-0.32432,-0.49577,-1.681498,-0.193909,0.581792,0.424929,0.3611,0.47236,0.595477,-0.652794,-0.329457,-0.504491,0.745049
one,-1.131005,0.518596,-0.529397,0.225314,-0.999948,-1.406887,0.408807,-0.598047,0.604923,0.476358,0.181346,0.267902,-0.155114,-0.82599,0.096919,-0.674676
set,-1.378431,0.033223,-0.947188,-0.501224,-0.560978,-1.398505,0.485301,-0.299333,0.126524,0.621186,-0.11496,0.123831,0.150143,-0.310185,-0.085786,-0.413159
group,-0.692763,0.171617,-0.532951,0.321892,-1.421426,-0.594201,0.02493,0.420321,1.023854,0.347791,-0.60631,0.965179,-0.142459,-0.691413,-0.770578,-0.562852
space,-0.836039,-1.16962,-1.943414,-0.466394,-0.257805,-0.994373,0.747109,0.034254,0.095045,0.482955,-1.061766,0.34075,-0.573682,-0.989544,0.385012,-0.765551
two,-0.881145,0.397872,-0.457735,-0.208032,-1.131279,-1.377043,0.729509,-0.355614,0.928277,0.741949,0.300002,0.214332,0.158331,-0.83188,0.693691,-0.691276
theory,-0.493899,-2.119669,-1.611856,0.003897,0.258298,-1.717993,0.088749,0.733006,0.620026,-0.042838,0.124419,0.052386,-2.076082,0.502755,-1.63572,-0.15309
point,-1.111006,-0.443654,-0.698515,-0.454967,-1.193151,-0.567707,0.462483,-0.39144,0.633049,1.188095,1.050242,0.560936,-0.186952,-0.332258,0.768927,-1.073993
theorem,0.488894,-2.250557,-1.393993,-1.326772,1.683442,-1.977299,0.700554,0.766005,-0.017099,0.178145,1.70986,0.511993,-0.422837,0.681767,-0.628992,1.279695
example,-0.365753,0.037713,-2.236712,-0.065212,-0.275498,-1.686164,-0.14094,0.002176,0.478265,0.527616,0.24037,-0.102412,-0.475239,-0.28868,-0.774424,-0.591345
form,0.127035,-0.011788,-1.425982,0.022662,-0.743276,-1.498771,0.18429,-0.35905,1.063253,0.615293,0.100781,0.389343,-0.539646,-0.727527,-0.303316,-0.921866
define,-0.135407,-0.972811,-2.580158,-0.455002,-0.727342,-1.123106,-0.679074,0.309115,0.261237,0.771415,0.769,0.491312,-0.818199,0.050401,-1.090313,-0.407209
graph,0.308776,-1.344473,-2.380732,-1.675656,1.14074,-0.760713,0.021883,0.242288,0.022228,0.762322,0.954516,0.879618,-0.585426,0.276245,-0.583874,0.251104
value,-0.7943,-0.166964,-2.634708,-0.293222,-0.947184,-0.982893,-0.644038,0.418176,-0.42756,0.57786,1.181913,-0.324386,-0.317456,-0.254103,-0.934943,-0.548461
problem,-0.902257,-0.874527,-1.884079,0.598763,-0.898598,-1.324148,0.287929,0.384369,-0.151027,-0.586746,0.447957,0.190329,-0.823194,0.202699,-0.302599,-0.255027
mathematic,0.054635,-1.581198,-0.919127,-1.230008,0.458112,-0.624745,0.722445,0.740714,0.860843,0.016689,0.450999,-0.128549,-1.86124,-0.729503,-1.882174,1.079571
order,-0.686601,0.186659,-0.771844,0.332134,-1.813883,-1.687128,-0.090128,-0.552007,0.843938,0.43807,-0.09994,-0.159167,0.001626,0.248236,-0.17778,0.340918
equation,0.245603,-2.560224,-2.235662,-0.588401,0.944473,-1.854122,0.425681,1.325561,0.231938,0.575844,0.912454,0.362455,-0.406017,0.531477,-0.156274,0.481901
first,-1.186033,0.516676,0.382594,-0.190509,-1.255044,-1.055823,0.847095,-0.099231,0.935107,0.432228,-0.15549,-0.012446,0.140514,-0.773864,-0.090016,-0.377837
vector,0.224909,-1.727666,-3.092843,-0.685914,0.632434,-1.212618,-0.405307,0.988405,0.457381,1.007815,0.245183,0.985718,-0.216239,0.628867,0.138159,0.084094
algebra,0.269199,-2.154007,-1.847217,-1.734464,1.527201,-1.407689,0.248382,0.604931,0.608403,1.102596,0.577092,0.403572,-0.792113,0.114328,-0.945835,1.342501
$\mathbb{N}$,-0.511937,-0.271017,-0.975806,-0.412637,0.823192,-0.665202,-0.746036,1.373006,0.69315,1.934981,0.264105,0.341908,0.676764,-0.218367,0.601246,-0.465889
field,-0.338535,-0.898108,-0.46089,-0.70467,-1.298506,-0.877588,0.671148,0.581484,1.159071,0.114863,-0.107916,0.780425,-0.882853,-0.660058,0.490547,-0.642121
element,-0.399939,-0.576256,-2.386285,0.030667,-0.014745,-1.625242,0.307723,-0.407991,0.568936,0.738161,-0.587448,0.107413,-0.417456,0.249788,-0.794866,-0.913288
system,-0.726246,-0.296458,-2.810911,-0.480974,-1.639847,-0.722738,0.05735,0.995407,0.663706,0.026694,-0.936273,0.234995,-0.626548,-0.699021,-0.005755,0.070421
matrix,-0.119734,-1.410572,-2.61884,-0.886558,0.91829,-1.516671,-0.15705,0.979025,0.164784,1.018128,0.553366,0.909842,0.083992,0.1379,-0.174196,0.206521
mathematical,-0.020618,-1.657514,-1.511979,-1.100333,0.551274,-0.732558,0.756246,1.137211,0.972891,-0.060832,0.116489,-0.31923,-1.864616,0.016071,-2.007287,0.481988
method,-0.141682,-0.386931,-2.72903,-0.161586,-0.314123,-1.676168,-0.099495,1.097084,0.144295,-0.587627,-0.079506,-0.089932,-0.987741,0.177643,-0.606349,-0.240309
finite,-0.02538,-2.217405,-2.807596,-1.218393,0.830074,-1.717848,-0.060032,0.395201,-0.01028,1.24132,1.142707,0.670332,-0.27311,0.393328,-0.67526,0.619367
result,-0.871041,-0.107544,-1.145412,0.631434,-1.954552,-0.88987,0.377388,0.427782,0.809014,0.073302,1.127712,0.7069,0.076222,-0.018599,-0.067713,-0.657514
vertex,0.229672,-1.09382,-2.417152,-1.57408,1.25599,-0.551989,0.04743,-0.717901,0.443829,1.649752,1.454509,0.950688,-0.207968,0.119333,0.920067,0.620114
term,-0.479882,-0.166312,-1.340031,0.199188,-1.28534,-1.405018,-0.388897,0.078832,0.307251,0.055927,0.731503,0.38794,-0.894559,-0.085122,-1.145436,-0.259231
line,-0.493254,0.022865,-0.921293,-0.582345,-1.213494,-0.648157,0.820671,-0.75399,0.555236,0.837189,-0.231484,-0.167671,0.106895,-1.257281,1.167162,-0.673032
model,-0.94196,-0.151636,-1.8918,-0.580836,-0.312377,-0.81482,0.285075,1.265132,0.490342,0.148533,-0.449694,0.047903,-0.27168,-0.46593,-0.196933,-0.213055
