word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
number,0.517603,-0.161628,-0.34567,-1.103412,2.934707,-3.003897,-0.968022,-1.277758,0.121815,-0.681201,-1.653494,-0.221574,-2.002305,-0.494038,0.624953,0.164334
function,-0.773104,1.105886,-0.552731,-1.044833,2.771289,-2.90368,0.243338,0.909478,-1.102976,0.088161,-0.479042,0.843804,-2.574224,0.924878,0.129228,0.131242
one,-0.101002,0.619491,-0.157481,-0.840969,1.776584,-1.958559,-0.231118,-0.336417,0.229366,-1.376454,-2.51328,0.427949,-2.68295,-0.871152,-0.475251,-0.146837
set,-1.819165,0.455208,-0.126922,-0.445491,1.675626,-2.583417,0.335013,-0.678478,-1.303462,-1.295277,-2.106118,-0.334345,-2.227377,-0.864794,1.361818,-0.524609
group,0.969014,1.605837,0.035616,1.223828,1.589374,-1.677994,0.65249,-1.032364,-0.786099,-0.881944,-3.047958,0.010049,-1.612757,-0.088633,0.899658,1.989745
space,-1.616516,2.334485,0.427757,0.985152,1.571499,-1.65247,0.054484,0.055299,-1.244834,-1.457862,-2.275552,0.561275,-2.035783,-0.207267,0.138865,0.882925
two,-0.269485,0.976866,-0.222931,-0.967352,1.997185,-1.431458,-0.42418,-0.476177,0.314088,-1.878047,-2.422162,0.411604,-2.534793,-1.076296,-0.28085,-0.046962
theory,0.205351,0.931463,-0.041985,0.238084,1.180214,-1.97479,-1.066161,-0.71989,-3.290094,0.072713,-2.536921,0.122934,-1.580293,0.045875,0.001294,0.374937
point,-1.675335,0.835489,-1.324296,-1.181325,1.465872,-2.005056,-0.717024,0.078235,0.079238,-1.953666,-1.815872,0.455365,-2.120987,-0.869972,-0.692108,1.051748
theorem,-0.718776,0.390711,1.377125,-1.743373,1.415098,-2.516168,-1.16809,-0.405038,-1.936329,-0.836982,-2.198003,0.682648,-0.983278,1.274884,0.460189,1.447935
example,-0.442154,0.542464,-0.107556,-0.21562,2.087699,-1.775709,0.258794,-0.611402,-0.466536,-0.762951,-1.834159,0.373618,-2.373179,0.007735,-0.389532,0.061987
form,-0.24712,1.521548,0.124515,-0.879994,2.267405,-1.322425,0.269608,-0.857274,-0.285758,-0.640165,-1.662558,0.488454,-2.333221,-0.20366,-0.020885,0.937034
define,-1.030446,1.312035,-0.230359,-0.854907,1.747645,-2.060445,0.961092,0.018689,-0.633673,-0.75773,-1.805224,0.661124,-2.292759,0.134058,0.272455,0.697961
graph,-1.131545,0.705697,-0.23662,-0.590579,0.412355,-1.51142,-1.553266,-1.89287,-0.864245,-2.243182,-2.070575,-1.27392,-1.99668,0.334487,0.906915,0.113156
value,-0.495169,0.066969,-1.121168,-1.170134,2.385129,-2.684082,0.344379,0.633404,0.175562,-0.180086,-1.638315,0.120808,-2.178048,0.18856,-0.584305,-0.761597
problem,-0.409791,0.304235,0.179083,0.01997,0.898055,-2.628919,-2.180192,-1.109181,-1.01846,-0.421003,-1.297611,-0.397998,-2.359506,0.069254,-0.78033,-0.401311
mathematic,1.62866,0.515692,-0.388762,0.58064,1.036052,-1.750967,-1.287913,0.403603,-2.556017,-0.304768,-1.344795,0.862267,-1.380633,-1.802819,0.381084,-0.082312
order,0.136784,0.945706,0.077806,-0.519864,2.802255,-1.268352,0.02966,-1.000026,-0.265815,-1.03374,-2.117647,-0.405164,-1.810204,-0.029889,0.461455,-0.29783
equation,-0.360534,1.488791,0.113629,-0.839644,2.048647,-1.525552,-1.243115,0.658497,-0.827378,1.16487,-1.030658,0.417097,-2.671212,0.552809,-2.022391,1.214321
first,0.773249,-0.084795,0.379822,-0.981987,1.7799,-1.582046,-0.889623,0.074374,-0.670187,-0.467508,-2.176525,0.408653,-2.088516,-1.100178,-0.063782,-0.284798
vector,-1.223007,2.454307,-0.774704,-0.68411,1.560476,-1.311315,1.049142,0.601161,-0.235989,-0.05082,-2.084928,0.131162,-2.639289,-0.307984,-0.364428,0.986594
algebra,0.683415,1.656214,0.792576,0.845256,1.814325,-1.14057,0.925361,-0.741636,-2.118921,0.500494,-1.806729,0.414171,-2.293519,-0.467188,1.471002,1.558458
