word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
number,0.118217,-0.160484,-1.14076,-0.310629,0.381702,1.030617,0.480842,-0.440065,0.920283,0.147934,0.769493,-0.296886,0.444992,-1.181075,1.51989,-0.881475,-0.114923
function,-0.659975,0.720223,0.571905,-0.86312,-1.062332,-0.305734,1.050711,-0.641598,1.159469,-0.0572,0.997293,-0.237872,-0.544252,-1.553635,1.034068,-2.429488,-0.170916
one,0.030634,-0.281264,-1.768155,0.440408,-0.046824,0.596827,-0.076879,-0.488571,0.565745,-0.562605,0.748153,-0.435979,0.138466,-0.890415,0.366726,-1.085494,0.345956
set,0.250968,-0.246655,-1.348747,-0.239269,-0.203942,0.539162,-0.116034,-0.218415,0.893886,-0.428976,0.612161,0.020218,-0.217774,-0.606257,0.762284,-1.34316,0.666216
group,-1.315997,0.104321,-1.374078,-0.085153,-0.08746,-0.02853,-0.104531,0.146758,0.652572,-1.179474,-0.060045,-0.020413,0.321207,-0.616209,0.838527,-1.086818,-0.054264
space,0.575315,0.84127,-0.668352,-0.197843,-0.459362,-0.509095,-0.23214,-0.872297,1.32672,-0.582303,0.12287,0.8545,-0.198379,-0.73536,1.204964,-1.761236,0.588727
two,0.085925,0.064305,-1.74775,0.299878,0.413721,0.355594,-0.120636,-0.701953,0.281592,-0.744566,0.996673,-0.597805,-0.095825,-0.998973,0.75135,-0.861191,0.61519
theory,-0.102103,-0.273866,-0.341998,0.089292,-2.025712,-1.070063,1.154212,0.312517,0.782787,0.618733,-0.290502,0.909874,-1.182568,-0.850833,1.790772,-2.064672,-1.222927
point,0.377876,0.045236,-0.943053,0.757148,0.714046,0.4173,0.015084,-0.497109,0.292261,-0.284782,1.156961,-0.695733,0.201094,-0.733149,2.009355,-1.003366,0.2884
theorem,0.464948,-0.293068,1.295188,-0.421254,-2.312533,-1.086045,1.618858,-0.282547,-0.124358,0.384606,-0.26758,-0.934394,-2.142007,-0.45314,2.030093,-1.283808,0.500137
example,0.064003,-0.237859,-0.468411,-0.480766,-0.669169,0.297333,0.57312,-0.094463,1.160562,-0.358451,0.609163,0.19658,-0.08294,-1.936878,0.476058,-1.614613,-0.252965
form,-0.050747,-0.262273,-1.007484,-0.057469,-0.078626,-0.508429,0.400697,-0.295763,0.904303,-1.03021,0.37308,-0.409368,-0.115399,-1.800703,0.575322,-1.18232,-0.169559
define,-0.252721,-0.184263,0.392096,-0.42882,-0.474632,-0.163123,0.961402,0.048196,1.189088,-0.384675,0.603004,-0.024626,-0.076822,-1.372652,1.618321,-2.119682,-0.821459
graph,0.499481,-0.343146,1.85433,-0.774429,-1.302211,-0.350634,0.752612,-0.685071,0.735373,-0.423306,-0.128007,-0.169175,-1.080083,-0.88793,2.086702,-1.273169,0.030503
value,-0.060728,-0.303855,0.056625,-0.684227,-0.428693,1.076352,1.388302,-0.119744,1.108547,0.344658,0.114359,-0.000801,0.556252,-1.578868,1.425732,-2.079065,-0.218426
problem,-0.392634,0.470682,-0.462331,0.254199,-0.812178,-0.04791,0.401775,0.145852,0.396441,0.819045,0.227625,0.410115,-0.012096,-0.929957,0.944829,-2.325723,-0.00921
mathematic,-0.711153,-0.467308,0.105587,0.099449,-1.207871,-0.337717,1.601266,-1.533412,0.493776,-0.064924,-0.782625,0.901159,-2.347658,-0.269079,1.364739,-0.777952,-1.117173
order,-0.775532,-0.38106,-1.599111,-0.446228,0.207908,-0.066434,-0.085857,0.058697,0.941799,0.595036,1.016194,-0.975565,-0.235902,-0.903613,0.274235,-1.266742,-0.015316
