word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
number,1.304112,-0.900692,-0.837361,0.097046,-0.151863,-0.670379,-0.123614,-0.612829,0.475906,0.766911,-0.310218,-0.603141,0.240618,1.736273,-0.173169,-0.022246,0.572168
function,1.164934,-1.004436,0.11556,-0.781102,-0.311564,-1.441328,0.226295,0.918028,-1.088884,0.593306,-0.741263,-1.696884,-0.258092,0.168181,-1.007719,-0.767983,1.62277
one,0.960154,-0.746299,-0.340085,0.366688,-0.297299,-0.713714,0.490654,-0.500681,0.232204,0.088912,0.81898,-0.195949,0.142035,1.288186,-0.441028,0.594346,1.19157
set,0.793413,-0.862796,-0.35228,0.051954,-0.056631,-0.558292,0.263149,-0.506813,0.421161,-0.051642,0.534267,-0.735446,-0.368034,1.072753,0.211889,0.164183,1.394118
group,0.315051,-0.467834,-0.505456,0.088953,-0.11594,-0.594149,-0.346651,0.822865,-0.004667,-0.410244,0.978958,-0.448382,0.541359,1.641993,-0.363405,-0.229354,0.751448
space,1.577367,-0.296206,0.057593,-0.20529,0.988674,-0.602887,-0.042591,-0.199761,0.20521,-0.7855,0.094302,-0.338165,-0.552284,0.64004,-0.465515,-0.651648,1.985646
two,0.990234,-1.094415,-0.630315,0.608651,0.18044,-0.37157,0.803759,-0.235843,0.446636,0.340305,0.549425,-0.131763,0.249641,1.20365,-0.471038,0.556134,1.120209
theory,1.223818,0.545552,1.956132,-0.903421,0.044669,-1.285948,-0.87773,1.199273,-0.324247,0.189674,-0.340896,-1.445184,-1.682956,0.893651,-0.964519,0.465134,0.698587
point,1.645185,-0.880763,-0.669943,0.206546,-0.094509,-0.331028,0.627307,0.034131,1.608259,0.62297,-0.026399,0.109077,-0.032328,1.275804,-0.840517,0.157264,0.55703
theorem,0.20338,0.000942,1.728728,-0.252045,-0.24322,-0.551656,-0.064597,1.258236,0.63383,0.267703,-1.936421,-1.44282,-1.354115,-1.610545,-0.664734,0.371453,0.360866
example,1.078863,-0.564714,0.006611,-0.309442,-0.01218,-1.651005,-0.457968,-0.208558,-0.272389,0.336782,-0.095513,-1.495237,0.042661,0.609099,-0.569419,0.344877,1.09167
form,0.836026,-0.707778,-0.187348,0.034016,0.525611,-1.290182,0.049944,0.167877,-0.167983,0.496912,0.665136,-0.917172,0.487312,0.669041,-1.255218,0.325317,1.049034
define,1.17124,-0.337683,0.082205,-1.061529,-0.303361,-1.568272,-0.551773,0.538435,0.273142,0.822938,-0.385075,-1.613527,-0.186075,0.616737,-1.10395,-0.318868,0.799093
graph,0.509228,-0.065829,1.122622,-0.885543,0.27557,-1.072563,-0.448994,0.713809,0.83545,0.423715,-1.417143,-1.635446,-0.170048,-1.056644,-0.630346,-0.81509,0.734998
value,1.334108,-0.407799,-0.251161,-0.526235,-1.093254,-1.241469,-1.047132,-0.250815,0.381467,0.544771,-1.124653,-1.670541,-0.185663,0.851846,-1.007957,-0.084041,0.896866
problem,1.741011,-0.6058,-0.138189,-0.557126,-0.890558,-0.738672,-0.669663,0.636057,-0.693798,-0.237692,-0.002619,-0.682627,-1.262861,0.59292,-0.579986,0.045964,0.907815
mathematic,-0.469662,-0.303027,2.630057,0.164862,-0.021501,-0.532884,-0.197267,0.713108,-0.303682,0.169939,-1.063544,-0.664605,-1.12378,1.219756,-1.465223,-0.743798,0.566358
order,0.403785,-0.706365,-0.936725,-0.331512,-0.355174,-0.533296,0.227241,0.35893,-0.595079,1.2125,0.625288,-0.222445,-0.309852,1.267927,-0.120042,0.814814,1.298628
equation,1.304243,0.109807,1.289823,-0.253482,0.177827,-0.751874,0.269216,1.803082,0.359625,-0.081141,-2.396418,-1.738268,-1.288938,-0.903703,-1.08496,0.626819,1.052498
first,0.174576,-0.816804,-0.331055,0.621941,-0.026229,-0.006213,0.591485,-0.083624,0.430163,-0.020593,0.873013,-0.139658,-0.051402,1.861202,-0.092572,0.49735,0.928487
vector,1.730742,-0.325047,0.488346,-0.649172,0.58791,-1.235992,-0.178706,1.618353,0.405497,0.393135,-1.356579,-1.654839,0.117098,-0.765499,-0.286841,-0.602629,0.971862
