word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
number,-0.774137,-0.878788,-0.248567,1.189373,0.842048,0.862268,0.721094,-0.331734,-0.903608,-0.300091,0.907296,0.234947,-0.072231,0.369565,-0.109213,0.348391,1.145896,-0.641487
function,-0.071599,-1.195231,-1.375633,1.080243,1.756152,-0.735752,1.088729,-0.775429,-1.927925,0.057043,-0.236285,-0.054541,0.57607,-0.486086,-1.297059,-0.355784,-0.132821,-0.830257
one,-0.442229,-0.743477,-0.221577,2.119281,0.325502,0.591496,0.558497,0.575609,-0.070709,-0.094833,0.717347,0.233842,-0.107282,0.397438,-0.437479,0.002167,0.261876,-0.445302
set,-0.732807,-0.569109,-0.01153,1.554458,0.33442,0.373948,1.267141,0.376971,-0.452086,-0.570541,0.341733,0.041672,0.006804,0.233605,-0.606956,-0.400397,0.389425,-0.500606
group,-0.701063,-1.261733,-0.706204,1.486335,0.430674,-0.062377,-0.092686,-0.111175,0.189721,-1.041231,0.398524,0.552155,0.259384,-0.241111,0.077246,-0.324986,-0.389772,-0.711505
space,-0.451629,-0.593115,0.099651,1.887721,0.980702,-0.589047,1.155955,0.329872,-1.048045,-1.382447,-0.195998,-0.98197,0.238953,-0.988321,-0.423584,0.028691,0.409322,-0.306403
two,-0.465832,-0.631384,-0.034316,2.040635,0.957055,0.813876,0.699999,0.509435,0.376056,-0.238047,0.360373,0.415343,-0.055733,0.151541,-0.438131,0.271392,0.695606,-0.46278
theory,0.155209,-1.736885,0.597775,0.222881,1.227565,-1.306768,0.974336,-0.895899,-1.708055,-0.22276,1.3686,-1.255738,1.027606,-0.410729,-0.732168,-0.491689,-1.239936,-0.783828
point,-0.037981,-0.541489,0.242607,1.661665,1.386143,1.120388,0.891422,0.050166,-0.130554,-0.144426,0.732154,0.057937,-0.413684,-0.335029,0.423203,0.074806,0.759901,-1.027047
theorem,0.440872,-0.48831,0.301957,-1.028602,1.595077,-0.766169,2.172428,0.330341,-1.212951,1.386681,0.290249,-0.885164,1.482898,-1.751901,-1.56697,-0.139608,-0.80999,-1.044335
example,-0.901708,-0.869181,-0.683745,1.511339,0.668541,-0.099518,0.958635,-0.667928,-1.516257,-0.026446,0.4708,-0.304219,0.682418,0.102264,-0.733574,0.265451,-0.079805,-0.327611
form,-0.737434,-1.01725,-0.839627,1.90271,1.23419,-0.14617,0.7829,-0.324655,-0.286266,-0.077599,0.14515,-0.190214,0.756318,0.140987,-0.23908,0.51734,-0.237104,-0.313819
define,-0.508611,-1.077826,-0.934402,0.945852,1.360674,-0.276826,1.362192,-1.078347,-1.775813,0.014382,0.580041,-0.5211,0.679944,-0.630881,0.103664,-0.111104,-0.278063,-0.87678
graph,-0.183161,-0.600316,-0.606072,-0.375664,1.302231,-0.050186,1.824654,0.12592,-1.94056,0.51805,-0.459325,-1.003129,1.093724,-1.466682,-0.166756,0.109159,-0.415256,-1.206599
value,-0.659399,-0.872726,-0.66805,1.129698,0.52428,0.088198,1.053402,-0.995669,-2.379128,0.370109,0.987628,0.026943,0.623593,-0.581447,-0.028668,-0.175853,0.759535,-0.621514
problem,0.294208,-1.040791,0.311949,1.388969,1.041645,-0.4298,0.37433,-0.714619,-1.651547,-0.122171,0.637301,0.196652,0.264493,-0.207294,-0.547541,-1.068627,-0.113425,-0.078047
mathematic,0.392174,-2.736792,0.174157,-0.682212,0.541523,-1.48655,0.651001,0.40444,-0.882789,0.436242,0.497844,-1.243261,0.700075,-0.662242,-0.56502,0.473803,-0.195249,-1.420752
order,-0.61148,-0.33426,-0.675214,1.253466,1.32114,-0.346814,0.516635,-0.095221,-0.169485,-0.262973,0.906188,0.720217,0.066288,1.320621,-0.558459,-0.629805,0.357476,-0.440601
equation,0.332962,-0.317029,0.706701,-0.150294,2.18195,-0.91735,1.425381,-0.506628,-1.688303,0.71142,0.590559,-0.793601,1.094398,-2.102525,-1.6861,0.220308,-0.548082,-1.390643
first,-0.566084,-0.997618,0.256359,1.514548,0.04345,0.291293,0.130176,0.526442,0.801224,-0.39099,0.638644,0.437273,-0.293217,0.620012,-0.497416,-0.081689,0.502851,-0.948212
