word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
number,-0.513629,-0.417441,1.820546,-1.300186,0.335091,-0.714702,0.384056,-1.442134,-0.654019,-2.017683,-2.658566,0.538827,0.369584,0.354131,-0.746806,-0.792228,-0.318532,-2.916187
function,0.363169,0.523892,-1.32735,-0.55624,1.256895,0.035424,1.167377,-2.338739,-0.353503,-2.316204,-3.20792,0.323168,-0.664444,0.473302,-0.368475,-0.403185,-0.320857,-1.814113
one,-0.919487,0.234541,0.583913,-1.473373,-0.078816,-0.081089,0.967471,-1.106669,0.491024,-0.922381,-2.562396,0.312881,0.274465,1.945298,0.062811,-0.067069,-0.927052,-2.55733
set,0.715105,0.404795,0.717481,-2.031111,0.712302,0.425607,1.374303,-0.458444,-0.944198,-1.325804,-2.04718,1.672289,-0.834979,1.323728,0.243568,-0.09968,-0.542939,-3.072814
group,-2.159009,0.943259,0.804629,-1.931086,-0.525308,0.344695,-0.599704,-0.840287,-1.718215,0.048321,-2.893995,0.16624,-0.638867,1.165273,0.705348,0.361067,1.485911,-2.346605
space,-1.030598,2.18213,-1.123941,-1.542791,1.271718,0.93987,0.245405,-0.996828,-0.606759,-0.50806,-2.44704,1.630589,-0.216825,2.159583,-0.315376,0.451351,0.708237,-2.020239
two,-1.094214,0.263596,0.853142,-1.297657,-0.334231,0.612577,0.896993,-0.993425,0.455917,-0.801607,-2.348953,0.314083,0.530443,2.107825,-0.225961,0.348079,-0.758257,-2.669431
theory,-0.197345,0.752256,-0.782245,-1.004507,0.32068,0.167832,-0.74439,0.472786,-0.611158,-0.341356,-3.795427,0.974638,-0.212778,0.431779,0.695481,-1.534186,0.516072,-2.623041
point,-0.062688,-0.064034,-0.036354,-0.937163,-0.209428,0.06631,1.567882,-1.121421,-0.59314,-0.767382,-2.519555,0.969292,1.292785,2.585325,-0.617445,0.844166,-0.510655,-1.867384
theorem,-0.38719,0.626171,-0.944317,0.617649,-0.680223,-0.962285,0.025396,-0.784637,-0.945627,-1.90907,-2.677115,2.222958,0.40269,0.612994,1.258391,-0.86959,-0.155539,-2.725686
example,-0.348578,0.673992,0.179179,-1.546135,0.29681,-0.148751,0.221154,-1.202728,-0.349083,-0.923568,-2.674642,0.140867,-0.192825,1.269034,0.011223,-0.122654,-0.654714,-2.092453
form,-0.651633,-0.030189,-0.363915,-0.89047,-0.173007,0.527979,0.041335,-1.653759,-0.659701,-0.976396,-2.448681,0.122504,-0.248883,1.408319,-0.468982,0.598955,-0.496433,-2.862025
define,-0.358023,0.858837,-0.825184,-1.267767,0.151873,0.262234,0.97209,-1.624634,-0.676623,-1.410053,-2.436169,0.652035,-0.745312,1.215061,0.378093,0.787195,-0.547474,-2.038311
graph,0.059261,-0.42655,1.338801,-1.388577,-0.828768,0.984846,0.796601,-1.138194,-1.103417,0.782529,-1.620909,2.227456,1.139854,0.993342,0.697362,-0.825584,-0.146983,-2.860789
