word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
number,-1.014285,1.039385,-1.114343,-0.022986,0.890248,-0.371974,-0.444562,0.098467,-0.338205,-0.304502,-0.127887,1.405185,-1.071685,0.184127,0.391054,-0.154189,-0.76599,0.199651
function,-0.565937,0.288,-0.15568,0.558001,0.204616,-1.64316,-0.098401,1.555655,-2.367809,0.203023,0.292826,1.714625,-0.466072,0.604718,0.857253,0.256392,0.036583,-0.310343
one,-1.65788,0.066076,-0.863564,-0.1995,0.465745,0.115039,-0.869704,0.36563,-0.112606,-0.429085,-0.151993,1.121552,-0.749087,-0.153291,0.215408,0.339899,0.287736,-0.324816
set,-1.109176,0.551889,-0.66022,-0.010822,0.469124,0.256076,-0.573966,0.849365,-0.058198,-0.124859,-0.020062,1.250168,-0.892544,0.178764,-0.287287,0.369931,0.454322,9.3e-05
group,-0.647015,0.039935,-1.443248,-0.532214,-0.443225,-0.289368,-0.312869,0.668866,-0.026476,0.183563,-0.584098,1.191881,-0.128842,0.050577,0.079826,0.924257,-0.320717,-0.993815
space,-0.030865,0.805917,0.031185,0.004462,0.249504,-0.128722,-1.220836,1.12704,-0.532069,0.288467,-0.354925,1.06971,-1.337395,0.217327,0.603302,1.711761,0.552904,0.119171
two,-1.390275,-0.223841,-1.015064,-0.39403,0.721957,0.280845,-0.76392,-0.071977,-0.387304,-0.397279,-0.198205,1.179365,-1.223698,0.037146,0.160116,0.364581,0.250514,-0.279875
theory,-0.768318,2.075298,0.538982,-0.267322,-0.610551,-0.597637,-0.373232,0.922823,-1.479787,1.073771,0.585745,0.676452,0.956253,1.167639,1.658678,0.646773,0.896836,-0.498357
point,-0.869198,0.648597,-0.933201,0.125838,0.610723,0.144886,-0.894278,-0.776712,-0.672593,-0.161694,-0.582611,1.142244,-1.437193,0.413783,0.501089,-0.26706,0.074247,-0.648747
theorem,0.477489,0.89941,1.814611,0.101489,0.494544,-0.569962,0.797031,-0.047395,-2.122077,0.885503,0.289493,0.074791,0.508311,1.19142,0.475797,-0.503238,1.555309,-0.67357
example,-1.404431,0.962334,0.1564,0.080107,0.536405,-0.522772,-0.251474,1.073264,-1.461184,-0.011622,-0.05864,1.278514,-0.191978,-0.008749,0.459075,0.470287,-0.603287,-0.008671
form,-1.290317,0.184099,-0.663031,-0.198084,0.250939,-0.210993,-0.317036,0.488454,-1.72701,0.032157,0.053865,0.964296,-0.456009,-0.462046,0.461912,1.181556,-0.321933,-0.52316
define,-0.67329,1.67033,-0.350874,0.637437,0.096626,-0.87174,-0.120219,0.850875,-2.125964,0.257827,-0.245455,1.123804,-0.04629,0.319836,0.643834,0.269289,-0.387668,-0.562394
graph,0.651119,1.287135,1.046825,0.800425,0.564492,-0.470371,0.674392,0.502296,-2.332131,0.768702,-0.946547,0.626338,0.182263,0.70366,0.357709,-0.068049,0.484708,-0.080556
value,-0.894837,1.942488,-0.063638,0.445546,1.178765,-1.245293,-0.418539,0.760877,-1.297724,-0.321383,-0.278786,1.166919,-0.110333,0.552423,0.230786,-0.213246,-0.600027,-0.496864
problem,-0.608038,1.004281,0.244299,0.147387,-0.395141,-1.096148,-1.211096,0.858937,-0.615644,-0.010444,0.677611,1.395715,-0.14728,0.56481,0.596646,0.06718,0.072973,-0.765439
mathematic,0.191844,0.731011,-0.32876,-0.414504,0.433957,-1.241204,-0.009935,-0.159219,-1.32229,1.01678,-0.039231,0.740532,1.750949,1.520102,1.157835,1.007396,1.474703,0.919199
order,-1.742758,0.159123,-1.054288,-0.458836,-0.603545,-0.812678,-0.158474,0.567805,-0.594925,-0.650206,0.724813,0.609399,-0.890108,0.057822,0.166046,-0.02725,-0.084329,-0.09647
equation,0.088683,1.059456,1.775912,-0.16203,0.612438,-0.622485,0.463431,0.390935,-2.487867,0.952896,0.24609,0.488298,-0.426923,1.865215,1.507207,-0.009597,1.094496,-1.110488
first,-1.291162,-0.223095,-1.475619,-0.820243,0.186794,0.228367,-0.650417,-0.001359,0.171602,-0.162868,-0.293867,1.044462,-0.532288,0.548915,-0.145332,0.388397,0.367321,0.02777
vector,0.432275,0.913046,1.180865,0.323709,-0.045019,-0.640492,0.446263,1.048357,-2.25258,0.611394,-0.960113,1.123267,-1.090006,0.794728,1.180477,-0.174489,-0.085885,-0.334696
algebra,0.704492,0.824712,0.735264,0.575068,0.942234,-0.711746,1.235989,0.135977,-2.322029,1.158586,-0.02212,0.662639,0.786696,1.378031,1.09752,0.063745,1.753925,0.607041
$\mathbb{N}$,0.38796,-0.350238,-0.514853,0.233913,1.013201,1.071704,1.04368,0.854786,-0.766947,0.757153,0.122003,0.930333,-1.021032,0.399192,0.952336,-0.338891,-1.070894,-0.285223
field,-0.029955,0.319648,-0.98562,-1.218069,-0.303541,-0.207358,-1.29504,-0.358367,-0.961702,0.3323,-0.378756,0.910577,-0.748415,0.497556,0.872508,0.73827,0.605293,-0.516754
element,-1.312394,1.2601,0.549136,0.105314,-0.185829,-0.142634,0.093875,0.864009,-1.310718,0.496887,0.058629,1.42251,-0.765676,-0.133562,0.561926,1.302807,0.041194,-0.084452
system,0.176081,0.864866,-0.65051,-0.435492,-0.033371,-1.694511,-0.653874,1.509877,-1.37295,0.090297,-0.471204,1.589024,-1.265969,0.706425,0.432497,1.229954,-0.250812,-0.032219
matrix,0.3175,0.756153,1.012236,0.261798,0.605412,-0.266438,0.569079,1.035073,-1.902473,0.779391,-0.386275,1.088478,-0.698607,0.668813,0.926896,-0.085178,0.273415,-0.504752
