word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
number,-0.647579,0.419344,0.445311,0.142898,0.844492,-0.862322,-0.147509,-1.014123,-0.231785,0.399717,-0.177035,-0.217237,-0.57392,-0.042029,-0.18583,-0.346935,-0.458528,0.911853,1.871481
function,-1.157928,0.683218,0.516271,1.256433,0.403234,-0.136832,-1.354067,-0.636761,-0.672008,0.129394,-0.613821,-0.166595,-0.347288,0.324599,1.618495,1.473945,-0.790866,-0.408637,2.261024
one,0.106853,0.463924,0.106483,-0.556074,0.663533,-0.369877,-0.330544,-0.711499,0.343727,0.124373,0.056461,0.316866,0.179356,-0.063065,-0.021406,-0.364493,0.013765,0.419944,2.302378
set,0.094759,0.855019,0.604952,-0.414779,0.533594,0.111796,-0.724374,-0.472145,-0.117608,0.742861,-0.224355,-0.133146,-0.341008,-0.242634,0.097556,-0.062407,-0.023267,0.26793,2.029882
group,-0.121201,-0.522769,0.4344,0.000351,0.271347,0.671251,-0.485754,-0.397888,-0.28387,-0.311663,0.59337,-0.049397,-0.4654,0.146432,0.791635,-0.933026,-0.049999,0.251922,2.022619
space,-0.489695,0.114609,0.441569,0.180455,0.012472,0.845439,-0.650517,-0.151461,-0.758029,0.891305,-0.770399,0.331942,0.112539,-1.13651,0.607447,0.47603,-0.120447,0.614873,2.403175
two,0.134855,0.349948,-0.049564,-0.905505,0.999122,-0.176265,-0.02778,-1.05333,0.148673,0.142691,-0.262468,-0.174373,0.202404,-0.151348,0.132881,-0.228011,0.131469,0.581627,2.272577
theory,-0.288714,-0.61324,0.840561,1.366311,0.218588,-0.343834,-2.271823,1.152791,-1.211892,0.774279,-1.07718,1.353921,-0.414601,0.792785,0.801662,0.94267,-0.134418,0.486661,1.573004
point,0.084809,-0.109332,0.543244,0.086153,1.944349,-0.33653,0.100797,-0.940671,-0.261564,0.104487,-0.47543,-0.370686,-0.041161,-0.589032,-0.328028,0.125616,0.14661,0.627688,1.921394
theorem,0.339293,0.070129,1.241026,1.40192,0.708101,-0.529521,-1.500867,0.497177,-2.03431,1.827927,-1.733644,-0.497651,0.209116,1.169242,1.184371,1.925165,0.872719,-1.297752,0.565194
example,-0.914823,0.919336,0.150913,0.840712,0.220687,-0.190871,-0.588416,-0.302992,0.051346,0.683923,-0.407473,0.388514,-0.554887,0.632602,0.357718,0.363943,-0.28699,0.073913,2.283085
form,-1.007415,0.121613,-0.005325,0.073599,0.679618,0.425463,-0.318862,-0.666042,-0.314217,0.331004,-0.30073,0.393324,-0.083096,0.807451,0.52696,-0.021077,0.341943,-0.006581,2.443015
define,-1.276211,0.170191,0.895408,1.509554,0.909321,-0.132093,-0.960571,-0.079541,-0.714853,0.321247,-0.530173,0.231222,-0.829944,0.447418,0.574597,0.521252,-0.368492,-0.305664,2.119388
graph,-0.327639,0.104827,0.761219,2.081976,0.621199,-0.099356,-0.746709,-0.468135,-1.376804,1.461582,-1.476964,0.052843,-0.463414,0.057998,0.914462,1.059328,0.24234,-1.212752,0.841081
value,-0.997456,0.507215,1.101577,1.553286,0.174261,-1.051419,-0.735606,-0.348515,-0.44758,0.5684,-0.073848,-0.100412,-0.759323,0.216083,-0.377022,0.769982,-0.246209,0.232194,2.339902
problem,-0.334014,0.490923,0.625105,0.852796,0.144432,-0.404108,-1.535266,0.280882,-0.543738,-0.421944,-0.063237,0.414609,-0.20346,-0.057472,0.41337,0.992665,0.114184,0.912769,1.824791
mathematic,-0.176267,-1.503325,1.092949,0.725403,-0.399619,-0.724766,-2.083354,-0.736324,-0.865362,0.986822,-1.625691,1.120844,0.378685,0.325696,1.065286,0.462037,-0.777482,-0.386292,0.511492
order,-0.900895,0.620857,-0.010403,-0.839045,1.023513,-0.796275,-0.977134,-0.186982,0.503714,-0.163592,0.347789,-0.164144,-0.257688,0.458413,0.91778,-0.304197,0.156472,0.418144,1.690755
equation,0.229173,-0.283917,0.658349,1.818776,0.696077,-0.442112,-1.143294,0.648278,-1.691994,1.494635,-1.5421,-0.50076,0.117865,0.744352,1.487004,2.310129,0.373827,0.268201,1.308108
