word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
number,-0.290634,2.303317,0.396374,1.543022,1.764242,-2.353941,-1.268759,-2.727047,0.996003,-0.905713,-0.740955,0.450191,0.644675,0.397946,0.158215,0.03187,-1.214123,0.514075,0.334471
function,1.173702,1.017407,-0.234962,0.96473,1.322325,-1.612215,-0.690527,-2.355482,-0.998789,-1.600234,0.363843,0.9405,0.957818,0.208149,1.893463,-0.206837,-1.921725,-1.143966,1.534397
one,0.813037,1.042145,0.218617,1.27732,2.022475,-2.30012,0.525944,-3.050136,0.759612,0.104524,0.031941,0.83209,-0.347759,0.289001,0.191507,-0.718988,-0.881074,-0.470258,0.691409
set,0.562217,0.696015,-0.297562,1.100137,2.494305,-2.766268,0.12996,-3.153197,-0.701122,-0.728195,0.228734,0.174641,-0.054786,-1.332503,1.076785,0.405133,-0.158512,-0.118244,-0.503154
group,0.949934,0.433149,-0.438286,2.061178,2.526427,-1.220645,1.566724,-1.883884,1.152423,-0.558979,-2.392997,0.889898,-0.119179,1.137215,1.158834,1.012344,0.049624,0.820282,0.465393
space,2.384972,0.109357,0.654037,0.870964,3.026962,-1.567448,1.663942,-2.387459,-0.208158,-0.733277,-0.464355,-0.119675,-0.106999,1.038755,1.894377,-0.237448,-0.025217,-0.762056,-0.6119
two,0.702562,1.225604,0.50536,0.496219,1.876963,-2.602999,0.779219,-3.019661,0.901982,0.233185,-0.091833,0.905228,-0.29267,0.171323,-0.213541,-0.437218,-0.524364,-0.176878,0.827366
theory,0.517584,0.914537,-0.773907,2.066439,1.968125,-0.668189,0.598009,-2.536177,-0.74341,1.007725,-1.079023,-0.828715,1.446604,0.765023,2.008693,0.321501,-1.085792,0.631785,0.074573
point,1.081298,0.812478,0.226049,-0.095387,1.852313,-2.411438,0.565034,-3.009487,0.461843,-0.550449,1.668304,0.403132,-0.168306,0.947615,0.538673,-0.040682,-0.576928,0.113248,1.007757
theorem,0.271062,1.726975,1.359459,2.292477,1.153348,-0.492671,0.903168,-3.028615,-1.815579,-0.40039,0.664751,0.500898,0.881978,1.034084,1.077557,0.654912,-0.917795,0.754635,0.384667
example,0.394017,1.350782,-0.536343,1.11444,1.989702,-1.580809,0.387682,-2.513936,0.281037,-0.200552,-0.353011,0.791371,-0.352908,0.509927,0.896892,-0.146062,-0.992845,-0.287142,0.260808
form,0.814038,1.412018,-0.126233,0.643388,1.648075,-1.850164,1.019197,-2.533182,-0.069472,-0.803735,-0.827027,0.4072,-0.45881,0.458651,0.451476,0.219641,-1.154805,-0.261506,1.179159
define,1.480619,0.770316,-0.214494,1.059891,1.754591,-1.612659,0.465497,-2.655976,-0.47831,-1.083575,0.019372,0.961703,-0.523085,-0.05093,1.352639,0.624237,-0.846583,-0.745584,0.81987
graph,-0.293823,0.397171,1.261439,0.786871,1.54726,-3.564915,0.891528,-1.611114,-0.244601,0.770084,0.079217,0.373656,-0.438506,-0.054519,0.810004,0.671225,-0.941642,1.944201,-0.670963
value,0.182963,1.337248,-0.383211,0.793617,1.236342,-2.109772,-0.973751,-2.411343,0.788982,-0.717388,0.495829,1.163051,0.125274,0.038086,1.51222,-0.513229,-1.277902,-1.314999,0.863278
problem,-0.932952,0.85486,-0.05457,1.754195,1.400884,-2.293956,0.518218,-1.70176,-0.439156,0.566074,0.577959,-0.233991,0.795968,0.801528,0.485665,-0.930812,-2.114943,0.669233,0.09361
mathematic,-0.328454,0.07879,-0.600878,1.619969,1.805483,-0.533232,0.707288,-2.40669,0.959604,0.71444,-0.87474,-1.12197,2.374482,-0.452443,0.299739,-0.104132,-1.144035,0.540584,1.025046
order,-0.011825,1.386811,0.314507,1.252292,0.916648,-2.40205,0.692413,-2.660646,0.219,-0.917761,-1.352587,-0.404091,-0.635319,-0.169264,1.001525,-0.365386,-0.440266,0.004292,0.318728
equation,0.039014,0.565883,-0.276522,1.043529,0.265304,-1.093758,0.744697,-2.490933,-0.12302,0.03265,0.247014,-0.334043,0.122492,2.167241,1.318449,-0.17118,-2.280167,-1.035512,2.426286
first,-0.233179,0.876617,0.443156,1.588986,1.419091,-1.035482,0.166879,-3.094689,0.407443,0.066445,-0.441201,0.231846,0.665099,-0.084725,-0.09896,-1.068815,-0.911393,-0.383246,0.882029
vector,1.923742,-0.100894,0.04221,-0.049222,1.528051,-1.541113,1.263072,-2.133456,0.705783,-0.638799,-0.385938,0.825556,-0.840658,0.234408,2.132484,0.449059,-0.976595,-1.525654,1.261421
