word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
number,0.058005,-1.407748,-0.020226,0.08103,-0.554438,0.11669,-0.587077,-0.070591,-0.787944,-1.111568,0.069694,0.599207,0.171927,-1.059177,0.783439,-0.787887,-0.059777,-0.13452,-1.068768
function,-0.424202,-2.512084,-0.150512,-1.230587,-0.667487,-0.46264,0.818467,0.371676,1.128734,-1.070173,-1.206502,-0.115846,0.185425,0.341911,0.503679,-0.830655,0.121375,-0.653101,-1.031557
one,0.373441,-1.568513,0.160275,0.006648,-0.078644,0.154686,-0.926731,0.456606,-0.485593,0.083318,-0.173646,0.286839,-0.829342,-0.755434,0.296959,-0.695828,0.330839,0.280701,-1.129541
set,0.000804,-1.42911,0.379059,-0.110115,-0.027075,0.389587,-1.278215,0.443418,-0.341049,-0.342282,-0.339332,0.159767,-0.478962,-0.206794,0.581668,-0.604748,0.044984,0.139207,-0.78083
group,0.769366,-1.342166,-0.558593,0.235198,-0.587028,0.242739,-0.595402,0.33112,-0.867887,-0.256869,-0.459949,-0.739003,-0.319487,0.479285,-0.484628,-0.563819,-0.070025,-0.015516,-1.127851
space,-0.563129,-2.02002,-0.352404,-0.497369,0.466203,-0.163262,-0.78415,1.41767,-0.066252,-0.914944,0.407273,-0.537317,0.184169,0.34341,0.714809,-0.109273,0.096802,0.681656,-0.819831
two,0.375674,-1.301426,0.136217,0.040171,-0.033971,0.090223,-0.690431,0.887489,-0.862976,-0.3452,-0.27572,0.595955,-0.853461,-0.707009,0.30482,-0.528743,0.701794,0.12699,-1.278874
theory,-0.264166,-2.61825,0.093433,-0.472817,0.049815,0.851091,1.558167,-0.459319,0.753894,-0.33393,0.584411,-1.744808,0.426805,0.844611,1.378349,-1.241219,0.677999,-0.266235,0.209014
point,0.455103,-1.231996,-0.170523,0.414922,-0.066674,-0.269516,-0.351127,0.296679,-1.15257,-1.272331,-0.056142,0.752219,-0.826583,-0.710975,1.007658,-0.594102,0.961597,0.510503,-0.492151
theorem,-0.391152,-1.034425,1.105454,-0.94937,0.941574,0.088798,2.073845,-0.661716,1.326188,-1.065845,-0.398439,-0.242642,-0.254457,1.138982,0.943363,0.015598,0.642714,-0.793671,1.116473
example,-0.046978,-2.401248,0.055453,-0.486125,-0.307874,0.529948,-0.358184,0.028751,0.837625,-0.634812,-0.338939,-0.089539,0.226839,-0.585301,0.23579,-0.566027,0.151616,-0.439661,-0.714453
form,0.150227,-2.083218,-0.320433,-0.045494,-0.642757,0.411,0.042649,0.944434,0.170672,-0.304063,-0.624832,-0.131228,-0.193879,-0.629129,-0.412004,-0.411833,0.840609,-0.598209,-0.743311
define,-0.140827,-2.759019,-0.410911,-0.190468,-0.794074,0.072926,0.353894,-0.264493,0.478393,-1.262939,-0.474476,-0.168656,0.365056,0.018522,0.443791,-0.78491,0.408115,-0.622329,0.026078
graph,-0.47446,-1.77427,-0.152279,-0.862246,0.294051,-0.061636,1.224459,-0.333451,0.996036,-1.801914,-0.585973,0.040999,0.137621,0.535816,0.797004,0.360605,0.211104,-0.551185,1.093883
value,-0.055865,-2.564284,0.297734,-0.422095,-0.438508,-0.349244,-0.297802,-1.02408,0.39793,-1.553082,0.230324,0.469775,0.658072,-0.170499,0.331161,-1.078813,0.247159,-0.403146,-0.172955
problem,0.098233,-1.532842,-0.01538,-0.24139,-0.15342,-0.298431,-0.083511,-0.12542,0.959408,-0.611719,-0.016174,-0.596757,0.350791,0.443738,0.793142,-1.819239,0.448365,0.452762,-0.679678
mathematic,-0.176571,-1.867165,1.241023,-1.312748,0.004476,-0.289822,1.902697,-0.391187,-0.95379,-0.034577,-0.118612,-1.806299,0.618795,0.470277,1.132433,0.398553,-0.180455,-0.040456,0.147394
order,0.558591,-1.158298,-0.027486,-0.041765,-1.069234,0.491419,-0.351117,0.481452,-0.038385,0.556477,-0.477837,0.820447,-0.022581,0.115699,0.510595,-1.153134,0.271086,-0.285572,-1.185036
equation,-0.391865,-1.632049,0.771237,-1.681378,0.757513,0.46449,2.148671,-0.045056,1.246448,-1.897932,0.592052,0.059737,-0.584037,1.275998,1.118043,-0.542964,1.159475,-0.50752,0.401581
first,0.511311,-0.896422,0.438178,0.094011,-0.110435,0.555897,-0.791932,0.306493,-1.381552,0.33185,-0.439734,0.000822,-0.708415,-0.185589,0.330547,-0.355544,0.211128,0.376258,-1.320802
vector,-0.209334,-1.662733,-1.118702,-1.149207,0.42151,0.239308,1.287963,0.035949,1.305369,-2.229898,-0.366539,0.336416,-0.11162,0.78259,1.054883,-0.017262,0.186714,-0.410209,-0.09413
algebra,-0.963214,-1.599172,0.942507,-1.037599,0.141054,-0.250421,2.495019,-0.274289,0.470996,-1.375303,-0.683585,-0.666831,-0.496593,0.604587,1.302266,0.86581,0.064224,-0.776066,0.859471
$\mathbb{N}$,-0.949724,-0.029954,-0.732101,-0.921522,-0.115564,0.677243,0.098651,0.130263,-0.150205,-1.914393,0.055623,0.077331,-1.294418,-0.300965,-0.209471,-0.090523,-0.064384,-0.973434,-0.815427
