word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
number,0.331457,-0.32848,-0.588117,-0.510097,-0.345123,-0.274829,-0.127353,-0.03859,-0.242322,0.29175,-0.239011,0.152039,-0.214571,0.483028,0.042746,0.601503,-0.118316,0.253623,0.188207,-0.686704,-0.310712,0.000325,-0.006537,0.13432,0.113897,0.738404,-0.309529,0.176505,-0.364299,-0.253141,0.057361,-0.067861,0.559708,-0.251642,0.031664,-0.15936,-0.103747,-0.189695,0.489735,-0.201902,0.310648,-0.158397,0.034108,0.382071,0.764043,-0.268255,0.625999,0.187596,0.18869,0.261937,-0.091302,-0.395819,-0.440542,-0.414988,-0.025494,-0.241178,-0.068655,0.255123,0.170093,-0.300262,-0.340535,0.182371,-0.338007,-0.272329,-0.189116,-0.500604,0.053719,0.223884,-0.115044,-0.267587,0.012959,-0.383834,0.289363,0.067472,-0.018213,-0.027812,-0.482901,0.123257,-0.300872,0.411286,-0.538285,-0.023661,0.044291,0.655237,-0.018597,-0.236803,-0.13864,-0.193255,-0.101718,0.233372,0.212498,-0.087578,-0.635819,-0.248088,-0.011786,-0.127293,0.825591,-0.218517,-0.109254,0.048324,0.249914,-0.223659,-0.727862,0.502652,0.211532,-0.037771,-0.123998,-0.028658,0.021562,0.187819,0.104551,-0.292948,-0.956704,0.36245,0.085176,0.055155,0.072439,-0.345616,-0.113196,0.108025,0.151939,0.118988,-0.651506,-0.098906,-0.153482,0.145853,0.192238,-0.044154,-0.402669,-0.112843,-0.121738,0.111094,-0.133641,0.472518,-0.147396,-0.1026,0.76936,-0.325929,0.591384,-0.004779,-0.101971,-0.357763,0.128701,-0.005696,-0.187948,-0.086201,0.288904,0.381255,-0.273365,-0.252038,0.976566,0.035178,0.110633,-0.337296,0.264057,0.165101,0.410258,-0.227283,-0.082458,-0.18704,-0.139746,0.397257,0.40965,0.267743,-0.3961,-0.025076,-0.049193,-0.009217,-0.263346,0.004179,-0.051112,0.384813,0.354296,0.057145,-0.225761,-0.876073,0.415346,-0.156673,-0.391395,-0.133634,-0.037277,0.129583,-0.145839,-0.115384,-0.088988,-0.5388,0.273884,-0.17289,0.397679,-0.389073,0.405691,0.293212,-0.635754,-0.021708,-0.27786,-0.339924,-0.012433,-0.099818,0.128617,-0.362583
function,0.080823,0.499168,0.226861,-0.12088,0.16058,0.588263,0.410101,-0.115068,0.086722,0.696309,0.077421,0.451521,0.115279,0.873115,0.420703,0.36247,-0.398765,0.011548,0.642437,-0.429873,0.141278,-0.350393,0.486536,0.171758,-0.146784,-0.176053,-0.6623,0.576349,-0.225197,-0.301737,0.004397,0.138868,0.167326,0.203429,-0.279091,0.189843,-0.728933,0.551084,0.529404,0.052753,0.6547,0.213734,0.049535,0.320095,0.875315,0.063997,-0.111975,0.517446,0.596513,0.402047,0.518844,-0.146485,-0.942581,0.107585,0.174631,0.750811,-0.600386,-0.322405,0.088691,0.335757,-0.170255,0.044067,-0.381432,-0.019475,0.444544,-0.884086,-0.058848,-0.25487,-0.283114,0.351652,0.075163,-0.127558,0.629218,0.60327,0.379461,0.269344,-0.240862,-0.866414,0.259066,0.567463,-0.455028,0.495751,0.88653,0.071832,-0.033852,0.129232,-0.050364,-0.458952,0.36895,0.332516,0.427098,-0.344356,-0.780046,-0.765621,-0.434276,-0.319554,-0.349514,-0.370335,-0.005991,0.112339,0.063397,-0.406722,-0.670628,0.052286,-0.150973,-0.071638,0.659018,0.085608,0.094389,0.146968,-0.786235,-0.387826,0.169526,0.494433,-0.668937,0.008055,-0.280048,-0.633678,0.496104,0.180409,0.13665,0.170729,-0.461764,-0.05259,-0.067503,0.360311,0.875532,-0.052002,0.305433,0.097684,-0.377307,-0.044243,0.368131,0.484628,0.117827,0.546283,-0.080674,-0.207274,0.88547,-0.634345,-0.121204,-0.693768,0.435303,0.334846,-1.597305,0.127676,0.460267,-0.155988,-0.218906,-0.224995,-0.751974,0.426818,-0.101422,-0.110354,-0.414744,-0.039837,-0.12727,0.253253,0.053891,0.105585,-0.207749,0.152988,-0.212258,0.427071,0.535689,0.317943,0.256388,0.622738,0.15058,0.11716,-0.470305,0.098663,0.764403,0.169511,-0.590184,-1.077797,0.405319,-0.941043,0.225103,1.060924,0.071679,0.189931,-0.489695,-0.311604,0.615188,-0.156375,0.520866,0.287123,-0.422096,-0.33049,-0.097956,0.04167,-0.144142,-0.070125,-0.282106,-0.041423,-0.512436,0.10034,-0.158525,-0.233806
one,0.07348,-0.17665,-0.193039,-0.402405,-0.128684,-0.158635,0.083421,0.12314,-0.047935,0.186949,-0.179579,0.168723,0.265811,0.286904,0.080257,0.374175,-0.079356,0.068373,-0.335042,-0.350843,-0.032977,0.128866,-0.269712,0.161715,0.060249,-0.110895,-0.120574,-0.044279,-0.186636,0.114138,-0.16437,-0.190092,0.646257,-0.120245,-0.030943,0.162822,-0.005852,0.214575,0.137228,-0.231919,-0.036374,-0.174266,0.089229,0.427194,0.285698,-0.261933,0.081873,0.167981,0.12545,0.207169,-0.185005,-0.400866,-0.314289,-0.171621,-0.107882,0.198259,0.281629,0.419623,-0.36902,-0.055616,-0.210176,0.211434,-0.044102,0.000863,-0.088257,-0.301003,0.15022,0.28371,-0.239637,0.020879,-0.205832,-0.085684,0.533075,-0.159757,-0.03404,0.016545,-0.101721,-0.056879,0.122911,-0.109046,-0.131005,-0.033275,0.262792,0.167285,0.01523,0.027994,-0.099864,0.081711,0.381029,0.299858,0.088773,0.055622,-0.045319,-0.069934,0.162901,-0.341281,0.224052,-0.428062,0.071354,-0.075545,-0.038925,-0.287422,-0.646526,0.153947,-0.155945,-0.063463,-0.229162,0.203036,0.129863,0.267065,-0.206737,-0.025633,-0.619897,0.187974,0.487292,-0.012789,0.046472,0.15225,-0.116129,0.10082,-0.001597,0.184248,-0.292896,0.028221,-0.019094,0.059416,0.09104,0.153507,-0.426838,0.278537,-0.392626,0.083288,-0.127376,0.169245,-0.199694,-0.171754,0.006384,-0.306717,0.022688,0.096674,0.027523,-0.213349,0.138684,-0.175984,-0.129062,0.029616,0.029443,0.057249,0.219109,-0.200677,0.563641,-0.006877,0.402623,-0.074389,-0.059483,-0.086041,0.32587,0.000997,-0.22643,-0.045975,0.206689,0.335287,-0.138244,0.025951,-0.05108,0.402571,-0.159246,0.178794,-0.257678,0.258229,0.045219,0.128553,-0.181266,-0.213927,-0.051663,-0.504023,-0.227694,-0.012907,-0.188557,0.059669,0.097999,-0.073349,-0.253119,-0.017696,0.156737,-0.069309,0.003522,-0.281037,-0.049395,0.017158,-0.056987,-0.224053,-0.529963,0.025722,-0.13848,-0.19564,0.253493,0.06715,0.099635,-0.190827
set,-0.063412,0.394661,0.048259,-0.006933,-0.176501,-0.095654,0.143506,0.03574,-0.1846,0.595252,-0.119964,0.028175,-0.033876,0.330098,-0.060819,0.440291,-0.122591,-0.204337,-0.563681,-0.097506,-0.46112,-0.092599,-0.106416,0.134894,0.029791,0.156227,-0.181336,0.257574,-0.093584,0.366555,-0.228734,0.01144,0.617284,0.109676,0.063797,-0.039406,0.042233,0.351315,0.337993,0.071441,-0.082983,-0.047545,-0.055089,-0.014964,0.109905,-0.574759,0.186957,0.236963,0.154812,0.385865,0.17646,0.012263,-0.427657,-0.532751,0.233292,0.128868,0.00813,0.329847,-0.034505,0.017346,-0.1271,-0.138826,-0.314927,0.085728,0.263936,-0.164702,0.096569,-0.032363,-0.149629,-0.073864,0.148193,0.185886,0.376331,0.511834,0.063469,0.139165,0.208876,-0.023798,-0.193105,-0.176741,-0.179069,0.195768,0.617405,0.499134,-0.030101,0.047778,0.208747,-0.194855,0.013919,-0.030585,-0.090604,0.624792,-0.227403,0.018151,-0.037958,-0.416459,-0.151347,-0.257026,-0.10106,-0.08837,-0.167878,-0.229896,-0.474329,-0.21417,-0.058916,0.646856,-0.421792,0.000146,-0.193059,0.136199,0.031884,0.006225,-0.978335,0.523923,-0.016443,-0.329266,0.040675,-0.148034,-0.312625,0.265625,0.652897,0.048546,0.141183,-0.145739,-0.219277,-0.083195,0.650744,-0.215775,0.191362,-0.011565,0.078379,-0.125095,0.027239,0.465343,0.042738,0.480411,-0.058476,0.044852,0.098542,0.037449,-0.100858,-0.251628,0.329758,0.147574,-0.254299,0.102163,0.631164,-0.344762,-0.108982,-0.397458,0.285505,0.089819,0.16641,0.013105,0.305248,0.135126,0.582518,0.346193,-0.111068,-0.182169,-0.024302,0.408535,0.215566,0.160723,-0.19498,0.474423,-0.197937,0.133567,-0.033178,0.110915,-0.04783,0.006684,0.297698,-0.257589,-0.489036,-0.416316,0.028924,-0.16873,-0.08531,0.083787,0.01441,0.271597,-0.049256,-0.423653,0.639885,-0.014116,-0.030359,0.063253,0.180766,-0.119172,0.370365,-0.272006,0.12635,-0.271871,0.088288,-0.676436,0.300868,-0.337831,0.10252,-0.474177
group,-0.121534,0.029764,0.247683,0.359216,-0.095257,-0.199385,0.11966,0.121473,0.093603,-0.321676,-0.150594,0.044948,0.043896,0.294941,0.403941,-0.486378,0.091,-0.350224,0.16913,-1.054575,-0.693824,-0.017434,0.303235,0.10364,-0.039985,-0.331833,0.373237,0.073767,-0.512569,-0.601409,-0.103403,-0.576437,0.577322,-0.097742,0.493778,-0.119766,-0.384092,-0.053129,0.457328,0.274649,-0.072481,-0.179257,-0.100244,0.127606,0.714784,-0.541839,0.293944,0.527731,0.441599,0.192898,0.350737,-0.711991,0.201864,-0.065729,0.251119,-0.026676,0.011682,-0.022473,0.011546,0.056527,-0.042866,0.272741,-0.014385,0.453753,-0.357193,-0.64377,-0.119399,-0.141758,-0.07476,-0.381674,0.172735,-0.039354,0.423171,0.13687,-0.179508,0.822403,-0.272989,-0.397082,0.074924,-0.363245,-0.491364,0.024412,-0.120089,0.53312,-0.443342,-0.234151,-0.706571,-0.019072,-0.129528,0.063901,-0.201504,0.119506,-0.452783,0.13343,-0.292452,-0.789117,0.169425,0.137219,0.23018,-0.189245,0.269833,-0.078256,0.010277,-0.368488,0.026476,-0.014059,0.190727,0.09537,-0.308901,0.073681,0.220827,-0.12936,-0.987216,0.128683,0.038167,0.610503,0.223512,-0.254334,0.100506,0.296004,0.111778,0.340243,-0.352322,-0.218719,0.008965,0.374527,0.408343,-0.179748,-0.164845,-0.104815,-0.04413,-0.175545,0.325473,-0.470309,-0.142143,0.182388,0.191545,-0.12843,0.645056,-0.061234,-0.109139,-0.308192,0.129264,-0.212915,0.317539,0.262126,0.3707,0.42117,0.415131,-0.030666,0.400784,0.000993,-0.218582,-0.373851,0.423381,-0.101848,0.624487,-0.845307,0.183447,-0.363275,0.141989,0.125412,0.04861,0.111743,-0.054246,0.478324,0.100767,-0.376405,-0.352751,0.034334,-0.398222,0.154414,-0.311022,-0.301387,-0.125913,-0.876963,0.015123,0.333451,0.484162,0.040142,0.270219,-0.421882,-0.360757,0.184297,-0.130123,-0.303092,0.290045,-0.153275,-0.706978,0.192426,-0.115502,-0.040453,-0.753021,-0.502182,-0.182478,0.15986,-0.135422,-0.41795,0.351711,0.009302
space,0.123537,0.462523,0.808317,0.1691,-0.282457,0.015126,0.41456,-0.472975,-0.245746,0.290031,0.126674,-0.003621,0.842081,0.676923,0.16056,-0.035856,-0.2506,-0.352746,-0.288311,-0.312935,-0.432284,0.428497,0.246543,-0.724943,-0.07903,-0.033658,-0.253107,0.143094,-0.431595,-0.212609,-0.106123,-0.436316,0.6342,-0.407844,-0.234999,-0.493914,-0.654818,0.469188,-0.016627,0.120354,-0.967243,-0.397212,-0.034852,0.217795,0.452103,-0.589175,0.054536,-0.042644,-0.547835,0.512774,-0.367314,-0.524743,-0.120105,0.18501,0.550417,0.667626,-0.008585,0.35626,0.197781,0.132309,0.060309,-0.213459,0.199842,0.095281,0.464363,-0.93813,0.16878,0.116328,-0.807955,0.034354,0.024048,0.093205,-0.399528,0.270184,-0.090018,0.166117,0.498475,-0.201026,-0.298768,-0.050032,-0.55866,0.900333,0.455151,0.865511,-0.268965,0.487035,0.332669,-0.053156,-0.201903,-0.206163,0.120774,0.115591,-0.132544,-0.030054,-0.292401,-0.60428,-0.036883,-0.230925,0.088468,-0.070509,-0.013881,-0.286018,-0.445105,0.129693,-0.067949,0.051567,-0.741591,-0.177689,-0.473603,0.324107,-0.30139,-0.059373,-0.421407,0.606151,-0.37193,0.43452,-0.391843,-0.223298,-0.839276,-0.265429,0.384802,0.039526,-0.549943,-0.779104,0.190665,0.069141,0.306494,0.490992,0.302877,0.120687,-0.000458,0.374174,-0.188929,0.409689,0.012833,0.850753,0.321847,-0.048994,0.659723,-0.006149,-0.145137,-0.174999,0.065681,0.652762,-0.828315,-0.163183,-0.188783,0.436436,0.211229,0.104787,-0.068491,0.118368,-0.546603,-0.037241,-0.159089,-0.045836,0.901636,0.129458,0.493329,0.395009,-0.342892,0.080418,0.182139,0.386945,-0.066972,0.411679,-0.465383,0.830816,-0.391641,-0.251871,-0.224831,-0.050953,0.344702,-0.101631,-0.821922,-0.994291,-0.471997,-0.73841,-0.03287,0.337692,-0.08,-0.245281,0.023714,0.206189,0.28236,-0.242477,0.010628,0.180289,-0.655943,-0.096341,0.829269,-0.228279,0.582582,0.430688,-0.190774,-0.382824,-0.045562,-0.150763,0.264846,-0.260767
two,0.091985,-0.002819,-0.200407,-0.427897,-0.24214,-0.125891,0.110739,0.006727,-0.154705,0.167888,-0.118215,0.212557,0.003995,0.395362,0.014016,0.410111,-0.303704,-0.153909,-0.151165,-0.549334,-0.431865,0.085615,-0.133025,0.02858,0.200396,-0.309694,-0.198606,0.093635,-0.506548,0.274038,0.033938,-0.20724,0.834175,0.186055,-0.088174,-0.065368,0.096638,0.175694,-0.266262,-0.410353,-0.082514,-0.212182,-0.159278,0.221907,0.124733,-0.228984,0.031805,0.38397,0.213344,0.086878,0.149094,-0.529224,-0.098837,-0.235052,-0.166396,0.23349,0.134801,0.546779,-0.399687,0.127025,-0.210411,0.246532,-0.086608,-0.04073,0.055216,-0.159047,0.160727,0.397543,-0.184553,-0.213502,-0.084664,0.105154,0.403724,-0.039266,0.26588,0.093566,0.073045,0.143386,0.058315,-0.290182,-0.068486,0.104563,0.43601,0.522443,-0.052896,0.134065,-0.274333,0.085803,0.433169,0.552815,0.038349,-0.218353,0.083446,0.004226,0.017325,-0.151955,0.212183,-0.28695,0.019321,-0.081498,-0.26855,-0.402585,-0.954377,0.106498,-0.226965,0.297405,-0.316794,0.294072,0.10564,0.270885,-0.119369,0.23685,-0.694078,0.28476,0.528498,0.123303,0.224685,0.043256,-0.122831,0.074244,-0.246924,0.075951,-0.214654,0.096056,0.140236,0.064835,0.144565,-0.077618,-0.25806,0.116865,-0.41087,0.230075,-0.03217,0.103217,-0.193915,-0.116858,-0.063697,-0.10552,-0.22202,0.195357,0.02023,0.031714,0.243219,-0.009777,-0.068019,0.128904,0.123067,0.038975,0.034684,-0.229607,0.774951,-0.203587,0.430884,0.184607,-0.069422,-0.056629,0.241562,-0.005705,-0.25156,-0.098721,0.377897,0.486654,0.073528,0.172979,-0.065632,0.316889,-0.315563,0.174688,-0.182369,0.206863,0.047493,0.429788,-0.188442,-0.104263,0.055414,-0.609711,-0.524618,-0.25472,-0.289386,0.026746,0.220106,0.079003,-0.30109,0.258534,0.274144,0.031452,-0.12114,-0.508966,-0.08407,0.088503,-0.091811,-0.197291,-0.62129,0.29518,-0.222998,-0.431347,0.181487,0.010471,0.102644,-0.297256
theory,-0.364391,0.234416,0.201751,0.608631,-0.251046,-0.180414,0.148412,0.317828,-0.186899,0.413729,0.646353,0.624853,0.299982,0.55752,0.236668,-0.468329,-0.483505,-0.73421,-0.225253,0.1726,-0.298764,0.435169,0.355448,0.315068,-0.328367,0.01525,0.180717,-0.017395,-0.302023,-0.278357,0.128698,0.04103,0.955119,-0.241059,0.116453,-0.202215,-0.440241,-0.085949,0.418301,0.162803,0.022134,0.557481,0.060855,-0.482485,0.299485,-0.460092,0.578061,0.836891,0.189714,-0.180537,0.489192,-0.720358,0.096043,0.317083,-0.39858,0.171926,0.171737,-0.219837,0.028906,-0.009535,-0.283284,0.754332,-0.628585,-0.067315,-0.233127,-0.869091,-0.619082,-0.110442,-0.104801,-0.14234,-0.842905,-0.373573,0.46249,0.114013,0.015231,0.667524,-0.173806,0.115122,-0.022076,-0.371205,-0.065676,-0.584724,0.680076,0.338893,-0.03532,-0.01761,0.644345,0.934879,-0.636343,0.056621,-0.407883,0.402023,-0.552235,-0.01976,-0.127021,-0.972979,-0.380978,-0.393374,-0.305863,-0.082854,0.501847,-0.712859,0.314264,0.441367,0.460327,-0.262803,-0.382448,0.053289,-0.293472,-0.154019,-0.034409,0.048943,0.642514,-0.490218,-0.676566,-0.036159,0.153256,-0.536705,0.689699,-0.073402,0.039996,-0.121275,-0.473507,-0.227977,0.024059,0.271575,0.468088,0.031531,0.954884,0.698168,-0.407605,0.260137,-0.258616,0.231269,-0.118332,-0.28441,-0.018472,0.112638,1.226101,-0.006813,-0.251601,-0.415041,0.223379,-0.056659,-1.476069,-0.133564,0.106536,-0.343783,-0.345122,0.866301,0.31479,0.492357,-0.548531,0.282079,-0.087277,0.008476,0.052556,0.186277,0.02354,-0.319664,-0.773705,0.217702,-0.59761,0.525528,0.018338,-0.032589,-0.218901,0.823225,-0.052762,0.862539,0.200034,-0.488684,0.631026,-0.072282,-0.387378,-0.315841,-0.201493,0.247304,-0.475507,0.785459,0.659779,-0.058515,-0.54494,-0.082705,-0.213757,-0.713291,0.596249,0.359874,-0.259117,-0.509104,-0.291885,0.179768,0.037449,0.289471,0.004075,-0.76196,-0.636497,0.24304,-0.5003,0.061384
point,-0.364688,-0.183153,-0.311488,-0.775286,-0.294033,-0.62452,-0.280912,0.357797,-0.143077,0.320233,-0.093991,-0.399833,0.32551,0.067151,0.173535,0.211065,-0.006349,-0.2854,-0.22336,-0.010686,-0.214244,-0.022455,-0.036111,0.521041,-0.271933,-0.228536,-0.221733,0.312945,-0.226565,0.297403,-0.175317,0.004294,0.3196,0.226438,-0.555548,0.230393,0.124693,-0.080793,-0.112085,-0.122232,-0.384513,0.101918,-0.071172,-0.091558,0.265588,-0.449995,0.375391,0.491568,-0.189712,-0.272434,0.040112,0.351582,-0.306869,-0.06365,-0.08375,0.035056,0.200256,0.10082,0.04697,-0.714005,-0.39325,0.14736,0.06274,-0.311279,0.24584,-0.614769,-0.060978,-0.326022,-0.098054,-0.061455,-0.052238,-0.368418,0.741019,0.192304,-0.601994,0.158602,0.227231,-0.431785,-0.214753,0.174594,-0.253109,-0.031683,0.736066,0.381092,-0.839407,0.734607,0.065519,0.022839,0.232411,0.231394,0.30782,-0.150363,-0.009626,0.012827,-0.114466,-0.509936,0.148359,0.00363,0.214554,-0.202383,0.111732,-0.271704,-0.388369,0.61422,0.525393,0.287455,-0.399831,-0.219579,-0.385311,-0.083621,0.083097,-0.25472,-0.316994,0.176851,0.352753,-0.171902,0.235318,0.024327,-0.179504,-0.265031,0.222916,0.007312,-0.319876,0.544779,-0.351453,0.066768,0.184188,-0.130194,-0.459737,0.193924,0.057184,0.503499,0.196901,0.076161,0.243494,0.022393,0.437971,-0.083195,-0.277801,0.202018,0.014425,-0.187122,0.43783,0.246328,-0.214937,0.00025,-0.195258,-0.134279,-0.279142,-0.152737,0.783772,-0.391996,-0.263265,0.199117,0.112691,-0.123651,0.012843,0.307507,-0.619085,0.513993,0.26333,0.005427,-0.067482,-0.138176,0.060698,0.50056,0.006053,0.394918,-0.605272,0.99152,-0.263252,0.421451,0.205209,-0.060999,-0.129172,-0.888028,-0.447678,-0.244296,0.130527,-0.036365,-0.147848,0.191073,-0.230186,-0.206611,0.356405,0.107467,0.042078,-0.256509,-0.185604,0.662,-0.126214,-0.293536,-0.451269,0.004791,-0.076381,-0.029535,0.076809,-0.029202,0.118381,-0.083584
theorem,-0.924281,0.272005,0.323904,0.034369,-0.527795,-0.485473,-0.647875,-0.4351,-0.871831,0.300181,-0.508029,1.321825,0.616481,1.002188,-0.400875,-0.475648,-0.758551,-1.056538,-0.300245,0.023007,0.489127,0.467061,0.811336,0.848595,-0.714073,0.491155,-0.421301,0.649497,-0.855871,-0.502456,0.072,-0.256617,0.407782,-0.4809,-0.322411,-0.351541,-0.33694,0.908433,0.817655,-0.025169,0.306429,-0.227602,-0.471559,-0.637189,-0.202637,-0.092453,0.748458,1.074763,0.449817,0.720664,-0.210409,0.129946,0.222583,0.870123,-0.204079,-0.533946,-0.875575,-0.095312,0.043585,-0.19232,-0.344775,0.306594,-0.344805,-0.455037,-0.029286,-0.017865,-0.49675,-0.474378,-0.159547,0.110507,-0.530307,-0.084191,0.073436,0.666305,0.142875,1.154456,-0.145594,-0.495819,0.319925,0.117304,-0.032949,0.749212,0.386723,0.306983,-0.280659,1.191782,1.169291,0.725503,0.143872,-0.079573,-0.688517,0.337423,0.267965,-0.437014,0.222071,-1.818176,0.020585,-0.379591,0.713819,-0.129506,1.180368,-0.635409,0.155084,0.966391,-0.041448,0.271854,0.180836,0.213203,-0.739693,0.450057,-0.277267,-0.125681,0.384063,-0.92104,-0.976833,-0.83203,0.040796,-0.197407,0.170023,-0.721228,-0.319953,-0.017112,-1.073015,-0.204659,0.251016,0.683991,0.561464,0.354007,0.811575,0.532816,-0.334549,-0.108458,-0.936722,0.535674,-0.052895,0.236184,0.740078,-0.252663,0.793809,0.420859,0.10014,-0.590535,0.73537,0.950897,-1.566045,0.423321,0.039704,-0.245113,-0.035706,0.186395,-0.007578,-0.252948,-0.255867,-0.150222,0.153127,-0.218939,0.134338,0.732572,0.082621,-0.256744,0.057107,-0.099443,-0.38327,0.996997,0.512212,0.892137,-0.603645,0.455222,-1.005286,0.097168,-0.125681,-0.068674,0.47453,0.770024,-1.476194,0.200612,0.832613,-0.976399,-0.148327,0.697172,0.40261,-0.01603,-0.294674,-0.036792,0.757061,-0.416915,0.733341,-0.337029,7.7e-05,-0.241579,0.040033,0.462555,-0.019865,0.09818,0.723071,-0.766167,-0.681125,0.455388,-0.187618,-1.000868
