word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
number,-0.019983,-0.177835,0.708212,-0.073551,-0.546911,0.113411,-0.072876,-0.30479,-0.118944,-0.37884,0.586886,-0.504212,-0.188559,0.265603,-0.407532,0.194324,-1.365017,0.150873,-0.841154,-0.474312,-0.024619,0.713836,-0.321874,-0.825226,0.531694,0.55592,-1.031853,-0.526431,-0.339653,-0.762516,0.26018,0.32661,0.306014,0.182086,-0.657995,0.608377,-0.322001,0.317961,-0.281334,0.551232,0.1683,0.328866,-0.347125,0.053465,0.018976,-0.341945,-0.025032,0.109697,-0.036599,0.486936,-0.040247,0.028536,-0.345236,-1.193565,-0.103378,0.1518,0.434432,-0.029758,0.483029,0.56932,-0.027823,-0.496129,0.693921,-0.250287,-0.39116,-0.59364,0.112672,-0.424948,0.342456,-0.609389,-0.37901,0.561717,0.25924,-0.114856,0.09602,-0.236525,-0.276485,-0.364252,0.052937,0.186003,0.321213,-2.389378,-0.228986,0.761066,-0.325559,-0.335058,0.349552,-0.607532,0.003259,0.741726,-0.891763,-0.577109,0.042715,0.782911,-0.86817,0.033639,0.057163,-0.582159,-0.014822,-0.144648,0.31255,-0.5847,0.80657,-0.085508,-0.346021,0.031579,0.52004,-0.15752,-0.285375,-0.160631,-0.118573,1.08448,-0.517756,0.260753,0.001218,-0.285109,0.200766,0.508301,0.238262,0.761269,0.222847,-0.367163,-0.551141,0.105531,-0.48326,0.478741,0.389248,-0.485754,-0.504766,0.033865,1.391848,0.366672,0.075889,-0.188616,-0.308305,0.926393,-0.192991,0.443157,-0.589389,-1.114438,-0.15506,0.703014,0.158061,0.217654,0.572901,-0.89032,-0.408089,0.415368,-0.289026,0.364106,0.103529,-0.05619,0.11903,-0.39114,-0.043107,0.287067,0.085407,-0.185819,0.706582,0.05425,0.38236,-0.168247,-0.293258,0.334513,-0.128111,0.398112,0.258055,-0.726412,0.986956,1.437217,-0.355293,-0.859138,-0.256123,0.999024,0.69327,-0.3871,-0.018264,0.177717,0.196125,0.445557,0.794279,0.307805,1.045468,-0.602594,0.146335,0.5963,0.149112,-0.584882,0.173149,0.364578,0.306376,0.246461,0.438829,-0.217867,-0.573922,0.909658,-0.034438,0.53225,0.183673,0.207177
function,0.03697,-0.679941,-0.048502,0.595081,-0.172313,0.996121,0.101921,-0.112574,-0.689941,-0.973303,-0.311569,-0.275892,0.690715,-0.560365,0.17498,-0.298494,-1.935473,0.970622,-1.363647,-0.287391,-0.185072,-0.39658,-0.310762,-0.589081,0.2911,0.251907,-0.730291,0.188162,-0.01241,-0.90232,-0.048936,-0.051409,-0.196679,-0.430342,0.080129,-0.072861,-0.635403,0.428262,0.834783,-0.394941,0.395872,-0.357335,-0.079047,0.130222,-0.224777,-0.757226,0.263035,0.111681,0.122367,-0.09438,-0.205798,-0.791889,-0.35188,-0.297511,0.226136,-0.494957,0.505756,-0.798288,0.128347,0.11683,0.757777,0.92189,0.727271,0.226978,-0.630818,-0.025733,0.67428,-0.128914,0.844324,-0.161473,-0.55743,0.232597,-0.598862,-0.274224,0.145062,-0.548125,-0.922146,-0.341079,-0.347351,0.753565,-0.381697,-1.771314,-0.598032,0.344924,0.280359,-0.452215,-0.524031,0.54772,0.025745,1.276941,-0.849308,-0.531157,0.337046,-0.235334,-0.400938,0.037607,0.294746,-0.765405,0.177231,-0.698685,0.859638,-0.433085,0.579344,-0.012108,-0.348883,-0.359709,0.330309,-0.444376,-0.351954,0.52754,-0.002019,0.553068,0.485891,0.031371,0.623921,0.328753,-0.278822,0.570456,-0.217948,0.557113,-0.085108,0.012421,-0.865168,0.635453,0.437662,-0.121784,-0.293713,-0.2613,-0.075423,0.239033,-0.051035,0.475179,0.472542,0.1652,0.133379,0.253913,-0.420483,0.549251,-0.67496,-0.774903,0.061625,0.137249,1.049663,0.248509,-0.335973,0.35212,-0.421614,-0.080217,-1.257736,0.385146,0.23735,0.28773,-0.450919,1.107572,0.270094,0.023222,0.137739,0.444655,0.307227,-0.165952,-0.478524,0.241324,0.296473,-0.528489,-0.58492,0.253014,0.496538,-0.954763,0.537036,0.359604,0.08963,-1.582723,0.450533,-0.036054,0.765487,0.037541,-0.058207,0.083662,-0.111865,-0.404129,0.939663,0.150312,-0.718045,-1.161111,0.182532,-0.50321,-0.356345,-0.451014,-0.384953,-0.457674,0.890592,-0.308351,0.504417,-0.419707,0.051166,0.616759,-0.870713,0.184937,0.208339,-0.4689
one,-0.171268,0.350259,-0.115243,0.267063,-0.5816,0.76599,0.053345,-0.167033,-0.264886,-1.214518,0.178617,0.059069,-0.251508,0.409212,-0.125921,0.2108,-0.869966,0.710567,-0.381654,-0.110713,-0.309088,-0.20648,-0.427534,-0.318852,0.021309,0.37633,-0.611294,-0.427961,-0.101922,0.17857,0.038258,-0.237196,-0.076057,-0.413199,-0.494076,-0.183744,-0.009472,0.224317,0.291186,0.601556,-0.003806,-0.101236,-0.044262,0.338127,0.159524,-0.991035,0.075107,0.495076,0.239013,0.577299,-0.554931,-0.26116,-0.327674,-1.34453,0.009216,-0.198043,-0.089222,0.273469,0.357765,-0.077627,-0.051233,0.529069,0.546153,-0.224135,-0.368285,-0.775881,0.015544,0.276977,0.75387,-0.045518,0.074175,-0.155378,0.052808,-0.152746,0.128618,-0.25738,0.07143,-0.225604,-0.054058,0.463636,0.020134,-1.951601,0.141997,0.094901,-0.159759,-0.316027,0.412893,-0.369771,0.324206,-0.124056,-0.723702,-0.801712,0.177805,-0.579954,-0.864733,-0.236911,-0.493607,-0.30255,-0.199854,-0.191685,0.273161,0.411475,0.832068,0.437591,-0.004965,-0.646647,0.893116,-0.134514,-0.415657,0.526496,0.170435,0.226954,-0.379297,-0.12036,0.080621,0.192546,0.20566,0.275504,-0.377779,0.069583,-0.547571,0.049883,-0.220773,0.239041,0.391646,0.133561,0.875377,-0.228248,-0.238567,0.430271,0.508589,-0.038706,0.200715,-0.58359,-0.625352,0.552598,0.258301,-0.095291,-0.377252,-0.654658,-0.499302,0.033988,0.649276,-0.199928,0.260539,-0.115339,-0.630547,0.140223,-0.102196,0.700716,0.59118,0.13289,0.337022,-0.272795,0.364345,0.043547,-0.36314,0.649655,-0.135263,-0.323316,0.638637,-0.011068,0.761967,0.174201,-0.660388,0.162916,0.333945,-1.002371,-0.139257,0.749432,0.203356,-1.096328,-0.274988,0.378759,-0.416479,-0.096735,0.183705,0.267177,0.266319,0.284877,0.233355,0.27765,0.201944,-0.092021,-0.15945,0.638109,-0.158371,0.279985,0.025982,0.413649,0.418584,-0.328639,-0.185652,-0.467688,-0.58048,0.016565,-0.592511,-0.306015,0.083199,-0.197698
set,0.213534,-0.113684,-0.764363,0.169899,-0.049448,0.623861,0.25156,0.111015,-0.301291,-0.624419,0.499645,0.065233,-0.562021,-0.061629,0.449543,0.389353,-2.096201,0.395267,-0.785523,0.568052,-0.75417,0.203395,-0.568693,0.243194,-0.210123,0.732346,-1.074367,-0.140611,0.448695,-0.875435,0.235301,-0.37551,0.050417,-0.308245,-0.175255,0.053629,-0.036107,-0.01667,0.069308,0.506934,0.533619,0.233717,0.911385,0.214917,0.080081,-0.786777,0.001667,0.309391,0.181735,0.505,-0.324253,-0.043946,0.0195,-0.326939,0.252827,-0.749288,0.313371,0.601557,-0.365186,-0.161253,-0.169463,0.29938,0.529062,-0.122834,-0.817071,-0.471529,0.131644,-0.086322,1.066817,0.340204,0.128923,0.681899,-0.674041,-0.070685,0.452724,-0.577931,-0.252207,-0.049534,-0.107052,-0.065803,-0.517284,-2.220106,-0.167834,-0.080323,-0.543209,0.125799,0.255644,0.094888,0.473799,0.305106,-1.222277,0.213027,-0.44543,0.128751,-0.701805,0.275978,0.260851,-1.251021,-0.728991,0.046328,-0.36263,0.168907,0.038459,0.348078,-0.500296,-0.096878,0.604501,0.058809,-0.853056,-0.113289,-0.385782,0.843792,-0.104278,-0.010282,0.288625,-0.177457,0.009978,0.199859,-0.012471,-0.401269,0.079668,-0.082516,-0.086892,0.162235,-0.160797,-0.118695,0.546286,-0.263234,-0.026005,0.089321,0.324105,0.153684,0.402643,-0.099004,-0.088084,0.764553,-1.272328,0.214151,-0.585906,-1.40173,-0.367729,-0.01648,0.358656,-0.633404,0.921546,0.434939,-0.554213,-0.0926,-0.487318,0.30471,-0.754972,0.074356,-0.235206,0.035156,0.245385,0.002714,0.252684,0.385163,0.869995,-0.010992,-0.00937,0.295116,0.477923,0.529493,-0.277578,0.513008,-0.256433,-0.644922,0.246344,0.610479,0.049344,-1.318753,-0.029589,-0.28265,0.079744,0.096436,0.157062,-0.011047,-0.54309,-0.013224,0.748137,0.599482,0.586643,0.660349,0.186186,0.171419,-0.149999,-0.220355,-0.517172,0.162809,0.207162,0.233923,-0.19904,-0.516556,-1.0332,0.489207,-0.360192,0.559774,-0.293031,0.039688
group,-0.01184,-0.040318,-0.054095,-0.795332,-0.342457,1.143592,-0.392146,0.010535,-0.101387,-0.224432,0.019837,-0.614073,-0.791217,-0.365334,-0.898813,0.330809,-0.999659,-0.041227,-0.4035,-0.515237,-0.746275,-0.146298,-0.037168,-0.478096,0.207057,0.507702,-1.7875,-0.422897,0.17756,-0.12155,-0.750093,-0.438785,-0.018239,-0.045203,-0.843617,0.211061,0.060591,0.13435,-0.51431,-0.328657,-0.955122,-0.110139,-0.4456,0.489196,-0.726619,-0.867195,-0.170584,-0.224328,-0.09692,1.130171,0.665347,0.273735,0.178952,-0.469177,-0.839135,-0.13527,-0.073295,0.181709,-0.276847,-0.057556,-0.689731,0.407567,-0.095315,-0.445995,-0.270465,-1.013816,0.381377,0.748913,0.593395,-0.016746,-0.128093,-0.646864,0.403155,-0.660099,0.062643,0.263695,0.013346,-0.5986,-0.053444,0.922304,0.805457,-2.042041,-0.100356,0.439037,-0.016102,-0.646124,0.841774,-0.357115,0.083433,-0.778062,-1.306931,0.289794,0.195633,-0.275572,-0.190705,0.16308,-0.178548,-0.020766,0.154242,0.023253,0.144789,0.300774,0.167658,-0.090765,0.52929,-1.354396,-0.148181,-0.45391,-0.309616,0.120943,0.156202,0.538178,-0.080903,-0.211548,-0.213141,-0.861639,0.886827,0.468443,-0.460873,0.219507,0.118306,0.073587,-0.544511,1.3127,0.367229,-0.028915,0.438173,-0.647701,-0.932141,0.38658,-0.280678,1.1358,0.732637,-0.220471,-0.557915,-0.405195,-0.951532,0.191385,-0.155555,0.238081,0.237739,-0.826727,-0.057434,-0.078481,0.417306,-0.036419,-0.937932,-0.84327,-0.347104,1.064994,-0.873168,-0.935552,0.654052,0.768905,0.414413,0.334164,0.261211,-0.73081,1.013771,-0.277109,0.487769,-1.045287,-0.022963,0.431488,-0.424582,0.200384,-0.340959,-0.031895,-0.483136,0.639808,0.758344,-0.535187,-0.353384,0.677209,0.285061,-0.577937,-0.205185,0.1552,-1.050694,0.59149,0.414041,0.391029,0.468217,-1.165582,-0.440851,0.843134,-0.543934,-0.032271,-0.698824,-0.807534,-0.072401,0.212562,-0.295737,-0.723244,-0.221922,0.455836,-0.975093,-0.417771,0.900661,0.535889
space,-0.245301,0.123342,-0.158022,-0.3976,-0.496001,0.237549,-0.099081,-0.316101,0.316621,-0.760524,0.489711,0.248843,-0.149258,-0.367837,-0.412407,0.10904,-0.824085,-0.435879,-0.438216,0.19402,-0.991559,-0.585893,-0.736658,-0.80473,0.283357,0.848614,-1.948386,-0.424463,0.664115,-0.449823,-0.017997,0.466008,0.043001,-0.100955,0.365999,0.530653,0.110003,-0.612158,-0.034303,0.88486,0.21998,-0.316908,-0.480425,1.014243,-0.209693,-1.230679,-0.261801,1.272601,0.178712,-0.32058,0.856851,0.000603,0.407572,-0.674501,-0.748951,0.026342,0.065254,0.053737,-0.528529,-0.53806,0.295551,0.726341,0.67158,-0.113086,-0.338942,0.024886,-0.217145,0.583434,0.789162,-0.961784,0.245916,0.901361,0.350683,-0.562218,0.702389,-0.275659,-0.889393,-0.067207,-0.599207,-0.112353,-0.184257,-1.985592,0.5337,-0.096415,0.02269,-0.024037,-0.009114,-0.153199,-0.034799,0.065917,-0.811844,-0.582278,0.041635,-0.851798,0.242185,0.036993,0.627698,-0.397436,-0.522896,0.008085,0.613109,-0.453662,0.553986,-0.165433,-0.45666,-1.043248,0.41442,-0.838838,0.025029,0.478463,0.342268,0.557431,0.405615,0.462785,0.116204,0.214468,-0.018816,-0.375588,-0.358818,-0.138657,-0.201182,-0.410193,-0.972344,0.61928,-0.753729,0.557917,0.591691,-0.767306,-0.440678,0.434631,-0.525205,0.799969,0.091609,0.041476,-0.389631,0.276104,-0.759625,0.52625,-0.259193,-0.1787,-0.147427,0.383307,0.14727,-0.367978,0.234871,0.037165,-0.690548,0.148049,-0.55917,0.813807,-0.214432,0.075275,0.186093,0.528698,0.694429,0.563181,-0.532385,0.585065,0.107081,0.301415,0.784894,0.038351,0.797696,-0.377503,0.378477,-0.375862,-0.979255,-0.334254,-0.030883,0.817699,0.110656,-0.798271,-0.00138,-0.318776,-0.276362,0.428878,0.078914,0.193775,-0.666217,0.247503,0.335608,0.669111,0.403216,-0.356523,-0.239651,-0.612384,-0.116893,0.822987,-0.666433,-0.086481,0.059409,0.079617,-0.713353,0.007315,-0.238389,0.238297,-0.38509,0.642346,0.073123,-0.406291
two,-0.330097,0.728245,-0.529087,0.395641,-0.554233,0.269927,-0.188717,-0.368197,-0.548275,-0.937058,0.257623,-0.67818,0.075368,0.198789,0.142831,0.665025,-0.877134,0.494311,-0.326297,-0.224521,-0.561247,-0.008081,-0.105962,-0.251849,0.086511,0.646523,-0.989007,-0.201006,-0.215307,-0.083957,-0.347124,-0.040192,-0.373515,-0.43171,-0.57889,-0.096135,0.426451,0.515673,0.44131,0.468959,0.477161,0.389846,0.178712,0.133141,-0.225509,-1.457616,0.415776,0.434614,0.450892,0.228439,-0.477302,-0.26445,-0.207818,-1.398284,0.253898,0.058052,0.041962,0.547954,0.094958,0.20642,0.317238,0.797563,0.023464,-0.467621,-0.146882,0.185211,0.124957,0.151199,0.029603,0.036828,0.378633,0.313056,0.06888,-0.14825,0.056031,-0.297431,0.008792,-0.428691,0.103217,0.080794,0.011794,-1.728314,-0.215465,0.4113,-0.327279,-0.223852,0.729923,0.082371,0.417975,0.122707,-0.951492,-0.632093,0.004724,-0.411637,-0.816478,-0.219473,-0.410279,-0.429196,0.220839,-0.005877,0.329134,0.687192,0.927827,-0.109566,0.300127,-0.215514,0.561555,-0.457803,-0.200669,0.478496,0.312353,0.375661,0.040714,-0.115394,-0.336184,-0.238531,-0.120569,0.394415,-0.122756,-0.172618,-0.119544,-0.286076,-0.35506,0.465393,0.122944,0.396481,1.1016,-0.569792,-0.43835,0.11615,0.747962,-0.443571,0.118667,-0.450987,-0.733805,0.302872,-0.140152,0.290303,-0.330385,-0.765834,-0.468303,-0.09721,0.595409,0.117861,0.215663,-0.237235,-0.924431,0.353358,0.113633,0.936649,0.287015,-0.669187,-0.569104,-0.325036,0.053691,0.106147,0.102949,0.117032,-0.19613,-0.489498,0.793194,-0.256274,0.762958,0.187252,-0.623237,0.33565,0.402845,-0.392789,0.11317,0.485538,-0.215629,-1.2156,-0.010867,0.102478,-0.341787,0.239027,0.299198,0.525327,-0.144761,0.1724,0.140972,0.366882,0.318966,-0.31242,0.033481,0.467734,0.484349,-0.099594,-0.168554,-0.031644,0.120772,-0.220173,-0.207864,-0.607756,-0.075221,-0.07568,-0.468405,0.157287,0.570478,0.115053
theory,0.349553,-0.059846,-0.209177,0.117775,0.233644,0.559875,0.080898,-0.133466,-0.176795,-0.733508,-0.190115,-0.032291,0.064361,0.21472,-0.257631,0.767155,-1.881677,0.183146,-1.054961,-0.321584,-0.663396,0.133334,-0.179685,-0.096815,0.336125,-0.114471,-0.839307,-0.480596,0.233253,-0.582128,-0.626456,0.229486,0.202372,-0.653148,-0.471823,0.373493,-0.204764,-0.732118,-0.421934,0.246024,0.055467,-0.017635,-0.201408,0.501833,0.02162,-0.808338,-0.299028,0.101613,-0.677909,-0.192219,0.12141,-0.630554,-0.975202,-1.240781,0.095494,-0.105356,-0.10505,0.149482,0.073647,0.227058,-0.33379,0.312405,0.70673,-0.750979,-0.484111,-0.223698,-0.023356,-0.062185,1.279437,0.367517,-0.102182,0.117546,-0.138255,-0.880971,0.291435,0.068889,0.605204,0.339748,-0.123566,0.591667,-0.13278,-2.338317,-0.472395,0.527332,-0.594704,-0.026633,-0.206294,0.499211,-0.192597,-0.053009,-0.346099,0.598678,-0.141823,0.161254,-0.384976,0.426809,0.270264,-0.23807,-0.306564,-0.479756,0.554804,0.201772,-0.017027,-0.306184,-0.344793,-0.278588,-0.321388,-0.304504,-0.269516,-0.031017,-0.039169,0.276976,0.489338,-0.295477,0.443505,0.280046,0.604601,-0.675479,-0.575427,0.195159,0.565842,-0.194604,-0.700157,-0.072927,-0.132108,-0.577802,0.813856,-0.283347,-0.159786,-0.382919,0.432115,0.076954,0.791028,-0.14136,-0.290049,1.051092,-0.873281,0.11279,0.170359,-0.232995,-1.046254,0.53536,0.143318,-0.536885,-0.420434,0.531408,-0.382779,-0.441792,-0.119845,0.26054,-0.900102,0.502943,1.010059,0.457596,0.205627,-0.921105,-0.260754,-0.4218,0.337759,-0.676635,-0.612797,-0.409573,0.310794,-0.05204,-0.74962,0.222014,0.048436,0.05125,-0.486463,1.360737,0.365431,-0.534207,-0.205465,0.427882,0.269977,-0.693403,0.3748,0.606709,-0.497667,0.658005,0.876882,0.314442,0.597056,-0.202159,0.111736,0.273915,-0.206447,-0.260918,-0.417792,0.231036,-0.215522,0.504187,-0.288742,-0.321107,-1.158515,0.416841,-0.090286,-0.479556,0.25926,-0.051755
point,-0.1145,0.112691,-0.074796,0.281381,-0.351329,0.657354,0.205973,-0.413885,-0.06641,-0.657966,0.587106,0.087812,-0.062172,-0.404428,0.348458,0.046738,-1.383847,-0.189532,-0.850422,0.130138,-0.765571,-0.147914,-1.252664,0.362595,-0.718976,0.699898,-0.839977,-0.251941,0.48822,-0.583965,-0.142164,-0.155833,0.173513,-0.57453,-0.144016,0.135569,0.229192,0.283372,-0.057528,-0.308408,-0.05256,-0.193986,0.385359,0.54407,-0.312918,-0.872573,0.002084,0.64577,0.112343,0.371374,-0.026467,0.851648,-0.15982,-0.378193,-0.57479,-0.608873,-0.657712,-0.379592,0.10423,0.211773,0.46294,0.287563,0.762048,-0.697105,0.119392,-0.350454,0.122332,0.207982,1.452126,-0.31361,0.069695,-0.417322,-0.51901,-0.220894,0.124059,-0.200645,-0.484213,-0.623313,0.341921,-0.045194,-0.739353,-1.282487,-0.075936,-0.138725,-0.229338,-0.335095,-0.127502,-0.100071,0.099193,0.492168,-1.212898,-0.903856,0.372659,-0.101951,-0.050885,-0.404911,-0.371469,-0.529808,0.819601,0.352162,0.216291,0.415529,0.889704,-0.404793,0.220512,-0.441706,0.242701,-0.870879,-1.002697,0.196968,0.271108,0.821043,-0.396583,-0.278803,-0.400174,-0.436428,0.044048,-0.044799,-0.393988,-0.307039,0.030277,-0.001896,0.022779,0.822947,-0.533354,-0.121795,1.1685,-1.168796,-0.290253,0.520166,1.074105,-0.029742,0.022835,-0.464563,-0.068375,0.465172,-0.252736,-0.042157,0.065161,-0.865703,-0.673719,0.783429,0.41777,0.351399,-0.09769,-0.737467,-0.628278,-0.040077,-0.587661,0.580833,0.293945,-0.547467,-0.133087,-0.07964,0.531642,0.208654,0.278358,0.779118,-0.04338,-0.182095,1.19819,0.767613,0.341838,0.020066,-0.562991,0.358431,0.082625,-0.208755,0.153446,0.006669,0.4034,-1.071085,-0.691775,-0.193707,-0.133587,0.054305,0.524026,0.125358,-0.281005,-0.161553,-0.127174,0.591461,0.017788,-0.462337,-0.288785,0.31529,0.263292,-0.52056,0.186115,0.212499,-0.224522,0.203248,-0.357858,-0.251952,0.038887,0.211306,-0.687462,-0.17251,-0.010333,-0.625192
theorem,0.373685,-0.53093,0.565462,-0.103983,0.146614,0.070718,0.390378,0.209677,0.371201,-0.509482,-0.336849,-0.54088,0.1938,-0.847601,-0.313798,0.982363,-0.69671,-0.271495,-0.667549,0.170095,-0.718185,-0.380269,-0.543165,0.1139,-0.270419,0.798436,-1.344672,-1.037624,0.222328,0.170907,-0.976893,0.775297,0.466877,-0.979454,-0.012691,-0.141389,-0.152362,0.134282,0.028094,0.658406,-0.350065,0.740478,-0.057341,0.181044,-0.6932,-0.024053,-0.238055,0.637698,0.359325,-0.03416,-0.24785,-0.184593,0.06152,-0.188649,0.978517,-0.607062,-0.690145,0.18706,0.265215,0.619417,0.891459,0.770725,0.41424,-0.791635,0.266993,0.353594,0.233619,-0.467173,0.783707,-0.283239,0.034652,-0.119614,-0.419226,-0.339216,0.034757,0.976839,-0.856059,0.480597,-0.533394,-0.77109,-0.769054,-1.148461,0.346847,1.257469,-0.217147,0.253965,-0.266548,0.091828,-0.165509,0.168751,-1.27113,-0.161182,-0.110535,0.366376,-0.407526,0.119562,0.208727,-0.384477,-0.502781,-0.069737,0.308916,-0.860645,0.653156,0.345197,-0.358001,0.177151,0.465743,-0.357231,-0.550751,0.213932,-0.359147,1.14312,0.235498,-0.444252,0.048195,-0.158652,0.671966,0.250753,-0.529847,0.317617,0.733112,-0.230495,-1.160922,0.681704,-0.498576,0.170836,0.812165,-0.687265,-0.31219,0.041684,0.390685,0.614513,-0.187903,-0.55643,0.048537,0.266383,-0.220272,0.683435,-0.230554,-0.090494,-1.029618,0.258133,-0.043782,0.125684,-0.465817,0.443071,-1.536903,0.308642,-0.08705,0.836689,0.555523,-0.04849,0.873151,-0.128372,0.441179,-0.265207,-0.59748,0.129844,0.493612,-0.527468,0.078205,-0.419524,0.196953,-0.86102,-0.878871,0.68382,0.105087,-0.13491,-0.849628,0.457138,0.09166,-0.454242,-0.759979,0.923622,0.63659,-0.201506,0.118414,0.941962,-0.132466,0.524742,0.666141,0.250633,0.425931,-0.763842,-0.26779,0.532375,-0.646211,0.375381,0.46049,-0.302579,-0.086921,0.950717,0.704456,-0.505434,-0.552537,0.417865,-0.044541,-0.626078,0.509692,0.026795
