word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
number,-0.07406,0.129589,0.253427,-0.487465,-0.068372,0.154645,-0.31249,-0.39853,-0.417764,0.285128,0.03026,0.348476,0.278387,0.454343,-0.086872,0.256503,0.125342,-0.18524,-0.277495,0.216688,-0.393052,0.219282,0.185567,0.260367,0.002383,0.807255,0.121881,-0.057704,0.129428,-0.280919,0.190191,0.237975,0.158995,-0.472745,-0.010122,-0.838212,0.117699,0.06728,-0.712927,-0.190459,-0.147841,-0.450517,-0.634678,0.594436,-0.400472,-0.418132,-0.535616,0.021546,0.005825,-0.231461,1.172142,-0.100297,-0.34673,0.193431,0.032059,0.098354,-0.266997,-0.121097,0.060519,0.342227,0.670189,-0.235617,-0.419836,-0.270704,0.33237,-0.028224,0.28817,0.067324,-0.147117,-0.056105,-0.029083,-0.080852,0.108583,0.180311,-0.01747,0.291087,0.011078,0.03927,0.382042,-0.053357,-0.19261,-0.189481,0.134218,-0.238011,-0.745543,-0.105873,0.063844,-0.346309,0.031744,0.328551,0.211818,0.160924,-0.592386,-0.205385,-0.345956,0.338495,-0.486489,0.120135,0.136083,-0.177043,0.028713,0.038842,-0.042825,-0.147494,-0.239311,0.074249,0.204928,-0.247487,-0.075317,-0.295833,0.345895,0.177289,-0.419352,0.187554,-0.150567,-0.037608,-0.530733,0.038421,0.238671,0.248579,0.449281,-0.027175,0.127007,-0.543686,-0.195852,0.186114,-0.429,-0.138205,0.386828,-0.14671,-0.371306,0.304032,-0.230791,0.02217,-0.102794,0.202263,0.236104,-0.368072,0.681007,0.454611,-0.029912,-0.125415,-0.245279,0.199035,0.571916,-0.216235,-0.093716,0.710303,-0.387593,0.108589,0.135805,-0.007058,0.334291,-0.220408,-0.204642,-0.301321,0.603468,-0.079717,0.575911,-0.121836,0.155448,-0.344934,-0.077976,0.085324,0.073892,-0.101948,0.021513,-0.304166,-0.070197,-0.352727,0.181437,-0.268791,0.276717,0.173893,0.269702,0.421928,-0.065315,0.384221,-0.398268,-0.003479,0.024997,0.187361,0.047543,-0.079206,0.308745,0.322736,0.258024,-0.301078,0.17367,0.139858,0.168664,-0.416765,0.447996,-0.210961,0.171531,-0.270698,-0.304212,-0.173825,-0.122133,0.228035
function,-0.26859,0.281219,-0.421037,0.039075,-0.361631,-0.037971,-0.037495,-0.054088,-0.087386,-0.420548,0.220158,0.25477,-0.135604,-0.502472,-0.160075,0.107378,-0.084965,0.606777,-0.194596,-0.334954,0.0769,0.051719,-0.309183,-0.201405,0.11165,1.199883,0.114459,-0.28113,0.282669,-1.041553,-0.326961,0.213048,0.150664,-0.059387,0.525001,-0.962949,0.111383,-0.532724,0.209012,-0.24993,-0.427121,-0.934587,-0.665694,-0.120313,0.183299,0.053531,-0.142406,-0.396107,-0.119817,-0.274627,0.519935,0.299748,0.467184,0.167991,0.91363,0.118069,0.0665,-0.04357,-0.17201,-0.401875,0.060429,0.581404,0.152066,-0.421257,-0.10809,0.341038,0.158793,0.656863,-0.048787,-0.498694,1.038826,-0.092434,0.076871,0.369989,0.345147,-0.046925,-0.375277,-0.357875,0.699332,0.029811,0.235619,-0.564745,0.159557,0.689151,-0.931675,-0.340753,-0.337651,-0.714447,0.081205,0.543562,0.710712,-0.533769,0.138123,-0.30659,-0.195517,-0.473445,-0.355009,0.594894,-0.442384,-0.004238,0.308091,-0.457508,-0.417248,-0.051043,-0.520346,-0.234353,0.346635,-0.123699,-0.646511,-0.431803,-0.218743,0.432324,-0.191205,0.068575,0.383186,-0.201375,-0.438399,-0.240348,0.484903,-0.094258,0.24728,-0.480069,-0.420797,0.137401,-0.131866,0.248432,0.25652,0.335789,0.098765,0.081259,0.402398,0.432122,-0.74529,0.26122,-0.06266,0.154222,0.102974,-0.153379,0.194687,0.855898,0.349127,-0.508473,0.101989,-0.142095,-0.485594,0.40755,-0.108306,0.254088,0.09801,0.187968,0.16718,0.083135,-0.388789,0.204313,0.233954,0.28677,0.775316,-0.500558,0.342026,0.056692,0.11012,-0.678798,-0.300318,0.384973,0.098432,-0.013687,0.247566,-0.199142,-0.094203,0.021717,0.654145,0.172903,0.077173,0.543157,-0.306938,0.267361,-0.235583,-0.188923,-0.326941,-0.692214,-0.182809,0.097403,0.157688,0.553963,-0.150963,-0.103224,-0.114885,-0.010131,-0.284404,0.429474,0.303479,0.346104,-0.066995,0.429318,-1.398685,-0.309429,-0.786639,0.290762,0.005473,-0.08537
one,-0.156503,0.12785,0.116898,-0.45299,-0.328879,0.044257,-0.053134,-0.045616,-0.227772,-0.164964,-0.012083,0.062059,0.210955,-0.24806,-0.242267,-0.154115,-0.042268,-0.290067,0.076559,0.09623,-0.094981,0.012532,0.087878,0.090375,0.137244,0.702462,0.027636,-0.164561,0.070149,0.142477,0.192714,0.035953,0.14178,-0.1141,-0.240065,-0.5303,0.172557,0.11192,0.00562,-0.192033,-0.0809,-0.430072,-0.239228,0.151373,-0.053403,-0.050284,-0.349503,0.261759,-0.186212,0.144199,0.692951,0.133487,-0.229286,-0.375563,-0.309304,0.087928,-0.16321,-0.056662,0.119242,0.052165,0.238726,-0.022906,-0.164055,0.005324,-0.100782,-0.352204,0.068023,0.056477,-0.192057,0.063313,-0.093923,0.037056,-0.009752,0.014659,0.084479,0.098185,0.455718,-0.059611,0.520652,0.080142,-0.24542,0.034051,0.078867,-0.360753,-0.505471,-0.40819,0.150454,-0.284732,0.020372,-0.207885,0.280654,0.031255,-0.209691,0.123446,-0.182373,0.278065,-0.128361,0.058922,-0.115072,-0.414237,0.210016,-0.079894,-0.365084,0.075368,0.131242,-0.186681,-0.088956,-0.095019,0.061699,-0.201103,0.246913,0.093908,0.092201,0.164242,-0.253604,0.110381,-0.21422,0.02738,0.082089,-0.144432,0.087014,0.125456,0.201496,-0.068928,-0.061885,-0.154184,-0.067181,-0.00706,0.097782,0.047361,0.082061,0.16757,-0.212899,0.184644,0.28451,0.2586,-0.035443,-0.178245,0.404846,0.146943,0.375593,-0.008062,-0.109868,0.254905,0.150295,-0.226141,0.143886,0.290614,-0.431832,-0.278282,0.215575,0.030369,0.275073,-0.023467,0.1444,0.006473,-0.085333,-0.079303,-0.089201,-0.400307,-0.211514,-0.461333,0.25765,0.077174,0.259604,0.189051,0.17844,0.270281,-0.2782,-0.369585,-0.235563,-0.020994,-0.090187,0.322967,0.087565,0.766778,0.040261,0.069513,-0.084052,0.337437,0.12116,0.202092,0.028543,-0.014237,0.079439,-0.130042,0.157903,-0.085018,-0.223237,-0.029656,0.229176,-0.009904,0.370184,0.133506,0.112307,-0.294366,-0.249546,-0.245044,0.022246,-0.223402
set,-0.280176,0.260872,-0.196478,-0.051972,-0.22072,0.078651,0.384553,-0.129545,-0.32953,-0.328416,-0.046278,-0.073724,0.056744,-0.356452,-0.046968,-0.514021,-0.295182,-0.264039,-0.145867,0.117079,-0.17023,0.075574,-0.01866,-0.036205,0.226797,0.294474,0.165166,0.354175,0.743268,-0.305546,0.069752,-0.138031,0.284772,-0.219545,-0.283826,-0.491643,0.171334,0.07833,-0.452653,0.182214,-0.121184,-0.116388,0.066473,0.013304,-0.06618,0.056307,-0.016118,-0.012024,0.361929,-0.015582,0.427475,-0.188955,-0.010406,0.190923,-0.327793,-0.26767,-0.086202,0.228449,-0.018608,0.364742,0.025482,-0.01618,-0.083842,-0.335634,-0.301938,-0.154154,-0.07339,-0.177187,-0.107531,-0.226404,-0.05625,-0.298096,0.139635,0.1006,-0.026233,0.155014,-0.132428,-0.126796,0.762213,0.451336,0.132392,-0.068389,-0.217085,-0.277468,-1.131259,-0.472517,0.091489,-0.308568,-0.086599,0.237417,0.763902,-0.189726,-0.199292,0.067753,0.016313,0.188551,-0.215026,-0.127291,-0.386366,-0.313922,0.146134,-0.274364,-0.198029,-0.072209,0.328969,-0.137427,0.426401,-0.192781,-0.323635,-0.311676,0.140617,-0.047466,-0.244828,0.243286,-0.158165,-0.330762,-0.169801,0.108863,0.07731,-0.764984,0.224781,0.060678,0.226001,0.020699,-0.204276,0.101548,-0.054726,-0.507177,-0.13071,0.129342,-0.23006,0.159601,0.112154,0.293021,-0.346087,-0.06025,0.269865,-0.128834,0.234307,0.046147,-0.165193,-0.001458,-0.346296,-0.101088,0.162344,0.082672,0.060934,0.136105,-0.322864,-0.047906,0.274048,0.154124,0.273462,-0.337442,0.09279,-0.325073,0.102531,-0.239958,-0.128065,-0.158872,-0.006079,-0.277824,0.277297,0.196317,0.053278,0.305185,-0.111775,-0.073413,0.115954,-0.198916,-0.018527,-0.54822,0.054519,-0.034848,0.084494,0.335498,0.059774,-0.04343,-0.273736,-0.384253,0.089485,0.238071,0.062424,0.069504,-0.122829,0.006431,0.231879,-0.03328,0.165884,-0.040061,0.427498,0.086715,-0.143929,0.413031,0.291695,-0.276462,-0.442908,0.208708,-0.210993,0.00766
group,-0.011234,0.091237,-0.297701,-0.02579,0.347651,0.006976,0.106343,-0.090338,0.364541,-0.522777,0.412468,0.358017,-0.089398,-0.610735,-0.399276,0.245707,-0.069712,-0.046234,-0.143216,0.405704,-0.530118,0.558416,0.024252,0.613245,0.012683,0.099234,-0.44788,0.257639,0.07936,-0.351456,-0.033559,0.029526,0.141785,-0.5318,-0.414382,-0.573461,-0.114629,0.130152,-0.109179,-0.335192,-0.470747,0.020811,-0.289825,0.0884,-0.18788,-0.199374,-0.38285,0.163701,-0.674222,0.127827,0.984063,0.017603,-0.063042,-0.326255,0.425613,0.186401,0.311639,-0.012306,-0.029945,0.48289,0.515609,0.572305,0.197707,-0.351972,-0.013794,0.169331,-0.222001,-0.039678,-0.282355,0.304295,-0.49959,0.126863,-0.112444,-0.020586,0.095714,0.082433,0.369888,-0.219712,0.175941,0.027684,0.178493,-0.429228,0.3234,0.42332,-0.155366,-0.255667,0.132219,0.443661,-0.582712,-0.560578,0.383352,0.206079,-0.117246,-0.294166,0.075634,0.331554,-0.408443,-0.019979,0.291065,-0.431602,0.064602,-0.068864,-0.182651,0.037967,0.201882,0.066251,-0.016746,-0.177728,-0.080627,-0.508107,0.202677,0.169065,0.273676,0.325325,0.003807,-0.166782,-0.601724,0.194715,-0.071613,0.778445,-0.033602,0.27463,0.05693,0.341584,0.325748,-0.155231,0.010269,0.130458,0.249066,0.132913,-0.082847,0.315615,-0.135017,0.31267,-0.04898,0.01681,-0.242501,0.06072,0.72295,0.354354,-0.213871,-0.128985,-0.326832,0.511315,0.294307,0.142097,-0.217318,0.365169,-0.372384,0.297212,-0.20827,0.16815,0.39276,0.150162,-0.22212,-0.465185,0.344202,-0.341432,-0.257435,-0.011374,0.530105,-0.826367,0.143852,-0.080299,0.24171,0.089079,0.147345,0.229236,-0.068876,0.10189,0.014787,-0.030818,0.166204,-0.03013,-0.437606,0.217539,-0.313614,0.070572,-0.106314,0.564382,-0.252634,-0.073193,0.297046,0.140163,0.301692,-0.156054,0.221116,0.374538,-0.162893,-0.080286,0.172275,-0.248027,-0.277136,-0.235478,-0.232124,-0.229738,0.588773,0.026672,-0.22684,-0.135419
space,-0.002273,0.585858,-0.02431,0.474324,-0.274076,-0.400918,0.2068,0.006322,-0.407191,-0.213586,0.304095,0.142666,-0.21896,-0.378987,0.037322,-1.355365,-0.275122,0.017651,0.064285,0.522135,-0.30586,-0.429075,0.173412,-0.017793,-0.109912,0.312487,0.219198,0.128484,0.013666,-0.447917,-0.099081,-0.353834,-0.218609,0.161918,0.219228,-0.46117,0.266835,-0.081539,0.039553,0.304884,-0.209556,0.321632,-0.316661,0.011301,0.393193,0.080329,-0.012288,-0.21542,-0.177401,0.051791,0.692211,-0.654426,-0.48935,0.38908,0.043772,-0.295344,0.94139,0.630002,-0.310964,0.548177,0.087801,0.261283,-0.249241,-0.064562,-0.310322,0.392494,-0.110091,0.144363,-0.285725,-0.185804,0.386787,0.263711,0.074925,0.48065,0.126116,0.403778,0.032413,-0.193811,0.574675,0.039567,-0.164994,-0.181789,0.341571,-0.398471,-1.264698,-0.16595,-0.047289,-0.283166,-0.132437,0.158379,0.454419,-0.302795,0.427897,-0.031376,0.038056,0.094934,-0.497039,0.237964,0.225908,-0.369667,0.057238,-0.157372,-0.014963,-0.169558,0.223338,0.052133,0.111867,-0.722384,0.437334,-0.239063,0.528591,0.17189,0.084295,-0.126969,-0.399882,0.418259,-0.300828,-0.240831,-0.200524,-0.013611,-0.256656,0.373079,-0.604076,0.385035,-0.34988,1.076208,0.041367,-0.231444,0.847339,-0.15399,0.045736,0.168593,-0.764908,0.039179,0.257865,-0.061654,-0.276578,-0.34361,0.522937,0.345032,0.188885,-0.061058,0.068943,-0.265593,0.211113,0.9475,0.179781,0.213934,-0.455825,-0.113746,0.194199,0.473125,-0.683226,0.275498,-0.310412,-0.381534,0.752574,-0.262645,0.278407,-0.014671,-0.142146,-0.450854,0.255165,0.210984,-0.746546,-0.277496,0.278118,0.619545,0.01464,-0.122078,0.40644,0.501722,-0.220748,0.352468,0.168715,0.326883,-0.155357,-0.542426,0.172608,-0.350184,-0.008897,0.090609,0.069091,-0.211356,0.163779,-0.009303,0.27944,-0.208156,-0.076958,-0.169993,-0.217514,-0.398153,-0.126872,0.533462,-0.556028,0.093179,0.219645,0.416746,-0.591,0.027721
two,2.6e-05,0.113248,-0.04416,-0.484851,-0.532897,-0.133527,0.021506,-0.043431,-0.184446,-0.41822,-0.040494,0.132331,0.363379,-0.509004,-0.263561,-0.040044,-0.146028,-0.410962,-0.029764,0.077101,-0.180919,-0.215621,-0.024412,0.105311,0.161545,0.766611,0.213662,-0.067372,0.154155,0.2295,0.37341,0.125301,-0.002264,-0.240985,-0.239422,-0.431771,0.221047,0.263112,0.016992,-0.050405,-0.064603,-0.309994,-0.064297,0.104876,-0.115673,0.363855,-0.368436,0.198761,-0.391466,0.102751,0.684501,0.041593,-0.275436,-0.508505,-0.422773,-0.200979,0.100535,-0.013629,0.072942,0.177069,0.110106,0.171162,0.158822,0.007443,-0.181388,-0.431147,-0.269837,-0.013755,-0.228965,0.312447,-0.030854,0.269862,-0.118194,-0.014169,-0.015067,0.22979,0.406191,0.105466,0.461388,0.298162,-0.07675,-0.184013,-0.048502,-0.338531,-0.634341,-0.602272,0.061133,-0.400236,0.091029,-0.312332,-8.9e-05,0.327746,-0.387454,0.127277,-0.075603,0.395003,-0.158462,0.092473,-0.037567,-0.451247,0.372916,-0.19242,-0.41665,0.081376,-0.028927,-0.166545,0.29269,0.103948,0.133602,-0.245285,-0.178667,0.07032,0.075637,0.05425,-0.34125,0.045315,-0.254998,0.043349,-0.208878,0.027849,0.016809,0.225547,0.059126,-0.215123,-0.279744,-0.095941,-0.083354,-0.099574,0.17688,0.030127,0.004266,0.272189,-0.23935,0.500498,0.141483,0.043738,0.040118,-0.084555,0.406921,0.032858,0.132967,0.15767,-0.03431,0.039256,0.597853,-0.278727,-0.085722,0.17871,-0.10823,-0.240469,0.370103,0.138316,0.196704,-0.40589,0.020848,-0.096344,-0.048513,-0.185562,-0.19194,-0.473867,-0.015339,-0.420582,0.303364,0.184745,-0.076826,0.191841,0.098092,0.051515,-0.446987,-0.571794,-0.169737,0.026484,-0.155436,0.342675,-0.008584,0.995864,-0.026595,0.088883,0.076649,0.378693,0.331082,0.091777,0.254963,0.027171,-0.230494,0.033506,-0.034788,-0.288538,0.024962,-0.09455,0.272104,0.177417,0.269461,0.185458,0.115916,-0.184935,-0.136311,-0.219885,-0.053564,-0.106456
theory,0.710966,0.521526,-0.517545,0.203275,0.292619,-0.273288,-0.137149,-0.52716,0.41042,-0.005615,0.150648,0.194423,-0.724932,0.183707,0.066089,-0.415758,-0.400805,0.69691,0.086864,0.180682,-0.644403,-0.033546,0.027649,0.198696,0.260415,0.064057,-0.150289,-0.227936,0.55071,-0.083991,0.143051,-0.527469,-0.084531,0.325578,-0.593466,-0.834195,-0.088114,-0.917222,0.229815,-0.316505,-0.155426,-0.643346,-0.197485,-0.065379,-0.441033,-0.118855,0.493606,-0.722563,0.379399,0.381062,0.446065,0.079247,-0.188028,0.269324,-0.042448,0.482813,0.248929,0.030609,-0.104157,0.266752,-0.16217,0.354295,-0.664363,0.258433,-0.502454,0.023471,0.164875,-0.201821,0.039607,0.048366,0.953819,-0.474523,0.36067,-0.008176,-0.05495,-0.28274,0.066846,0.069534,1.054664,-0.164099,-0.013869,-0.782571,0.389828,-0.833313,-0.324783,-0.175255,-0.142107,-0.227501,-0.321923,-0.031104,0.268014,0.953521,0.488856,0.589529,-0.147722,-0.127409,-0.463655,0.772807,-0.365068,-0.278389,0.139144,0.2467,-0.174005,0.167217,0.031057,-0.437207,0.654467,0.074116,-0.088149,-0.564095,-0.618756,0.48056,-0.546284,-0.1919,0.519759,0.156113,0.435094,0.370954,0.735914,0.905824,-0.480903,0.373654,0.055609,-0.005557,0.324525,0.272958,-1.044969,-0.154612,0.669452,0.00272,-0.079793,0.108547,0.619172,-0.020202,-0.102549,0.296905,-0.08775,-0.083302,0.080371,-0.220633,0.684274,-0.320763,-0.914015,-0.15421,-0.034149,0.700063,-0.817235,0.605453,-0.382891,0.056404,-0.062171,0.291598,-0.258766,0.347609,0.210008,0.169608,-0.420971,-0.036893,-0.317948,-0.055662,-0.095298,-0.539906,-0.620847,-0.225789,0.368405,0.574315,0.047692,-0.27216,-0.313479,0.016694,0.603032,0.041701,-0.222944,0.933232,-0.360134,-0.128814,-0.180258,-0.373994,0.022166,0.165872,-0.283177,-0.25243,0.419557,-0.100498,-0.01082,-0.463837,0.434312,-0.098927,-0.137776,0.840777,-0.445284,0.499552,-0.311406,0.244925,-1.829003,0.078148,-0.610026,-0.168527,-0.262708,-0.073673
point,0.033844,0.161494,-0.1546,-0.658787,-0.434818,0.178149,0.286352,-0.388664,0.312012,0.017797,-0.485149,0.189226,0.369784,-0.584017,0.277445,-0.356316,-0.019189,-0.169452,-0.250317,-0.382718,-0.258399,-0.008011,0.733238,-0.249211,-0.016282,0.727378,0.658571,0.026855,0.226817,0.067348,-0.058518,-0.093452,0.041329,0.090637,0.133349,-0.473664,-0.256242,-0.4783,-0.200348,0.058832,-0.558784,-0.051618,-0.268046,0.210779,0.005445,-0.194563,-0.20574,0.044728,0.0776,-0.039472,0.612508,-0.048437,-0.123782,0.249358,0.079411,-0.173915,-0.269945,-0.15605,-0.357312,0.330749,-0.424921,-0.724129,-0.190661,-0.171886,-0.092114,-0.030577,0.166603,-0.12153,-0.198452,0.014193,0.04788,-0.079763,0.05069,0.248776,0.168191,0.313632,0.287559,0.09186,0.467719,0.038681,-0.129748,-0.295172,-0.42582,-0.074906,0.129676,0.0543,0.111306,-0.44537,-0.450629,-0.024768,0.278202,0.118224,-0.392773,0.305592,-0.621353,0.534224,0.105534,0.565332,-0.129749,0.344097,0.053342,0.048597,-0.304808,-0.423321,0.103384,-0.314484,0.542545,0.190921,0.397435,-0.38503,-0.02803,0.430069,0.28606,0.068024,-0.235072,0.242013,-0.061122,-0.001609,-0.114743,0.295364,0.552887,0.537476,0.490784,-0.129812,-0.287973,-0.821357,-0.12231,-0.601978,-0.219618,-0.094115,-0.200139,0.342629,0.208236,0.056319,-0.229452,-0.159632,0.136217,0.053984,0.559906,-0.343333,-0.221367,0.093981,0.212695,0.039203,0.282741,0.353358,0.361674,-0.030773,0.149471,-0.071899,0.036415,0.044349,-0.196838,0.074196,0.16672,0.090268,-0.047814,0.147571,-0.255908,-0.32885,-0.156161,-0.37575,0.311426,0.182058,0.139535,0.133483,-0.079302,0.24066,-0.772997,-0.066281,-0.220589,-0.257526,-0.061106,0.176081,-0.107861,1.222196,0.17829,-0.303313,-0.658685,-0.253032,0.315556,-0.124279,-0.101425,-0.171035,-0.06138,-0.187353,0.480397,-0.102576,-0.098213,0.002536,0.616817,0.074731,0.003527,0.284024,0.013963,-0.218746,0.058297,0.069722,-0.259746,0.447504
theorem,0.139954,0.417017,-0.365397,-0.215121,-0.251765,-0.386607,0.44872,-0.052832,-0.392197,0.392134,0.346326,0.083129,-0.927097,-0.159546,-0.855641,-0.670407,-0.058835,0.270374,-0.89911,-0.555217,-0.381005,-1.402348,0.123578,-0.042289,0.043839,0.120055,0.634032,-0.245265,0.682975,-0.603955,-0.123941,-1.136386,-0.367006,0.366284,-0.225755,0.071194,-0.593759,-1.35996,0.447073,0.28048,-0.056092,-0.848698,-0.606917,-0.194119,-0.37296,-0.831115,-0.11917,-0.683716,-0.132348,0.354714,-0.964572,0.742537,-0.032342,1.15855,0.144343,0.737098,0.041354,-0.367768,-0.500518,0.029336,0.060495,0.094175,-0.134194,0.541215,-0.643385,-0.309729,-0.10207,0.287072,-0.005736,0.251434,0.39429,-0.594183,-0.361264,0.074868,0.133089,-0.406259,-0.223874,-0.038381,0.468314,0.072967,0.394178,-0.082011,0.240924,-0.149922,-0.411204,-0.505903,0.280557,-0.696127,0.150425,0.711073,0.216205,0.251859,0.302831,1.223697,-0.691093,-0.741898,-0.513034,0.828127,-0.287081,0.644582,0.30973,0.15506,-0.698935,-0.011056,0.596546,-0.424849,0.442964,-0.298999,0.077489,-0.056972,-0.821021,1.265839,0.184933,-0.745143,0.392193,0.723881,0.481771,0.694696,0.849308,0.558498,-0.261986,0.504346,-0.237043,-0.019296,0.326783,0.234909,-1.257372,-0.026235,0.842945,1.30135,0.173105,0.224543,-0.245783,0.514634,-0.131672,-0.007235,1.145763,0.2395,-0.33343,-0.502302,0.08626,-1.294758,-0.070974,-0.755088,0.212477,0.884235,-1.148032,0.931913,-0.453901,-0.110798,-0.05824,-0.036818,0.344564,-0.430495,0.075492,0.580261,0.098743,0.026666,0.251655,-0.378515,0.339672,0.464082,-0.441651,-0.287635,-0.202516,1.078233,-0.757551,0.148425,-0.201591,0.341384,0.3778,0.138646,0.183294,0.323645,0.520414,-0.269303,-0.303822,-0.815729,-0.206004,-0.770556,-0.004232,0.115827,0.982409,-0.020181,0.22964,0.102442,0.610812,0.028498,-0.344819,-0.253491,-0.605567,-0.085466,0.24306,0.060172,-1.846896,-0.211547,-0.697794,-0.304834,-0.837485,0.402738
