word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
number,0.287015,-0.267163,0.484345,-0.839945,0.221818,-0.277456,0.133048,0.505572,-0.422221,-0.448897,1.495142,0.190844,-1.1044,0.932556,-0.456684,-0.062941,1.157154,0.067275,0.983162,0.168212
function,-0.501027,0.229859,-0.376753,-0.265316,0.240903,-1.067011,1.098051,1.244936,-0.445525,0.298029,2.43726,-0.020095,0.302306,1.081755,-0.39513,0.858949,-0.301917,0.384948,0.877331,1.561956
one,0.377059,-0.356447,0.089801,-1.360236,-0.204698,-0.549956,0.300447,0.132185,-0.330842,-0.728938,0.694288,0.272941,-0.617587,0.283761,-0.549595,0.539745,1.395501,0.078721,0.278717,0.521861
set,0.039402,-0.75074,0.096314,-1.270337,0.423912,-0.287785,0.838375,0.762266,-0.494648,-0.902698,1.193775,-0.062403,-0.398634,0.008981,-0.62641,0.259708,0.731108,-0.065696,0.098218,0.373243
group,-0.254327,0.046643,-0.60071,-0.876637,0.592589,-0.161069,0.47791,0.554422,-0.220888,-0.635247,0.521845,0.289221,0.146045,0.590167,0.120413,1.406132,1.158842,-0.455944,0.939093,-0.032776
space,-0.003196,-0.89255,-0.241121,-1.04534,0.785498,-1.175876,0.286498,0.822162,-0.247609,-0.412307,1.569433,-0.376276,0.298362,-0.189413,-0.105753,0.404685,0.308706,-1.313999,0.732883,1.14968
two,0.133522,-0.332853,-0.003017,-1.52416,-0.300856,-0.751824,0.017413,0.149276,-0.36762,-1.138557,0.893623,0.371645,-0.671343,0.566876,-0.104278,0.129286,1.29291,-0.146908,0.070791,0.517453
theory,-0.543231,0.469038,0.77524,-0.425194,1.200898,0.178457,-0.463263,1.02648,-0.550316,1.038556,2.115883,-0.399487,1.022399,0.361545,-1.434181,2.069544,-0.54414,-0.583243,0.61189,1.026886
point,-0.260616,-0.001581,0.01221,-0.86322,-0.243561,-0.454712,-0.324402,0.386612,0.084421,-0.961053,1.722335,0.460786,-1.517609,0.411665,-0.500131,0.285524,0.957234,-0.63357,0.067789,0.12279
theorem,-0.775686,0.38515,0.586735,-0.511917,1.200821,0.813673,0.69143,0.957593,0.083945,0.611555,2.629679,0.50313,0.329072,0.845004,-0.850177,1.107403,-2.775614,-0.324694,-1.549812,1.039913
example,0.353906,0.092028,-0.021851,-0.713553,0.644291,-0.545528,0.730854,0.240589,-0.21993,-0.267207,1.565859,-0.38984,-0.059597,0.836508,-1.133777,0.515608,0.354137,0.272705,0.957508,1.176403
form,0.241038,0.456784,-0.321998,-1.353409,0.605038,-0.796187,0.345155,-0.120175,-0.346466,-0.798451,1.214682,0.028047,0.005302,0.971642,-0.366386,0.717575,0.279715,-0.236393,0.963207,0.682304
define,-0.280767,0.582029,-0.330203,-0.352019,0.623411,-0.376675,0.518263,0.832796,-0.088297,0.092288,2.426537,-0.557521,-0.278705,0.965515,-0.949116,0.991483,-0.248392,-0.052078,1.274357,0.600658
graph,-0.400249,0.036953,-0.322894,0.170483,0.938332,0.147428,0.907667,0.735158,0.111994,0.520692,2.278769,-0.10875,-0.436986,1.19783,-0.893299,0.222607,-1.757015,-1.061263,-0.204005,1.054632
value,0.2695,0.047343,0.464574,-0.355181,0.714007,-0.04212,1.097296,0.802967,0.566808,0.490986,2.409078,-0.124706,-0.839364,0.730642,-1.006726,0.360107,0.46669,0.293912,1.318649,0.749783
problem,-0.412682,-0.001201,0.686258,0.025409,0.506138,-0.791727,0.290572,0.445436,-0.068769,0.337404,2.009517,-0.137145,0.144443,-0.279502,-0.628992,1.350071,0.688542,0.363421,0.625075,0.739937
mathematic,-1.579668,0.066593,0.905421,-0.964884,0.08248,0.546113,0.112867,0.922206,-0.988586,1.900684,0.906538,-0.082152,0.285936,1.270134,-0.437382,0.949029,-0.735846,-1.337163,0.349068,1.264284
order,0.167047,-0.42087,-0.195667,-0.913685,-0.101178,-0.562888,-0.102481,0.088881,-0.986697,-0.513907,1.275853,0.241151,0.082929,0.733668,-0.043195,0.726379,0.895919,1.390705,0.492469,-0.033375
equation,-0.738789,0.290628,0.508229,0.12629,1.776248,0.073064,-0.019282,1.361745,0.425661,0.393369,3.175569,0.939105,0.600376,0.977445,-0.860171,0.924463,-1.624901,-0.560925,-0.813168,1.635126
first,-0.457034,-0.40933,0.082034,-1.368663,-0.162706,-0.105514,0.017726,0.312288,-0.681488,-0.556642,0.176801,0.349083,-0.191479,0.463405,-0.353048,0.265877,1.807912,0.058917,0.01088,-0.038652
vector,-0.195556,-0.087386,-0.834325,0.871617,1.281303,-0.674478,0.537887,1.183924,-0.120455,-0.237862,2.800429,0.231729,0.026573,1.36433,-0.816208,0.59219,-1.113756,-0.844568,0.066518,1.229896
algebra,-0.582842,-0.126443,0.486204,-0.431511,0.910492,0.712261,0.729957,1.526175,-1.190662,0.740444,2.221049,0.092852,0.132052,1.65201,-0.216434,0.782016,-2.714611,-1.072052,-0.356838,1.421982
$\mathbb{N}$,0.773452,0.746979,-0.054188,0.199904,0.996346,-0.115839,0.373791,1.886261,-0.563444,-1.509454,0.867194,0.551645,-0.494844,1.095845,0.217931,-0.308248,-0.239847,-0.551467,0.047741,0.50828
field,-0.830415,-0.074527,0.014693,-0.936853,0.187094,-0.762484,-0.3933,0.042078,-0.393115,-0.121828,1.515448,0.275392,0.105274,0.798929,0.275052,0.806851,1.350972,-1.483303,-0.17779,0.11702
