word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
number,0.364564,1.212976,-0.968706,-3.378551,-0.078244,0.090202,1.143735,-0.762525,0.378691,-2.627956,-1.430779,0.567271,-0.041069,0.763099,0.022293,1.350707,-0.718674,1.10202,0.46667,-1.271179
function,2.111659,0.558223,-0.318505,-2.361604,0.483711,-0.159863,-0.637206,-0.050033,-1.155326,-2.257762,-1.581936,-0.447628,0.008627,1.997188,-0.771336,0.207562,1.53855,0.376535,0.726317,-1.931753
one,0.314759,-0.135911,-1.113398,-2.09268,1.088353,-0.60856,0.144135,0.110838,1.150695,-2.858866,-1.29873,-0.087037,0.969619,1.646834,-0.08101,0.910792,-0.104903,1.186427,0.265727,-0.625999
set,0.370645,1.630765,-0.507179,-2.133083,-0.316431,-1.984275,-0.442448,-0.410196,0.652887,-3.145869,-0.190655,-0.539276,-0.036394,1.78603,-0.735735,1.120723,0.581699,0.946747,-0.318116,-1.127459
group,-1.211112,-0.898125,-0.601102,-2.726526,0.037765,-0.416899,0.825684,-1.501468,0.789624,-2.279388,-0.090734,-2.187321,1.548439,1.177734,-1.559722,0.585798,-0.677178,-0.262795,1.689562,-1.227062
space,0.291102,-0.496981,-0.905702,-2.712585,0.728355,-1.518405,-1.091891,-0.539218,0.549525,-2.037048,0.167179,-1.322837,0.793422,1.830181,-2.265027,0.274305,1.200491,0.799258,0.965139,-0.365162
two,0.011241,-0.015825,-1.337368,-2.356189,1.180063,-0.680199,-0.033568,0.147502,1.257117,-2.544929,-1.041481,-0.213711,1.014943,1.780674,-0.191396,0.552683,-0.883606,1.515554,-0.254347,-0.633
theory,0.859775,1.378231,-0.053944,-1.79517,1.321027,-0.308156,0.572813,-0.602761,0.446885,-1.990811,-0.197808,-2.405345,0.578642,0.257485,-1.599767,2.437306,0.278762,-0.120981,0.942584,-1.233119
point,0.64758,1.161255,-0.367999,-2.143764,0.788497,-0.84514,-0.863878,-0.350448,0.558849,-1.582852,-1.848747,-0.331303,1.042552,2.40525,-0.572723,0.037728,-0.216465,2.398507,0.361969,0.266792
theorem,-0.119238,1.668507,0.209967,-2.124529,2.365439,-1.239383,0.61629,-0.702853,-0.49478,-1.65906,-1.439123,-1.175448,0.624883,-0.135226,-0.820811,0.43965,1.761737,1.369474,0.360235,-1.886183
example,0.708488,0.076943,-0.724243,-2.237343,0.832259,-0.267077,-0.135091,-0.873687,0.599067,-2.560649,-0.715954,-0.632618,0.589866,1.264032,0.129642,0.470774,0.265217,0.552981,0.521082,-0.830618
form,0.616158,-0.428544,-0.362639,-2.291856,1.234162,-0.788474,0.288686,-0.850028,-0.123131,-2.340314,-0.841578,-0.480703,0.972164,1.860795,-0.649259,0.466611,-0.23772,0.692297,-0.37063,-1.06665
define,0.813596,-0.127718,-0.326694,-1.844353,0.508279,-1.083217,-0.244841,-0.558325,-0.05135,-2.222999,-0.898432,-0.928783,0.660482,2.4701,-0.77086,0.039213,0.732032,1.001254,0.272771,-1.560069
graph,-0.55867,1.593699,-2.022978,-1.629917,0.760391,-2.792657,0.548642,0.039211,-0.277972,-1.76661,-0.701277,-1.54408,0.288225,0.601955,0.201411,1.186169,-1.131824,1.347939,0.056762,-0.289976
value,1.59543,0.375861,-0.52897,-1.927107,0.534703,0.067133,-0.354652,0.200996,0.606217,-2.375703,-1.682523,0.265484,-0.564755,2.354495,0.740869,0.373448,0.270878,0.644761,0.747485,-1.433097
problem,1.146216,1.595334,-0.892074,-1.929213,1.716879,-1.093867,0.935338,-0.12656,0.2599,-2.219727,-1.866603,-0.456666,0.368777,-0.191928,-0.157491,1.428005,0.175919,0.08398,0.667824,0.630758
mathematic,-0.114799,0.052047,0.604709,-1.331311,1.200381,0.56324,-0.303056,0.103494,0.663973,-2.231179,-1.647122,-1.232662,0.434267,-0.079168,-1.987638,2.761914,-0.423482,-0.39432,-0.332186,-0.45686
order,0.434018,-0.495696,-0.406783,-2.124721,0.539815,-1.537512,0.62191,-0.396185,-0.549912,-2.344872,-0.222091,-0.264166,-0.165764,1.734824,-0.225882,1.666207,-0.895156,1.033782,0.310686,-1.085403
equation,1.953532,0.148109,0.078584,-1.950646,2.699249,0.560204,0.894208,0.313214,-0.663747,-1.078561,-1.413341,-0.252404,1.257662,2.085412,-0.740811,0.59965,0.827191,-0.029245,0.901842,-0.132447
first,0.071037,0.163091,0.003021,-2.089153,1.206091,0.086194,0.390053,0.612673,0.464917,-2.686927,-1.273033,0.11326,0.546697,0.58229,-0.204838,1.760073,0.186492,0.724568,-0.19441,-0.784786
vector,1.08172,-1.10164,-0.408138,-1.594519,1.30012,-0.668082,-0.57358,0.069838,0.410686,-1.96348,-0.518626,-0.883464,0.964466,3.295555,-0.905154,-0.721885,0.218663,-0.093609,0.272612,-0.899859
algebra,-0.878951,-0.50386,0.087398,-1.655985,1.062836,-0.329716,0.1948,-1.117079,-0.26599,-2.511201,0.071805,-1.747515,1.651261,1.441482,-1.65584,0.814063,0.575213,-1.417248,-0.234436,-1.814998
$\mathbb{N}$,-0.525109,0.472361,-0.883179,-3.065685,-0.13185,-0.562431,0.218654,-0.611105,0.064855,-1.997963,-0.834893,0.127596,-0.195744,2.515132,0.651633,-0.352979,-0.431348,0.651703,1.004318,-0.776886
field,0.900585,0.001653,0.049551,-1.854444,0.873408,-0.057914,0.400487,-0.266997,0.933697,-1.904984,-1.181384,-1.455917,1.294805,1.218671,-1.873259,0.330788,-0.256056,-0.559352,1.494739,-1.31215
