word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
number,0.613433,-1.194217,-0.563874,-0.475873,0.286059,1.137939,-0.170893,-0.946414,1.171988,-0.569778,-0.000881,0.728697,-0.634457,0.159301,-0.691361,-0.020395,-0.374685,0.454866,0.286721,-0.737956
function,0.349173,-0.53619,-0.005324,-0.526679,-0.361092,2.971789,-0.390827,0.116901,0.440882,-0.1674,-0.308094,0.803328,-0.579343,-0.870499,-0.94036,-0.895702,0.057381,0.181996,-1.421729,0.391799
one,0.204879,-0.480305,0.005419,-0.153951,0.687995,0.626724,-0.507567,-1.060178,1.23162,-0.227513,0.33525,0.675581,-0.422078,-0.004317,-0.150423,-0.033601,-0.775447,0.521677,-0.579717,-0.788176
set,0.015764,-0.73366,0.073986,-0.216405,0.337846,0.549143,-0.421546,-0.676358,1.243993,-0.016745,0.101849,0.896015,-0.273497,-0.581928,-0.064929,-0.186414,-0.418169,0.044313,-0.459313,-0.890971
group,0.380222,0.352279,-0.593975,-0.124136,1.484102,1.098363,0.297099,-0.742728,0.666912,-0.162049,0.051354,0.735257,-0.083489,-0.171643,-0.410892,0.465657,-0.048832,-0.464383,-0.813224,-0.534255
space,-0.483273,-0.83802,0.402861,-0.786047,0.591998,1.444903,0.108338,-0.066883,1.304904,0.862686,0.233593,0.504231,0.279371,-0.707122,-0.575353,-0.237988,-1.12734,-0.67682,-0.471395,-0.02559
two,-0.267532,-0.658063,-0.277315,-0.100906,0.659539,0.467276,-0.668626,-0.977337,1.311247,-0.353437,0.860926,0.679808,-0.337636,0.023305,-0.69638,-0.04281,-0.561134,0.618393,-0.580774,-0.642574
theory,0.990215,-0.472992,0.840278,-0.281226,1.2271,2.737343,0.146497,-0.165153,-0.190485,0.682017,-0.449109,0.003302,1.203023,-1.297281,0.506116,-1.708304,0.50493,0.201246,-0.158005,0.324184
point,0.06037,-1.057566,-0.541402,0.312092,0.687323,0.867026,-0.240905,-0.293433,0.920768,-0.711912,0.644831,0.741674,0.326993,0.21711,-0.881397,-0.252929,-1.129638,0.808256,0.367433,-0.848399
theorem,-0.282025,-0.75069,1.153984,0.733569,-0.2497,1.766854,0.161643,1.655993,-0.892692,0.708589,-0.332788,1.002398,0.869771,-0.737163,0.221935,-1.800716,1.310543,1.106758,0.110592,0.763734
example,0.681998,-0.620422,0.389179,0.144772,-0.012381,2.112805,-0.363512,-0.576944,1.222725,-0.048435,-0.148322,0.612874,-0.794674,-0.403978,0.054554,-0.501182,-0.038595,-0.081269,-0.425653,0.107514
form,0.281215,-0.45563,-0.019191,0.386303,0.491746,1.868594,-0.112034,-0.630139,1.275732,-0.230399,1.040173,0.572964,-0.170195,0.167422,-0.068081,-0.372626,0.106978,-0.34694,-0.809098,0.076976
define,0.74582,-0.792415,-0.146041,0.435484,-0.047609,2.90118,0.051016,0.032551,0.73203,-0.367689,-0.416633,0.668141,0.111074,-0.495305,-0.344913,-0.825024,-0.073296,-0.313286,-0.202117,0.028182
graph,-0.022676,-0.549522,0.343794,0.546007,-0.690984,1.905378,0.597495,1.334472,0.419951,0.180495,-0.74158,1.24781,0.486392,-0.575006,-0.127028,-1.21685,0.295501,0.409119,0.221953,0.885022
value,0.99781,-1.021714,0.378122,0.1839,-0.051116,2.791383,-0.152009,-0.146118,0.658894,-0.068696,-0.926308,1.176576,-0.45507,0.133288,-0.247466,-0.328965,0.141798,0.263672,0.372982,-0.851786
problem,1.115144,-0.642429,0.671616,-0.379218,0.422155,2.045332,-0.31854,-0.009478,-0.079077,0.292802,-0.118291,0.100232,-0.009206,-0.992732,-0.456732,-0.050239,-0.481292,0.280077,-0.671877,-0.730364
mathematic,-0.43198,0.17461,-0.943107,-1.422956,0.921449,1.770778,0.095909,0.440671,0.433902,1.294155,-1.273081,-0.442898,0.844873,-0.40017,0.296853,-1.699227,0.884781,1.191344,-0.153583,0.679636
order,0.393465,-0.721392,0.182247,-0.200394,0.110395,0.831152,-0.097802,-1.540646,0.51548,-0.942173,0.151209,-0.145243,-0.302462,-0.454574,-0.401501,-0.053899,0.258446,0.407413,-1.385823,-0.761909
equation,-0.37555,-1.268003,1.639197,0.206059,0.330753,2.569067,0.14204,1.147738,-0.750828,0.638951,0.482085,1.338076,0.749046,-1.101387,-0.53771,-1.710512,0.946315,1.113746,0.318253,1.085494
