word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
number,0.520081,-0.425751,0.616079,-0.607434,-0.66844,0.384339,3.889874,1.721151,-0.929683,0.71204,0.711489,0.481278,-0.235606,0.692648,0.03254,1.581737,-1.007841,0.949757,-2.146763,-0.575436,0.048687
function,0.526834,0.855318,0.622637,-2.186644,-0.52876,-0.799946,2.966251,-0.029183,1.343542,1.213302,0.696316,0.636157,0.650578,1.237565,0.098435,-0.296905,0.148742,1.574274,-1.935954,-1.325411,0.272381
one,0.843311,-0.72885,-0.350957,-0.066779,-0.769158,0.800951,4.113621,0.463273,0.675879,0.638281,0.285011,0.049496,0.615616,0.756345,-0.049812,0.448185,-0.259942,0.494823,-1.225141,-1.048655,0.855252
set,0.702436,-0.108899,1.210126,-0.353332,-0.005712,1.323446,3.683161,-0.012398,0.34342,1.89997,0.011819,-0.773651,-1.184565,1.211082,-0.070798,0.097274,0.514426,0.878968,-1.812338,-1.204461,0.728031
group,0.298901,0.315636,-0.035491,0.650432,-1.149907,0.04819,3.640362,0.846108,-1.025829,-1.282194,0.812215,-2.25983,-0.019484,0.835078,1.767176,-0.393454,0.131076,0.774016,-1.610246,-1.141338,0.79094
space,-0.151385,0.688167,-0.044904,0.319473,-0.469316,0.638289,3.982515,0.342542,0.840074,0.902522,-0.394067,-1.512181,0.535274,0.244481,0.616661,-1.976851,1.338332,1.757307,-1.686331,-0.671409,0.590869
two,1.209162,-0.77653,-0.103998,0.429076,-0.450825,0.898609,4.262691,-0.188965,0.18691,0.318268,0.605975,-0.17228,0.841961,0.796464,-0.174434,0.301247,-0.459383,0.628304,-1.115728,-0.691173,0.530368
theory,0.618044,-0.118451,0.108982,0.626445,-1.266999,-1.38581,2.156297,1.037868,-0.134657,0.72425,-0.01797,-1.930777,-1.202731,1.71254,-0.397678,-0.242104,-0.008364,1.918047,-2.212931,-1.296659,0.814782
point,0.742715,0.664031,-0.256105,0.680672,-0.374225,0.754035,4.233301,-0.031039,1.166808,0.279149,0.600679,0.048866,0.288311,0.937295,-1.144935,0.644628,0.695024,1.055073,-0.701656,-0.496676,-0.190939
theorem,0.999675,-0.883027,0.261768,-0.324422,-1.850907,0.149592,2.345962,0.300865,0.873368,0.19408,-0.305753,0.131867,-1.065759,1.657287,-0.064455,0.289789,0.573605,3.324971,-1.40846,-1.003309,-0.543587
example,0.280671,-0.109943,0.236757,-0.55796,-1.073901,-0.234313,3.689772,0.009853,0.248887,0.412194,0.099232,-0.263791,0.059477,0.653724,0.1191,0.252287,-0.15949,0.576874,-1.370896,-0.895531,0.580381
form,0.683588,0.204739,0.207136,-0.455604,-1.450597,0.439261,3.730901,-0.308323,0.033445,0.096082,0.707428,0.096286,0.537561,1.148819,0.047885,-0.702436,-0.464865,0.897266,-1.278722,-0.654304,0.383877
define,0.816936,0.620981,0.295163,-1.19201,-0.853011,0.59489,3.562876,-0.051504,0.776132,0.35014,0.270734,-0.002049,-0.003662,1.052254,0.193993,-0.798412,0.654268,0.935836,-0.945126,-1.512284,0.417368
graph,1.850469,-0.506408,0.902416,0.281982,0.136356,1.333402,2.991829,-0.508136,0.097989,0.200554,-1.549957,-1.786893,0.172133,1.551291,0.084738,1.145244,-1.300179,1.804039,-1.117728,0.280101,0.23447
value,1.129031,0.208055,0.535633,-1.424614,-0.699999,-0.098547,3.381782,0.490996,0.939515,1.266259,0.48309,0.919429,0.652104,-0.106353,-0.272671,1.025971,0.377779,0.164659,-1.482627,-1.098515,1.066489
problem,0.832722,-0.696798,0.026099,0.012405,-1.502774,-0.493293,2.298951,0.837379,0.886519,1.664163,-0.623688,-0.675535,0.557559,1.926666,-0.520927,1.66852,-0.674828,1.37743,-1.438013,0.646164,0.373076
mathematic,0.456226,-1.321878,-0.689842,0.41656,-0.475773,-1.010537,1.321949,0.87861,0.629071,0.953021,1.555233,-1.769914,0.191672,1.515454,-0.209387,0.012856,-0.522471,0.360449,-2.748546,-1.359708,-0.562612
order,1.50802,-0.030986,0.523278,-0.339592,-1.092863,1.151595,3.268591,0.720596,-0.328125,0.011658,-0.008592,0.063092,-0.516241,0.672227,-0.070592,-0.577096,-0.222546,0.266267,-2.397501,-0.010033,0.860895
equation,0.85106,1.006878,-1.686483,-0.677237,-2.207449,-1.388751,2.288225,-0.09281,0.873555,0.164587,0.822573,0.540978,0.668919,1.407754,-0.537669,0.31988,-0.060825,2.073913,-1.199964,-0.039784,1.285499
first,0.987614,-1.266826,-0.816356,0.231495,-1.05026,0.227229,2.689202,0.827842,0.729437,1.031379,0.92905,0.300693,-0.195424,0.833032,0.033923,0.377682,-0.582758,0.607451,-1.695501,-0.80272,0.578174
vector,1.487183,1.396223,-0.220387,-0.491073,-1.019277,0.31083,3.589858,-0.380347,0.799072,0.321408,1.035383,-0.271502,1.070578,0.210578,0.409315,-1.541762,1.026439,0.662447,-0.555685,-1.11601,1.443723
algebra,0.281873,0.322913,0.192728,-0.378758,-1.66708,0.365835,2.028842,0.019245,-0.07019,-0.076314,1.377565,-1.83586,-0.429167,1.512512,1.472972,-1.71264,-0.844838,0.993276,-1.770462,-1.80063,0.732195
$\mathbb{N}$,0.207723,1.163793,0.871163,-0.802308,-0.418535,1.104393,3.848673,0.288329,0.110277,-0.408915,0.379245,0.387788,0.019101,-0.465353,1.005277,1.197531,-0.720118,0.833931,-1.511384,-0.534443,0.672789
field,0.517629,0.584829,-0.477744,-0.208742,-0.829035,-1.262255,2.756039,0.599033,-0.267388,-0.634121,1.295464,-1.397032,0.377597,1.781849,0.427926,-0.040344,0.912872,1.038744,-1.583861,-1.304737,1.083817
element,0.829528,0.571919,0.560057,-0.342847,-0.610314,1.320685,3.273743,-0.103434,-0.167171,0.198106,1.03159,-0.359564,-0.111263,0.985204,0.496684,0.248636,-0.346321,0.302021,-1.181808,-0.992459,1.264441
system,0.415582,-0.151335,-0.440337,-0.177855,-0.689483,-1.631483,3.022777,-0.140038,0.193553,0.91249,0.192729,-0.339072,-0.572936,1.556821,-0.471605,-0.239791,-0.590735,-0.070836,-1.62057,0.146972,1.173265
matrix,2.19462,0.687295,0.125939,-1.746728,-1.415032,0.174522,2.495879,-0.293975,0.323436,-0.104238,0.30181,-0.06294,1.730144,0.318465,1.230746,-0.799442,-1.180819,0.892724,-1.09317,-0.847905,1.949696
mathematical,1.120971,-1.084024,-0.229682,0.589441,-1.176311,-1.692408,1.452223,0.854196,0.23828,1.697543,1.591452,-1.71859,-0.379114,1.090338,-0.448814,0.022367,-0.504818,0.076038,-2.556391,-0.87802,-0.327756
method,1.551609,0.118937,-0.839995,-1.145213,-1.648676,-1.540549,2.218941,1.117149,1.606126,1.108226,-0.813588,-0.03907,0.222383,1.113102,-0.66891,0.311125,-1.180015,0.585158,-0.954268,-0.34295,-0.138084
finite,0.14862,0.766984,0.842212,-0.674332,-0.488663,0.79383,3.211855,0.608665,-0.092729,0.417086,-0.14697,-1.099473,-0.320013,1.66506,0.664818,-0.133287,0.104086,1.359738,-1.601278,-1.155887,0.765545
result,0.499516,-0.845319,-0.461509,-0.517895,-1.450486,-0.001317,2.734703,0.654997,0.56699,0.599224,-0.388986,-0.030435,0.176161,0.551562,-0.1116,0.64263,-0.12602,0.904753,-1.276576,-0.999209,0.697337
vertex,1.204899,-0.314738,0.379158,1.022949,0.142627,2.868049,3.642031,-0.802464,0.225756,-0.388651,-0.95914,-0.283891,0.572051,-0.090945,-0.979727,0.776366,-1.468482,0.455514,-1.52241,0.352773,0.497251
term,0.567776,0.030164,-0.335828,-1.263924,-1.10158,-0.194689,2.97902,0.441349,-0.022558,0.722367,0.638934,0.591856,0.304841,1.046643,-0.499226,-0.267989,-0.281713,0.356824,-1.359825,-1.263146,0.891366
line,0.605577,0.229475,-0.572832,0.686968,-0.75061,1.061448,4.017643,-0.890837,1.448024,0.239485,0.595131,-0.264169,0.640891,0.531745,-1.097585,0.382649,-0.106483,0.31703,-0.245613,-0.642778,-0.615445
model,0.460917,-0.326451,0.504153,0.221146,-0.192549,-1.993327,2.863678,-0.264445,0.701264,1.193671,-1.144771,-0.909048,-0.498816,0.365617,-0.819472,0.077233,0.214342,0.735284,-1.417546,-0.420262,1.331322
real,-0.063472,0.810173,0.132238,-1.301038,-0.958898,0.346407,3.040034,0.254422,0.178778,0.864554,0.792655,-0.426966,0.726169,0.874464,0.079663,-0.252242,0.408104,1.110986,-1.289652,-1.132101,0.336358
property,0.63407,-0.566029,0.690165,-0.913477,-1.217165,0.268633,2.862052,-0.358027,0.131661,0.109337,-0.561898,-0.706004,0.072196,1.291638,-0.255632,-0.383154,0.686245,1.082786,-1.482802,-1.413384,0.661272
geometry,0.227617,-0.139087,-0.892057,0.896478,-1.659534,-0.532738,2.395099,0.575541,0.220988,0.427147,0.590104,-2.039529,0.536061,0.988947,-0.893073,-1.137813,-0.228506,1.472109,-1.606881,-0.350407,-1.114865
complex,0.033442,1.240065,-0.411808,-0.773601,-0.751867,-0.195643,3.280719,0.761495,0.2324,0.084972,0.37979,-1.205519,0.669015,0.950747,0.319532,-1.1063,-0.013587,1.25456,-1.109897,-0.973602,-0.037842
linear,1.624802,1.013175,0.229882,-1.133144,-1.294276,-0.397138,2.653885,0.012495,1.007702,0.928253,0.015424,-1.095873,0.856432,1.228234,0.74919,-0.527298,0.096415,0.800332,-1.347665,-0.070212,1.047501
polynomial,0.828854,0.782412,0.635384,-2.177363,-1.48324,-0.032669,2.236717,0.73806,0.341287,0.060636,0.243074,0.372388,0.451501,1.833338,1.374164,1.094154,-1.515138,1.893619,-0.879672,-0.852154,0.499285
algorithm,1.262417,0.004344,-0.236884,-1.450761,-0.93912,-0.885257,2.390079,0.975493,1.860583,0.743868,-2.073138,-0.255168,-0.412313,1.1842,0.754903,1.500682,-2.158268,0.367243,-0.960036,0.146193,0.259998
mathematician,1.132105,-1.968799,-2.109979,0.177578,0.897095,-1.174961,1.521703,1.944671,-0.67633,1.928482,1.838985,-1.376137,-0.522978,-0.046893,1.196551,0.080642,-0.363881,1.090746,-1.440349,-0.335404,-1.620381
definition,0.336085,-0.101904,0.384254,-0.873035,-1.437804,0.386816,2.773854,0.055888,0.441987,0.823884,-0.057392,-0.600967,-0.449829,1.046972,-0.041715,-0.706456,0.296715,0.771606,-1.158476,-1.683449,0.415825
product,1.155881,-0.000531,0.489117,-1.11799,-0.806817,0.642594,3.128395,0.150562,0.198185,-0.672078,0.477842,0.068063,0.222714,0.274665,0.77949,-1.661723,-0.007312,0.147952,-1.166445,-1.611149,0.428717
state,1.02531,-0.58244,-0.93291,0.192241,0.623831,-0.195776,2.272215,0.504614,0.662974,0.970162,0.631276,0.045003,-0.949864,1.393755,0.236899,0.633246,0.871697,0.930449,-1.823773,-0.09568,1.156859
sequence,0.167583,0.645691,0.71058,-1.292969,-0.051165,0.801059,3.0171,1.405952,-0.041435,0.824103,-0.195673,0.792237,-0.590138,0.369817,0.654346,-0.10544,-0.698357,1.241633,-1.219765,-0.769793,0.342221
distribution,0.999808,-0.141141,0.877615,-1.751581,0.554953,-1.810745,2.893985,-0.539816,0.254318,1.636758,-0.282221,0.76031,1.302059,-1.029045,-0.692317,0.004739,0.005029,1.888916,-0.939307,-1.626592,0.96615
variable,1.094203,0.647191,0.543171,-1.226112,-0.796662,-0.582772,2.624545,-0.555116,0.367837,2.116084,0.891506,0.522764,0.627553,0.11428,-0.566843,0.41949,0.098074,0.528052,-0.881222,-1.332518,2.163154
solution,0.403403,0.077061,-0.836113,-0.853982,-1.855623,-0.229298,2.599254,0.300103,1.102657,0.883527,-0.220672,0.239939,0.950979,1.309093,-0.276476,1.141751,0.185749,1.267379,-1.127693,0.192881,0.750332
square,1.260881,-0.290372,0.029638,-0.881332,-1.01202,0.781386,3.547711,0.055134,-0.169006,0.220322,0.075154,0.983497,1.451314,-0.455529,-0.329952,0.056529,-1.418362,0.675254,-1.038061,0.102927,-0.734213
map,1.040299,0.771034,-0.038502,-0.207523,-0.371316,0.635856,3.391856,-0.288485,1.540886,-0.128602,0.082432,-0.748317,-0.090667,0.691957,0.969271,-1.168109,1.361489,0.452442,-0.343599,-1.051168,-0.005541
class,0.391098,-0.301279,0.762516,0.143704,-0.730476,0.105326,2.738766,0.583862,0.138857,-0.127451,0.482999,-0.942706,-0.573681,1.59973,1.257736,0.337165,0.785922,0.233413,-1.686325,-0.53019,0.348967
integer,0.237227,0.415519,0.792967,-1.650458,-1.205503,0.347207,3.219472,0.574145,-0.319861,0.121841,0.838167,0.554509,0.229982,0.768999,0.798765,1.319478,-0.694624,0.563301,-1.755014,-0.766951,0.037907
mean,0.491903,-0.039203,0.318619,-1.146664,-0.636325,-0.198205,3.279995,0.111643,0.238325,0.934216,0.126137,0.270705,0.519264,-0.245019,-0.482696,0.300226,0.66786,0.198814,-1.037022,-1.223032,0.42867
proof,0.295809,-0.944159,-0.165961,-0.418105,-2.475687,0.398418,1.826825,0.530219,1.201884,0.987547,-0.415307,-0.117207,-1.29646,1.270325,-0.157787,0.748574,-0.209941,1.174486,-1.361131,-1.175611,-0.060453
three,1.012756,-0.984319,-0.529037,1.096686,-0.753922,0.948859,3.44077,-0.072488,0.07199,0.173895,0.729073,-0.103625,0.895315,0.571959,-0.532796,0.464194,-0.878004,0.553357,-0.896873,-0.362498,0.357829
dimensional,-0.175886,0.986214,-0.142451,0.563885,-0.864017,0.169988,3.774844,0.149284,-0.089206,0.104824,-0.238193,-1.013671,1.054265,0.370275,-0.168609,-0.992249,-0.066902,1.60654,-1.156244,0.083873,0.57491
zero,0.439207,0.633924,-0.161597,-1.318657,-0.410171,0.738126,3.090023,0.6689,0.144468,0.176918,0.940181,0.812009,0.964083,0.747726,-0.151625,0.764876,0.552477,0.687473,-1.136274,-1.268403,0.787077
algebraic,0.144038,0.629709,-0.095572,-0.21975,-1.734395,-0.210559,2.261684,1.065623,-0.026759,0.297097,0.919784,-2.171978,-0.378502,1.879879,0.646429,-0.353148,0.112201,1.209181,-1.420646,-1.078538,-0.529432
formula,0.871915,-0.468707,-0.034446,-1.530271,-2.115765,-0.058025,2.311887,-0.357054,0.756581,0.269463,0.637356,1.659856,-0.741632,1.159343,-0.46543,-0.093097,-0.296012,1.390867,-0.909915,-1.167631,-0.082705
ring,-0.418254,0.582675,0.52783,-0.967949,-0.489028,1.070814,2.197321,0.326719,-0.479212,-1.147186,0.899266,-1.518729,0.230807,1.828443,1.38115,-0.442176,-0.52983,0.591619,-1.015218,-2.151969,-0.015809
edge,1.306483,-0.321366,0.17114,0.799558,0.376916,2.453504,3.374574,-0.780214,0.400015,-0.34818,-0.988267,-0.448749,0.892413,-0.01199,-0.850885,1.060158,-1.2887,0.553642,-1.217716,0.262619,0.728938
sum,1.090309,0.228674,0.796293,-1.278661,-1.047844,0.882807,2.880184,0.742972,-0.166132,0.121388,0.821392,1.179101,0.696809,0.478274,0.010267,0.300207,-0.309279,1.097015,-1.37266,-0.972015,0.309807
plane,-0.227381,0.59977,-1.143454,0.73602,-0.954696,0.948255,3.84057,-1.23434,0.522588,-0.187696,0.395447,-0.616645,0.822556,0.478277,-0.900721,-0.633275,-0.141645,1.443,-0.189037,-0.30115,-0.771545
analysis,0.811285,0.479833,-0.150787,-0.703579,-1.25187,-2.317961,1.319621,0.706416,0.877855,1.468986,0.027595,-1.511358,0.507324,0.704165,-0.428786,-0.378231,-0.431186,0.908049,-1.922318,-0.794447,0.465722
dimension,-0.082602,1.046692,-0.086126,0.384857,-1.476647,0.637814,3.115086,0.72065,-0.246719,-0.559892,-0.156624,-0.990308,0.75701,0.031991,-0.503712,-0.206534,0.261832,1.517392,-1.356914,-0.673074,0.168586
curve,0.141693,0.987453,-0.708207,0.008176,-0.342301,-0.279158,3.150661,-0.00632,1.261735,-0.202678,0.279506,-0.168924,0.908755,1.49725,-0.473333,0.668531,0.453198,1.618142,0.263428,-0.283132,-1.557532
type,-0.034038,0.217471,0.787871,-0.118684,-0.729384,-0.470441,3.101055,-0.56504,-0.088482,0.532012,-0.174247,-0.467009,-0.638348,0.80746,0.053474,-0.126434,-0.458778,0.552623,-1.12043,-0.675925,1.060947
operator,1.064724,0.758359,-0.259364,-1.536317,-0.613137,-0.328019,1.827963,-0.66057,0.730595,0.053025,0.459835,-0.106635,0.14988,0.929897,0.765485,-1.81813,0.279742,1.096675,-2.065668,-0.828595,1.4501
