word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
number,-0.816792,0.660152,-0.411632,0.796603,1.303452,1.072685,-0.249884,-0.355343,0.491075,-0.295125,-0.707574,-0.061634,0.028338,-1.002097,0.802918,-0.102943,0.941625,0.411263,0.163731,-0.172029,-0.645934,-0.629184
function,-0.567872,0.596122,0.309986,1.396897,0.116786,-0.158778,0.407782,-1.028964,-0.098399,-0.159299,-2.335382,-1.435292,-1.608354,0.107103,0.331969,0.659251,0.97571,0.100409,0.770921,-0.518142,-0.895208,-0.914283
one,0.017787,0.398245,-0.618992,0.856432,0.575795,0.961582,-0.12002,0.229674,0.973963,-0.098335,-0.171917,-0.455054,-0.359504,-0.432933,0.993704,-0.311803,1.10494,0.160415,0.612674,-0.309559,-0.139055,-0.188923
set,-0.459945,0.261941,0.154283,1.294603,0.436603,1.256406,0.032696,0.475033,0.28015,-0.271495,-0.478839,-0.589849,-0.411088,-0.282476,0.907901,-0.27232,0.82833,0.235425,0.651697,-0.307816,-0.549732,-0.001739
group,-1.016389,0.248478,-0.640729,1.23513,-0.191798,0.238318,-0.343851,0.118829,0.479212,-0.072395,-0.146579,-0.752506,0.231956,0.120927,0.907788,0.285249,1.068165,-0.338993,-0.199567,-1.279864,-0.024221,-0.105687
space,-1.312422,0.590911,0.552918,1.152325,-0.440357,1.436353,0.533818,0.258462,0.877286,0.051902,-1.313726,-0.325838,-0.574316,0.193562,-0.262461,0.124992,1.249001,0.276411,0.838608,-0.562579,-0.181251,-0.111496
two,-0.288138,0.401733,-0.921854,1.288124,0.599813,0.804758,-0.116063,0.119915,0.97324,-0.077377,-0.326798,-0.105388,-0.159185,-0.323038,0.9364,-0.578927,0.892739,0.131781,0.995004,-0.071735,-0.034036,-0.311068
theory,0.2316,0.63199,1.362339,1.249294,-0.984066,0.376419,0.16428,-1.017537,0.622367,-0.41138,-2.077514,-0.133033,-0.273837,0.041546,0.163027,1.856244,0.816284,0.666445,-0.215863,-1.289407,-1.336051,0.889922
point,-0.390799,0.727899,-0.705304,1.610537,0.867025,1.134819,0.298699,-0.024042,0.397076,-0.296413,-0.381947,0.240562,0.790413,-0.564815,0.409894,0.126669,0.765832,1.265364,0.951181,-0.488195,-0.170112,-0.605399
theorem,0.425551,0.065667,1.416698,1.810846,-0.864409,0.529259,1.643388,-0.280278,-0.647984,-0.467917,-2.636028,-0.55471,-0.418174,0.19729,0.646888,2.492671,-1.567959,0.986953,0.916711,0.275694,-0.938319,0.54809
example,-0.337724,-0.33106,0.040248,0.439445,0.269179,0.642881,0.124885,-0.548264,0.711218,-0.436303,-1.594464,-1.041624,-0.743914,-0.60309,0.476126,0.311893,1.075217,0.326888,0.394453,-0.475096,-1.136497,-0.293896
form,-0.529358,-0.160743,-1.066789,0.769675,-0.226212,0.5658,0.288868,-0.542291,0.746884,-0.337815,-1.504383,-0.890627,-0.34241,-0.418903,0.678704,-0.24073,0.762534,-0.130056,0.670139,-0.831856,-0.486303,0.006332
define,-0.639619,0.202155,0.189801,0.878008,0.225402,0.132455,0.755012,-0.767747,-0.167812,-0.624008,-2.008664,-1.086308,-0.278356,-0.403647,0.259802,0.738451,1.052696,0.743063,0.411087,-1.084996,-1.284321,-0.50352
graph,-0.497123,0.041317,1.188518,0.512103,-0.432649,0.90339,1.557352,-0.455406,-0.60208,-0.899812,-2.253871,-0.86077,-0.163808,0.494094,0.012132,1.860034,-0.434474,0.735679,1.241952,0.090498,-1.006185,-0.704342
value,-0.29269,0.294753,0.451867,0.737981,0.857077,1.075403,0.313691,-0.392678,-0.013206,-0.319841,-1.760682,-0.991382,-0.330625,-1.479894,0.557887,1.193368,1.020793,0.768208,-0.280216,-0.592556,-1.161116,-0.98395
problem,0.405274,0.315189,0.361056,1.435077,-0.040399,0.663371,-0.143944,-0.344249,0.064687,0.295182,-1.108586,-0.304605,-1.030666,-0.418362,-0.26973,0.905015,1.340119,0.554003,-0.178637,-0.94956,-0.791173,-0.354214
