word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
number,-0.257744,0.605837,1.01195,1.66915,-0.274383,0.325623,-0.918122,0.937567,3.143106,0.734292,0.388341,-1.70259,0.469317,-0.439818,-0.188517,0.842497,1.237219,0.85948,-0.488395,2.659746,-0.331846,-0.792338
function,0.440055,0.047762,0.590809,-0.682269,0.891218,0.293115,-1.052766,0.779556,2.714435,0.113948,0.706076,-0.333954,-0.189649,0.881196,1.458988,0.849499,3.102987,2.066759,0.497709,1.756415,-0.207953,0.323943
one,0.339645,0.41585,0.336867,1.50995,-0.75169,0.791935,-1.445616,0.381801,1.994068,0.869999,1.180813,-0.754287,0.146598,-0.761389,0.486482,0.561974,2.573288,-0.008069,0.217953,1.668407,-0.692966,0.219356
set,-0.285813,1.766455,-0.643153,-0.122917,0.03329,0.181727,-0.911183,0.040522,2.397509,1.162005,0.012786,-0.757377,0.682709,-1.478947,-0.072201,0.349361,2.564448,1.091789,0.268508,2.428667,-1.653431,0.395881
group,0.525621,-0.022391,-0.17417,2.435911,-1.714313,0.645984,-0.31051,1.173506,2.052556,0.220105,0.620868,-1.463389,1.554957,-1.342498,0.355899,1.647798,0.789355,1.81478,1.792382,0.456619,-0.680421,1.621342
space,0.303829,-0.311934,-0.036667,-0.36292,-0.631959,1.221043,-1.687892,-0.363364,2.045951,1.240493,0.080812,0.017512,0.977388,-1.308237,0.263453,2.103644,2.681504,0.813975,2.131904,1.199478,-0.310983,1.38254
two,0.093826,0.219237,0.576871,1.823549,-0.712625,1.120171,-1.667906,0.364456,2.173758,0.89761,0.962422,-0.731317,0.067691,-1.498597,0.476513,-0.074868,2.511888,-0.079529,0.315522,1.357612,-0.588084,0.173004
theory,0.145985,-0.672447,-1.644835,0.337498,-0.419228,1.249096,-0.011854,0.486565,1.109881,0.937676,0.612278,-1.922498,1.662398,-0.357149,0.47927,0.886344,1.300193,1.809207,0.671071,2.96492,0.151244,0.879303
point,1.848162,-0.053788,0.823316,0.420498,-0.788917,0.668737,-1.581293,-0.317606,2.253722,0.860254,0.595681,-0.807579,0.008111,-1.719286,0.518816,-0.313713,2.386187,0.5564,-0.089678,1.225077,-0.673128,-0.026127
theorem,0.314319,-0.068533,-0.802864,0.604627,-0.028534,-0.892067,-0.199201,-0.116145,1.754892,2.286582,0.343638,-1.745517,0.531149,-0.727563,0.850688,1.339984,2.415956,1.441178,-0.560548,1.698665,1.600577,1.09097
example,0.397957,0.569024,0.121044,0.698083,-0.485738,0.69692,-1.126338,1.047746,2.282372,0.363507,0.719405,-0.529719,0.493422,-0.373896,0.536848,0.612822,1.817267,0.43098,0.282339,1.771223,-0.245755,0.975697
form,-0.222113,0.165158,0.858198,1.05316,-0.565196,0.702426,-1.633931,0.831764,1.873546,0.297436,0.448043,-0.681428,0.252057,-0.673012,0.277945,-0.113216,2.610047,1.314938,0.455487,1.180233,0.181591,1.070253
define,0.440476,0.464629,-0.050471,-0.165088,-0.565178,-0.077484,-1.507913,0.796807,2.251331,0.592119,0.694946,-0.495205,0.23808,-0.402433,0.532271,0.378414,2.905057,1.498442,0.857008,1.047679,-0.453252,0.871953
graph,-0.40065,1.537304,-0.604476,1.829589,-0.097698,0.212093,-1.317549,-1.425299,2.192202,1.300399,0.762906,-0.884804,1.466715,-1.860517,1.176495,0.092313,0.822595,1.297437,-1.288147,1.359113,-0.712972,0.612474
value,0.627273,0.409079,0.057222,0.23735,0.142036,0.201886,-1.424419,0.791585,3.031196,-0.583328,0.697523,-0.861803,-0.339716,0.599805,0.658976,0.42004,2.563992,-0.133019,0.170184,1.790672,-0.608002,-0.416717
problem,0.20681,0.141088,-0.222103,1.330554,-0.495718,1.102541,-0.491842,-1.047492,1.727132,0.619289,1.035105,-0.477295,1.133048,0.378677,0.788885,0.316898,1.579686,0.702837,-1.512895,2.878437,0.198095,0.276301
mathematic,0.118181,-0.382452,0.083425,1.625948,0.515173,1.988443,1.168279,0.665757,-0.23431,0.686121,0.295965,-1.329227,1.203815,-0.563021,1.211956,0.612668,1.89154,1.076997,0.543039,2.445416,-0.300007,-0.267634
order,-0.849159,0.785572,0.785674,1.665661,0.01344,-0.444328,-1.013449,-0.159832,1.909676,-0.159099,0.734643,-1.732934,0.241354,-0.576738,0.344266,0.375527,1.665944,1.064361,0.87379,2.111983,-0.856519,1.01837
equation,1.580909,-1.283745,0.015049,1.118082,-0.457077,0.875644,-0.791956,0.251602,1.853407,0.027382,1.490529,-0.33266,-0.695463,1.392084,0.303309,-0.396107,2.166874,1.913764,-0.018979,2.173223,1.017442,1.166077
first,-0.187644,-0.144995,0.311049,1.710694,-0.141084,0.391785,-0.663704,0.528598,1.060781,1.150861,0.639207,-0.830468,0.129747,-0.072072,0.44896,0.420003,2.44214,-0.08379,0.445852,2.567205,-0.175102,-0.258687
vector,0.793244,-0.001376,-0.236471,0.469493,-0.768444,0.788298,-2.109187,0.240712,2.527315,0.06135,0.265275,0.311114,0.328943,0.062018,-0.153986,-0.179494,3.377439,0.60516,2.144062,0.427766,0.070995,0.802169
algebra,-0.266784,0.377328,-0.556886,1.514914,-0.546472,0.745772,-0.484802,1.575935,0.232435,0.004182,-0.546291,-0.591812,1.25591,-0.502859,-0.031645,1.161279,2.681733,2.289433,1.917964,0.978379,0.014996,1.750242
$\mathbb{N}$,0.323772,0.432064,0.389681,1.188561,-0.722451,-0.621717,-2.134801,0.945942,3.263335,-0.610406,-0.43091,-0.307451,-0.292725,-1.084157,0.165946,1.112524,1.288447,0.731223,0.078826,1.435186,-0.89789,0.034948
field,0.591856,-0.511354,-0.644541,1.041416,-1.597273,1.485033,0.092703,0.953727,1.983499,-0.159065,1.171691,-0.9213,0.826712,-0.038561,0.537774,0.553726,1.933011,2.064341,1.059735,0.94225,0.154724,0.215655
element,0.232437,1.182937,0.041323,1.454952,-0.321757,0.129824,-1.202308,0.699395,2.067948,-0.183614,0.411552,-0.840884,0.225698,-0.732378,-0.188509,0.276139,2.129029,1.082133,0.93559,1.009923,-1.323249,0.244066
system,0.084135,0.231966,0.131373,0.265789,-0.088689,1.297955,-0.670676,0.494458,1.578737,0.285764,1.828517,-0.360649,0.942979,0.30121,0.809897,-0.715713,0.929915,0.651009,0.846872,2.878135,-0.257395,0.795112
matrix,0.117495,0.352543,-0.427556,2.135758,0.791626,0.310624,-2.263981,0.303609,2.363597,-0.751296,0.530699,-0.318062,0.466533,1.35557,0.384265,0.7187,2.536485,0.951179,1.23392,-0.116456,0.005453,0.971285
mathematical,0.105854,-0.13696,-0.324349,1.62611,1.066327,2.255633,1.345824,0.537083,0.492947,0.449693,0.24754,-1.332227,1.46221,0.13579,0.822276,-0.07134,1.646336,0.567498,0.677432,2.835166,-0.042016,0.1725
method,1.125894,-0.073781,-0.065877,0.760966,0.623212,0.511743,-1.476408,0.22268,1.234869,0.578416,1.210671,-0.682445,1.272502,1.64984,1.49164,0.067601,1.894618,0.430614,-1.03314,2.277735,0.887647,0.274313
finite,0.13907,0.772612,-0.27853,0.304438,-0.436025,0.24485,-1.15241,0.350737,2.243866,0.3441,0.484145,-1.099875,1.186582,-0.587868,0.236488,1.660264,1.593294,1.841694,0.532527,1.145347,-1.027611,0.675201
result,0.55529,0.104193,-0.291007,0.851882,-0.478879,0.268117,-0.82795,0.540981,1.604261,0.816844,1.079827,-1.122206,0.334249,0.085463,0.586153,1.154181,2.054348,-0.320896,-0.244786,1.992998,0.280657,0.679685
