word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
number,0.11275,-0.867465,-0.483884,0.36165,-1.103451,-0.150125,0.428573,-0.534884,-0.116384,-0.764427,-0.425024,0.778409,-0.553214,0.962114,0.321818,-0.823672,0.99882,-0.010017,0.3565,-0.323903,-0.212801,0.873209
function,-1.069108,0.275068,-0.290031,0.434204,-1.340173,0.255611,-0.28227,0.648454,-0.815803,-1.507313,0.789519,-1.340975,-0.237983,0.489879,-0.022623,-0.767449,1.997373,0.015735,-0.400915,-0.031298,-0.059308,1.248644
one,-0.01727,-0.544682,-0.523973,0.292592,-1.037038,-0.534315,0.004309,0.221938,-0.493244,0.062171,-0.352424,0.456305,-0.271652,1.431353,-0.027602,-0.791583,0.35023,0.110607,0.066383,0.193277,-0.861338,0.546623
set,-0.048863,-0.386969,-0.403754,0.486595,-0.581443,-0.38086,-0.123877,-0.123624,-0.606589,-0.080624,0.192499,0.543997,-0.399323,1.35348,0.246257,-0.351876,0.458137,0.224379,0.072457,0.720305,-0.46253,0.983805
group,0.232588,-0.70034,-0.577178,0.499098,-0.388226,-1.056766,-0.313947,-0.089938,0.077063,-0.126648,0.341074,-0.881965,-0.855165,1.317178,0.781668,-0.457299,0.737423,0.134142,-0.043279,-0.023447,-0.483049,-0.112015
space,-0.05006,0.225305,-0.282356,1.220564,-0.525545,-0.178992,-1.393691,0.243639,-0.406309,-0.516879,0.968122,0.796287,-0.279131,0.841258,0.732886,-0.768345,0.981047,0.837748,-0.54626,0.145439,-0.213855,0.885033
two,0.06651,-0.912903,0.016651,-0.038992,-1.187496,-0.526402,-0.494281,0.191127,-0.193696,0.148251,-0.561069,0.520841,-0.206885,1.418808,0.093365,-0.821375,0.536552,0.206496,0.00377,0.180454,-0.861983,0.682304
theory,0.402666,2.002787,-0.386735,0.589614,0.187179,-0.362471,-0.109141,-0.292137,-1.134627,-2.043473,1.136485,-0.550315,-0.220432,1.594185,-0.8284,-0.148307,1.854447,0.439573,-0.652716,-0.518992,0.70919,-0.275209
point,-0.029949,-0.544918,0.330984,0.128309,-1.759635,-0.511298,-0.436151,-0.680101,0.495894,-0.730361,-0.468081,1.04027,-0.540519,1.412612,-0.436579,-0.275401,0.630143,0.675136,0.323063,-0.38359,-0.488631,0.443894
theorem,0.026912,1.567865,0.894117,0.140151,-0.123131,0.781638,-0.110948,0.181281,-0.110064,-2.185878,0.432404,-0.859896,0.728801,0.136583,-1.718888,0.87855,1.616914,1.177029,-0.265189,0.950678,1.040846,-0.306026
example,-0.083272,0.050773,-0.952531,0.468932,-0.86989,0.327579,-0.112484,0.275083,-1.290048,-1.381563,-0.042021,-0.306889,-0.611015,0.701528,0.174302,-0.675828,1.18559,0.265683,0.217294,0.300227,-0.272722,0.574624
form,0.252866,-0.516742,-0.229233,0.003963,-1.078371,-0.130537,-0.734433,0.751028,-1.127713,-0.832767,0.074284,-0.406245,-0.438824,1.058429,0.346622,-0.854273,1.258988,-0.095512,0.247652,0.217017,-0.389949,-0.257676
define,-0.122038,0.295001,-0.412558,0.411369,-1.234218,-0.06463,-0.196149,-0.284883,-0.953503,-2.086901,0.671836,-0.734768,-0.905816,0.604331,-0.294664,-0.24601,1.510062,0.313644,0.5263,-0.409513,0.147125,0.329416
graph,-0.377548,1.015724,0.487493,0.624135,-0.523062,0.868666,-0.504413,-0.033644,-0.086567,-2.140238,0.339017,-0.638885,-0.569998,-0.307517,-0.848455,0.015508,1.233459,1.082329,0.138843,0.645406,0.951895,0.382865
value,0.117165,-0.368577,-1.159824,1.22136,-1.320683,0.153394,0.688004,-0.487255,-0.500528,-2.074018,0.263292,0.16207,-0.294652,0.629442,-0.606662,0.041879,1.880045,0.549731,0.583954,0.126316,0.091586,0.469286
problem,-0.562692,0.405993,-1.015462,0.606976,-0.887256,-0.425179,-0.146518,0.187439,-0.513702,-1.208098,0.773408,-0.070074,0.058299,1.118893,-0.142151,0.655566,1.128515,-0.132223,-0.640671,-0.746863,-0.182338,0.805625
mathematic,-0.101768,1.596631,1.255363,1.715058,0.559079,-0.89685,0.319981,-0.367789,-0.517985,-1.200158,-0.128244,-0.787386,0.887977,0.315759,-0.621671,-1.26938,1.486933,0.516877,-0.554541,-0.608199,0.472639,0.22573
order,-0.222234,-0.517622,-0.832649,-0.796624,-1.124947,-1.387648,0.152714,0.137416,-0.744952,-0.323884,-0.037342,-0.135298,0.0061,0.957327,0.072326,-0.591142,0.797989,-0.549799,-0.186154,0.237173,0.268456,0.844
equation,0.098054,1.387467,0.625734,-0.349521,-0.396672,1.167809,-0.637692,0.251532,0.009387,-2.197083,0.727741,-0.495979,0.398525,1.159496,-1.534359,0.534374,2.697065,1.352645,-0.910789,0.507483,0.717499,0.130222
first,0.012433,-0.822916,0.124162,0.185559,-0.345277,-1.123201,0.053422,-0.232263,-0.14526,0.451682,-0.599647,0.228002,-0.512475,1.354581,0.070766,-0.768912,0.337996,-0.117388,-0.462702,0.491795,-0.532667,0.479584
vector,-0.66325,0.855478,-0.345052,-0.086465,-0.916396,1.352737,-0.978526,0.30151,0.413448,-2.031535,0.45142,-0.710495,-1.24736,0.096021,-0.401597,-0.332175,1.549377,0.959302,-0.773148,0.252985,0.98361,0.816638
algebra,-0.0593,1.727194,1.694701,0.907223,-0.405633,0.711367,-0.084606,-0.226856,-0.32231,-1.923301,0.183287,-1.139699,1.042665,-0.023956,-0.929857,-0.635289,1.405599,1.265634,-0.235454,0.5247,1.54271,0.312413
$\mathbb{N}$,-0.164853,-0.670104,0.256473,-0.485673,-0.541104,1.934923,-0.456807,-0.834841,0.098389,0.163785,-0.129339,-0.856438,-0.24337,1.258901,0.781987,-0.304611,1.004271,0.682221,0.330299,-0.010956,0.598216,0.546636
field,0.107738,-0.108242,0.546077,0.470355,-0.284541,-1.225218,-1.440381,0.279607,0.529595,-0.450889,-0.206597,0.239049,-0.375058,1.419904,-0.230916,-0.869341,1.301049,-0.045693,-0.433679,-0.576937,-0.336484,0.326408
element,0.544327,0.748063,-0.551869,0.256441,-0.649968,0.178389,-0.452265,0.722559,-1.258655,-1.584874,0.564371,0.002533,-0.579092,1.343564,0.611039,-0.890237,0.958866,0.349845,-0.0719,0.4122,-0.132644,0.551841
system,-0.377336,-0.373907,-0.644938,0.781939,-0.518732,-0.574837,-0.983115,0.276996,0.123705,-1.443086,1.071993,-0.289552,-0.90831,0.323385,0.815805,-0.702113,2.218835,0.345509,-0.368472,-0.081291,-0.026078,1.56333
matrix,-0.057017,0.564575,0.067547,0.604714,-0.859792,1.575152,-0.673952,0.444229,0.056364,-1.696811,0.439566,-0.786376,-0.149177,0.66176,-0.49613,-0.262847,1.174753,0.834443,-0.522744,0.652839,0.852141,0.524958
mathematical,-0.094397,1.984853,0.859514,1.233616,0.808741,-0.444076,-0.009389,-0.195211,-0.58168,-2.0789,0.024728,-0.801609,0.133035,0.521175,-0.54057,-0.857232,1.730973,0.522446,-0.895586,-0.114523,0.92139,0.383287
method,-0.232176,0.639889,-1.056499,1.108895,-0.371208,0.240472,-0.636573,0.432285,-0.881332,-2.071079,0.147303,-0.705613,-0.223484,0.669374,-0.425828,-0.104136,1.603818,0.159859,-0.613366,-0.116588,0.132075,1.219871
finite,-0.501574,1.381095,0.30641,0.227285,-1.312334,1.158998,-0.305269,0.086739,-0.295228,-2.326316,0.739892,-0.69883,0.192008,0.61157,-0.415721,0.134025,1.854373,1.350396,-0.068382,0.609147,1.330291,0.243158
result,-0.28947,-0.902435,-0.394727,0.030472,-1.599048,-0.73867,0.138613,0.033954,0.194263,-1.055729,-0.165927,-0.296219,-0.694598,1.537121,-0.016932,0.457623,1.041724,-0.370391,-0.688359,-0.372831,-0.622474,0.201818
vertex,0.092855,0.718254,0.948779,0.156342,-1.869606,1.451195,-0.839404,0.370954,0.270841,-1.714722,0.339867,-0.478945,0.13762,-0.391649,-0.68041,-0.57416,0.223019,1.238891,0.461385,0.832417,1.155276,0.399723
term,0.065074,-0.338688,-0.724972,0.34289,-0.904113,-0.6734,0.137341,0.037982,-0.795079,-1.276487,0.427917,-0.662648,-0.523924,1.01535,-0.464587,-0.236289,1.19583,-0.418683,0.380399,-0.291089,-0.30421,0.049703
line,0.081271,-1.096817,0.662208,-0.289342,-1.097334,-0.071383,-0.985841,0.264922,-0.438837,0.029781,0.465557,1.27293,-0.342358,0.73498,0.752086,-0.499102,1.219851,0.426509,0.356269,0.379542,-0.795793,0.500877
model,-0.038084,0.299417,-0.424762,0.856997,0.293775,0.006467,-0.674504,-0.244983,0.20331,-1.003063,0.036586,-0.269624,-0.373197,0.672582,0.094908,-0.294703,1.717073,1.082226,0.0282,0.236411,-0.415481,1.582098
