word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
number,-0.128103,0.289229,-0.647982,0.957786,-0.670741,-0.087491,-0.304441,0.397621,-0.738698,0.61049,0.740898,-0.167089,-0.168003,-0.48603,-0.021058,-0.109631,-0.037553,-0.016222,0.540161,-0.803877,0.012349,-0.271662,-2.051459
function,1.105799,-0.108257,-0.63476,0.912092,-0.703185,-0.017281,-0.386244,0.597324,-1.193999,0.516599,0.89286,-1.671893,-1.120765,-0.768397,0.809336,0.258642,0.053817,-1.63748,-0.522559,-0.655572,1.478988,0.903061,-0.776744
one,-0.095464,-0.182361,0.033278,0.316751,-0.072246,0.047405,-0.677549,0.347331,-0.688305,0.736742,0.11585,-0.475669,0.066658,-0.253996,0.008677,-0.220008,-0.303194,0.530666,0.641543,-0.24065,0.38795,0.398556,-2.003629
set,0.007427,0.11736,0.025559,0.254449,0.090614,-0.231071,-0.958254,-0.146131,-1.047516,0.278574,0.366778,-0.629455,0.084448,0.037002,0.283571,-0.452658,0.407861,-0.039485,0.394389,-0.655555,0.381686,0.324889,-1.662456
group,0.599212,-0.131193,-0.506676,0.774332,-0.074306,0.23294,-0.584862,-0.008682,-0.181543,-0.311063,0.391494,-0.480711,0.955425,0.02192,0.547266,0.174096,-0.388531,-0.392405,-0.246708,0.682182,0.221509,0.338563,-1.951732
space,0.266047,0.296346,0.681534,0.850689,0.652756,0.361266,-0.661245,0.375559,-1.5246,-0.270351,0.492335,-0.187502,0.025573,-0.264216,0.837007,-0.768524,0.149972,-0.743395,-0.566562,-0.819839,1.662613,-0.110355,-1.523351
two,-0.56704,-0.06837,0.075087,0.364303,-0.163497,0.226038,-0.773565,0.458802,-0.288341,0.465301,0.07053,-0.452026,-0.350273,-0.265007,-0.209295,-0.073742,-0.049488,0.345566,0.644358,-0.136749,0.716266,0.224385,-2.334336
theory,1.770704,1.283417,-0.678067,1.859017,-0.515246,-0.425913,-0.634076,0.141284,-1.423735,0.118061,0.471689,0.040158,0.593705,-1.358592,0.480713,-1.535219,0.171336,-0.940274,-0.40215,-0.000667,1.263672,1.353253,0.333368
point,-0.474741,0.561472,0.370415,0.748658,-0.684159,0.621153,-0.896038,0.755784,-0.53942,-0.120169,0.708338,-0.110768,-0.040519,-0.639054,-0.645633,-0.485135,0.038198,-0.202343,0.981445,-0.728599,0.21583,0.151491,-2.031555
theorem,0.426998,1.297513,-0.171344,0.359304,-0.932036,-0.307434,-2.016526,1.263422,-0.934957,-0.379516,0.350653,-0.551894,-1.098001,-1.515865,0.815663,-1.887539,1.97252,-1.807335,-0.800201,-0.320406,0.357733,1.44421,1.330788
example,0.52426,-0.181168,-0.58567,1.286159,-0.323037,-0.303735,-0.779277,0.016303,-1.225467,0.901797,0.455678,-0.562286,-0.573327,-0.817452,0.452292,0.125383,-0.259413,-0.379837,-0.537393,-0.698663,0.40832,0.687954,-1.172408
form,-0.163673,-0.762896,-0.560805,1.500925,-0.170897,0.011873,-0.850232,0.248612,-0.268721,0.404703,0.118713,-0.4951,-0.337804,-0.472415,0.571056,-0.301629,-0.345093,-0.315522,-0.371322,-0.123202,0.747393,0.746717,-1.610759
define,0.576479,-0.107639,-0.945985,1.40835,-0.879881,0.186308,-0.922648,0.195215,-1.147799,0.194096,1.050962,-0.523586,-0.059015,-0.942971,0.3963,0.011499,-0.10439,-1.497124,-0.473449,-1.167273,0.671286,0.934488,-0.690282
graph,0.479014,0.78536,-0.461797,0.695846,0.21604,0.227162,-1.712911,1.291634,-1.414999,-0.462796,0.892484,-0.107363,-1.299445,-1.22477,0.611116,-0.189194,1.008665,-1.870366,-0.556101,-1.105572,0.274711,0.730405,0.610917
value,0.484367,0.358133,-0.520796,1.166255,-1.491887,-0.152425,-0.45358,0.63499,-2.008346,0.982914,1.045264,-0.329982,0.00331,-0.677039,0.459226,-0.423644,0.359015,-0.918137,-0.302702,-1.314,-0.487338,0.275242,-1.13907
problem,1.09178,0.456597,0.565957,0.721321,-0.75135,-0.183071,0.310989,-0.002851,-1.350996,0.660152,0.597178,-0.65308,0.355041,-0.760912,0.011284,-0.55311,-0.013849,-0.955311,-0.227006,-0.336172,0.723104,1.145099,-0.836619
mathematic,0.537503,1.470818,-1.709259,0.417695,-0.047137,0.017785,-0.642394,1.034684,-1.776183,0.427978,0.759866,0.015768,-0.069773,-0.536169,0.271602,-1.562667,-0.090883,-1.05371,0.075338,0.970256,1.73247,-0.098664,0.903635
order,-0.012249,0.038678,-0.313715,0.284005,-0.737909,-0.939337,-0.248474,-0.012693,0.076707,1.055718,0.393067,-0.559572,0.046833,-0.071612,0.816564,0.321449,-0.30203,-0.295504,0.945809,-0.148476,0.957153,1.127309,-1.603003
equation,1.148567,1.871061,0.090103,1.29874,-1.505257,0.490819,-0.849334,1.03357,-0.90515,-0.183029,-0.080006,-0.900844,-1.332962,-0.957052,0.84167,-1.861274,1.594824,-1.586836,-0.829925,-0.98722,1.024171,1.011895,0.49645
first,-0.128605,0.249081,-0.374977,0.053427,-0.063872,-0.215828,-0.419764,0.291765,-0.661895,0.179135,-0.39121,-0.309302,0.249132,0.321104,-0.226701,-0.108669,-0.097301,0.374445,1.186696,0.525532,0.429731,0.185867,-1.983096
vector,1.218077,0.976922,-0.104702,1.297575,-0.222906,0.652495,-0.915778,1.140088,-0.659655,-0.289531,0.74236,-0.568856,-1.593826,-0.814054,1.497406,0.014996,0.901973,-1.692298,-0.456856,-1.195381,0.66115,0.835715,-0.340426
algebra,0.750788,1.44782,-1.545645,0.813721,0.254812,-0.32355,-1.726251,0.965556,-0.57463,-0.079571,1.461476,-0.49705,-1.255388,-1.53917,1.136592,-1.402548,1.301635,-1.448951,-0.663462,-0.054406,1.355928,0.307843,0.878367
$\mathbb{N}$,0.15904,0.51739,-1.128039,0.432895,-0.123913,0.852645,-0.053115,-0.162738,0.302146,-1.041737,0.644589,-0.863557,-1.007486,-0.971042,0.887827,-0.169408,1.111905,0.056509,-0.610435,-0.763716,0.000194,-0.057619,-1.573978
field,0.184459,0.535286,0.109827,0.971477,-0.269216,0.843231,-0.458277,0.868263,-0.51896,0.049616,0.256425,0.231296,0.214308,0.03222,-0.291394,-0.527498,0.346857,-0.521917,0.355808,0.84819,1.690598,0.283269,-1.603139
element,0.721436,0.27051,-0.296949,1.733602,0.386105,-0.456787,-1.26485,-0.327145,-0.648158,0.760689,0.284578,-0.305443,-0.304782,-0.515944,0.810304,-0.605044,-0.312067,-0.54543,-0.691502,-0.934256,0.841599,0.495865,-1.281153
system,1.074696,0.225583,0.197214,1.547297,-0.511726,-0.193657,-0.276982,0.065861,-1.487779,0.228707,0.585039,-0.55164,-0.1484,0.00077,0.504602,1.115719,-0.176928,-1.478292,-0.506813,-0.118909,1.403158,-0.427385,-1.78427
matrix,1.291623,0.891628,-0.338807,1.045501,-0.123879,0.130534,-1.125364,1.168898,-0.757697,0.086616,0.434309,-0.614605,-1.372572,-0.870824,1.021958,-0.640254,1.128909,-1.285832,-0.862712,-1.133149,0.563124,0.499648,-0.519903
mathematical,1.101752,1.752771,-1.537381,1.113921,-0.087828,-0.152904,-0.600393,0.527831,-2.076733,0.419758,0.390807,0.332375,-0.481828,-0.330717,0.337877,-1.280094,0.178252,-1.490815,-0.17182,0.398549,1.417952,0.277737,0.842304
method,1.222007,0.550568,-0.107743,1.104746,-0.48472,-0.092053,-0.097044,0.08872,-1.923272,1.215315,0.350672,-0.289636,-0.717591,-0.369147,0.353907,0.063769,0.285119,-1.1966,-1.00848,-0.413816,1.047493,0.885475,-0.642318
finite,0.592125,1.051505,-0.531782,1.232448,-0.332079,-0.054601,-1.440744,0.873438,-0.85431,-0.226037,1.577074,-0.814357,-1.347239,-1.604069,1.522824,-1.39814,1.379987,-1.783618,-0.838066,-0.973573,0.715852,0.891346,0.174384
result,0.257534,0.11765,0.235244,0.553909,-1.09096,0.15828,0.174054,0.775257,-0.471662,0.321977,0.172112,-0.787629,0.203454,-0.125468,-0.512057,-0.371751,-0.341413,-1.156803,0.571226,-0.222286,-0.145564,1.207835,-2.209471
vertex,-0.286404,0.479383,-0.290666,0.20175,0.74612,0.236315,-1.820424,2.199118,0.33441,-0.279334,1.187457,0.051335,-1.686756,-1.396092,0.853232,-0.163761,0.753591,-1.617463,-0.341771,-2.228065,0.772952,0.3697,-0.050971
term,0.623693,-0.429009,-0.692024,1.026937,-1.029217,-0.209118,-0.415089,0.16842,-0.832908,0.777461,0.421723,-0.4826,0.569949,-0.370549,0.117915,-0.127167,-0.193715,-0.6319,-0.074074,-0.335109,0.349652,1.135806,-0.985271
line,-0.925772,-0.602326,0.58865,1.103822,-0.3657,-0.002949,-0.918716,-0.081146,-0.073657,-0.41211,0.236885,-0.730348,-0.229587,-0.105047,-0.105001,-0.331592,0.058347,-0.032001,0.21388,-0.660828,1.031504,-0.69986,-2.010906
model,0.90981,1.257618,0.170544,0.87315,-0.450702,0.470418,-0.797024,-0.184276,-1.767738,0.196107,0.299756,-0.320144,-0.315768,-0.384283,0.244114,0.411675,0.264535,-0.472053,-0.670966,0.103251,0.760245,-0.4751,-1.163226
real,0.657106,0.140993,0.212003,-0.251036,0.123915,0.159128,-1.012701,0.065399,-1.609699,-0.256706,0.145704,-0.549696,0.708827,-0.401368,0.51395,-0.015976,0.10515,-0.147836,0.12182,-0.3168,-0.070438,0.855166,-1.189838
property,-0.359306,-0.983947,0.186914,0.761293,-1.459739,-0.855438,-0.118624,1.138845,-1.501756,0.47729,0.344453,-0.282706,0.13645,-0.643937,0.971098,-0.04491,0.645688,-0.670694,-0.377164,-0.354528,0.948949,0.520079,-0.833827
