word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
number,-0.382337,-0.649715,0.639963,-1.375401,-1.219035,1.618426,1.933703,-1.27163,-0.514797,0.122148,1.074976,0.465919,1.456115,2.371935,-0.845626,0.104445,1.781502,1.472097,-1.450412,-0.667714,0.60099,-0.206192,-0.522838
function,-0.164143,0.547529,0.908595,0.346892,-0.620789,1.533224,2.960636,0.399744,-0.013956,-0.24013,2.441758,-1.046252,0.284154,1.154921,-0.932097,-0.219452,2.572586,0.190119,-0.454799,-1.168467,0.989268,-1.127128,0.393654
one,-0.555872,0.589045,0.746405,-0.518807,-0.109103,1.220818,1.222415,-0.94693,1.161948,-0.031947,1.416646,-0.405103,0.480937,1.561325,-0.117944,-0.243888,2.08791,1.169693,-2.114799,0.052075,1.180099,-0.132239,-1.30351
set,1.394473,0.19979,0.178316,-0.925417,-0.114059,1.211698,2.177222,-0.620502,0.10656,-1.283225,1.792751,0.198604,0.792901,1.319737,0.668406,-0.337052,1.640997,1.897986,-0.898593,-0.50396,1.774586,-1.089614,-1.431073
group,-0.45069,-1.367366,2.036497,0.924567,1.271009,-0.264295,1.516795,-0.555558,0.745488,0.008142,1.26604,0.286252,0.565159,2.803992,0.032797,-1.267253,1.398767,2.372891,-1.414244,1.173805,0.291155,-0.159102,0.130484
space,0.759031,0.074887,0.952556,0.350457,-0.109147,-1.271011,2.483329,-0.510115,1.964874,-0.150755,1.691103,0.009293,0.942466,0.995936,0.294115,-1.607422,2.803417,1.012314,-0.548534,0.431796,1.821368,-0.332738,-0.442811
two,-0.89803,0.740574,0.47661,-0.377065,-0.262184,1.098404,1.204633,-1.194132,1.29537,-0.217073,1.535717,0.114633,0.513617,1.82565,0.217007,-0.03206,1.53407,1.52323,-1.901053,0.075343,1.508171,0.118256,-1.290128
theory,1.434438,-1.484998,0.689054,0.199852,0.566118,0.689591,1.154723,-0.726855,-0.484371,-0.406589,1.460951,-0.765408,0.124547,3.164127,-0.312602,-1.477957,1.729632,-0.418792,-1.115682,0.439614,1.819701,-0.645871,0.19273
point,-0.590286,1.459532,0.465737,-1.347543,-0.39616,0.18254,1.315205,0.336659,1.492315,-0.224026,2.417926,-0.331303,0.265117,1.769322,0.026759,-0.135927,1.414322,1.09611,-0.904646,0.056788,1.699192,0.178492,-1.153722
theorem,-0.180441,-1.194479,1.604543,-0.658878,-1.671497,0.578846,1.404978,0.28004,0.415791,-2.089405,1.257067,-0.340986,-0.169086,2.14892,0.939383,-0.472653,2.401569,-0.614568,-0.799285,0.32115,1.057621,-0.486426,0.256141
