word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
number,0.169105,0.422668,0.801094,-0.021257,-0.152381,0.168657,-0.312183,-0.330794,-0.12775,-0.3796,-0.094405,-0.602196,-0.23621,-0.277119,-0.668827,-0.134229,1.84811,-0.091507,0.148458,1.486332,0.245676,0.628672,-0.501519
function,0.02788,1.294049,1.591153,-0.25752,-0.930819,-0.230373,-1.060551,-0.025697,0.39433,1.36417,-0.251998,-1.477611,0.562734,-0.821638,-0.096349,-0.607828,0.381527,-0.258391,1.251367,0.296508,1.064933,0.210726,-1.30206
one,0.54004,0.407802,0.100319,0.180855,-0.203001,-0.180309,-0.540072,-0.045155,0.066931,-0.760471,-0.438524,-0.628429,-0.017461,-0.19131,-0.627637,0.445526,1.312667,0.373128,0.819106,0.862452,0.484448,0.367794,-0.141582
set,0.076074,0.992242,0.421971,-0.041138,0.123505,-0.086138,-0.369945,0.163163,0.244546,-0.601481,-0.338789,-0.314845,-0.111208,-0.204073,-0.317426,0.458591,1.328721,0.335871,0.503474,0.515851,0.989887,0.373805,0.093283
group,-0.050078,0.437004,-0.012769,-0.265881,-1.269108,0.151764,-0.481687,0.167898,-0.112601,-0.763692,-0.788841,-0.274631,0.251878,-0.820591,-0.2915,-0.106468,1.230906,-0.011429,0.314198,0.446659,0.240536,-0.896247,-0.365343
space,-1.288525,1.085026,1.09077,-0.130622,-0.709943,-0.057234,-0.108829,0.208,0.590986,-0.524301,-0.139543,-0.808621,0.2603,-0.463,-0.263867,0.97327,1.177433,0.72781,0.504278,-0.460525,0.600162,0.693424,-0.450838
two,0.336445,0.378479,-0.187283,0.290927,-0.171295,-0.186598,-0.574824,-0.665871,0.26802,-0.558169,-0.332899,-0.849007,-0.096402,-0.178733,-0.229908,0.7939,1.690155,-0.092321,0.679039,0.930944,0.521782,0.366455,-0.133051
theory,0.149232,1.417586,1.429158,-1.015707,0.307941,-0.305392,-0.269617,1.332825,0.658083,-0.718415,0.453404,-0.826268,1.431895,-0.660798,-0.433688,0.04854,-0.150966,-0.183346,0.234195,-0.450898,-0.021704,-0.419946,-2.667644
point,-0.22773,0.787339,0.595546,-0.118504,0.355241,-0.263067,0.09415,-0.699408,0.463279,-1.128736,0.182783,-1.215046,0.103692,-0.284985,-0.385502,0.940097,1.385826,-0.647056,0.596157,1.465893,-0.306246,0.330088,0.180037
theorem,-0.246292,1.845213,1.102628,-0.446472,1.683623,-0.977951,-0.561436,0.55158,0.332934,0.965806,1.072462,-1.437163,0.836854,0.422607,0.388404,0.318872,-1.459751,-0.625659,-0.578812,-0.478991,-0.233663,-0.937032,-0.927841
