word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
number,0.153063,-1.262514,-0.45084,-0.679716,0.496997,0.513541,0.210859,-0.245108,-0.399875,-0.244175,-0.093802,-0.791691,0.325036,-0.535696,-0.186203,0.864362,0.35674,-0.983843,-0.337122,-1.158586,0.893282,0.94581,0.085377,0.415009
function,0.095667,-1.273475,-0.357195,0.409985,-0.028362,2.031984,-0.149812,0.097915,-0.088213,-1.662005,1.597529,-0.752395,0.578331,-0.770787,0.338103,1.225171,0.604038,0.511344,-1.40126,-0.535053,-0.194048,0.584209,-0.917154,-0.133507
one,0.136679,-0.742653,-1.026665,-0.386781,0.073716,0.426402,-0.09482,-0.122122,-0.481026,-0.429447,-0.647872,-0.803709,-0.454366,0.023013,-0.458931,0.961439,0.478599,-0.268893,-0.021879,-0.830893,0.337319,0.36109,-0.276616,0.731299
set,-0.267036,-0.741717,-0.868827,-0.545292,0.002962,0.399344,-0.216957,-0.195453,-0.661201,-0.179154,-0.326218,-0.636683,-0.534439,-0.832274,-0.042943,1.405949,0.350493,0.05098,-0.760672,-0.330747,0.358565,0.465386,0.031388,0.55375
group,-0.400558,-1.094115,-0.604667,-0.19013,0.069007,0.053931,0.088361,0.298862,0.16411,-1.140328,-0.438254,-1.814477,0.212205,0.404258,0.169015,0.377603,0.418738,0.211097,-0.345043,0.103691,0.134785,0.368547,0.476289,0.848999
space,-0.692531,-0.733826,-0.715878,-1.169719,0.113536,1.26322,-0.679143,-0.539422,-0.921867,-0.867709,0.425074,-1.212941,-1.035438,-0.816272,0.133092,1.159604,0.075734,0.120823,-1.056342,-0.288444,-0.151447,-0.364584,0.451092,-0.621202
two,0.108955,-0.392878,-1.091548,-0.64175,0.604259,0.375298,-0.08586,-0.235232,-0.543557,-0.373264,-0.516791,-1.037784,-0.717259,0.001172,-0.042199,0.735328,0.5618,-0.203258,0.03942,-1.0289,0.465769,0.71856,-0.5151,0.661817
theory,0.329845,-1.858975,0.329165,0.040018,-1.183787,1.087101,-0.143726,-0.535334,-1.307728,-2.205854,0.46842,-0.388678,0.638312,-1.166262,0.884873,0.637484,-0.60371,-0.791262,-1.202656,0.967103,-0.333966,-0.858326,-0.396816,0.343716
point,0.616395,-0.964386,-1.431405,-0.742403,0.514348,0.449904,-0.158536,-0.551283,-0.531294,-0.016422,0.057845,-1.020917,-0.725966,-0.728341,0.190418,-0.025986,0.049157,-1.051035,-0.930156,-1.243088,0.729666,0.410888,-0.083947,0.663853
theorem,-0.043304,-1.050849,0.294794,1.389438,-0.593634,0.996946,-0.302061,-0.407946,-1.361298,-1.508408,1.610481,1.331082,-1.304992,-3.32548,1.042912,-0.178157,-0.043123,-0.085256,-1.960071,0.338386,0.111676,-0.38186,-0.454047,0.489678
