word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
number,-1.848382,1.223051,-0.172714,3.144227,-1.256317,0.984515,0.552187,1.732764,0.118095,0.994607,-0.322278,0.23985,0.493174,-0.687061,-0.636426,-0.389285,0.469954,0.946475,0.216291,-0.605748,1.253428,-0.422315,-2.363944,-1.140312
function,-1.322114,0.590586,1.173259,3.62964,-1.197778,-1.127693,0.855519,0.293211,-0.25362,-1.120245,-0.486671,-0.658406,-0.892398,0.648267,-0.497439,0.640035,-0.483916,-0.272767,-0.413932,-1.37661,1.158458,0.431972,-2.215056,-1.064771
one,-2.08291,1.179438,0.089431,2.35429,0.655433,0.163006,0.911902,-0.130508,0.018281,0.565738,0.644257,-0.137351,0.004175,-1.097162,-0.532867,0.136797,-0.159741,0.504708,-0.116473,-1.77774,1.194118,-0.659615,-1.736576,-1.163045
set,-1.909376,0.844942,0.769147,3.252956,0.656202,-0.288014,-0.326661,0.649698,-0.026924,-0.198731,0.692061,0.194331,-0.400657,-0.586079,-0.943863,1.90131,0.215617,1.727756,0.59131,-0.749665,0.444211,-0.517526,-2.106232,-0.682658
group,-1.942732,0.529728,-0.268908,1.617595,0.612284,-0.176127,-0.686026,-0.850738,1.292353,1.377108,-0.505769,0.97597,-0.666738,0.640165,-1.409479,-0.931421,-0.600448,2.548878,-0.249352,-1.3149,3.058911,-1.034088,-1.237541,0.218265
space,-2.235293,-0.203469,-0.046356,3.221696,0.580052,0.594471,-0.312157,-1.89258,1.176711,-1.218778,0.478077,0.76395,-1.102031,0.30174,-0.362564,0.853242,-0.301228,1.01296,-0.261553,-1.725429,1.253437,-0.296343,-1.44049,-0.418002
two,-1.807377,1.35701,0.15998,2.264713,1.249681,0.143683,0.448647,-0.120039,0.0923,0.652257,0.842762,0.233064,-0.235917,-1.179645,-0.107977,-0.219258,0.129299,0.357751,-0.035032,-1.680355,1.470069,-0.674626,-1.992297,-1.294607
theory,-1.652265,-0.671936,-0.469834,1.75628,0.570949,0.466291,0.065719,0.893573,0.576486,0.631042,-1.736912,0.198618,-1.02491,0.485694,-2.023496,0.651585,-0.519916,1.779899,-0.608868,-1.871517,0.637172,0.107399,-1.799748,-0.484873
point,-2.968264,1.282151,-0.232839,1.924641,0.92904,-0.644803,0.449132,0.15079,-0.569579,-1.2428,0.265403,0.002217,-0.407179,-1.516209,0.171782,0.184554,-0.251536,0.388327,-0.765477,-0.941903,1.175099,-0.702381,-2.075759,-0.713075
theorem,-2.814805,-2.070222,0.519856,2.097077,0.294428,-0.109141,1.054558,1.530576,-0.706886,0.433009,-0.0127,-0.094956,-0.653923,1.026556,-0.387882,-0.347026,-0.322212,1.685868,-0.64343,-1.458153,0.370586,0.40906,-1.713833,-1.369964
example,-1.652169,0.618867,-0.234,2.672413,0.092787,-0.079834,0.980944,0.216297,0.135738,0.204823,0.008227,0.21892,-0.111936,-0.317987,-0.913893,0.154799,-0.065389,0.552583,0.480283,-1.630049,1.4407,-0.205633,-1.181874,-0.539893
form,-1.235987,0.624631,0.128103,3.063935,0.557452,-0.855878,0.152651,-0.208061,-0.344905,0.327797,0.143809,0.767274,-0.613686,-0.321803,-0.174595,-0.710102,0.033076,0.422504,-0.370533,-1.81273,1.450526,-0.368667,-1.531038,-0.928658
define,-1.883271,0.311122,1.058689,2.878086,0.174039,-1.176781,0.480827,-0.330116,-0.059794,-0.42318,0.065526,0.747258,-0.178235,0.06558,-0.432735,0.575315,-0.335518,0.634797,-0.187028,-1.324931,1.317459,-0.377801,-1.599375,-0.7599
graph,-2.411206,0.022936,0.253464,1.792035,1.043553,0.957214,-0.488679,1.312914,-0.761681,1.016893,0.944354,0.364077,-1.399292,-1.228671,-0.204738,1.441559,0.820343,1.348032,-0.719632,0.131767,1.901173,0.648534,-1.44338,-1.039809
value,-1.515424,1.84279,0.788086,2.843528,-0.540129,-0.498687,2.093264,0.250034,0.568805,-0.253027,0.026599,-0.553545,0.100065,-0.393534,-0.791757,0.55813,-0.044728,-0.340188,-0.297333,-0.652097,0.974414,-0.389178,-1.300906,-1.009933
problem,-1.295764,0.340138,-0.806337,2.033637,0.105951,1.157717,1.111784,1.107451,-1.4314,0.497164,-0.303434,-0.392883,-1.483453,-1.024031,-1.330749,0.872653,-0.393862,0.735599,-1.05913,-1.237103,0.764752,0.654178,-1.17645,-1.44938
mathematic,-0.40445,-0.05552,-0.889174,1.495365,0.260162,0.482054,-0.953257,0.195945,0.78905,0.887739,-1.526193,-1.425776,-0.807678,-0.542085,-1.070939,-0.016987,-1.452585,1.150766,-0.026792,-1.573039,0.102137,-0.483948,-2.097381,-1.843433
order,-1.325257,0.877747,0.063518,2.480864,-0.193631,-0.775052,-0.075929,0.382226,0.539553,1.313806,0.490043,0.315161,-0.623326,-0.133707,-0.214538,0.488335,0.840337,0.837635,-0.813645,-1.454669,1.126296,-1.236285,-2.179583,-0.016963
equation,-0.829615,0.557814,0.222679,1.740418,-0.326187,-0.413061,1.725436,0.213064,-0.865709,-1.267497,-0.973394,0.294169,-1.312109,-0.434072,-1.193199,-1.063785,-0.328088,-0.027939,-1.725968,-2.969683,0.710983,-0.018115,-1.515424,-1.097591
first,-1.045848,0.416761,0.254706,2.09573,0.03122,0.36871,0.512339,0.459702,-0.011255,1.064113,0.29373,-0.917033,0.088058,-0.885479,-0.718556,-0.3317,-0.55056,0.648495,-0.473441,-2.017485,0.353889,-0.74209,-1.83289,-0.899086
vector,-1.333583,1.000642,1.130721,2.539415,0.963225,-0.983215,0.849701,-1.560725,1.01531,-1.22383,0.093791,1.637566,-0.788756,-0.460994,-0.555485,0.097643,-0.368406,-0.033316,-0.545926,-1.567429,1.47031,-0.13414,-0.646093,-1.50602
algebra,-0.898891,-0.351824,0.669254,2.070033,-0.03145,-0.792963,-0.974166,-0.762877,1.018743,0.856483,-1.078444,0.89825,-1.393482,0.372705,-1.341347,-0.616971,-0.509466,2.13309,0.801908,-2.096541,1.28055,-0.50548,-0.566993,-1.303662
$\mathbb{N}$,-1.459029,1.671966,0.763381,2.547065,-0.794954,0.092911,1.134919,0.528614,0.596093,-0.510662,0.962462,0.790303,-0.413322,-0.69473,-0.23302,-0.410888,0.551746,1.270865,0.272087,-0.239061,2.07477,-1.075401,-1.26623,0.122374
field,-1.147926,0.905314,-0.513083,1.516982,-0.000671,-0.232344,0.618288,-0.523727,0.494635,-0.294479,-1.077319,0.990272,-0.381352,0.46686,-1.689886,-0.310911,-1.120866,1.607183,-0.377133,-1.598216,1.567404,0.093334,-1.864595,-1.660872
element,-1.389381,1.775969,0.975853,1.99968,0.152607,-0.748512,0.130706,-0.232047,0.498597,0.495777,0.313755,0.521197,-0.576253,-0.344256,-0.726004,-0.125953,0.426988,1.517379,0.644598,-1.197262,1.354037,-0.669121,-1.193297,-0.972607
system,-0.566791,0.905757,-0.507422,1.553914,0.102863,-0.580603,-0.019584,0.359116,-0.436784,0.288813,-0.283726,-0.250994,-0.661525,-0.574312,-2.391775,0.707652,-0.272658,-0.066617,-0.374615,-2.28955,1.298559,0.715517,-1.939929,-0.358175
matrix,-1.132554,1.096212,2.072369,2.009002,-0.207648,-0.459302,1.276437,-0.627269,0.795937,1.249923,0.076075,0.389217,-2.074431,0.455359,-0.547532,-0.524001,0.426866,-0.168216,-0.316832,-1.385891,2.355517,0.278516,-0.168001,-1.572588
mathematical,0.027506,0.120233,-0.869434,1.922457,0.596668,0.507954,-0.545546,0.697833,1.228692,1.058599,-1.848772,-1.196192,-0.755801,-0.76357,-1.55049,0.18832,-0.977606,0.963049,-0.219065,-1.787552,-0.28239,0.481608,-1.973749,-1.492376
method,-1.071943,0.082185,0.016088,1.694448,-0.623857,-0.281968,2.134074,0.491301,-0.824128,0.787917,-1.441977,-0.927613,-1.494757,-0.947666,0.110419,0.805295,-0.941869,-0.253422,-0.443395,-2.220386,0.971782,0.064635,-1.164843,-0.30546
finite,-1.976348,0.971892,0.35453,2.313803,-0.160774,-0.236833,0.074128,0.128865,-0.210444,0.267569,-0.235023,0.294507,-1.108597,0.636626,-0.718274,0.632104,0.1641,2.058845,0.365959,-0.820681,1.53249,-0.303014,-1.624561,-0.239331
result,-2.130415,0.199977,0.187545,2.014029,0.090361,0.209235,1.439502,0.456913,-0.137948,0.914523,0.056413,-0.615968,-0.257653,-0.167496,-0.880309,0.19758,-0.242952,0.309937,-0.370598,-1.623464,0.794408,-0.72279,-0.979457,-0.812415
vertex,-2.15834,1.054413,0.019532,1.648954,1.391601,0.397127,-0.077176,0.825289,0.266185,0.639353,2.006526,0.531068,-0.917997,-2.183963,0.990072,0.737308,1.639173,0.29178,-0.417536,-0.040947,1.544236,-1.229259,-1.685331,-0.697383
term,-1.393522,0.99405,0.50884,2.464964,-0.341295,-0.761462,0.701587,0.099555,-0.119579,0.394211,-0.714045,0.081568,0.200193,-0.174363,-0.691164,0.06993,0.065044,-0.198719,-0.27439,-1.830426,0.749079,-0.53964,-1.522651,-1.003981
line,-2.736975,0.647273,-0.434376,1.702414,1.434082,-1.056161,0.167941,-0.07145,-0.479943,-1.086672,0.659624,-0.047716,-0.241579,-2.009391,0.274894,-0.405697,-0.387412,0.124571,0.209461,-0.976675,1.164793,-0.141004,-1.329592,-1.035542
model,-0.615703,0.424805,-0.910929,1.688216,1.295898,0.275059,1.309677,0.51721,0.192067,-0.229949,-0.349873,-0.116917,-0.867697,0.042946,-1.720254,1.873392,-0.066646,-0.106122,-0.08223,-2.130207,0.953352,-0.04228,-2.102379,0.84259
real,-1.994901,0.805498,0.446706,2.979577,-0.318406,-0.221748,-0.121177,-0.407271,-0.179077,-0.817383,-0.595826,0.04143,-0.700048,0.302767,-1.017438,-0.054759,-0.220834,0.644439,0.120745,-0.781967,1.285376,-0.236929,-1.088292,-1.442181
property,-2.229608,0.131433,0.178664,2.334148,0.677815,-0.81066,0.490758,0.133476,-0.312988,0.3413,-0.085867,0.147168,-0.547537,1.096422,-0.495538,0.73194,0.244726,0.965021,0.220003,-1.277081,0.900771,-0.350131,-1.159087,-1.033487
geometry,-1.764282,-0.856618,-1.449407,2.149676,1.105828,0.43023,-0.799742,-0.053409,0.156762,-0.159603,-1.490132,-0.021553,-1.294453,-0.676214,-0.10057,-0.862325,-0.50745,0.841763,-0.289391,-2.133223,0.471396,0.060975,-1.442014,-0.674587
complex,-2.259996,0.169938,0.035846,2.368117,-0.272369,-0.03973,-0.512162,-0.947427,0.253993,-0.542208,-1.350583,0.684611,-0.895589,0.166373,-0.092837,-0.023344,-0.453318,0.780604,-0.395889,-1.211621,1.814398,-0.020374,-1.082741,-0.556964
linear,-1.005523,0.868618,0.76357,2.462045,0.143203,-0.657994,0.742896,-0.444267,0.018961,-0.070281,-0.42649,0.154735,-2.084538,-0.037592,-0.867336,0.89091,-0.361906,0.672543,-0.81939,-1.325937,1.435549,0.50931,-0.862122,-0.785881
polynomial,-0.853526,0.703523,1.552106,2.389552,-1.593108,-0.287023,0.753837,0.928434,-1.6031,0.50026,-1.045476,0.442459,-1.380722,0.070437,-0.521403,-0.24926,-0.604622,0.748472,-0.454051,-0.584197,2.078116,-0.791112,-1.327729,-1.131523
algorithm,-1.387807,-0.324559,0.376312,1.048628,-1.609116,0.582692,2.11377,1.291945,-0.892516,1.107828,-0.297419,-0.52454,-1.596607,-1.632022,-0.468759,1.889089,-0.414593,0.119272,0.042076,-1.176319,1.981251,0.250914,-0.84154,-0.375825
mathematician,-0.35946,-0.604955,0.526997,1.170129,-0.747176,2.547752,-0.964027,0.212538,1.136768,1.030502,-1.660105,-1.008456,1.346492,-1.09044,-0.135862,-0.521166,-1.709438,1.207306,-0.524539,-1.352897,-0.051168,0.438888,-2.881085,-0.715877
definition,-2.009951,-0.125637,0.491593,2.781809,0.23955,-0.724257,0.119343,0.041463,-0.071801,0.224195,-0.429258,0.266363,-0.02545,0.156924,-0.720444,0.717115,-0.021976,0.802938,0.251226,-1.449159,0.6906,-0.362439,-0.954735,-0.656354
product,-1.236444,0.066981,0.827869,2.436433,-0.002373,-0.949624,0.604812,-0.780885,0.875999,0.553092,0.266414,1.147004,-0.213354,0.315307,0.109566,-0.327633,-0.077301,0.239058,0.808895,-1.386126,1.891575,-0.3248,-1.088171,-1.5004
state,-1.116327,0.973007,0.505761,0.564077,-0.141113,0.16348,0.406767,0.401926,0.197548,0.221231,0.362547,-0.531659,0.280111,-0.006597,-1.053252,0.75219,-0.181938,1.532195,-0.954864,-1.906029,0.106749,0.03219,-2.707524,-0.611409
sequence,-1.930478,0.691212,1.761554,2.963858,-1.453175,0.271264,0.226801,0.411504,0.240192,0.313341,-0.125538,0.036745,-0.163193,-0.216178,0.261818,0.755562,0.613262,0.611641,-0.159852,-0.318724,1.057492,-0.701223,-1.372007,0.137391
distribution,-0.767153,1.085642,1.364815,2.776219,1.158703,0.50198,2.394424,0.287536,0.586021,-0.905768,-0.596432,-0.864664,-0.130182,1.518414,-0.005395,0.533629,-0.359611,-1.283025,0.370863,-1.11445,1.186406,-0.416386,-2.010569,0.900722
variable,-0.440806,1.984165,1.472713,2.892058,0.452051,-0.473866,1.290125,0.260067,0.212218,-0.567154,-0.483949,-0.18492,-0.331307,-0.320703,-1.384516,1.10394,0.246182,-0.564057,-0.597244,-1.319595,0.375851,-0.651189,-1.163161,-0.52787
solution,-1.310356,0.768319,-0.161162,2.096091,-0.60396,0.323154,1.723182,0.442414,-1.583364,-0.652598,-0.037026,-0.36505,-0.924221,-0.794934,-0.657869,0.014481,-0.198412,0.515277,-1.039454,-1.763791,0.707295,-0.379204,-0.861238,-0.988636
square,-1.357638,1.065904,0.241039,2.601665,0.320341,0.292054,1.556411,0.484494,0.069361,0.724719,0.499679,-0.342144,-0.685167,-0.57215,1.003491,-1.549057,0.559293,-0.719686,0.686613,-1.07763,1.56825,-0.16072,-1.066975,-0.680167
map,-2.495228,0.132876,0.792888,1.932969,0.415631,-1.275291,-0.074551,-1.1958,0.530119,-0.707459,0.537797,0.60361,-0.149219,-0.160499,-0.151022,0.618632,-0.788789,1.207841,-0.523743,-1.082254,1.482222,0.916513,-1.058771,0.13236
class,-0.882497,0.220318,-0.770698,2.261111,0.081618,-0.593412,-0.151387,-0.161034,-0.012386,0.845021,0.36803,0.50076,-0.255889,-0.113927,-1.138141,0.604828,-0.883849,1.974626,-0.702696,-0.514003,1.40334,-0.492338,-1.697664,-0.364039
integer,-1.372289,1.104365,0.358671,2.887917,-1.485268,-0.19433,0.954876,1.058204,-0.399538,0.420084,-0.163951,0.293842,-0.077226,-0.103285,-0.616154,-0.76206,0.202911,0.759635,0.535272,-0.279678,1.773848,-0.697556,-1.174167,-1.409312
