word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
number,-0.345323,-0.111203,0.520112,-0.2614,-0.461726,0.16258,0.897215,0.136485,-0.093023,0.331106,0.470715,0.413127,0.908854,0.826925,0.608018,-0.420117,0.04229,-2.174203,-0.358388,0.004801,0.006249,-0.407264,-0.584252,-0.22128
function,0.288365,-0.813884,0.40357,0.165928,-1.702413,-0.337822,0.50179,0.336146,-0.351057,-0.950632,-0.722833,1.500495,0.858913,-0.557661,0.605556,-0.641013,0.751875,-1.195419,0.052019,1.615085,-1.547811,-0.305711,-0.3786,0.112654
one,-0.317876,0.083398,0.406474,-0.071458,0.005139,0.174947,0.335175,-0.106085,0.079143,-0.703513,0.410413,0.798903,0.214499,0.12635,0.365833,-0.329067,-0.14154,-2.0599,-0.160002,-0.35851,-0.110493,-0.684336,-0.33195,-0.093598
set,-0.47836,0.073295,0.300476,-0.268115,-0.686597,-0.14972,0.43347,0.105284,0.32168,-0.825616,0.036869,0.494091,0.046984,0.526206,0.083456,-0.073908,-0.504293,-1.735275,0.421781,-0.185312,-0.228803,-0.701118,-0.576479,-0.176703
group,0.588777,-0.141676,-0.303479,-0.139295,0.277946,-0.238756,-0.436604,0.036866,0.156612,-0.022542,0.184023,0.777261,-0.021345,0.453517,0.944376,0.224856,0.011821,-2.148398,0.018202,0.643149,-0.330464,-0.623618,0.546444,0.369922
space,-0.215421,-0.893861,1.0642,-0.188186,-1.262646,-0.650818,0.123519,0.672726,1.009614,-0.298633,0.04745,0.83739,0.085298,0.315069,-0.245649,-0.31951,-0.48536,-1.514403,1.244602,0.064881,-0.629664,-0.45894,0.45953,-0.149816
two,-0.410844,-0.245549,0.581091,0.125267,-0.296345,0.004159,0.561719,-0.140741,0.106415,-0.842887,0.629585,0.445675,-0.122849,0.165943,0.589413,-0.672529,-0.131614,-1.932884,-0.421999,-0.423249,0.013827,-0.959761,-0.12708,-0.152295
theory,-0.518589,-0.768925,-0.059666,0.234373,-0.033802,0.8256,0.259495,0.554029,1.250774,0.837477,-0.631166,2.176332,0.456141,0.052065,-0.557191,-0.384518,-0.677998,-0.499497,0.913351,2.218348,-1.554281,-0.092835,-0.594177,0.413561
point,-0.902692,-0.28151,0.768738,-0.310388,-0.313099,0.51246,0.948681,0.291897,0.436342,-0.147185,0.897788,0.007956,0.824434,0.541821,0.598591,-0.688621,-0.285416,-1.338151,-0.163447,-0.226291,-0.405443,-1.7456,-0.170311,0.384537
theorem,-0.381633,0.041235,-0.609998,0.614648,-1.653892,0.877391,0.602495,0.698975,1.185771,0.254754,-0.19008,0.791444,-0.05538,-0.234809,-0.691175,-0.186202,0.400781,1.94076,0.599132,1.688413,-1.645945,-1.293498,-1.162484,0.052565
