word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
number,0.302989,0.479912,-0.00533,0.701369,0.588946,0.386134,-1.334041,-0.267036,-0.005043,1.028345,-1.652017,0.314727,0.223587,-0.673262,0.915297,-0.373118,0.308552,-0.341269,0.344833,0.044309,-0.66833,0.709794,-0.475907,0.088948,0.376173
function,-0.414992,0.321485,-0.399433,1.726568,0.001647,-1.33373,0.286695,-0.047667,0.521497,0.262667,-2.265353,1.098489,-0.18739,-0.5229,1.299101,1.339381,0.377089,-0.833016,-0.047338,0.458842,-0.128199,-0.159498,0.151101,0.544062,1.423563
one,-0.237543,0.326139,0.039207,0.86947,0.473292,0.882229,-1.078491,0.149309,0.180237,1.183367,-0.536168,0.240647,-0.17943,-0.241856,1.233625,0.091178,-0.072108,-0.287297,-0.145084,0.118174,-0.21793,0.599206,-0.07552,0.227134,0.117583
set,-0.392487,0.234067,-0.36002,0.526212,0.662154,0.326333,-0.896495,0.542244,0.074467,1.187831,-0.878012,0.784306,0.013623,0.207701,1.062058,0.191482,-0.536942,-0.481053,0.428538,-0.100666,-0.60504,0.555388,-0.058812,0.181074,0.568029
group,-0.268942,0.363191,-0.703496,0.791307,0.704641,1.144911,-0.058984,-0.643987,0.067844,1.090785,-1.042367,0.867577,-0.118428,-0.249664,0.163249,0.704659,0.285589,-0.012031,-0.281777,0.154402,-0.063229,0.218831,0.989073,-0.492746,-0.062577
space,-0.099668,0.233456,-1.524416,0.900639,0.064894,-1.080084,-0.482254,0.571104,-0.427183,1.655193,-1.186999,0.903751,0.117565,0.781964,1.189528,0.820635,0.052304,-0.258415,0.071196,-0.107591,-0.546643,0.650346,0.115395,-0.129734,0.323046
two,-0.58404,-0.260235,-0.103163,0.683607,0.712661,0.713763,-0.943416,0.089989,0.074904,1.548098,-0.840019,-0.267465,-0.183791,-0.173564,1.34906,-0.002924,0.05976,-0.328535,-0.121605,0.083158,-0.143227,0.582627,-0.153318,0.433961,-0.013494
theory,0.39248,0.591904,-1.417145,0.349368,-1.168419,-0.125514,-0.305752,0.865233,1.464799,-0.345818,-1.846815,2.332223,0.514573,0.297599,0.449435,0.989822,0.500711,-0.30735,-1.455329,0.08684,-0.338968,0.409832,-0.200061,-0.538439,1.132442
point,0.170162,-0.550983,-0.425775,0.319125,1.440055,-0.066002,-1.552858,0.217418,0.570401,1.259954,-1.117323,0.655344,0.281419,-0.259961,1.027121,0.024416,0.450736,0.202617,-0.074984,0.056915,0.33069,0.98088,-0.743768,0.129014,-0.037251
theorem,-0.753461,-0.295432,-0.73558,-1.21436,0.086834,-2.189645,0.081852,1.742141,0.565669,-0.588305,-1.198901,2.008453,0.858992,-0.121727,0.348281,1.097532,0.71376,-2.055243,-0.510096,-0.381914,0.431715,1.004106,-0.647402,0.071233,2.048124
example,-0.010074,0.676876,-0.392273,1.176221,-0.003614,-0.281953,-0.908104,-0.3298,0.202756,0.200502,-1.653397,0.877567,-0.492988,0.060474,0.863899,0.171881,-0.145541,-0.726207,-0.537914,0.217932,-0.156129,0.452709,0.344723,0.381577,0.990306
