word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
number,1.264619,-0.466366,0.065181,1.39699,0.06746,-1.100777,-0.776977,-0.367931,-1.920393,1.894178,1.260557,1.247654,0.737511,2.023036,-0.633791,0.719831,0.942849,1.612812,-1.453392,0.247485,0.82891,0.182708,-0.548587,-1.963946,0.952406
function,1.937712,0.549181,-0.990418,0.745553,0.132001,-0.334562,-2.420541,-1.968942,-0.924927,0.335027,-0.497433,-0.346869,0.265359,1.988524,-0.477935,1.32063,0.859429,0.451839,-1.084907,1.189427,-0.658816,-0.975897,-1.147709,-1.960558,0.236032
one,0.971132,0.566909,-0.509438,0.689333,-0.37075,-0.649372,-1.254487,-0.6064,-1.977259,0.146967,0.399679,0.361437,0.427691,2.206836,-0.299075,0.561764,1.226026,1.064786,-0.660322,0.902703,0.939329,-0.048574,1.288436,-1.180617,1.645012
set,0.962186,0.772997,-0.313354,0.704751,0.551411,-1.390446,-1.531655,-1.007913,-1.629324,1.260062,0.818013,1.324827,-0.422006,1.168199,-0.231076,0.291785,0.773373,0.559463,-0.387319,2.133825,1.39179,-1.420116,-0.302175,-1.031079,2.088627
group,-0.907231,-0.384705,0.916866,-0.085322,-1.811378,0.238773,-1.468115,-0.877499,0.684847,0.724843,2.05755,0.020117,0.000388,2.898249,-0.591508,0.848128,1.165091,1.075706,-0.335126,0.910339,1.580667,-0.148585,-0.084335,-0.896199,2.677717
space,0.604324,0.113105,-0.560348,-0.788042,-0.070041,-0.16453,-1.884799,-1.178876,0.078722,0.88531,0.766786,-0.482534,0.243374,1.955012,-0.340034,0.852918,0.017653,1.159137,-0.330748,2.317745,0.251388,-1.637951,0.893354,-0.851336,3.120822
two,0.174363,0.465262,-0.486486,0.03767,-0.458233,-0.567601,-1.225125,-0.347625,-2.253184,0.353052,0.401791,0.460856,0.447297,2.028803,-0.394025,0.743036,1.631858,1.130437,-0.344555,0.823205,1.055547,-0.22772,1.354153,-1.236322,1.515055
theory,0.190224,-0.844567,0.277905,2.105266,-0.333034,-0.727264,-0.910202,-1.636342,-0.069102,0.741875,0.928961,0.500063,-0.278749,2.797937,0.627757,1.939071,-0.540835,1.059676,0.318056,1.398046,0.86604,-0.670148,-0.724531,-0.071904,1.660269
point,0.795042,0.568494,-1.134524,0.146832,0.63792,0.166848,-0.919434,-1.21629,-2.119213,1.310612,0.633028,-0.814188,0.853793,1.814146,-0.165025,0.651774,1.626849,-0.267689,-0.340026,0.61465,1.66335,-0.711626,1.059999,-0.85339,1.814242
theorem,1.849222,-0.396405,0.082852,1.67434,-0.181331,-0.57901,-1.936661,0.250995,-1.134362,0.212288,1.529726,-0.164242,0.938845,2.895795,-0.054188,1.099403,0.250614,-0.46967,0.644479,0.508806,0.204893,-2.174043,-0.650151,-0.094851,1.538355
example,0.346528,0.746476,0.056021,0.984838,-0.466368,-0.447521,-1.444682,-1.174426,-1.135979,0.556526,0.900504,0.019531,0.517999,2.005796,-0.246984,0.595167,0.936055,0.804259,-0.563763,1.064814,0.349937,-0.280796,0.34997,-1.518407,1.196297
form,0.157257,0.403376,-0.841098,0.024181,-0.55743,0.32069,-2.133094,-0.490622,-1.452784,0.741157,0.796659,0.109008,0.354784,2.388093,-0.039309,0.791451,1.088979,0.98878,-0.211531,1.608881,0.353362,-0.089434,0.04078,-1.403928,0.849468
define,0.813707,0.848039,-0.732946,0.197377,0.178709,-0.033612,-2.276466,-0.895271,-0.819432,0.473444,0.136671,0.159362,-0.09986,2.580759,-0.063217,-0.031625,0.902714,0.291483,-0.338777,1.290887,0.501968,-0.739839,-0.324582,-1.39501,1.536289
graph,-0.531212,-0.199102,-0.005503,0.461493,0.757606,-1.633794,-0.939184,-0.306684,-2.536907,1.006921,0.990439,1.284441,0.05331,1.461504,0.553281,0.562025,1.962225,1.2741,-0.662806,0.984966,-0.265793,-0.73261,-0.603461,1.054693,2.219538
value,1.326212,0.337801,-0.709885,1.008375,-0.031184,-0.836275,-1.561311,-1.949965,-1.593217,0.148362,0.08887,0.01117,0.11897,1.506744,-0.278193,-0.213364,0.86994,0.605066,-1.5532,0.065214,0.660966,-0.204621,0.320544,-2.213009,0.740446
problem,1.143285,-0.601416,0.161987,1.474474,-0.501663,-0.628666,-0.677461,-1.439903,-2.883343,0.196669,0.301815,0.466395,0.838358,1.356362,1.271555,1.536524,0.781911,1.058136,-0.423935,0.994476,-0.47852,0.37035,-0.660269,0.006799,1.612163
mathematic,0.732369,0.029078,-0.348882,1.613563,-1.164942,-0.153612,-0.097092,-0.462406,-0.466425,0.360367,-0.108195,0.110287,-0.32313,1.502652,-0.010216,3.0507,-0.314137,1.64627,-0.246904,0.883795,2.021664,0.096489,-0.577982,-0.082695,0.78781
order,-0.231917,-0.200464,-0.832999,0.659142,-1.051908,-0.33974,-0.74553,-0.818848,-1.750523,1.022173,0.84568,1.363974,0.138008,2.028846,-0.291913,-0.148592,0.907221,1.108713,-0.551516,1.4519,0.860867,-1.050758,0.054611,-1.32844,0.819089
equation,0.592818,-0.884109,-1.467203,1.289814,-0.944393,0.252575,-1.922913,-1.684735,-1.69138,0.700804,-0.473896,-1.423167,0.800615,2.319143,1.226396,1.069366,0.567888,0.056889,0.541466,0.772086,-0.277584,0.909724,0.040594,-1.449038,0.449205
first,1.298894,-0.195525,0.000182,1.361843,-1.222258,-0.381141,-0.793121,-0.253202,-1.677114,0.348289,-0.167544,0.306002,0.646329,1.847071,-0.160062,0.782468,0.343595,1.087816,-0.240173,0.862069,1.369736,-0.267555,0.51534,-0.912227,0.881545
vector,0.288064,0.17401,-1.525111,-0.961666,-0.084511,0.03071,-3.035591,-1.973383,-0.670363,0.398501,-0.020839,-0.693098,-0.335613,1.846516,-0.176921,-0.415923,0.655502,1.047789,0.120202,0.839451,0.76525,0.045852,0.597381,-1.114882,1.473662
algebra,-0.125312,-0.005951,-0.219825,0.848769,-1.808595,0.599419,-2.535638,-0.470656,0.685048,0.599043,1.499898,-0.019473,-0.872402,2.197227,-0.507408,0.877032,0.141373,1.040439,0.353551,2.220608,1.504993,-0.025477,-0.695274,-0.305706,1.049514
$\mathbb{N}$,0.140451,-0.472183,0.672476,0.00484,0.378987,0.117298,-1.365162,-0.379954,-1.671572,1.300017,0.956324,-0.191034,-0.473785,1.649902,-0.535203,-0.549983,1.899931,0.65431,-1.747091,1.035517,0.099415,-0.352003,-0.058078,-2.252029,1.344456
field,0.50033,-0.308509,-0.462033,0.455807,-0.68416,0.147563,-1.466252,-1.944037,0.307842,1.169387,0.698462,0.003252,-1.011825,2.702569,0.373118,1.830531,0.881379,0.691878,0.315509,0.048389,0.776891,0.856979,-0.406565,-0.988434,1.693513
element,0.308487,0.008525,0.047579,-0.115319,-0.195177,-0.336742,-1.912585,-0.722735,-1.40385,0.278323,1.074438,0.698038,-0.831147,1.655113,-0.747904,0.003128,1.404229,0.629415,-0.274392,1.360197,1.41529,0.256316,-0.07558,-1.274855,1.160218
system,0.315223,0.20781,0.153564,1.192551,-0.572756,-0.565821,-0.644911,-2.367999,-0.938225,0.72978,0.074706,0.436953,0.367309,1.741982,0.949935,1.226632,1.037957,0.91685,0.858751,1.573664,0.630597,0.348491,0.432372,-0.963159,0.247267
matrix,0.216433,-1.282781,-0.739494,0.149585,-0.787075,-0.257442,-3.20095,-0.955274,-0.885707,-1.167226,0.779555,-0.412321,-0.560808,1.749838,-0.41226,-0.278697,1.911897,1.364943,-1.252942,1.175859,0.120635,0.260364,0.449518,-0.974627,-0.07851
mathematical,0.326771,-0.040092,-0.066564,1.543157,-1.284347,-0.821945,-0.486845,-1.20029,-1.151394,0.493354,-0.132442,0.073811,0.213703,1.013658,0.56558,2.935312,-0.77558,1.748165,0.28905,0.811791,2.307841,-0.128136,-0.839925,-0.229288,0.389708
method,1.087421,-0.18933,-0.987417,2.292338,-1.101296,-0.020626,-1.195449,-1.912376,-1.140722,0.011144,0.284688,-0.433276,1.493758,1.313704,1.358042,0.710622,1.355067,0.431019,-1.053547,0.763075,0.848456,-0.453137,0.163507,0.205158,0.008902
finite,0.661212,-0.213149,0.031599,0.652518,0.192499,-0.372348,-1.515526,-1.275187,-0.320203,0.614151,1.802319,0.701233,-0.211007,1.874524,-0.46367,0.483412,1.431088,0.12099,-0.547032,1.828879,0.757547,-0.708394,-0.642696,-0.740813,1.711783
result,1.142605,0.07492,-0.01421,1.703682,-0.594982,-0.564979,-1.074543,-0.69711,-1.240119,-0.188298,0.721942,0.000134,0.59043,2.043457,0.386216,0.317452,0.325836,0.535363,-0.67245,0.676678,0.520851,-0.356861,0.677649,-0.809539,1.317411
vertex,-1.190298,-0.158688,-0.642438,-0.197851,0.961854,-0.653576,-0.327077,0.700198,-3.773684,1.342991,0.296871,0.695935,-0.357427,1.497311,-0.108993,-0.419248,1.872933,1.483282,-1.059579,0.991256,0.517423,-1.02077,1.30962,-0.285061,1.83697
term,0.715988,0.466421,-0.940233,0.883451,-0.049051,-0.243689,-1.451693,-1.025865,-1.081377,-0.074016,-0.023201,0.584698,0.459985,2.396166,0.208013,0.43283,0.362624,0.753765,-0.632332,0.96781,0.679642,0.368862,-0.011779,-1.561346,0.426085
line,0.082087,1.575925,-0.814913,0.091592,0.501838,0.164871,-1.189359,-0.612547,-2.331771,0.933536,0.548442,-0.796077,0.873042,1.460624,-0.515529,0.606651,1.473064,0.209676,0.31621,0.510727,1.260463,-0.374378,1.07121,-0.179158,1.452143
model,-0.535032,0.519248,-0.255728,1.412611,-0.25671,-1.639525,-0.260235,-2.763778,-0.286451,0.396188,0.067788,-0.010168,0.52558,1.361809,1.126311,1.242668,0.919461,0.510559,0.022378,1.054738,0.307276,-1.320882,0.958321,-0.991166,0.899495
real,0.980324,0.337758,-1.236026,0.365628,0.140177,-0.208272,-1.987966,-1.058287,-0.496608,1.065145,1.021734,-0.183135,-0.049446,1.533631,-0.560307,0.829441,0.545075,0.346948,-0.874822,1.343535,0.559797,0.120767,-0.460868,-1.327073,1.232001
property,0.233314,0.678027,-0.496457,0.705484,-0.068001,-0.459721,-1.604871,-0.820623,-0.88807,-0.568321,1.321003,0.552785,-0.182358,2.207198,-0.195215,0.95149,0.452623,0.230815,-0.338075,1.280158,0.23596,-0.976538,-0.061704,-0.91036,1.496592
geometry,-0.464123,0.205966,-0.871898,0.868102,-0.636312,0.532273,-0.976305,-0.385253,-0.749926,1.160084,1.026561,-0.944907,1.018109,2.031916,0.035801,2.800675,-0.639454,1.350934,0.198053,1.489273,0.742669,-0.310618,0.273833,0.757092,1.354271
complex,0.366067,0.292016,-1.060082,0.033519,-0.11025,0.772309,-1.822477,-1.077498,0.147112,1.136644,0.720954,-0.44174,0.261869,2.217099,-0.040426,1.013732,0.741048,0.866225,-0.878287,1.689705,0.394189,0.054351,-0.300499,-0.386746,1.650752
linear,0.186487,-0.042257,-1.261291,0.514043,-1.079308,-0.592835,-2.308342,-2.178474,-1.032957,-0.015584,0.420498,-0.280569,-0.091014,1.298647,0.286568,0.534279,1.36033,0.820913,-0.537451,1.555499,0.09634,-0.295961,-0.554492,-0.306046,1.073478
