word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
number,0.535993,0.581059,0.890755,0.195374,0.108335,-1.192306,0.256832,-0.464203,0.618121,-0.240045,0.345,0.865557,0.584336,-0.237374,-1.255006,0.221278,-0.075488,-0.17007,0.287284,0.332146,0.002462,-1.278607,-0.48098,0.394888,0.504938
function,0.225115,0.212556,0.305962,0.134179,-0.439061,0.08236,0.008305,-1.767661,1.588603,-0.704084,-1.309739,0.697409,0.247783,-0.676688,-0.015734,-0.438674,-0.458541,-0.628664,1.769948,0.176069,-0.787819,-1.379006,-0.882201,-0.543157,-0.501882
one,0.648319,0.259295,0.479908,0.43972,0.002808,-1.026243,-0.059383,-0.250368,1.396049,-0.339538,1.121969,0.407288,0.396576,-0.20624,-0.325703,0.388265,-0.144165,0.058906,0.144789,0.373587,-0.078084,-0.612254,-0.492279,-0.080665,0.167704
set,0.23904,-0.296809,0.415518,-0.105921,-0.380691,-1.114653,-0.387226,-0.468882,1.277174,-0.479071,0.704547,0.469152,0.232104,-0.61141,-0.259074,0.251244,-0.060872,0.173573,-0.099521,-0.14315,-0.069085,-1.037055,-0.361214,0.030471,0.161694
group,0.761059,1.113701,0.368415,-0.273377,-0.09504,0.083754,-0.733612,-0.701138,0.776004,-0.927297,0.788418,-0.562731,-0.033055,9.7e-05,-0.63766,0.36528,-0.538352,-0.377242,0.459303,-0.105038,0.092189,-0.524527,-0.367758,-0.160895,0.255391
space,0.506811,-0.486537,0.219646,-0.246567,-0.13241,-0.93437,-0.366411,-0.412314,1.695124,-1.067715,-0.5915,-0.354347,0.715918,-0.887146,0.430292,0.246162,0.343831,-0.575657,0.511424,-0.674831,0.537005,-1.121583,-0.258412,0.729868,0.459494
two,0.948812,0.401921,0.986328,0.679441,-0.055785,-1.03311,-0.087589,-0.40314,1.188638,-0.014494,0.986816,0.481508,0.335415,-0.149467,0.056832,0.333722,-0.138958,-0.014743,0.041783,0.355882,0.417911,-0.873967,-0.320022,0.029662,0.035
theory,-0.166666,-0.915684,1.006168,-0.676134,-0.808922,1.000669,-0.350431,-0.567389,1.69717,-1.718191,-1.144818,0.575285,-0.577519,-0.310133,-0.597837,-0.539156,-0.382754,-0.222228,1.359496,-0.069311,-1.374117,0.296217,-0.249084,0.81901,1.577434
point,0.326577,0.072436,1.052356,0.565522,0.27757,-0.620793,0.041533,-0.451502,1.263686,0.163915,0.898178,1.158656,0.070995,0.305225,-0.347102,0.292401,-0.090562,0.147268,0.299784,-0.525481,0.678674,-1.361631,-0.262284,1.152136,0.775604
theorem,-1.269057,-1.45671,-0.281421,0.036904,-0.495794,1.223095,-0.804329,-1.164968,0.971545,-0.244853,-1.59332,1.70313,-0.750997,-0.144574,0.545023,-1.540452,0.222774,-0.106415,0.19738,0.433775,-0.474677,-0.30917,-0.067965,1.152062,0.425904
