word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
number,-1.955009,0.242346,0.615434,-0.573776,1.435997,-0.245128,-0.088766,0.443326,0.260072,1.260748,-0.428772,-0.887951,-1.214309,-1.330363,0.671403,-0.097517,0.269521,-1.017683,0.032057,2.629997,-0.365863,1.144103,3.271689,-0.415769,-0.215501,0.299585
function,-1.242679,-0.064536,0.986078,0.002404,0.365121,0.719722,-0.108128,-0.597832,0.560875,-0.989853,-0.514193,-1.851218,-0.740058,-1.975814,-0.215412,-0.230128,-0.470663,-1.304188,-0.067251,0.376048,1.401585,1.333211,3.489667,-0.248969,-0.329636,1.702614
one,-1.886853,0.417648,0.180069,-0.076243,0.105668,0.23348,0.563973,0.569253,0.699131,0.370144,-0.621793,-0.091614,-1.342933,-0.206303,-0.082173,0.089629,-0.021845,-1.229792,0.7946,0.954926,0.038537,-0.46675,3.814248,-0.48285,-0.489187,0.260676
set,-1.221321,0.995524,-0.125636,-0.278108,-1.199054,0.036407,0.898399,0.36508,0.710956,0.562902,-0.235969,-0.728859,-1.666558,-1.120086,-0.260595,0.442628,-0.488763,0.219444,-0.227636,2.242956,0.910353,0.512084,3.407946,-1.606712,-0.084595,1.337407
group,-1.178429,-0.254015,-0.363765,0.738591,0.776948,0.711781,1.981405,1.643639,1.750119,-0.899856,0.221134,-1.355711,-2.993469,0.912119,0.003478,-0.248504,-0.411831,-0.646954,0.715882,1.701618,-1.178247,1.223451,2.170763,0.462514,0.726294,0.308703
space,-1.395233,-0.017603,0.341599,-0.093365,-1.01509,0.507677,1.890373,2.275904,0.766705,-1.179342,0.659837,-1.260934,-2.018203,-0.808446,0.681947,0.168534,-0.339223,0.058078,0.953436,0.341408,1.501378,-0.017822,3.328228,-0.517614,0.536279,0.263904
two,-2.132884,0.595009,-0.161342,-0.401184,0.096213,0.370222,0.297617,0.731135,0.987846,0.47692,-0.490092,-0.099934,-1.605474,0.005152,-0.131955,0.569091,0.213995,-1.078816,1.053429,0.722961,-0.336822,-0.256937,3.502831,-0.649513,-0.195482,0.4593
theory,-1.048728,0.707618,-0.312046,0.858691,-0.272534,-0.053885,1.280743,-0.112703,1.255829,-1.010244,0.519199,-1.27772,-1.935358,-1.273154,-0.383353,-0.502798,-0.20343,-1.81269,-0.113431,2.215352,0.44667,1.584312,1.768349,-0.833683,-0.145622,-1.555245
point,-0.9999,0.538338,-1.295159,-1.180527,0.191329,1.206823,0.568213,0.574273,0.375728,0.262468,-0.735948,-0.997373,-1.545772,-0.461676,0.242915,0.628263,-0.074724,-1.083398,0.025394,0.196455,0.178293,-0.647209,3.814478,-1.07875,0.546797,0.34221
theorem,0.153915,0.014395,-1.029495,-0.437732,-0.59067,0.12077,0.352062,0.247234,1.168318,-0.564242,-0.810338,-1.361564,-1.09564,-0.873296,-0.198353,-1.873387,1.594041,-0.717992,0.157598,1.520977,1.280382,1.236165,3.353136,-0.340773,-0.289937,-0.769144
