word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
number,-0.210443,0.212903,-1.017487,-0.23793,-0.042445,-0.125265,0.770051,1.150064,-0.270624,-0.570807,0.479508,0.359318,0.608645,0.167101,-0.892685,0.242193,-0.272866,1.321609,0.292268,0.011298,0.373607,-0.183791,0.492635,1.177114,0.200644,0.535973
function,0.690582,0.931844,-1.629749,0.009555,1.543791,-0.470799,-0.855231,1.132789,0.066446,0.510038,-0.206268,0.065277,-0.568542,-0.010432,0.766284,0.260911,-1.506397,1.120298,-0.344245,-0.658722,0.650369,-0.646113,0.597352,1.087328,-0.221063,0.643238
one,-0.524292,0.631609,-1.059044,-0.214869,0.444876,-0.550261,0.770474,0.9109,-0.184798,-0.917636,0.692251,0.498591,0.123985,-0.006426,-0.205519,0.355717,0.131741,0.373412,0.231157,-0.102902,0.080066,-0.543774,0.010418,0.748927,0.190579,-0.100861
set,-0.595116,0.903095,-0.59035,-0.285902,0.404711,0.046671,0.498197,0.573226,-0.50523,-0.926142,0.674769,0.114366,0.042701,0.108886,-0.000762,0.179025,-0.266625,0.390162,-0.082059,-0.637315,0.026692,-0.131478,0.112095,1.337247,0.17099,0.077697
group,-0.009332,0.345288,-0.72545,-0.589542,0.614703,-0.127486,1.13791,0.162023,-0.243584,0.299813,0.027715,1.383725,-0.137003,-0.329748,-0.003243,0.641923,-0.024744,0.638464,-0.266774,-0.294924,-0.325364,-0.564949,-0.268997,0.733045,-0.663886,0.261494
space,0.118885,1.012477,-0.265293,-0.407439,0.962994,0.382133,0.314799,0.833865,-0.285215,-1.020868,-0.518024,-0.127131,-0.173139,0.404717,0.152125,0.373273,-1.137509,0.775656,-0.872012,-0.551404,-0.29695,-0.85055,-0.996477,1.383675,0.491399,-0.238633
two,-0.576139,0.261651,-1.136102,-0.207178,0.443787,-0.856503,1.063062,0.852322,-0.116175,-0.765147,0.422556,0.220136,-0.095738,-0.045335,-0.601426,0.354206,0.071836,0.277376,-0.006431,-0.365438,-0.120694,-0.619683,0.158339,0.911115,0.523304,-0.291121
theory,-0.347767,-0.092809,-0.23196,-0.731004,1.258366,0.928045,-0.683715,0.53619,-0.154997,-1.229978,-0.829755,0.804693,-0.81471,0.612413,1.09652,1.032268,-1.788434,1.564959,0.28872,-0.510287,1.487981,0.121967,-0.138796,-0.189194,-1.156807,0.466947
point,-0.196381,-0.612282,-0.744956,0.595608,0.691411,-0.363065,1.219218,0.977798,-0.274857,-1.585709,0.013066,0.246524,0.471373,0.358773,-0.790471,0.183895,-0.127784,0.710044,-0.249985,-0.89276,0.171364,-0.210653,0.462783,1.008475,0.329244,-0.137742
theorem,-0.192722,-0.745768,-0.11227,0.032923,0.959477,0.547039,-2.076755,0.0783,-0.936406,-0.570758,-1.365814,-0.3215,-0.421275,0.525871,0.58902,0.525083,-2.021716,-0.463372,-0.196368,-0.400772,1.561012,1.530004,1.073487,0.396272,-0.307755,-0.422325
example,0.14582,1.104907,-0.896815,-0.051576,0.673845,-0.39692,-0.316479,1.525156,-0.512795,-0.144347,0.078312,0.410923,-0.146512,0.067947,0.30613,0.662059,-0.543873,1.468652,0.391557,-0.266142,0.444653,0.186641,0.135471,0.522305,-0.133031,0.338065
form,-0.030189,0.760766,-1.268983,-0.271931,0.587235,-0.940714,0.421468,1.120069,-0.327321,-0.038415,-0.141576,0.546186,-0.762548,0.525724,-0.163484,1.321892,-0.074277,0.894807,-0.295423,-0.55163,0.036598,-0.481986,0.164058,0.019338,-0.269123,-0.006181
define,0.751475,0.29848,-0.955178,0.155029,1.281492,-0.070676,-0.495581,1.091641,-0.470731,0.037221,-0.139862,0.708046,0.160039,0.405525,0.183314,0.49837,-0.951999,1.868346,-0.165854,-1.244269,0.402369,0.147895,0.54856,0.391392,-0.396512,0.264337
graph,0.748357,-0.219033,-0.279079,0.823806,1.057173,0.357455,-1.57492,0.531294,-1.076232,0.031828,-0.966751,-0.185134,-0.014124,0.44481,-0.103435,0.528002,-2.070595,0.597153,-0.370374,-0.853944,0.697325,1.136227,0.036211,0.779741,0.047753,0.136485
value,0.339066,0.128992,-0.781421,-0.618872,0.606247,-0.144805,-0.624663,1.647055,-0.913998,-0.540159,0.196254,1.154188,0.942296,0.573144,0.86392,0.199284,-0.770756,1.798004,-0.439376,-0.261883,0.35523,0.493015,1.032575,0.770655,-0.164442,0.320478
problem,-0.030244,0.306642,-1.18978,-0.089485,0.986956,1.177981,-0.242989,1.101051,0.658357,-0.858122,-0.09137,0.631676,-0.514166,-0.178854,0.734603,0.10445,-0.695895,1.068622,-0.270448,-0.105743,0.72394,0.003994,0.233124,0.986521,-0.622522,0.149911
mathematic,0.568024,-0.458014,-0.157462,-1.221327,0.719704,-0.098171,-0.040158,-0.393897,-1.123268,-0.705173,-0.660616,0.44253,-1.117275,-0.015596,0.877204,-0.579427,-2.469869,0.838569,0.200335,0.301046,1.660702,-0.286756,-0.062779,-0.426455,0.460752,0.512673
order,-0.635816,0.837688,-1.27157,-0.295213,0.903631,-0.672672,0.073946,0.010209,0.31172,-0.341478,0.34787,0.434864,0.028302,0.239341,-0.081734,-0.35214,0.192787,0.928417,0.516053,-0.209074,-0.290582,-1.206936,1.105789,0.664614,-0.575512,-0.11037
equation,-0.409017,-0.988461,-0.177154,-0.54058,1.461069,0.309412,-1.612293,1.44129,-0.920324,-0.346835,-1.953588,-0.556681,-0.203005,0.733717,0.84388,1.046276,-1.874918,0.131326,-0.631923,-0.721349,2.067947,0.275181,0.996821,0.946209,-0.684189,-0.485913
first,-0.88178,0.204891,-0.824791,-0.646312,0.490399,-0.721772,1.227024,-0.266625,-0.254888,-0.563099,0.759678,0.347509,-0.095028,-0.202536,-0.256584,0.18527,0.287124,0.400031,0.125463,0.107661,0.131238,-0.555737,-0.058237,0.916018,0.210016,0.180925
vector,0.074955,-0.156315,-0.492411,0.764705,1.511184,0.045784,-1.45504,1.405901,-0.606168,0.455983,-1.223495,-0.490899,0.163044,0.107987,-0.220142,0.822739,-1.640866,0.87348,-0.650384,-0.412526,0.531013,0.100392,-0.22547,1.48724,-0.62365,0.27548
algebra,0.636392,-0.770357,0.169989,0.118698,0.566596,-0.428569,-1.260886,0.286418,-1.578156,-0.432922,-1.22869,-0.372132,-0.966011,0.254174,0.692637,0.093757,-3.12228,0.063208,0.512911,-0.694707,1.17096,0.307283,0.821242,-0.095956,0.256736,0.740129
$\mathbb{N}$,-0.518494,-0.08878,0.258698,0.085442,-0.013041,-0.249526,0.856695,1.716344,-0.438189,1.231151,-1.290921,-0.076187,0.102161,0.459591,-0.314549,0.540624,-0.125991,-0.070204,0.340466,-0.988623,0.21145,-0.330014,0.521637,0.950934,0.287121,1.040031
field,0.045278,-0.488336,-0.850386,-0.782075,1.405867,-0.475631,1.490084,0.416818,-0.127884,-0.971186,-0.878363,-0.073273,-0.316196,0.035733,-0.32647,-0.332732,-0.742291,0.733235,-0.622249,-0.039291,0.448356,-0.701945,-0.621422,0.398221,-0.267172,-0.085287
element,0.197119,1.247165,-0.487836,-0.112981,0.30287,-0.622978,-0.105599,1.403985,-0.669658,-0.728835,-0.199539,0.152873,-0.85882,0.507472,0.393146,0.89553,-0.501618,1.413753,0.1595,-0.798744,0.461198,-0.716679,-0.43066,0.640674,-0.892478,0.120364
system,0.590206,0.963172,-0.598754,-0.678307,1.35974,-0.308122,0.021909,0.953768,0.050842,0.143767,-0.227904,0.245316,-0.229466,-0.523763,-0.091957,0.266804,-1.508277,1.871902,-1.218295,-0.434265,-0.342177,-0.616979,0.01511,1.541755,-0.553298,0.623787
matrix,0.116859,-0.016125,-0.471473,0.302353,0.572563,-0.455026,-1.029661,1.192889,-0.662385,0.01296,-1.298003,-0.337231,-0.222277,0.591144,0.6929,1.020772,-1.601144,0.175095,-0.306681,-0.436114,0.684671,0.591243,-0.171258,1.429088,-0.382022,0.625766
mathematical,0.197298,-0.368053,-0.192091,-0.782866,1.119461,0.310432,-0.713929,-0.243436,-1.208753,-0.775848,-1.005261,-0.055713,-1.043182,0.308736,0.684295,-0.364321,-2.327549,1.389482,0.20621,0.065303,1.845912,0.408711,-0.397401,0.194934,-0.273824,0.617354
method,0.415752,0.861843,-0.975633,-0.549703,1.338677,-0.084998,-0.633498,1.395335,-0.345219,-0.360106,-0.97601,-0.051648,-0.494632,0.218778,1.143463,-0.310721,-1.020524,1.667047,-0.044505,-0.056729,0.828506,0.490205,-0.243253,0.900418,-0.617867,0.427456
finite,0.504773,-0.048813,-0.172372,0.572351,1.10029,0.407085,-1.484741,1.439761,-1.448107,-0.247432,-1.284656,-0.065557,-0.427379,0.423103,0.490838,0.772907,-1.978855,0.472006,-0.293402,-0.894259,1.194561,0.112071,0.953946,0.819185,-0.516493,0.326785
result,-0.043139,-0.67302,-1.735882,0.196564,0.967381,-0.112037,0.706156,0.641625,0.507663,-0.613059,0.200034,0.815875,-0.062028,0.131474,0.29316,0.306859,0.495504,0.993616,-0.526014,-0.145374,0.65981,-0.290956,0.700754,1.661775,-0.515864,0.137352
vertex,0.915537,-0.419444,-0.367556,1.406673,0.313766,-0.757715,-1.69009,0.605592,-0.979717,-0.128326,-0.848169,-0.559977,0.129296,1.05016,-0.302311,0.67899,-1.943349,-0.432609,-0.454548,-1.050447,-0.201043,0.188374,0.243687,1.23859,0.526807,-0.0556
term,0.061071,0.288772,-1.349515,-0.444571,0.897643,-0.304262,-0.095091,0.731642,-0.003105,-0.189329,0.369681,1.138605,-0.056356,0.444859,0.606861,0.385399,-0.28571,1.36926,-0.077057,-0.558874,0.485823,0.034944,0.440603,0.094805,-0.773142,0.175148
line,-0.023699,0.761776,-0.733335,-0.31018,0.281956,-0.257022,0.988657,1.051681,-0.129137,-0.598328,0.536368,-0.551664,-0.177482,-0.094654,-1.022696,1.121853,-0.281853,0.36975,-0.853005,-0.936081,-0.28777,-0.683625,0.749236,0.92463,0.41034,-0.38691
model,-0.327306,0.377383,0.265964,-0.765066,0.6648,-0.362442,-0.109446,1.164802,0.00337,-0.017657,0.161644,0.501241,-0.582177,-0.824759,-0.16937,0.080734,-1.588773,1.078145,-0.648111,-0.592512,0.53411,0.412393,-0.472113,1.500096,0.027221,0.246508
real,-0.429997,0.997681,-0.208712,0.124511,0.616052,0.091724,0.585617,0.3377,-0.027433,-0.62158,0.5003,1.037768,0.276349,-0.50887,0.898778,0.519562,0.055597,0.161944,-0.048112,-0.4283,0.445851,0.405116,-0.43932,1.068401,-0.199685,0.548571
property,0.059389,0.972473,-1.143582,-0.808944,1.008491,-0.520546,-0.165981,0.615093,0.64101,-0.545342,-0.143014,0.401176,0.666758,0.579266,0.589032,0.68704,-0.66009,1.04066,-1.212948,0.502005,-0.123687,0.388113,1.221296,0.040861,0.19596,0.186872
geometry,0.609439,0.046838,0.180179,-0.217195,0.540109,-0.333738,-1.200721,0.566823,-0.801274,-0.978093,-1.418273,-0.66356,-1.463687,0.736726,0.470013,0.373316,-2.248519,0.682098,-0.353935,-0.746881,0.992106,0.232933,-0.065739,0.874477,0.226076,-0.295869
