word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
number,-0.14254,1.483588,0.019083,-0.63442,0.130816,0.638401,-0.801924,-0.469682,0.232944,-0.708169,0.471393,-0.365868,0.72666,0.288884,-0.055216,0.269252,-0.159397,0.400185,0.406943,-0.957876,-0.604678,0.137033,-0.578393,-1.130961,0.378788,-0.91744,0.901644
function,0.421974,1.195218,0.143145,-0.767469,0.5539,1.503968,-0.381218,-0.41404,-0.10635,0.196006,0.958128,-0.421986,1.160541,0.20183,-0.337607,-0.489499,0.389909,-0.08356,0.379647,-2.953241,1.07158,0.772204,0.106174,-0.231437,-0.710298,0.075155,-0.422009
one,-0.529426,1.303984,0.055685,0.141656,0.741028,0.949751,-0.919572,-0.1128,-0.18919,-0.268461,-0.324854,-0.003304,0.376513,0.440543,-0.056029,-0.005698,-0.325157,0.089766,0.297406,-0.385263,-0.153154,0.5374,-0.163628,-0.858351,0.37117,-0.673904,0.536657
set,0.109609,1.167156,0.20021,-0.182909,1.248456,0.766205,-0.606182,0.242632,0.052595,0.196612,-0.064422,-0.181868,0.490995,0.376576,-0.180324,0.440023,-0.008927,0.354965,0.088828,-0.844498,-0.057306,0.829711,-0.564573,-1.053641,0.518858,-0.611281,0.120364
group,-0.267271,1.076695,-0.936457,-0.080714,0.900689,0.274489,-0.821734,-0.055086,0.615942,-0.276719,0.023788,1.045178,0.676047,0.218629,0.060275,-0.724327,0.461674,-0.163831,-0.05977,-0.739209,0.316514,-0.054479,0.317627,-0.304774,0.834668,-0.317114,0.043871
space,0.836545,1.011033,0.154802,0.473682,1.565923,0.661454,-0.61467,-0.289756,-0.069305,0.279135,0.098345,-0.194871,0.490249,-0.031909,-0.222267,0.720558,1.721942,0.201381,0.627879,-1.218671,0.415548,0.870193,-0.242371,-0.617543,0.22069,-0.74351,-0.111042
two,-0.393656,1.093074,-0.096267,0.204463,0.660647,0.925431,-1.008438,-0.338675,-0.234135,-0.055094,-0.409568,0.142732,0.513099,0.091388,0.418997,-0.063613,-0.324883,0.092802,0.188955,-0.464542,-0.595419,0.830742,-0.110014,-0.836731,0.197388,-1.051899,0.650679
theory,1.138749,1.057251,0.595303,-0.555584,0.767979,0.210561,-1.735619,0.976998,0.769379,-0.718033,0.51282,-0.739061,0.104204,1.402057,-0.093248,-0.985455,1.476276,-0.035816,0.458725,-1.781216,0.788269,-0.444464,-0.787593,0.13427,-0.880538,-0.108598,-1.463462
point,-0.235577,1.03159,-0.232318,0.379134,0.75299,0.238414,-1.006502,0.190242,0.117971,-0.355319,-0.049755,-0.711849,0.582098,0.289934,-0.083214,0.17524,0.226342,0.259225,0.315663,-1.239267,-1.874988,0.702959,-0.093319,-0.967695,-0.297881,-0.983183,0.463607
theorem,1.305048,-1.064144,1.169292,-1.156776,1.286535,1.087826,-0.340816,0.488277,0.563503,-0.319184,-0.061892,-2.460394,0.409903,0.734206,0.13666,-0.57598,0.997144,0.249976,-0.937198,-3.191945,-0.552116,0.583843,-0.802666,0.079305,-0.738623,0.095445,-1.83726
