word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
number,-1.974551,1.146638,-0.653498,0.188175,-2.011905,1.273263,0.463552,0.591755,0.176923,-0.342154,-0.692701,0.925901,-0.83723,0.73378,-1.052162,0.57839,-0.93726,0.883459,0.223475,1.71814,-0.137454,1.381615,-3.055584,-0.290619,-0.020493,-0.848065,0.553511
function,-2.097557,1.217988,-2.045105,1.284495,-1.386077,0.397599,-0.686273,0.699927,-0.333587,-0.64641,0.006732,-0.330446,1.022453,0.247089,-0.896687,0.042164,-0.839768,-0.138586,-0.429882,-0.297439,-0.09115,-0.79189,-3.599162,-1.688941,-0.55741,-0.437896,0.698527
one,-1.059938,0.002499,-0.424738,-0.835882,-1.572357,1.204998,0.323723,0.426623,0.053891,-0.765271,0.111762,0.193535,0.042695,0.680908,-0.822181,1.275164,-1.669323,-0.146926,-0.523801,0.74999,-0.450243,0.751698,-2.988156,-0.791594,-1.016123,0.373949,0.402305
set,-0.725431,0.570736,-0.689907,0.305236,0.068701,1.184668,0.817525,-0.22185,-0.270632,-0.676659,-1.200247,-0.276815,-0.942773,0.471919,-1.236351,-0.136313,-2.067389,-0.300064,-1.516575,0.358737,-1.062063,0.725608,-3.839324,-0.757489,-0.501631,-0.745998,0.229156
group,-0.120984,0.310527,-1.741262,-2.079445,-1.911449,2.41951,1.270073,-0.249832,0.72808,-1.479519,-0.41503,-0.629776,-0.319092,0.242408,-1.268332,-0.654431,-1.721235,1.59631,-1.646765,0.670927,1.490682,0.327153,-1.079713,-1.029795,-0.71396,0.11579,0.463626
space,0.258417,-0.992531,-1.546592,-0.472439,-1.076604,0.487701,0.763404,-0.101631,0.478556,-1.3597,-1.158643,-1.398936,0.639133,0.037211,-1.665944,0.336386,-0.737754,0.088783,-1.931373,0.361818,-0.295438,1.156886,-2.81703,-2.552001,-0.893486,-0.332556,0.890432
two,-0.717392,-0.307417,-0.792912,-1.163717,-1.338825,1.404672,0.096025,0.508776,0.201984,-0.993692,0.456977,0.340439,0.102627,0.784956,-0.770947,1.239639,-2.073482,0.367615,-0.442287,0.731588,-1.067999,1.068889,-2.852074,-0.536076,-0.561225,0.551248,0.594369
theory,-1.349585,0.125809,-1.403739,-0.127921,-1.690186,1.4318,-0.002688,-0.705608,-0.823516,-1.093863,-0.871844,-0.032696,-1.362723,0.045396,-2.278904,0.188711,0.291864,0.465437,-2.435164,0.323094,0.158214,-0.208401,-1.928046,-0.896925,-0.102944,0.387846,-0.623421
point,0.044952,-0.462025,-0.377048,-0.218672,-1.119888,1.286491,-0.778574,-0.294264,0.865264,-0.438119,-0.227992,-0.027088,0.620265,-0.28811,-1.537426,0.956048,-1.824504,-0.073447,-0.273036,0.129678,-0.271261,0.928334,-3.973801,0.079575,-0.944409,0.446745,0.178267
theorem,-0.323943,0.063878,-1.033459,-0.152618,-1.232784,2.259071,-0.136011,-0.063048,-1.8704,-1.243214,-1.173794,0.799125,0.556802,-1.489643,-1.297021,0.150973,-0.064937,-0.343876,-0.229681,1.521142,0.499654,-0.465061,-2.830903,-1.4188,0.043189,-0.445829,-0.310875
