word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
number,0.761445,-0.892678,-0.054559,-0.063519,-0.239921,-0.54419,0.681911,0.481291,0.582037,0.036405,0.072106,0.0014,0.528183,0.957553,-0.622129,-0.688884,0.283883,0.345167,-0.938306,-0.972687,-0.059834,0.231983,-0.815162,-1.02587,0.063621,0.414029,0.850747
function,-0.80366,-1.172849,-0.037354,0.574855,-0.894046,-1.062715,0.289892,1.686657,1.402991,0.713588,-0.96705,-0.590451,-0.015344,-0.327845,0.011443,0.146275,0.941664,1.088695,-0.001657,0.258822,-0.205309,0.058168,-0.379499,-0.426631,0.613091,0.256669,1.785191
one,1.315616,-0.819692,-0.261422,0.049631,-0.000363,-0.793393,0.155394,0.180145,-0.146828,0.406502,-0.446946,0.031236,0.461857,0.518155,-0.199837,-0.547438,0.684133,0.410255,-0.343966,-0.382681,0.169096,0.242721,-0.628862,-0.561383,-0.240795,0.713348,0.677625
set,1.107175,-0.403486,-0.511137,-0.035818,0.155351,-0.536656,-0.125476,0.48159,0.085475,0.487605,-0.55879,-0.389075,0.424818,0.440042,0.097672,-0.331104,0.658447,0.487055,-0.363121,-0.449249,-0.560705,0.076964,-0.162607,-1.073352,0.0552,0.730768,0.600304
group,1.17051,-0.385158,0.626221,0.250452,0.253664,-1.396059,-0.203377,-0.057088,0.702874,-0.009667,0.292999,0.651114,-0.147048,0.515533,0.407762,-0.106495,0.332294,0.402765,-0.237736,0.483427,0.213242,-0.300573,-0.260728,-0.793608,0.27171,-0.105408,1.102251
space,0.597566,-0.004193,-0.354879,-0.389822,0.206823,-0.454715,-0.77391,1.825456,1.010157,0.855523,-0.560979,-0.191256,0.18666,0.286699,0.865187,-0.372827,0.704845,0.679394,-0.219048,-0.657651,0.264492,0.315339,0.400236,-1.182962,-0.697569,0.126728,0.582101
two,1.60675,-1.076841,-0.169455,0.049156,0.030138,-0.774864,0.004408,0.069074,0.236455,0.303658,-0.717464,-0.005031,0.685144,0.216485,-0.222087,-0.326358,0.566146,0.266076,-0.234509,-0.794906,0.188994,0.565375,-0.554155,-0.575176,-0.162637,0.275377,0.3134
theory,-0.760193,0.109446,0.305115,0.372962,0.728519,-0.862685,0.741163,2.195065,0.327573,-0.487101,-0.03951,-2.09121,-0.699013,0.364034,0.058102,0.14617,0.984331,-0.169275,0.163457,0.978747,0.59706,-0.163368,0.45623,-0.775413,-0.64381,0.594042,1.937258
point,0.893454,-1.136035,-0.168026,-0.524408,-0.05957,-1.047944,0.338532,0.221421,0.225798,0.025921,0.639279,-0.238285,0.630284,0.259942,-0.433346,0.265409,1.126918,-0.25823,-0.291221,-1.412854,0.197828,0.70103,-0.258494,-1.219717,-0.453351,0.601615,0.324323
theorem,-1.632872,0.166579,0.026786,0.359466,-0.366129,0.009221,1.49446,1.215017,0.844339,-0.698413,-0.373393,-2.185384,0.668873,-0.930005,-0.095242,0.24682,1.21129,-0.533051,0.979562,0.166816,-0.945915,0.034788,1.725719,-0.229753,-0.281958,1.095164,0.588857
example,-0.260864,-0.461354,-0.064903,0.459096,-0.245965,-0.932235,0.679894,1.08632,0.312992,0.098159,-0.790019,-0.35958,-0.07608,0.409892,0.269519,-0.63093,0.723947,0.734991,-0.32971,-0.20474,0.331565,0.088957,-0.639061,-0.856019,0.766676,0.923216,0.998668
form,0.466647,-0.648717,0.332623,0.701896,0.315604,-1.696453,0.344964,0.863217,0.667741,-0.061647,-0.873004,-0.116385,-0.073919,0.314643,0.114951,-0.065397,0.874945,0.48462,-0.291045,0.059697,0.599654,0.146604,-0.881558,-0.417691,0.552592,0.42806,0.205883
define,-0.787403,-0.576629,-0.016775,0.398748,-0.149254,-1.125659,1.001844,1.5103,0.970912,0.058321,0.35521,-0.687333,-0.415358,0.553337,0.012641,0.140368,1.248751,0.698374,-0.008052,-0.264203,-0.109454,0.224618,-0.392352,-0.918499,0.725004,0.548501,0.961118
graph,-1.755465,0.087129,0.077792,-0.382813,-0.342428,-0.657993,1.33968,1.453753,1.148136,0.008256,-0.435012,-0.99754,0.163776,-0.418483,0.445817,-0.227493,1.415977,-0.076673,0.504667,-0.631633,-1.021534,0.251625,1.483068,-0.611795,0.179632,0.358929,0.778324
value,-0.503452,-0.253442,-0.377334,0.556041,-0.108926,-0.79223,1.698706,1.00331,0.999387,0.339421,0.411992,-0.553286,0.150606,0.618565,-0.152533,0.073333,0.488658,0.77561,-0.696727,-0.423604,0.00662,-0.160505,-0.438276,-1.23316,-0.017198,1.76785,1.207038
problem,-0.322919,-0.905624,0.170915,-0.138543,-0.18652,-0.901707,-0.226716,1.459233,0.492694,0.484993,0.571485,-1.028906,-0.233627,0.078187,-0.128494,-0.368345,0.097819,0.478043,0.328391,0.227082,0.081246,-0.260954,-0.096585,-0.778538,-0.475415,1.352689,1.589859
mathematic,-0.125775,1.079078,0.111598,0.070428,-1.147945,0.261869,0.774633,0.957683,1.024809,-0.241773,-0.414433,-1.802837,0.327649,0.935714,0.09555,0.515562,1.245308,0.146643,-0.307187,0.480745,0.240146,0.247229,0.827373,0.808867,-1.151763,-0.517469,2.224865
order,1.075525,-1.873892,0.111528,0.400194,-0.053671,-0.120226,-0.166894,0.325775,0.277373,0.242171,-0.409617,-0.561058,-0.625964,-0.051202,-0.122061,-0.094432,0.504897,0.528979,-0.596016,-0.025126,-0.306071,-0.304346,-1.065738,-0.09642,0.220601,0.648669,0.697538
equation,-1.234911,0.069486,0.37835,0.974527,-0.197441,-0.51597,1.249021,2.311311,1.419491,-0.969693,-0.985809,-1.579174,0.457587,-1.231331,-0.947814,0.167652,0.700804,-0.155263,0.888673,-0.094467,-0.636306,0.388785,1.285629,-0.907635,-0.991848,1.278148,1.242703
first,2.057254,-0.684159,-0.215256,-0.088271,-0.120146,-0.476583,-0.015087,-0.25679,-0.122921,0.101787,-0.620139,-0.0469,0.234202,0.555784,-0.019494,-0.014741,0.349318,-0.211979,-0.267359,-0.241917,-0.132809,-0.194877,-0.5087,-0.517165,-0.184914,0.025645,0.890301
vector,-1.665129,-0.598517,0.566646,0.534345,-0.30672,-0.477045,0.827083,1.728042,1.260825,0.215655,-0.770443,-0.078435,0.231649,-0.615316,-0.175526,-0.523798,0.94066,0.131363,0.396922,-0.763602,-0.848368,-0.022106,0.95651,-1.272887,0.070258,-0.046419,1.151684
algebra,-1.820872,0.734587,0.404467,0.378791,-0.660671,-0.016916,1.423156,0.984085,1.116241,-0.581759,-0.661231,-1.92941,1.077559,-0.518342,0.160415,0.570527,1.68051,0.1162,-0.48695,-0.066074,-0.496162,0.5952,1.543113,0.299233,-0.292558,-0.290061,1.45587
$\mathbb{N}$,0.134506,-0.008539,0.438569,0.944503,0.248437,-0.592926,0.30541,0.856401,0.21124,-0.416388,-0.192254,0.630323,0.812162,-0.74949,-1.208351,0.301067,-0.260638,0.495581,-0.905685,-0.707623,0.005842,0.903209,0.768038,-0.942407,1.201892,-0.503016,0.626187
field,1.394854,-0.135685,0.826188,-0.093009,-0.635448,-1.01776,-0.255119,0.502796,0.945877,0.281804,-0.265232,-0.67972,-0.139602,0.165464,-0.238294,0.204175,0.987229,-0.188304,0.142469,-0.708855,0.720525,0.178879,-0.148432,-0.879339,-1.131019,-0.364928,0.914886
element,-0.349456,0.058874,0.167073,0.58044,0.738675,-1.14742,-0.05326,1.381075,0.322913,-0.091143,-1.221436,-0.467707,-0.315806,0.412978,0.418862,-0.087851,0.916957,0.994803,-0.55956,-0.452141,0.41183,0.112768,-0.895485,-1.154269,-0.07245,0.475584,0.897023
system,-0.104142,-1.013216,0.309055,-0.033896,-0.81815,-0.905022,-0.263175,1.294631,1.869158,0.454798,-0.654012,-0.35714,-0.390983,0.525375,0.601954,0.148217,0.126127,1.160261,-0.378462,-0.089723,-0.105555,-0.263591,-0.258419,-1.853928,0.072551,-0.095962,1.198634
matrix,-1.497113,0.061721,0.106055,0.623228,0.338125,-0.757203,0.830596,1.323794,0.964111,0.391025,-1.011398,-0.558111,0.646165,-1.077535,-0.009952,0.265278,0.789335,-0.025091,0.049609,-0.296514,-0.06397,0.213259,0.620749,-1.10197,0.408761,0.305816,1.092318
mathematical,-0.684991,1.082555,0.281386,0.201324,-0.610594,0.213596,0.886727,1.596013,1.154485,-0.26728,-0.776269,-2.128215,-0.214942,0.792905,0.370991,0.30125,1.343046,-0.324974,0.145991,-0.04125,-0.019826,-0.199471,0.904949,-0.120433,-0.666299,0.068188,2.346109
method,-0.651123,0.086661,0.418744,0.045796,-0.763405,-0.757004,0.589686,1.500265,0.805864,0.656026,-0.687492,-1.166866,-0.907943,-0.422436,0.184724,-0.152608,0.40102,0.885993,-0.094725,-0.441094,0.324507,-0.165093,-0.117181,-0.918299,0.133689,1.079444,1.830578
finite,-1.867018,0.043395,0.494522,0.821416,-0.300667,-0.774532,0.782279,1.966902,1.072831,-0.603161,-0.357096,-1.083582,0.552713,-0.635632,-0.162394,0.091512,1.533812,0.495214,-0.203464,-0.403594,-0.916625,0.217066,0.925272,-0.604558,-0.056785,0.952871,0.986749
result,0.664501,-1.474711,0.155963,-0.0384,0.092483,-1.517549,0.063454,0.396355,0.815767,0.15564,0.332606,-0.061984,0.024047,0.027547,-0.377939,0.398921,0.153926,-0.322562,0.41249,-0.539792,-0.030134,-0.229152,-0.838699,-0.685498,-0.217068,1.054958,1.350222
vertex,-1.878574,-0.495562,-0.276859,0.070279,0.479876,-0.209486,1.149328,0.799656,1.408051,0.709468,-0.69443,-0.149319,0.951389,-0.993081,0.381802,-0.13621,1.807136,0.27998,0.004498,-1.092817,-1.229169,0.70911,0.782192,0.100779,0.095272,-0.226909,-0.213219
term,0.261531,-0.715724,0.026624,0.682228,0.075959,-1.251124,0.940824,0.583849,0.527061,0.248688,0.157965,-0.604496,-0.611055,0.485421,-0.069583,0.06722,0.558986,0.559165,0.164558,0.353707,0.102326,-0.340327,-0.998302,-0.425249,0.20271,0.740683,1.056217
line,1.062842,-1.139024,-0.344514,-0.382588,-0.013447,-1.307352,-0.433597,0.785324,0.867755,-0.309789,-0.730779,-0.115168,0.845005,0.442675,-0.080734,-0.237865,0.433352,0.612701,-0.370956,-0.562935,-0.163841,0.707976,-0.37066,-1.073889,0.097104,-0.064225,-0.938954
model,-0.063396,-0.469255,0.086549,0.423225,0.068516,-0.134045,0.343543,0.802577,0.925428,0.19154,-0.888626,-0.684041,0.287964,0.908226,0.465597,0.174014,-0.04756,0.982533,0.36137,-0.335453,0.254292,0.314243,0.931629,-2.074488,-0.084903,0.187506,1.291702
real,0.798102,-0.099425,-0.266311,0.778658,-0.100236,-0.425874,-0.152892,0.435268,-0.548244,0.484542,0.224035,0.279718,0.589777,0.297524,0.786466,-0.285027,0.428693,0.188749,0.255897,0.323014,-0.374993,-0.046144,-0.043163,-1.318184,0.052053,0.997287,1.100413
property,0.597589,-0.924681,-0.347807,0.879189,-0.881349,-0.282877,0.892435,1.391659,1.504642,0.778852,0.018309,-0.886417,0.023113,-0.385027,0.468688,-0.163613,0.04165,0.025188,-0.166317,0.640149,0.677503,-0.087864,-0.942037,-0.817403,0.106129,1.112903,-0.198629
geometry,-1.190424,0.475847,-0.081679,0.31455,0.294302,-0.085263,0.178238,1.848164,1.383518,-0.165324,-1.433724,-1.527604,0.139026,-0.228485,0.606779,0.67983,1.380108,0.114542,0.189984,-0.888738,0.343843,0.737564,1.076357,-0.148427,-0.485828,0.147357,0.966688
complex,0.002843,-0.254651,-0.019712,0.637892,-0.481059,-1.115599,-0.096201,1.792764,1.146522,0.488528,-0.621768,0.117327,0.338165,0.13229,0.949106,0.244032,0.933615,0.441642,-0.274233,-0.071379,0.896684,0.462228,-0.278564,-0.300039,-0.21803,0.071639,0.370071
linear,-1.243616,-0.474899,-0.94489,-0.622972,0.488335,-0.934336,2.079529,1.859087,1.690856,-0.513842,-1.079953,0.202763,0.232638,-0.387304,-0.306403,0.374761,0.528614,0.279076,0.528638,-1.330114,-0.091873,0.991049,0.838923,-1.275937,-0.24862,-0.227722,0.647699
polynomial,-2.101643,0.376357,0.02383,0.692173,-1.047955,-0.100859,1.592632,1.010696,0.831453,-0.662982,-0.579642,-1.517997,1.139118,-1.031842,-0.550257,0.0668,1.60139,0.045196,0.706929,-0.230847,-1.608024,0.39154,1.555534,-0.077467,0.033711,0.982197,0.587576
algorithm,-1.838224,0.118166,0.198163,-0.601541,-1.461321,-0.883105,1.04548,1.270199,0.808215,0.335835,-0.786432,-1.032852,-0.162219,-0.705648,0.244207,-0.24745,1.160118,0.500289,0.042944,-0.402311,-1.231731,-0.294309,1.449886,-1.309407,-0.080214,0.509214,1.368112
mathematician,0.298335,0.698115,0.513812,0.146815,-0.648869,1.935116,1.298735,-0.491851,-0.022374,-1.879011,-1.106546,-1.214549,-0.91788,0.259838,0.201692,-0.318747,0.806516,-0.531118,1.554497,0.820151,0.49069,0.544544,0.981758,0.173466,-0.877154,-1.160944,1.175157
definition,-1.102088,-0.213084,-0.140533,0.227883,-0.041052,-0.8416,0.945808,1.406985,0.786969,0.131297,0.417841,-0.838803,-0.338773,0.841067,-0.055022,-0.17333,0.880184,0.474633,-0.166432,-0.213951,-0.399681,-0.279491,-0.340457,-1.190241,0.704551,0.601509,1.37957
product,-0.018365,0.129419,0.325737,0.546158,-0.629299,-0.949291,0.683061,0.352464,1.678904,1.260381,-0.664628,0.133677,0.21136,-0.044755,1.054491,-0.312702,-1.249157,1.009158,-0.429689,0.085778,0.667818,-0.887668,-0.073554,-1.803146,0.872965,1.19368,1.135087
