word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
number,0.020838,-0.297361,-0.038438,-0.720489,1.207666,0.808326,-0.160718,0.604101,0.470632,-0.311618,0.23187,-0.48779,0.297215,-0.078344,1.082152,-0.107886,1.238454,-0.279206,-0.316354,-0.005191,0.311927,0.217541,0.670899,0.170303,0.118787,0.116173,-0.296753,1.81939
function,0.752602,-0.300324,-1.030026,-1.174642,0.199205,1.929888,0.135568,0.902609,0.217013,0.366274,-0.472728,1.156159,0.123205,0.447151,0.412843,-0.270506,0.950964,-0.932728,0.300537,0.320579,-0.727657,0.025827,0.302783,1.90947,1.11671,-0.836306,0.356942,1.099281
one,0.099047,0.430968,-0.182862,-1.175742,0.538963,0.419241,0.162804,0.071072,0.711324,0.147691,-0.119032,-0.228079,0.495902,-0.245651,0.381727,0.010859,0.842494,0.128067,0.165567,-0.673958,-0.446233,0.196952,0.501435,-0.244573,0.01109,0.084082,-0.306633,1.468649
set,0.023474,-0.089888,-0.31234,-0.971272,-0.009256,0.817932,0.466766,0.211445,0.797231,-0.444339,0.284143,0.026199,0.248273,-0.062673,0.363291,-0.236013,0.989479,-0.40828,-0.552852,-0.625604,-0.578063,0.054795,0.869169,0.006196,0.179103,0.038006,-0.088517,1.359744
group,-0.028099,0.109217,-0.988173,-0.725279,-0.423209,0.117446,0.128952,0.231369,-0.118735,0.586976,0.128138,0.593301,0.426155,-0.980036,0.536971,-0.236005,0.755988,-0.622075,0.640462,-0.063874,0.028571,-0.729547,0.288963,0.037768,-0.077476,0.114035,-0.673156,1.782203
space,-0.002416,0.697465,-0.592755,-0.265818,-0.295737,0.211336,0.402062,0.487113,0.801567,-1.15408,0.417446,1.019842,0.189712,0.58828,0.837075,0.249914,1.564615,-1.34483,0.127346,-1.084448,-0.948395,-0.279435,0.620413,0.906293,0.703543,-0.29602,-0.210947,1.199305
two,0.211668,0.31864,0.133702,-0.850921,0.545331,0.355362,0.226766,0.251468,0.944053,-0.127616,-0.304537,-0.011626,0.796182,-0.64958,0.619118,-0.151614,0.876639,0.002331,0.338033,-0.645983,-0.409403,0.442526,0.372374,-0.393727,0.167648,0.047042,-0.161219,1.461155
theory,0.493118,0.730372,-1.492649,-1.123881,0.375165,0.830505,0.875678,-0.571149,-1.635674,-0.472688,-0.812975,1.200092,-0.348566,1.279683,0.535795,-0.174935,1.067728,-1.006063,-1.577703,0.543202,-0.517061,-0.453366,-0.147059,1.027682,0.192456,-1.211317,-0.616013,1.105807
point,1.04265,0.573156,0.258383,-0.476201,0.721123,-0.068904,0.166519,0.768111,1.091731,-0.147128,-1.14205,0.161915,0.046587,0.500234,1.054628,0.106286,1.216836,-0.055739,-0.607688,-0.165196,-0.207392,0.330417,0.72892,-0.781822,0.024635,-0.094093,-0.652787,1.46908
theorem,1.885177,0.74719,0.287814,-0.159251,-0.782033,2.899472,1.543051,0.255194,-0.248762,-0.234419,-0.889821,1.041912,0.031131,1.912074,0.749151,-0.378424,0.637214,-1.844514,-2.209868,0.533686,-0.681185,0.219826,-0.164988,0.466017,-0.004046,-1.076671,0.138944,-0.457358
example,-0.077285,0.202114,-0.973417,-1.224935,0.68909,1.2065,0.597283,0.382516,0.253996,0.455501,0.12778,0.349195,0.086197,0.254987,0.49363,0.15214,1.15169,0.154942,-0.373301,0.132678,0.020921,0.011361,0.480946,1.060907,0.637879,-0.485861,-0.114565,1.042719
form,-0.204619,0.332661,-1.101692,-1.027859,0.396503,0.941097,0.391902,0.018526,0.400016,0.628107,-0.113124,0.6287,0.569515,-0.253568,0.896079,-0.212086,1.081798,-0.038519,0.612048,-0.061658,0.004393,-0.108762,0.123823,-0.046206,0.657813,-0.808037,-0.484836,0.982301
define,0.482023,-0.195158,-0.897182,-1.001527,0.271894,1.237072,0.357396,0.379255,0.531707,0.371716,-0.131504,1.259185,-0.103727,1.003466,0.92043,-0.093734,1.140006,-0.588264,-0.501453,0.85873,0.18561,-0.287582,0.564211,1.082287,0.931404,-0.701977,-0.473425,1.268331
graph,2.101418,0.478358,-0.11967,0.056692,-0.195672,1.686572,1.161012,0.656399,-0.103528,0.038798,0.224139,0.769733,0.037237,1.870943,1.396125,-0.770714,1.298242,-1.226565,-0.776022,0.895985,-0.431756,-0.21825,0.618378,0.941147,0.68311,-0.49389,0.770457,-0.012059
value,-0.394329,-0.151598,-0.228048,-0.850275,0.97497,1.16016,0.32783,0.76927,0.170885,0.712028,0.203517,0.135099,0.151217,1.329605,1.070596,-0.002449,1.155004,-0.410488,-0.923965,0.578921,-0.556331,0.05436,0.503552,1.419073,-0.055596,-0.642393,-0.93727,1.577151
problem,0.182474,0.520776,-0.924965,-0.963795,0.732355,0.560551,-0.15794,1.046562,-0.759328,0.065053,-0.474802,0.846522,-0.449783,0.746651,0.156023,-0.224333,0.568909,-0.464498,-1.09998,-0.450748,-0.949153,-0.033211,0.215052,0.849376,0.509058,0.144733,-0.464929,1.248861
mathematic,1.682283,0.798587,-0.4392,-0.708103,-0.416874,1.716055,-0.471374,-0.571932,-1.355996,-1.720908,-0.492616,0.635805,-0.019295,1.485342,0.077517,-0.100687,1.536284,-0.073623,-0.489289,0.455742,-0.345495,-0.193302,-0.866227,1.109681,-0.820986,-0.88844,0.224169,0.833752
order,-0.185962,-0.564992,-0.801786,-1.335967,0.614008,0.503171,0.335302,0.511519,0.436164,-0.103014,-0.141096,0.305765,1.035702,0.021068,-0.142234,-0.542442,-0.400534,-0.361918,0.348426,-0.288076,0.000186,0.402324,0.639899,-0.140056,0.261765,-0.224642,0.152616,1.816482
equation,0.650956,0.896158,-0.222413,0.232917,0.291954,2.447634,0.772518,0.050852,-0.37259,0.279847,-2.274463,0.950331,-0.385889,1.446354,0.821335,-1.078488,1.349773,-1.858344,-1.868772,-0.152388,-0.719692,0.56369,-0.44585,1.597176,0.267241,-1.494095,-0.102718,-0.079613
first,0.188848,-0.150933,-0.045902,-0.764025,0.020986,0.185225,0.346187,-0.072264,0.163629,-0.28882,-0.317607,-0.615964,0.200847,-0.674969,0.059414,-0.475934,0.79755,0.294041,0.373517,-0.460035,-0.520562,0.392186,0.044934,-0.683658,-0.451061,0.182052,-0.017253,1.751651
vector,0.989848,0.486289,-0.581939,0.303923,0.123173,1.875884,0.568863,0.617761,0.344875,0.625724,-0.894449,0.612429,-0.449849,0.862996,1.006077,-0.793049,1.110957,-1.738924,-0.634967,0.197948,-0.131907,-0.222719,0.888353,1.980977,1.067116,-0.860774,0.851388,0.559221
algebra,1.915279,0.451292,-0.665576,-0.383011,-0.694454,2.624828,0.274567,-0.133948,-0.142279,-1.02728,-0.433164,1.225551,0.631095,0.813649,0.804483,-0.128904,1.032368,-1.337915,-1.344394,0.946006,-0.051432,-0.506738,0.221351,1.298701,-0.396128,-1.920374,0.903633,-0.126148
$\mathbb{N}$,0.392238,-0.271471,-0.587784,0.735612,0.60251,1.196704,-0.097654,-0.122821,1.271036,0.296652,-0.627145,0.015159,0.328094,-1.367271,0.522918,-0.063846,1.220261,-1.251736,-0.732437,0.659125,0.2248,-0.250275,0.305218,0.627269,0.534333,-0.338054,-0.181753,0.161857
field,0.511241,1.146461,-0.271783,-0.613775,0.026336,0.101978,0.021911,0.53791,-0.004303,-1.012932,-0.894713,0.738619,-0.336512,-0.370471,0.827086,-0.629235,1.01253,-0.40322,0.555955,-0.161566,-0.267345,0.468771,0.187514,-0.042133,-0.058091,-0.299249,-0.614345,1.248769
element,-0.566237,0.248044,-1.448148,-1.1704,0.555498,0.4664,0.748936,-0.180565,0.435937,0.169874,0.237997,1.224844,0.292634,-0.029107,0.695646,-0.203921,1.609667,-0.188795,-0.394442,-0.268264,0.096797,-0.061379,0.621964,0.720655,0.392271,-1.073579,0.38494,0.741221
system,0.012047,-0.183692,-0.962388,-0.593622,-0.16069,0.15263,0.118092,1.611471,-0.153311,-0.29124,-0.572513,0.381582,-0.304458,0.044095,0.705492,-0.738119,1.388793,0.208349,0.392788,-0.38257,-0.59506,-0.49371,0.503339,1.732965,1.007628,-0.99078,-0.228377,1.717466
