word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
number,1.133191,-0.077364,-0.831456,0.540575,-0.269433,0.770809,0.915592,-0.352919,1.406144,1.769914,1.500834,0.189619,-0.185964,0.896627,-0.639233,0.796194,-2.826621,1.594613,-0.306916,-0.691784,-0.609927,-0.134124,-0.10737,2.652408,-0.254359,1.070165,-0.282726,0.776761
function,0.256103,0.525478,-0.532451,-0.673405,0.198702,-0.03489,2.302657,0.26859,1.815585,0.50847,2.270947,2.139737,-0.600759,1.406118,-0.281933,0.176056,-1.559373,1.225099,-1.46548,-1.3712,-0.79295,0.553937,1.334697,0.058847,0.667569,0.941908,-0.990783,0.114945
one,0.728616,0.126652,-0.247178,0.027236,-0.799112,0.764248,0.362223,-0.208832,0.727763,0.736884,2.329456,1.726762,0.33392,0.183577,0.213038,1.199778,-2.384906,1.274693,-0.464416,-0.771812,-1.292063,0.027986,-0.852103,0.651969,-0.039881,0.815048,0.266127,-0.312027
set,1.788755,0.072003,-1.173452,-1.238494,-0.46905,0.235153,0.22522,1.167627,0.569089,1.640233,2.685795,0.833782,-0.647374,1.459232,0.640035,0.382537,-2.025594,0.188564,-1.069403,-1.473729,-0.818676,0.200713,-0.734594,1.416082,-0.678767,0.477466,-0.470373,-0.275613
group,-1.011509,0.010606,-0.737982,0.089802,-0.589349,0.223081,-0.365274,0.068667,1.999106,1.750488,1.940422,0.988906,0.28805,-0.503356,-0.246423,0.419389,-1.713227,0.623224,1.338954,-2.428423,-0.679676,1.216612,-2.272732,0.800366,-0.924794,0.314066,-1.135245,0.373348
space,0.585494,-0.090317,0.045567,-0.472498,0.371504,-0.038493,0.73599,1.439097,0.827183,0.585197,2.15876,2.261984,-0.122901,0.524205,1.027366,0.662654,-1.93549,1.177012,0.202841,-2.162628,-0.779501,0.331628,-1.338468,-0.005347,-0.61087,-0.394722,-2.226435,-1.05129
two,0.53857,0.224979,-0.32981,0.096762,-0.9557,1.085822,0.039522,0.157611,0.710682,1.053971,2.288966,1.427059,0.290338,-0.340375,0.018943,1.251181,-2.268383,1.573851,-0.838217,-0.887242,-1.055559,-0.199636,-0.712938,0.400964,-0.762745,0.81795,0.205623,-0.780014
theory,0.135139,0.523047,0.885459,0.61275,0.597349,-0.10478,-0.175977,0.635245,2.045744,1.879307,2.284077,1.550075,-0.653178,1.645561,-0.2183,-0.255443,-0.428314,0.272789,-0.198957,-1.285405,-1.018908,1.442737,-1.393229,1.908501,-0.189165,0.333124,-0.192413,-0.018875
point,0.970446,0.110345,-0.189925,0.027076,0.624067,0.883513,0.323905,0.454536,-0.417071,1.069351,2.992623,1.512989,-0.403104,-0.595907,-0.333001,1.831632,-1.476825,1.160869,-1.276243,-2.312977,-0.358528,-0.598707,-0.410796,0.594664,0.132734,0.359899,0.105754,-0.597419
theorem,1.08908,-1.217077,0.000251,1.93469,-0.580078,-0.625536,-0.288329,0.303609,0.558099,0.638052,2.617099,1.591888,-0.957009,0.850515,-0.59135,-0.194723,-0.706843,1.0021,-1.708475,-1.693964,-1.457831,1.292357,-0.572154,0.614653,-0.355548,0.234379,-0.961214,1.398305
