word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
number,-0.236121,-0.090659,-0.444748,-0.095635,0.598625,0.631492,-0.210888,-0.163095,0.854603,0.340725,0.461021,1.181622,0.428494,0.565348,0.446566,-0.522151,1.084913,-0.21288,0.376078,0.777139,-0.25025,-0.435188,0.591345,-0.322158,1.244705,-0.061398,-0.001923,-0.988397
function,-0.609897,0.196231,-0.665018,0.055494,-0.53332,-0.356269,-0.680658,0.458892,1.391167,-0.421145,-0.477686,1.874793,-0.718065,-0.333855,1.05731,-0.209651,0.971148,0.241573,1.615176,-0.710167,-0.071529,0.041886,-0.474952,1.1171,1.346287,0.193718,-1.003769,0.013202
one,0.013841,0.125419,-0.11908,-0.40877,0.537794,0.143193,-0.533357,-0.150337,0.733934,0.228931,0.476158,1.451046,0.12528,0.559329,0.31331,-0.391688,0.321166,-0.115865,-0.367141,0.249253,-0.321595,0.057796,0.167459,-0.031745,0.516537,-0.451644,-0.574757,-1.208254
set,0.118984,0.287182,0.408456,-0.058092,0.149867,0.183002,-0.602539,0.321732,0.351589,0.227544,-0.006284,1.64235,0.139961,0.715191,-0.084742,-0.424703,0.450079,-0.000633,0.055436,0.247817,-0.500188,0.370515,0.119278,-0.023831,0.837953,-0.353753,-0.415479,-0.807722
group,0.59515,-0.189262,-0.407029,-0.620908,0.79273,0.045802,-0.194128,0.197199,0.31772,-0.669056,0.007679,1.16493,-0.503749,0.513729,0.510563,0.449273,0.225827,-0.539111,-0.099724,0.117246,-0.719579,-1.210052,-0.068001,-0.062808,0.462517,-0.45071,-0.848282,-0.248345
space,0.658031,0.077047,0.420691,-0.247473,0.575189,-0.511905,0.277195,0.66394,-0.430976,-0.192736,-0.653335,2.168786,-0.177743,0.013595,0.433586,-0.866011,0.405094,0.874626,0.951932,0.633399,-0.300764,0.193224,-0.200202,0.366508,0.660666,-0.159144,-0.638502,-0.614681
two,-0.196594,-0.119841,-0.344199,-0.373376,0.312227,0.015492,-0.573876,0.357875,0.541718,0.33388,0.302656,1.427219,0.417107,0.596043,0.329273,-0.455821,0.552312,-0.226625,-0.171243,0.226125,-0.502982,-0.142551,0.098618,-0.00165,0.002572,-0.171303,-0.57755,-1.551953
theory,-0.111021,0.63795,0.69865,-0.485982,0.77934,-0.690684,1.518891,0.516681,1.246996,-0.707246,-0.658764,1.054974,-0.46097,-0.224385,0.265897,-0.204712,1.403742,-0.694313,0.420451,-0.496605,0.942763,0.936928,-0.12606,0.249796,1.694604,0.086695,-1.686519,1.34881
point,0.144393,-0.3044,0.037741,0.385651,0.876277,0.650303,0.242831,0.593959,0.676661,1.072188,0.946744,1.311686,0.309753,-0.252454,-0.096461,-0.848863,1.124003,-0.598751,0.433668,0.599404,-0.116309,-0.023973,0.275858,-0.340536,0.133629,-0.368289,-0.710582,-1.270491
theorem,-0.407173,1.264304,0.777661,0.017506,-0.61222,-0.251881,0.977749,0.960838,1.994897,0.363962,-0.831077,0.673129,0.634451,-1.604039,-1.343163,-0.177883,0.442149,-0.385574,1.23136,-0.412542,0.750888,1.395599,-0.670825,-0.244514,0.667659,1.173845,-0.778211,1.257
example,-0.524654,0.472712,-0.485795,0.145175,-0.08492,-0.188008,0.058824,0.05752,1.013255,-0.625845,0.223927,1.414492,-0.07796,0.296458,0.426666,-0.604582,0.124268,-0.252088,0.742276,-0.126588,0.214897,-0.016679,0.00427,0.197722,1.856302,-0.216053,-0.655452,-0.417133
form,-0.113204,-0.074649,-0.595972,-0.387166,0.193368,-0.661349,-0.110112,0.085823,0.598078,-0.658439,0.519758,1.496589,0.541326,0.45026,0.551768,-0.482452,0.109827,-0.55671,0.572832,-0.580417,0.291878,-0.686015,-0.379311,0.166735,0.812936,-0.137952,-1.273227,-0.665851
define,0.21559,0.167261,-0.191289,0.811922,0.160429,-0.353115,-0.024886,0.330313,1.275917,-0.623838,0.433029,1.399246,-0.220101,-0.370967,0.459766,-0.537676,0.720801,-0.4505,1.242654,0.159539,0.495531,-0.285449,-0.356043,0.478699,1.819785,0.301868,-0.887015,0.243747
graph,-0.681421,1.089023,0.01567,0.844643,-0.169843,0.417112,0.121014,0.954009,0.906072,-0.048412,-0.755061,1.346822,0.280224,-1.785502,-0.839718,-0.375297,0.305266,0.170761,1.711856,0.200727,0.499552,0.567874,-0.65671,-0.001999,1.492276,0.744445,-0.705372,0.876361
value,0.662202,0.428543,-0.268352,-0.468275,0.037812,0.257193,-0.075872,-0.046931,1.69834,0.040851,0.671144,1.434854,-0.540059,-0.035709,-0.008613,-1.135035,0.886144,-0.409119,0.939982,0.528868,0.54754,-0.189953,-0.231438,-0.326909,2.269205,0.115187,0.003616,0.295757
problem,-0.352324,-0.350621,0.824473,-0.399178,0.695732,-0.141049,0.13864,0.009506,1.375724,-0.052787,-0.32638,0.86083,-1.074849,0.108349,0.080281,-0.608946,0.955796,0.059601,0.931848,-0.61686,-0.259407,0.410175,0.398946,0.256653,1.239197,-0.500104,-0.886135,0.049962
mathematic,-0.765129,1.361149,-0.044657,-0.902882,0.565274,0.330534,0.731384,0.829842,0.492113,0.656702,-1.067171,0.92615,-0.582654,-0.752961,0.246019,0.960134,1.61953,0.582002,-0.745402,0.118812,1.994966,0.136003,-0.327936,0.661371,1.206631,0.786557,-0.722347,0.688551
order,0.413884,-0.231526,-0.258613,-0.393238,-0.312858,-0.098148,-0.987853,-0.553704,0.762741,-0.594651,0.177685,0.760582,-0.610708,0.91625,0.69987,0.006061,0.825311,-0.819882,0.204408,0.284964,-0.342937,0.403447,0.17642,0.566837,0.352941,0.421959,-0.618079,-1.240476
equation,0.088334,1.138442,0.164257,-0.655561,-0.873486,-0.204623,1.49824,0.896194,2.064033,-0.031081,-1.080965,0.882606,0.894159,-1.521665,-1.113379,-1.128781,1.852032,-0.107765,1.228501,-0.720997,0.099591,0.766219,-0.800994,0.379774,1.076445,0.986217,-1.31681,0.782951
first,-0.184222,0.236227,-0.484074,-0.624459,0.590873,0.442324,-0.49558,0.164993,0.320317,0.273025,0.217006,1.234086,-0.053852,1.108483,-0.140806,0.209833,0.681299,-0.324124,-0.775806,0.261475,-0.511783,0.009158,0.438496,-0.000145,-0.144868,-0.127514,-0.471902,-0.830964
vector,-0.466172,0.56212,-0.755966,0.382623,-0.046642,0.462355,0.405694,0.68669,0.90475,-0.526711,-0.999359,1.037787,0.472286,-1.462955,-0.104978,-0.821973,0.518984,0.034125,2.066415,-0.152649,-0.537185,0.424981,-0.306832,0.415153,1.12864,0.5957,-1.077531,0.326619
