word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
number,-0.035544,0.272174,0.557577,1.232761,-0.657804,0.435953,0.556183,-0.936239,0.223546,-1.54684,-0.407575,0.114374,-0.229737,-0.907542,0.666105,-0.029613,0.007372,-0.858264,0.881364,-0.541878,0.569796,-0.743905,-0.179811,-0.447094,0.007397,-0.647875,0.402568,-0.048981,-0.414641
function,0.672496,-0.284874,-0.713328,-0.135974,-0.197776,0.205672,0.037116,-1.420721,-0.303746,-1.414706,-0.140157,-0.743279,-0.44683,-2.057065,-0.146007,0.694914,0.174942,-0.20232,0.476353,-0.396027,0.584599,-0.38307,-1.153719,-1.009766,1.569503,0.624737,-0.418431,-0.809181,-0.851077
one,-0.506257,0.278314,0.235641,1.308025,-0.236966,0.155608,0.279646,-0.299592,0.140622,-1.062067,-0.10086,-0.309629,0.404225,-0.484802,-0.03281,-0.069996,0.147221,-1.03574,0.396903,-0.119067,0.612529,-0.50805,0.020041,-0.315748,0.987498,-0.482403,0.135407,0.495107,0.077992
set,-0.092855,0.121587,0.188326,1.441103,-0.917616,0.25003,0.182879,-0.253623,-0.675736,-1.070127,-0.181933,-0.327595,0.462164,-0.623059,0.171226,-0.289051,0.14714,-0.447024,0.59576,-0.106264,0.400115,-0.427917,-0.576475,-0.72816,0.592199,-0.023704,-0.106775,0.283593,-0.285316
group,-0.018176,-0.577669,-0.286826,0.144839,-0.069532,0.67964,-0.122868,0.515802,-0.331696,-1.484816,0.956447,-0.341109,-0.289097,-0.24248,-0.190951,0.179164,0.479863,-0.977427,0.628291,-0.382723,0.529019,0.067834,-0.306065,-0.736289,0.469087,-0.857086,0.247122,0.185398,-0.216163
space,-0.141471,-0.180583,-0.240933,0.640527,-0.940573,0.722948,0.536142,-0.602508,-1.336638,-1.700147,-0.035217,0.549571,-0.265698,-0.163916,0.283795,0.723903,1.263786,-0.019963,0.31627,0.434445,0.789552,-0.433716,-0.701404,-1.385043,1.036671,0.642879,-0.480429,0.373794,-0.1041
two,-0.498378,-0.015326,0.43414,1.334687,0.053187,0.056422,0.21247,-0.29079,0.205162,-1.159566,-0.282102,0.024755,0.125127,-0.245091,0.319157,-0.293343,0.141739,-0.922264,0.823733,-0.252919,0.585404,-0.577338,-0.178744,-0.249374,1.036382,-0.491779,-0.296544,0.562138,0.274315
theory,0.826408,1.13591,-0.599368,-0.423698,-1.181303,-0.201723,1.379955,-1.094096,-0.431019,-2.07077,1.482127,-0.087474,0.033428,-1.274339,-1.372804,0.472717,-0.19616,1.323335,-0.289668,0.209709,0.26059,0.140212,-0.749794,-0.973871,0.955598,-0.04064,0.437603,-0.239102,-0.641915
point,-0.004367,0.394901,0.257346,1.854602,-0.68722,-0.217471,1.273927,-0.702298,0.70251,-1.04316,-0.342992,-0.00352,-0.637532,0.317519,0.213673,0.260194,0.441804,-0.059392,0.847392,-0.709874,0.261881,-0.158944,-0.728196,-0.297812,1.011274,-0.784034,0.013908,0.446231,0.035352
theorem,0.768226,0.559305,0.018551,-0.010716,-1.903744,0.167957,1.229027,-1.220134,-0.384269,-0.458832,0.77461,-0.050088,0.160931,-0.571572,-0.465158,0.056481,-0.706775,2.835264,0.405779,-1.055339,-0.371031,-1.505332,-1.753126,-0.362804,2.021725,1.040064,-0.241697,-0.702224,-1.628011
