word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
number,-1.528944,1.015782,0.2134,-0.902985,0.180643,0.200473,1.365988,1.188495,-0.606197,-0.448566,-0.412298,-0.141538,1.531616,1.090179,0.416523,-1.408556,-0.395013,-1.752419,-0.064878,1.204799,1.849194,2.305265,-1.140942,1.252078,0.345238,1.14662,-1.1386,-0.567214,0.7324
function,-0.998748,0.706552,-0.252361,-0.347422,-1.673002,-0.040511,-0.178613,-1.077657,-0.726998,0.228033,-0.292155,0.509908,1.29714,1.012136,0.219121,0.366791,0.184482,-1.972464,-0.724006,0.957832,3.059442,2.469865,-0.978905,-0.537075,1.089511,1.231568,0.839979,0.092135,0.577568
one,-0.626763,0.538108,0.231171,-0.857796,0.414908,-0.289781,0.0615,0.512995,0.341263,-0.40159,-0.088805,-0.079081,1.432802,-0.242351,-0.071252,-0.829539,-0.225418,-0.449083,-0.495103,1.237306,2.597866,2.80596,-0.781312,0.308373,0.696624,1.142694,-0.626457,-0.071101,-0.389053
set,-0.426899,0.453678,1.536416,-2.126277,-0.107967,0.979926,0.480815,0.149751,0.488704,-0.738585,0.588806,0.524022,1.570051,1.199161,-0.295898,-0.755024,0.542226,-0.438006,-1.080403,0.94893,1.729698,2.921964,-0.797532,0.821562,1.35475,0.22842,-0.09407,-0.019773,0.771121
group,-0.147841,0.17367,1.832431,0.0193,1.79688,-0.487488,-0.635844,0.745338,-0.560031,-1.39105,-1.034502,-0.462373,1.848576,1.227269,1.807019,-1.059522,-0.749676,-0.248147,0.790702,0.16417,1.354342,3.079254,0.658386,0.476587,1.263459,0.961287,0.23274,1.382769,-0.239998
space,-0.237343,-0.620719,0.189043,-0.803855,0.676677,0.171679,-0.655854,0.431343,0.211799,0.455838,0.864776,-0.095308,2.343174,1.183815,-0.090875,-1.131378,-0.468748,-0.089833,-0.906782,0.273396,2.522359,3.354208,0.199958,-0.110846,1.802268,0.085045,1.851108,0.760027,0.170752
two,-0.023848,0.769588,0.318504,-1.175922,0.498173,-0.169676,-0.246635,0.602304,0.09772,-0.702494,-0.436372,-0.32634,1.285112,-0.759282,-0.046315,-0.96235,-0.642676,-0.444629,-0.507925,1.128011,2.086594,3.061231,-0.544319,0.225596,1.101607,0.923537,-0.846611,-0.441591,-0.392683
theory,0.715924,0.302782,0.836877,0.585795,0.216091,0.210658,0.885544,1.099851,-0.156394,-0.823329,-1.026596,0.054524,1.845248,1.697856,0.474358,0.600194,0.790926,-0.134274,-0.27782,0.624352,2.272445,2.901779,-0.437896,1.777371,-0.19787,0.392613,1.188691,0.804591,0.320055
point,-0.248838,1.041928,0.561128,-0.131041,-0.633306,0.047936,-0.306208,0.532845,0.33902,-0.179517,0.804084,-0.397757,1.248157,-0.38791,-0.71537,-1.074834,-0.575131,-0.108777,-0.432759,0.215265,1.399571,3.689139,-1.441954,-0.159513,2.159191,0.74969,-0.40811,-0.321946,0.291958
theorem,-0.433421,0.58514,0.138308,0.655144,-0.991141,1.262111,0.602087,1.696307,0.05621,-1.091969,-0.603063,1.191587,0.106939,0.753605,-0.330175,-0.843037,0.759433,-0.392875,1.079354,0.894586,2.362286,2.664384,-0.453278,0.800273,1.462407,0.937228,1.712525,0.082476,-0.403115
example,-0.49283,0.696191,0.4842,-0.647718,0.022635,-0.380066,-0.268156,0.33418,0.120824,-0.211257,-0.302842,0.009172,0.885757,0.920968,0.63808,-0.680488,-0.029861,-0.506194,-0.448213,0.534058,2.542294,2.595227,-0.47535,0.518788,0.524354,0.668807,-0.098287,-0.276282,0.038238
form,-0.713992,0.958646,-0.136384,-0.945708,0.072712,-0.067859,-0.566836,0.459072,-0.415078,-0.511702,-0.650346,0.449812,1.394302,0.468728,0.015693,-0.214808,-0.242351,-0.249928,-0.780377,0.539873,2.429598,2.960676,0.800111,-0.043408,0.673867,1.264654,-0.514046,-0.170097,-0.019155
define,-1.236402,0.265534,0.183779,-1.158345,-0.522049,0.032341,-0.672652,-0.259653,-0.069221,-0.207091,-0.174396,-0.101012,1.567148,0.938352,-0.259959,-0.178975,0.457895,-0.381683,-0.218925,0.565691,2.086511,3.088698,0.129265,-0.143991,1.303628,0.951366,0.049622,0.398194,0.254715
graph,0.044795,1.661515,-0.00119,-1.499764,0.011766,1.136447,1.035459,0.75516,1.189352,-2.719807,-0.525422,0.361258,1.836775,-0.725056,1.064873,-1.050065,-0.421034,0.155726,0.135672,-0.557275,2.489639,1.606625,0.11979,0.921879,0.98255,-0.717074,-0.479777,0.541432,0.922977
value,-1.601399,0.817016,0.430588,-0.91192,-0.767775,-0.632991,-0.151652,-0.499358,-0.120647,0.806641,0.094608,-0.147934,1.008969,-0.297746,0.05693,-0.613295,0.243524,-1.037794,-0.233388,1.270504,2.647494,1.988665,-1.463403,0.545216,0.582707,1.234851,0.110871,-0.417558,0.728849
problem,0.089297,1.518148,0.100173,0.304452,-0.129785,0.273266,2.086563,1.036479,1.287304,-0.736897,0.011048,0.701159,1.021722,-0.119171,0.756458,0.253046,-0.141097,-0.11691,-0.372297,0.92906,2.542644,2.435048,-0.822359,0.121323,-0.606221,0.74204,0.179805,-0.644624,0.915148
