word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
number,0.5214,-0.869262,0.599332,0.600963,0.315126,-0.90445,-0.455459,-0.515537,-0.598462,-0.148936,0.094859,0.266151,0.238578,0.111125,-0.367522,0.213532,-0.168441,-0.776805,-1.566217,0.038755,0.429134,0.152227,0.161228,0.489275,-0.381619,0.58573,-0.279197,-0.692483,-1.015079
function,0.013345,-1.875321,-0.240621,-0.58324,-0.183751,0.212581,-0.76247,-0.536088,-0.689023,-0.275672,0.229704,-0.723884,-1.141794,0.24434,-0.065924,0.609145,-0.836162,-0.994472,-1.449837,-1.046876,0.785836,0.347169,0.657801,-1.142735,0.519603,-0.550008,0.065646,-1.176643,-0.265982
one,-0.073394,-0.67599,3.9e-05,0.506301,-0.01124,-0.933635,-0.113062,-0.815011,-0.596413,-0.271574,-0.254118,-0.171822,0.373492,0.002797,-0.236408,0.09038,0.386505,-0.722392,-1.348174,-0.203071,-0.01554,0.47641,-0.357586,-0.240763,-0.455271,0.265964,-0.251854,-0.022156,-0.71534
set,0.485591,-0.952303,0.231909,0.265168,-0.067538,-1.13223,-0.257454,-0.786543,-0.349283,-0.2707,-0.690607,-0.272566,0.202436,0.070864,0.265027,0.31575,0.542409,-0.457842,-1.047128,-0.568367,0.111457,0.412895,-0.259981,0.001229,-0.247631,0.151493,-0.050214,-0.453765,-0.254925
group,-0.764264,-1.29586,-0.481548,-0.116403,-0.634959,-0.357644,0.609988,-0.536472,-0.674695,-0.647612,-0.116394,0.355509,1.084026,0.060267,0.140519,0.25401,-0.330211,-0.304885,-1.082414,0.120905,-0.02096,-0.284345,-0.074059,-0.006768,-0.140958,0.009467,0.590266,-0.584256,-0.549613
space,0.512578,-1.17722,-0.375146,-0.02629,-0.444106,-1.755736,-0.182778,-0.193272,-0.558268,-0.131486,0.302307,-0.539136,-0.177264,-0.131803,1.031789,0.261716,0.844913,-0.740381,-0.807165,-0.26292,-0.109133,0.268237,0.888312,-0.800182,0.271725,-0.108026,0.527241,-0.990889,0.297854
two,0.023728,-0.2012,-0.068935,0.401631,-0.048988,-1.226591,-0.108735,-0.872841,-0.966165,-0.298136,-0.519749,0.037561,0.071003,0.175481,-0.222893,0.288183,0.317204,-0.95178,-0.977757,-0.049546,0.206339,0.362877,-0.36067,-0.452952,-0.427707,0.390115,0.00468,-0.273167,-0.92886
theory,-0.104879,-2.739549,0.794284,0.247389,-0.296673,0.297419,-0.869941,0.35744,0.238382,-1.614616,0.462808,-0.557254,-1.07825,-0.059692,1.348592,0.532035,-0.205036,-1.064162,-0.881838,0.835822,0.13386,0.575454,0.532824,-0.380865,0.852452,-0.608955,0.200629,0.837883,0.415427
point,0.596799,0.24582,0.185536,0.244246,0.222719,-1.609136,-0.231345,-0.366814,-1.064579,-1.101929,0.158128,0.312523,0.203899,0.607135,0.448182,0.643078,-0.104135,-0.656993,-1.108947,0.0425,0.517552,1.085594,0.316657,-0.02198,-0.150331,0.870647,-0.482897,0.231122,-0.718471
theorem,1.300423,-0.850307,1.567987,-0.108644,-1.001089,0.63448,-1.427831,0.940906,0.088823,-1.390277,-0.590737,-0.871556,-1.883049,1.424538,0.610015,0.113646,-0.815831,-0.0417,0.191912,0.145971,0.60817,0.932933,0.827619,-0.675605,0.907511,-0.918932,-0.392737,0.64677,1.069737
example,-0.282828,-1.447854,0.06402,0.480199,0.037505,-0.5759,-0.729824,-0.240828,-0.286294,-0.453803,0.184859,-0.684382,-0.448635,-0.065612,-0.017245,0.355883,-0.637469,-1.005181,-1.709436,-0.670393,0.406392,-0.224151,0.272427,-0.087702,-0.105945,-0.442913,-0.508121,-0.212573,-0.202158
