word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
number,0.102098,0.507003,0.130481,-0.010748,0.702272,0.52358,-0.579938,-0.005838,0.936415,0.06331,1.69408,-0.397067,-0.352986,0.298148,0.962682,-0.676011,-0.083248,0.708698,0.629393,-0.379259,-1.153704,-0.177246,-0.285534,0.629447,0.347163,0.300353,-0.095053,-0.279933,0.342738,0.991267
function,-0.222677,0.220735,-1.393714,0.737835,1.087099,-0.643737,-0.287975,0.816241,-0.056575,-1.372062,1.614604,-0.223916,-0.91677,1.174598,-0.985004,-0.795224,-0.506193,0.484681,0.049637,0.209964,-0.415108,-0.596549,-1.225091,0.545859,-0.09052,-0.273111,-0.083085,-1.062995,0.130819,1.297299
one,0.054062,0.264633,0.752789,-0.076508,0.817832,0.160478,-0.108888,0.033629,0.217424,0.283748,1.254056,-0.231561,-0.024685,0.109419,-0.022985,-0.026562,0.084671,0.588869,0.534774,-0.067984,-1.352987,-0.360737,-1.057274,0.077043,0.535508,-0.186193,-0.046017,-0.112663,0.211206,0.226927
set,-0.199976,0.525217,0.025619,-0.303235,0.803147,0.069765,-0.448179,0.099321,0.330304,0.171789,1.074921,-0.043698,0.175645,0.166025,-0.277545,-1.142102,-0.159757,0.75852,0.575211,-0.032804,-1.255287,-0.160691,-0.913877,-0.464289,0.652984,0.092165,0.169746,-0.388906,0.055581,0.577235
group,0.179981,0.338277,0.090128,-0.420369,-0.38193,-0.107073,0.318472,-0.20184,-0.588967,0.005147,1.248215,-0.082178,-0.089474,0.119012,-0.185032,-0.108575,-0.068813,1.104875,-0.336167,0.066604,-0.470742,0.428306,-1.427596,0.754498,0.512735,0.514748,0.106245,0.070963,0.627228,0.667656
space,-0.068545,0.421804,-1.096628,-0.19324,0.81071,0.297142,-0.628656,0.280449,-0.104757,0.719712,1.608505,-0.737167,-0.139875,0.110665,-1.2853,-1.121117,-0.653349,1.124389,-0.752772,0.388434,-1.08032,-0.190278,-0.591393,-0.37533,0.250147,0.684064,0.280602,-0.941092,-0.106957,0.299025
two,-0.163344,0.360106,0.611552,-0.255461,0.705664,0.524282,-0.406235,-0.327573,0.153834,0.583128,0.94945,-0.527849,-0.259408,0.426273,-0.116712,-0.21979,0.200477,0.975254,0.608148,-0.24654,-1.28863,-0.503525,-1.025829,0.060487,0.218804,-0.421894,0.211096,0.076263,0.178853,0.385714
theory,-0.533475,-0.587092,-0.644198,0.185273,0.652466,0.013009,0.668355,0.892027,-0.006423,-1.774144,1.66812,0.426714,0.295736,0.418758,-1.229587,-0.575656,-2.570149,0.288147,-0.624013,0.121203,-0.896686,-0.549937,-0.210351,0.873562,0.305171,1.545122,-0.318053,-0.190067,-0.521403,0.15245
point,-0.151394,-0.354072,-0.185507,0.079274,1.423156,0.641687,-0.599913,-0.055696,1.102952,0.346871,0.819191,-0.36178,-0.287922,0.030243,-0.008772,-0.733324,0.160848,1.01291,0.226093,-0.740284,-1.488804,-0.679834,-0.703355,0.662529,0.413553,0.559345,0.216762,1.097875,0.164906,-0.071879
theorem,-1.458624,-0.526742,-2.289126,1.292888,0.910533,0.798954,0.41666,1.135674,1.353973,-2.055944,0.347365,1.286745,0.661709,0.41088,-1.8989,-0.803359,-1.366104,1.1527,1.120063,-0.649681,-0.432788,-0.216672,0.122739,-0.578423,-0.184679,1.390933,0.069515,-0.418426,-0.478809,0.943092
