word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
number,-0.295665,0.193289,-0.046131,0.773439,-0.435629,0.010467,-0.060448,0.657521,0.199891,1.082575,0.825602,-0.22523,0.15466,-0.583065,0.051283,0.704855,0.442496,0.170593,-0.830411,0.708699,0.832863,0.499708,0.528884,-1.044392,0.149701,0.493017,0.246087,0.679174,-0.668368,-0.870315
function,-0.39105,-0.300961,-0.461963,-0.239878,-1.026554,-0.275289,0.717426,0.211336,0.595977,1.024127,0.417919,-0.325004,-0.150201,0.561705,-0.684588,-0.418628,-0.945743,-0.39434,0.589148,0.179608,-0.084612,1.691076,0.031072,-0.573568,1.173738,0.730938,0.045062,0.616649,-1.841063,-1.616808
one,-0.348865,0.464022,-0.329433,0.729181,-0.662613,-0.470438,-0.003094,0.416342,0.341226,0.670322,0.756313,-0.064574,-0.315224,0.001196,0.368311,0.807021,0.164593,0.602536,-0.199738,0.98515,0.398166,0.461174,0.175739,-0.30373,0.420903,-0.435061,0.117034,0.395211,-0.52479,-0.38722
set,-0.271937,0.483695,-0.294634,0.591111,-0.45184,-0.656551,-0.10028,0.409484,0.120821,0.869402,0.282075,-0.11511,-0.290214,0.094152,0.528187,0.365143,0.648655,0.784157,-0.319966,0.301708,-0.022425,0.398976,0.159304,-0.49472,0.815946,-0.107538,0.061129,0.612254,-0.922561,-0.417651
group,0.018734,-0.032705,0.058179,-0.1923,0.010077,-0.553156,0.206768,-0.084573,0.885068,0.055433,0.325104,0.761026,-0.54128,-0.02783,0.110386,0.675288,0.275283,0.51489,-0.046356,1.260164,-0.138286,0.954455,-0.054238,-0.180747,0.246982,0.71609,-0.263157,1.078105,0.251611,-0.653845
space,-0.310774,0.066212,-0.496609,-0.461971,-0.802446,-1.075558,0.089202,0.233174,0.218591,1.881009,0.088556,-0.384695,-0.246494,0.775832,-0.080553,0.481302,0.717827,0.410662,0.276532,0.149412,-1.29062,0.611087,-0.187869,-0.982337,0.264887,0.316427,0.540118,0.730324,-0.336198,-0.658943
two,-0.205903,0.28041,-0.090751,0.854299,-0.740751,-0.436145,0.01028,0.410844,0.214813,0.597425,1.08703,0.084217,-0.445438,-0.315446,0.412843,0.955221,0.246253,0.59027,0.406253,0.850109,0.006078,0.265815,0.360327,-0.606561,0.072792,-0.293483,0.150281,0.639533,-0.90319,-0.257319
theory,-0.495889,-0.85098,-0.38519,-0.249138,-0.000941,0.505497,1.676848,0.106859,-0.086373,0.831481,-0.036647,-1.489201,-0.438701,1.784374,0.060117,-0.504221,-0.119829,-0.313545,-0.782485,0.192043,-0.279914,1.569861,-1.383257,-0.997088,0.438564,-0.499325,-1.232014,0.707482,-0.064676,-1.217727
point,-0.189436,0.166911,-0.324364,1.258038,-0.323912,0.090713,0.28194,0.179942,-0.3808,0.64041,0.529481,-0.80427,-0.946567,-0.621316,0.081571,1.437927,0.867538,0.366018,-0.017459,0.563322,0.086783,0.892164,0.013896,-0.86566,-0.288147,-0.362557,0.459693,-0.292419,-0.620021,-0.953807
theorem,0.635526,-0.754666,-0.599614,-0.297696,0.075609,1.122394,1.491836,-0.058748,-1.06455,-0.007064,0.189439,-1.828306,-0.19013,1.537857,0.274473,-2.165872,0.413531,-0.744373,-0.097297,-0.822387,0.016061,1.318026,-0.310621,-0.797134,-0.603935,-0.360774,0.179414,-0.267697,-2.018537,-0.326695
example,0.07173,0.119057,-0.179346,0.193842,-1.251904,0.02828,0.394554,0.441841,0.476288,0.60705,0.739185,-0.330318,-0.133151,0.674862,-0.358801,0.216469,-0.335985,0.234955,-0.819946,0.217743,0.325318,0.758711,-0.173111,-0.680144,1.1696,0.137479,0.094822,0.652886,-0.850025,-1.270278
form,-0.019272,-0.121962,-0.154716,0.311939,-0.850564,0.164761,0.433345,0.67534,0.698584,-0.244362,0.871517,0.48145,-0.637432,0.552719,-0.111406,0.706401,-0.469274,0.073678,0.134383,0.467197,0.016027,0.676718,-0.451417,-0.885894,0.619324,-0.041446,0.365583,1.214974,-0.656854,-0.98942
define,-0.073871,-0.44021,-0.476739,-0.103005,-0.617475,0.245313,0.625166,-0.132107,0.300052,0.443244,0.194057,-0.230154,-0.355778,0.712147,-0.780078,0.245923,-0.017233,-0.418102,-0.741046,0.163051,0.039276,1.273817,-0.176069,-1.149591,0.86899,0.492405,0.273463,0.039996,-1.134215,-1.881
graph,0.79728,0.158083,0.045806,-0.199333,-0.690466,0.52358,0.792594,-0.240059,-1.233173,0.548375,-0.80125,-1.23932,-0.139409,0.808149,-0.133688,-1.271122,0.322181,-1.231324,-0.319322,-0.694117,-0.151186,1.871723,-0.054288,-0.849358,0.131226,0.242457,0.837032,0.038606,-1.506604,-1.182125
value,-0.404255,-0.451951,-1.037915,-0.140018,-0.443497,0.00208,0.896561,0.286124,-0.234862,0.63589,0.528261,-0.926066,0.014807,0.229143,-0.242893,-0.027992,-0.254279,0.225309,-1.930288,0.693858,0.068299,1.118644,0.289746,-0.858369,0.732156,0.507768,0.890558,0.095731,-0.677618,-1.653062
problem,-0.703816,-0.228558,-1.121932,-0.056651,-0.74214,-0.310922,0.718673,0.516142,-0.223392,0.617298,0.248469,-1.410259,-0.197699,0.373633,0.280569,0.082557,0.116701,-0.007523,0.131551,0.205447,0.313121,1.165514,-0.448948,-0.067581,0.608709,0.603262,-0.971149,0.355809,-0.248802,-1.314563
mathematic,-0.22682,0.004198,0.362666,-0.154184,0.989572,0.240906,0.883296,0.558904,-1.295208,1.600096,-0.835664,-1.190504,-0.216081,1.387936,-0.999047,-1.015665,-1.231638,-0.421274,0.000257,1.733921,0.061331,1.19741,-0.231068,-1.004643,-0.063577,-0.430541,-0.509397,0.205383,-0.871228,-0.18997
order,-1.075682,0.443521,-0.500563,0.303279,-0.444628,0.38967,-0.212668,0.152013,1.182228,0.309773,0.790238,0.246236,0.146371,0.005569,0.571991,0.390073,-0.330884,0.488027,0.267605,0.804203,-0.277624,0.285809,0.814446,-0.413348,0.628715,-0.03782,-0.646421,0.077516,-0.73071,-1.199273
equation,-0.332632,-0.707804,-0.998707,-0.104432,-0.896586,0.895186,1.958759,-0.014315,-1.066557,0.631798,0.422768,-1.617998,-0.978934,1.57384,0.220581,-1.662357,-0.821063,-0.182063,-0.299313,-0.880324,-0.295946,1.772527,-0.368339,-1.545366,-1.023044,0.325672,0.132675,-0.223542,-1.670203,-0.445513
first,-0.174724,0.156808,0.115635,0.881715,-0.042425,0.022591,-0.239149,0.472089,-0.033616,0.814288,0.430878,0.485438,-0.486915,-0.330729,0.83318,0.534974,0.114802,0.837963,0.13926,1.261497,0.207018,0.529171,0.379514,-0.162601,0.338128,-0.243547,-0.34013,0.53498,-0.479137,0.14245
vector,0.543148,-0.291821,-0.325796,0.308941,-1.71815,0.418205,0.858759,-0.373351,-0.079843,1.094717,-0.507283,-0.748783,-0.327221,0.710297,-0.163594,-1.024967,-0.412108,-0.835352,-0.053559,-0.694838,-0.464935,1.852145,-0.028587,-0.721955,-0.206616,1.031898,0.517192,0.043048,-1.069029,-1.096928
