word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
number,-0.100442,-0.278665,0.499258,1.013906,-0.153073,-0.202577,0.367096,0.222025,0.40931,-0.496843,-0.321339,-0.365424,1.86103,-0.740675,-0.577156,-0.324204,0.15514,0.677795,0.423244,-0.305268,-0.01364,-0.490333,-0.010006,0.324723,0.850118,0.478761,1.260895,0.351294,0.387377,0.149734,1.288121
function,-0.683485,-1.057648,-0.075478,-0.122955,0.496998,-0.558999,0.652929,0.782361,-0.296575,0.489911,-0.477891,-0.442042,2.263421,1.763126,0.050582,0.729282,0.765145,-0.893533,0.844773,0.018059,0.247332,-0.628311,-0.283423,0.333444,0.639591,0.502349,1.479866,0.291461,0.467123,-0.335353,0.849676
one,0.152623,0.010822,0.092914,0.409348,0.06606,0.590645,-0.120836,0.057299,0.349196,0.386542,-0.41647,0.039283,1.860466,-0.275556,0.06236,-0.520485,0.122779,0.50061,0.577192,0.104259,0.409672,-0.322014,-0.320892,0.069912,0.207322,0.342029,0.329054,0.302739,0.088259,0.274095,1.008798
set,0.113029,0.114827,-0.038739,0.233676,-0.007945,-0.107109,-0.199019,0.372992,0.219603,0.570535,-0.47651,-0.189984,1.58509,0.006817,-0.053438,-0.515978,0.973586,0.646353,0.018209,0.050154,0.184482,-0.594598,0.09907,0.34876,0.381018,0.339601,0.887495,0.072954,-0.361378,0.26423,1.253355
group,-0.253929,-0.76653,0.01959,0.407885,-0.265117,0.149328,-0.436282,-0.345031,0.125766,0.096063,0.112239,0.730906,1.722292,-0.057475,0.915648,0.532775,-0.202908,0.111415,-0.179017,0.087417,-0.523689,-0.502028,-0.343181,-0.391688,0.269649,0.620405,0.4562,0.754264,-0.697291,-0.133507,1.036531
space,-0.285584,-0.251165,0.414396,-0.599047,0.402588,0.163531,-0.658475,0.311314,-0.858925,0.289569,-0.421025,-0.638001,2.073758,0.409921,0.355898,0.585706,1.645981,0.86764,-0.118842,0.751337,0.13653,0.004321,0.280621,0.478856,0.408658,0.630748,1.410872,0.837123,-0.684107,0.215917,0.40096
two,0.236136,-0.251023,0.136606,0.056661,0.228358,0.706709,-0.187881,0.223855,0.081175,0.422938,-0.496972,-0.326643,1.701165,-0.633637,0.139538,-0.368241,-0.312047,0.76599,0.511626,0.041698,0.394733,-0.175468,-0.090551,0.184542,0.061281,0.5401,0.527232,0.193307,0.17082,0.415209,1.481685
theory,-0.841915,-1.025833,0.457653,-0.035391,0.472432,-1.544215,0.428357,-1.578867,0.279712,0.517089,-0.41778,0.214771,1.495979,1.671664,-0.279281,0.763778,1.934015,0.543898,-0.08375,-0.10196,0.58049,-0.13389,-1.538902,1.040571,-0.100715,0.97308,0.597169,0.17612,0.121954,-1.098355,0.009769
point,-0.841104,-0.508703,0.573278,-0.035227,0.44847,-0.284882,-0.010465,-0.09258,0.640969,0.599618,-0.927731,-0.699132,1.457556,-0.842314,0.158549,-0.824562,0.073029,0.977196,0.823739,-0.356622,0.07982,0.044834,0.411739,1.276109,-0.170119,0.065468,0.534378,0.918016,0.239109,0.255874,0.905489
theorem,-1.456658,-0.781662,-0.245752,0.064917,1.575222,-1.601325,0.478413,-0.029569,0.568109,1.269871,-0.093585,-1.271627,-0.663813,1.778318,-1.365856,0.658747,1.914564,1.054143,1.146185,-0.736215,0.17735,-0.387511,-0.208033,1.312807,0.157319,2.264979,1.158907,-0.351489,-0.27372,-0.801193,0.425094
example,-0.120139,-0.459224,-0.351069,0.45978,0.071092,-0.139266,0.613435,-0.137374,0.103116,-0.063731,-0.506447,-0.545861,2.167647,1.121358,-0.154045,-0.463007,0.651128,0.166848,0.592822,-0.14178,0.00125,-0.269661,-0.385897,-0.021503,0.363136,0.233308,1.155614,0.262021,0.202652,-0.619168,0.597692
form,-0.186579,-1.208161,-0.698856,-0.105182,-0.150317,0.221209,0.237451,-0.32025,0.015682,0.227993,0.10724,-0.210761,1.87908,0.460146,0.299855,-0.425038,-0.211532,0.196815,0.369532,0.205507,0.223117,-0.16234,-0.894685,-0.259296,-0.102905,0.809677,1.037621,0.483309,0.059288,-0.201967,0.919225
define,-0.897447,-0.932371,-0.217143,0.308278,0.287702,-1.140881,0.349748,-0.028857,0.438284,0.11977,-0.745735,-0.88085,1.999835,1.071197,0.184673,0.097101,0.884213,-0.386658,0.697407,-0.083047,-0.463715,0.145754,-0.445365,0.203575,-0.042007,0.434453,1.603988,0.53676,0.078831,-0.732395,0.465832
graph,-1.625082,-0.54998,-0.089363,-0.357817,0.500538,-0.864702,-0.003614,0.527079,0.449691,1.201325,0.272803,-1.150156,0.43077,1.19849,-0.331413,0.628885,1.896312,0.349428,0.775644,-0.525321,-0.270341,-0.494527,0.640571,1.447753,0.760812,0.966099,2.22275,0.028882,0.281884,-1.34502,0.064147
value,-0.865068,0.045582,0.202995,0.884776,0.142124,-1.022555,0.731878,-0.409577,0.658141,-0.689788,-0.88092,-0.048189,2.223224,0.870442,-0.670872,-0.368228,1.122538,-0.348958,1.037096,0.313668,-0.435884,-0.575978,0.30465,0.52859,-0.445147,0.55237,1.515632,0.674809,0.208949,-0.155101,0.115866
problem,-0.505987,-0.194638,0.501002,-0.559638,0.276828,-0.841323,0.56257,-0.145411,0.020082,0.331882,-0.302407,0.47083,2.367898,0.91348,-0.576134,0.345248,1.004077,0.31821,0.375981,-0.944498,0.172827,-0.392067,-0.307813,0.588645,0.325,0.263228,-0.20838,0.332387,0.165381,-0.093584,0.094936
mathematic,-1.770412,-0.934084,0.694595,1.056137,1.072676,-0.379346,0.031844,-0.338516,-0.731679,0.494764,-0.381556,0.673693,0.050481,0.782113,-0.08134,1.032003,2.472864,0.272466,0.236101,0.0142,0.616329,-0.503334,-1.078907,0.666442,-0.25596,0.26298,0.986464,-0.164616,1.442619,-0.707744,0.464858
order,-0.097364,0.284615,-0.254165,0.098618,-0.227838,-0.365697,0.227537,0.38259,-0.134312,0.024526,-0.545092,-0.296927,1.963559,-0.074448,0.352353,-0.160063,-0.110621,-0.882186,0.186378,0.34956,-0.005002,-0.135763,-0.772226,0.58177,0.347039,0.908861,-0.002946,-0.254632,0.08468,0.254722,1.593693
equation,-1.727587,-0.420575,0.972034,-0.040045,0.7868,-1.636681,1.138707,-0.6758,-0.31025,0.779749,-0.205031,-1.046774,0.190331,2.388312,-1.137901,0.934253,1.156221,0.483936,1.600896,-0.43798,1.182904,-0.559841,-0.400924,1.117663,-0.715939,1.221895,1.611984,0.64731,-0.192784,-0.411996,0.520961
first,0.364885,0.153587,-0.057164,0.827851,0.088155,0.428086,-0.030052,-0.226176,0.008883,0.720628,-0.24726,0.21215,1.200799,-0.95214,0.186895,0.1264,0.002587,0.443974,0.118635,0.062159,0.560597,-0.654036,-0.283867,0.264304,-0.038818,0.11484,-0.041081,0.149197,0.185819,0.326054,1.494944
vector,-1.601861,-0.574061,0.223422,-0.230377,-0.050379,-0.61324,0.922203,0.291218,-0.296504,0.837108,-0.400365,-1.33653,1.074169,1.793422,-0.14444,0.990599,0.729893,-0.23197,0.95339,-0.226471,0.463974,-0.316879,0.548931,0.637149,0.901472,1.01305,2.22333,0.630423,-0.329605,-0.763617,0.152675
algebra,-1.773096,-1.58191,0.166082,0.567397,0.600176,-0.82584,0.270259,0.506538,-0.18477,0.806436,-0.966659,-0.267172,-0.780974,2.149726,-0.234703,0.379709,2.100994,0.435472,-0.147038,0.485241,0.546189,-0.506214,-0.398913,0.841151,0.232781,1.670734,2.06798,-0.079746,0.417105,-1.222503,0.545781
$\mathbb{N}$,-0.19494,-0.606887,1.323053,0.425005,0.116755,-0.217781,0.321759,0.290161,-0.084701,-0.037323,-0.380338,-1.14303,-0.056264,0.923575,-0.052901,-0.440707,-0.734035,0.086825,-0.235899,-0.343163,0.158174,-0.696368,0.008283,-0.232446,0.122246,0.929371,1.879211,1.224199,-0.46042,0.074484,0.793476
