word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
number,0.05885,-0.240451,0.324446,0.121431,1.034033,-0.361209,0.610939,-0.077099,-0.030943,-0.427826,0.389417,0.106683,0.244965,-0.694298,0.623575,-0.924667,-0.632677,-1.177686,-0.13257,0.619672,-0.546753,-1.052919,0.348756,-0.063814,-0.395156,0.574373,0.08433,-0.959359,-0.143881,1.012245,0.311953
function,0.767406,0.296138,0.697663,-0.269227,0.135615,-0.941557,0.610056,-1.247373,0.464304,-0.695626,0.160752,0.067918,0.173838,-1.003177,-0.743176,-0.578927,-0.215651,-0.966126,-0.199005,1.665163,-0.126283,-2.204094,-0.38483,-0.184631,-0.435703,-0.751244,-0.091214,-0.109177,0.731727,-0.504118,-0.512921
one,0.671752,0.586046,-0.094047,0.211405,0.106981,-0.423351,-0.012072,0.069385,0.054569,-0.610688,0.301505,0.38185,0.130764,-0.390096,0.276039,-0.144971,-0.873085,-0.993318,-0.296814,0.155901,-0.282987,-0.564087,-0.051757,0.2935,-0.410409,0.506398,0.166796,-0.973681,0.258187,0.569267,0.618168
set,0.059207,0.480506,0.078206,0.120965,-0.059966,-0.214918,0.492771,-0.192578,0.065103,-0.655122,0.411126,0.106646,-0.017307,-0.295794,0.219453,-0.328465,-0.723816,-1.033178,-0.891569,0.309687,-0.294704,-0.488924,-0.291285,-0.529231,0.022015,0.277424,0.278542,-0.929192,0.629622,0.622929,0.675573
group,1.067718,0.32676,0.88233,-0.179924,-0.283817,0.248962,-0.019393,0.402284,0.255594,-0.627742,-0.240567,0.125515,0.267204,-0.140514,0.476676,0.150365,-0.420003,-1.037037,-0.611396,-0.412839,-0.234689,-1.247898,0.468329,0.47201,0.305156,0.476042,-0.291567,-0.560981,0.135711,0.591091,-0.750755
space,0.293423,1.088631,0.402773,0.245063,-0.265206,0.384405,0.228974,-0.438912,0.702591,-0.119616,0.327335,0.197064,0.42159,-0.593591,-0.759217,-0.701816,-0.168348,-1.526151,-1.38422,0.922092,0.2143,-0.999,-0.03218,-0.070981,0.651589,-0.500687,1.058803,-0.009109,0.450945,0.87581,0.399684
two,0.220268,0.59323,-0.048071,0.390071,0.23891,-0.345156,-0.166419,0.438988,0.280499,-0.372554,0.202381,0.313068,-0.265053,-0.538027,-0.019699,-0.656965,-1.27261,-0.902905,-0.397124,0.155208,-0.136165,-0.780224,-0.109884,0.253729,-0.435166,0.502675,0.001941,-1.026666,0.509562,0.786824,0.431481
theory,1.392568,0.738586,0.559332,-1.409675,0.539442,-0.891111,0.353165,-0.588365,-0.375294,-1.852004,1.003401,-0.628809,0.592113,-0.214327,0.371296,-0.189515,0.518249,-0.448156,-0.54956,1.586764,1.849393,-0.913813,0.246254,-0.309269,0.550146,-0.92235,0.483656,1.011095,0.254053,-0.231099,0.395972
point,0.481241,-0.100271,-0.211243,1.082458,-0.016812,-0.638792,0.218467,0.835475,-0.604013,-0.515994,0.516724,0.200838,0.177948,-0.597944,0.278262,-1.421856,-0.467326,-0.502655,-0.306178,0.310439,0.839894,-1.069227,0.210546,0.09596,-0.178892,0.369408,0.82179,-1.193175,0.313719,0.534159,0.834483
theorem,-0.85906,0.102606,0.023836,-0.494246,-0.241538,-2.000526,1.285827,-0.659327,-0.476809,-0.836304,1.115538,0.117849,-0.460423,-0.133688,-0.109806,-0.425112,0.637904,1.293113,-0.45655,1.354003,2.06165,-0.691251,-0.713905,-0.489153,0.337932,-1.524049,-0.178984,1.149175,0.458343,0.543333,0.418531
example,0.891853,-0.020265,0.873121,-0.236047,0.463117,-0.56102,0.178678,-0.936161,0.05361,-1.150662,0.489297,0.682517,-0.040069,-0.893696,-0.034395,-0.364834,-0.085725,-0.863856,0.002376,1.027086,-0.501891,-1.195798,0.114477,-0.334128,-0.380441,-0.003018,0.214235,0.033998,0.607718,0.192194,0.571439
form,0.633945,0.348323,1.084344,-0.490728,0.025039,-0.463361,-0.679338,0.32932,0.242913,-1.342978,0.148877,0.179793,-0.432789,-0.717241,-0.370075,-0.167175,-0.344451,-0.685006,-0.03911,0.710153,-0.489435,-1.294673,0.41314,0.323305,-0.350653,0.162195,0.099538,-0.215826,0.564411,0.28482,0.072206
define,0.426296,-0.216194,1.205,-0.020076,0.050842,-0.535277,0.605663,-0.877007,-0.190306,-1.109294,0.312537,0.239152,-0.022177,-1.193515,0.014433,-0.463122,0.560447,-0.994251,0.122171,1.191246,0.786427,-1.790477,0.352879,-0.267904,-0.240902,-0.046184,0.268691,-0.116286,0.41049,-0.196404,0.325617
graph,-0.659058,-0.737989,0.774766,-0.110084,-0.160901,-1.852812,1.198606,-0.520489,-0.252504,-0.408701,0.309071,0.599364,0.293564,-0.364371,-0.256861,-0.765761,0.794643,0.056446,-0.85141,1.645494,1.087013,-1.337159,-0.818238,-0.558776,0.305897,-0.775709,0.800031,0.890336,0.651239,-0.219221,-0.077544
