word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
number,0.106756,0.376485,-2.12326,-0.167682,0.509829,-0.220457,-0.097939,0.531087,-1.424317,-0.037971,-0.500192,-0.14436,0.64266,0.162703,-0.663207,0.286225,0.124653,-0.562014,-0.397661,0.447431,-0.011917,0.214691,0.615359,0.680681,0.296712,-1.019257,-0.118766,-0.34454,-0.254489,0.197869,0.068922,-0.349815
function,1.391232,-0.480924,-2.766596,0.243365,-0.045044,-0.791925,0.058855,-0.591775,-0.099202,0.338643,0.247023,-0.780877,-0.121726,-0.118365,-0.845704,0.325964,-0.334266,-0.352838,1.06173,-0.357262,0.378,-0.040364,-0.470492,0.160735,0.809183,-1.141396,1.376313,-0.501767,-0.299713,-0.123593,0.073366,-1.378449
one,-0.035135,0.171154,-1.740843,-0.028809,0.531752,0.034592,-0.191814,0.361564,-1.409355,-0.333818,0.115851,-0.10105,0.696222,-0.588752,0.190956,0.361606,-0.003933,-0.202528,0.034653,0.007469,0.179385,-0.239952,-0.121941,0.214376,-0.019433,-0.198902,0.223906,0.009888,-0.02351,-0.15863,0.403489,-0.143478
set,0.097666,-0.236788,-1.746955,0.043439,0.625838,-0.264628,0.160327,0.354524,-0.992272,-0.413285,-0.190061,0.125453,0.737277,-0.77004,-0.465748,0.240267,0.005773,-0.151904,0.096373,0.115528,0.906425,0.359838,-0.070961,0.703597,-0.231844,-0.237955,0.524119,-0.179349,0.066794,-0.00853,0.172474,-0.108771
group,0.140793,0.647019,-2.357536,0.678983,0.321268,0.036349,-0.547496,0.393218,0.051505,-0.347982,0.424067,0.270322,-0.316637,-0.33774,0.520092,-0.016589,0.33334,-0.065702,-0.34054,-0.622164,0.143214,0.038282,0.061939,-0.452798,-0.775091,-0.495282,0.263573,-0.752161,-0.306451,0.253322,-0.121406,-0.097273
space,1.029126,-1.081079,-2.095576,0.106643,1.069194,-0.40654,0.02631,0.353653,-0.162839,0.088312,0.605581,0.588375,0.512229,-0.708643,-1.252231,0.195829,0.440528,-0.214417,0.358084,-0.220815,0.483005,0.548403,-0.570544,0.293015,-0.344831,0.278513,0.557954,-1.191332,-0.350344,0.324964,0.973657,-0.528336
two,-0.295057,0.072887,-1.621709,0.243245,0.468203,-0.177595,-0.185318,0.433744,-1.347773,-0.214219,-0.068307,0.118907,1.009798,-0.720894,0.122186,0.422906,0.172683,-0.473905,-0.177598,0.326453,-0.045972,-0.107231,-0.577059,0.136968,0.006473,-0.546299,0.135761,-0.122828,-0.305167,-0.271911,0.280476,-0.228554
theory,1.620121,0.417606,-1.619548,-1.191102,1.286019,-0.093459,0.062361,-1.325974,-0.356499,0.225412,0.000748,-0.509846,-0.661615,-0.167608,-1.187512,-0.021537,-0.696559,0.511128,0.653489,-1.184381,1.555977,0.746626,0.068412,-0.762644,-0.092569,0.05077,0.268314,-0.048822,-1.668715,0.803804,0.01232,-1.065457
point,0.007034,0.023573,-0.939604,0.321894,0.93529,0.224189,-0.807604,-0.525104,-2.064178,-0.293678,-0.370121,0.9984,0.946235,-0.50617,-0.899064,0.463521,0.057472,-0.15965,-0.024162,0.311638,-0.056042,0.266808,-4.9e-05,-0.338897,0.474802,-0.921224,0.617032,-0.142867,-0.391791,0.475217,0.644864,0.040754
theorem,1.590604,-0.756356,0.262634,-1.063423,2.234411,-0.57925,-0.108758,-0.710487,0.440275,0.112569,-1.295705,-0.393988,-0.689595,-0.965607,-1.45811,0.318164,-0.547926,-0.24488,0.992499,-1.052796,1.905918,1.48975,-0.26451,0.617231,0.772535,-1.862184,1.513462,0.117864,-1.400306,-0.339073,0.357412,-1.708413
example,1.43416,-0.124595,-2.249002,-0.623766,0.279143,-0.493689,-0.101692,-0.148812,-0.811705,-0.137294,0.028454,-0.741843,0.144486,-0.168781,-0.628032,0.461489,0.193183,-0.070592,0.51282,0.087541,0.431643,-0.19755,0.260551,-0.038914,0.117438,-0.565646,0.682863,-0.066711,-0.077268,-0.0178,-0.224533,-0.389954
form,0.657455,-0.064996,-2.164166,-0.235988,0.426019,-0.574501,-0.164258,-0.252672,-0.597757,0.35375,-0.119963,-0.443448,0.163065,-0.510588,0.1563,0.431865,-0.167935,-0.497118,-0.109078,-0.146669,-0.012731,-0.809704,-0.279813,-0.786116,-0.454636,-0.761462,0.412674,-0.480314,-0.422951,-0.246585,-0.206557,0.028708
define,1.471011,-0.148124,-2.270788,-0.340477,0.465558,-0.809167,-0.167507,-1.112248,-0.499795,0.086459,-0.046261,-0.35601,-0.188896,0.220458,-0.97908,0.275305,0.182821,-0.050462,0.742062,-0.012517,0.260336,0.553594,0.320945,-0.146268,0.173404,-1.083207,1.542378,-0.433994,-0.618327,0.130613,0.140597,-0.038848
graph,2.09912,-0.543663,-0.62788,0.046189,0.526858,-0.929687,-0.350099,0.018353,0.466965,0.385685,-0.381386,0.164574,-0.113651,-0.520238,-1.935598,1.242433,-0.757608,-0.882918,0.438167,-0.957853,1.011036,1.890393,0.223806,0.024041,0.702858,-1.490859,1.372876,-0.341738,-0.461263,-0.034333,0.33317,-0.941477
value,1.753598,-0.215277,-2.000617,-0.099833,0.366965,-0.310645,-0.397343,-0.659519,-1.383353,-0.344777,-0.652636,-0.777546,-0.412936,0.336435,-0.953915,-0.317901,0.421554,-0.501136,0.518613,-0.46188,0.162975,0.211482,0.840257,0.739753,0.668764,-0.393058,1.124999,-0.391284,-0.438527,0.896834,0.489351,0.17738
