word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
number,-0.308587,2.226359,-0.419649,0.278889,0.910926,0.796428,-0.801569,-0.51618,-2.23476,2.390603,-0.798002,0.197187,-1.137945,2.014788,0.992717,-0.887019,-0.684372,-0.414752,0.325961,-0.314305,-0.118406,-0.908862,0.951157,-1.216592,0.821655,-0.752967,1.028749,-0.425563,-0.300526,0.719871,0.768315,-1.130743
function,-0.63508,0.851859,-0.666669,0.242395,0.994586,2.53814,-0.597137,-1.203521,-0.912132,2.187004,-1.825474,0.062734,-1.608968,1.916518,0.314642,-0.716663,1.651138,0.268413,1.036071,-1.165885,-0.008126,-0.048058,1.254096,0.504055,0.426631,-0.013885,-0.985461,0.391388,-0.026183,-0.572308,0.732608,-0.059209
one,0.13975,1.064158,-0.625175,0.337848,0.226268,1.890598,-0.297358,-0.669995,-1.298809,2.925101,-0.436245,1.032738,0.268814,1.213526,1.225254,-0.873755,0.080545,-0.883465,0.303989,-0.767848,-0.048992,-0.130323,-0.150681,0.193167,0.837787,-0.476259,0.131704,-0.325968,-0.525926,0.661049,0.941674,0.067614
set,0.411731,0.720632,-0.121545,2.053474,0.356316,1.649454,0.855755,-1.19461,-0.761443,2.521044,-0.685543,0.970138,-0.155372,2.206189,1.166224,-0.952769,-0.49581,-0.734185,0.702955,0.113173,-0.077911,-0.711737,1.561204,-0.090709,1.436717,-0.552603,-0.062916,-0.04044,0.862097,0.360853,0.552591,-0.806482
group,0.589993,0.883372,1.070773,0.52128,0.276905,0.936449,-1.967947,-1.566173,-0.811278,2.5031,1.174786,-0.130579,-0.236559,-0.292786,-0.015407,-0.817548,-0.797811,-1.152826,1.888872,-0.807756,-1.703889,-0.905873,0.630211,-0.279216,2.83831,-0.305009,0.693797,-0.870508,-0.202874,0.307186,0.274132,0.321961
space,-0.238119,0.686561,-0.297805,0.68044,1.247542,1.378741,-0.355294,-1.26638,-0.568028,2.225669,0.184898,0.885556,0.561287,1.391859,0.234661,-1.507924,0.132499,-0.123542,1.312431,-0.190889,-0.29632,-0.476884,0.917753,1.70093,3.209869,0.498013,-1.427603,-1.157896,0.04697,-0.309313,0.783684,-0.230274
two,-0.342208,1.176276,-0.560138,0.546882,0.01829,2.104044,-0.157343,-0.479107,-1.219838,2.976673,-0.301501,0.75667,0.653681,1.122696,0.844841,-1.147079,-0.27119,-1.288531,0.849692,-0.772745,0.399242,-0.336614,-0.148021,0.164338,0.89036,-0.487888,0.322303,-0.693702,-0.327314,0.895719,0.486328,0.350362
theory,1.400572,2.075715,0.377512,1.688378,0.613492,1.04649,-0.518711,-1.658334,-1.646949,1.494737,-0.505523,-0.938718,-0.02882,1.361297,0.634111,-0.982331,-0.630597,0.219628,1.440224,-0.464043,-1.012683,-0.135102,0.243309,-0.23284,1.823898,1.6855,-0.105711,0.533958,-0.105514,-0.648346,-0.14367,-0.091066
point,0.377596,1.309662,0.131015,0.162141,0.371948,1.606496,1.004657,-0.707462,-1.033654,2.485813,0.029312,0.608928,-0.392986,1.778228,0.757667,-0.193169,-0.107346,-1.354983,0.083052,-0.9876,0.707149,-0.617513,0.807417,1.331283,1.405854,-0.391735,-0.183728,-1.074627,-0.311204,1.337246,0.799972,0.772347
theorem,0.168637,1.589665,0.621809,-0.309665,0.584649,1.666361,0.207475,-0.801504,-0.294946,2.11255,-1.239714,-0.928889,-0.036474,2.375695,1.534014,0.421573,-0.876254,0.761354,0.098277,-0.09022,-1.005285,0.321803,0.432107,-0.475571,2.579541,0.569007,0.023886,0.528686,0.505744,-0.344072,0.658763,1.341029
example,0.31523,0.733825,-0.443559,0.345916,-0.036641,1.637195,-1.018346,-0.954704,-1.246908,2.177768,-1.057423,0.773231,-0.331977,1.297862,0.649541,-0.712342,-0.446161,-0.156711,0.901245,-0.857453,-0.137876,-0.041445,0.483794,0.157256,1.069645,-0.07225,0.261526,-0.454283,-0.379803,0.069839,0.750884,-0.052392
form,-0.748591,0.699542,-1.003837,0.358704,-0.527239,1.555677,-0.669308,-0.888215,-0.964739,2.279968,-0.535483,0.358615,-0.197145,1.213696,0.311009,-1.33696,0.825536,-0.509349,1.202978,-1.164528,0.193143,-0.1768,0.179325,-0.060598,1.515493,0.015683,0.538839,-0.143138,-0.085086,0.244443,0.543457,0.808528
define,-0.395919,0.343613,-0.581896,0.591182,0.33089,1.823776,0.064332,-1.579861,-0.879614,2.195097,-0.412135,0.49525,-0.569115,1.281744,0.415245,-0.80629,0.81921,-0.19259,1.548892,-0.611798,-0.211495,0.138189,1.032066,0.428698,1.69694,-0.693802,-0.578976,0.214717,-0.01749,0.234807,1.012938,0.530181
graph,-0.510523,0.115098,-0.674986,1.3045,-0.621584,0.786482,1.221704,-0.683995,-0.078758,2.562035,-0.348765,-0.791105,0.997545,0.973102,1.955281,-0.968206,-1.248723,-0.463304,0.940891,-2.245096,-1.150968,-1.44077,1.391124,-0.632505,0.788147,0.67553,1.358427,0.063805,-0.146112,0.618359,0.543512,-0.800976
value,-0.308558,0.71791,-0.467538,0.611212,0.633231,2.206054,-0.193143,-0.403387,-1.60513,2.417152,-1.118183,0.968242,-1.433896,1.062958,0.898885,0.082238,0.485621,0.244338,0.266932,-1.138058,0.568957,0.19785,0.436914,0.609734,0.572313,-0.904426,-0.316609,0.208314,-0.50307,-0.018679,1.076624,-0.730328
